nokta_no,x,y,count,sezon_dakikasi
1,65,92,4,1026
2,65,27,1,1026
3,65,75,1,1026
4,65,94,2,1026
5,65,83,1,1026
6,65,74,2,1026
7,65,69,1,1026
8,65,93,1,1026
9,65,86,1,1026
10,58,93,1,1026
11,58,88,1,1026
12,58,98,1,1026
13,58,89,1,1026
14,58,90,1,1026
15,58,82,1,1026
16,58,96,1,1026
17,55,91,2,1026
18,55,45,2,1026
19,55,97,1,1026
20,55,62,1,1026
21,55,90,1,1026
22,55,67,1,1026
23,71,91,2,1026
24,71,94,1,1026
25,71,38,1,1026
26,71,74,1,1026
27,71,96,2,1026
28,71,81,1,1026
29,71,90,1,1026
30,71,47,1,1026
31,71,88,1,1026
32,71,62,1,1026
33,87,64,1,1026
34,87,53,1,1026
35,87,92,2,1026
36,87,93,1,1026
37,87,87,1,1026
38,87,45,1,1026
39,68,65,1,1026
40,68,92,2,1026
41,68,84,3,1026
42,68,96,1,1026
43,68,95,1,1026
44,68,100,2,1026
45,68,83,1,1026
46,68,98,1,1026
47,68,93,1,1026
48,68,74,1,1026
49,68,94,1,1026
50,68,75,1,1026
51,43,91,1,1026
52,43,88,1,1026
53,43,56,2,1026
54,43,77,1,1026
55,43,81,1,1026
56,43,94,1,1026
57,43,68,1,1026
58,43,76,1,1026
59,43,74,1,1026
60,43,89,1,1026
61,43,58,1,1026
62,72,90,2,1026
63,72,91,1,1026
64,72,92,1,1026
65,72,85,1,1026
66,72,74,2,1026
67,72,69,1,1026
68,72,77,1,1026
69,72,4,1,1026
70,72,61,1,1026
71,72,58,1,1026
72,59,89,1,1026
73,59,90,3,1026
74,59,100,1,1026
75,59,93,1,1026
76,59,86,2,1026
77,59,95,1,1026
78,59,41,1,1026
79,59,66,1,1026
80,59,75,1,1026
81,56,93,3,1026
82,56,72,1,1026
83,56,96,2,1026
84,56,82,1,1026
85,56,94,1,1026
86,56,66,1,1026
87,56,95,1,1026
88,56,91,1,1026
89,56,89,1,1026
90,56,92,1,1026
91,73,85,1,1026
92,73,69,1,1026
93,73,84,1,1026
94,73,78,1,1026
95,73,67,1,1026
96,73,87,1,1026
97,73,97,1,1026
98,73,90,2,1026
99,73,94,1,1026
100,73,70,1,1026
101,73,7,1,1026
102,73,82,1,1026
103,69,36,1,1026
104,69,89,1,1026
105,69,4,1,1026
106,69,93,1,1026
107,69,86,1,1026
108,69,94,2,1026
109,69,67,1,1026
110,69,62,1,1026
111,69,100,1,1026
112,53,85,1,1026
113,53,93,2,1026
114,53,98,1,1026
115,53,95,1,1026
116,53,96,2,1026
117,53,62,1,1026
118,53,47,1,1026
119,53,82,1,1026
120,32,88,1,1026
121,32,57,1,1026
122,32,92,1,1026
123,32,61,1,1026
124,64,53,1,1026
125,64,60,1,1026
126,64,97,1,1026
127,64,78,1,1026
128,64,94,2,1026
129,64,92,1,1026
130,64,95,1,1026
131,64,72,1,1026
132,64,70,1,1026
133,64,93,1,1026
134,60,73,1,1026
135,60,90,1,1026
136,60,100,1,1026
137,60,94,2,1026
138,60,88,1,1026
139,63,86,2,1026
140,63,93,1,1026
141,63,97,1,1026
142,63,95,2,1026
143,63,82,2,1026
144,63,94,2,1026
145,63,78,1,1026
146,63,67,1,1026
147,63,77,1,1026
148,63,72,1,1026
149,63,11,1,1026
150,63,70,1,1026
151,63,33,1,1026
152,74,93,1,1026
153,74,92,1,1026
154,74,76,2,1026
155,74,84,2,1026
156,74,81,1,1026
157,74,91,1,1026
158,74,90,1,1026
159,74,97,1,1026
160,74,74,1,1026
161,74,80,1,1026
162,74,73,1,1026
163,74,95,1,1026
164,74,83,1,1026
165,74,6,1,1026
166,74,67,2,1026
167,74,63,1,1026
168,74,96,1,1026
169,24,16,2,1026
170,24,94,1,1026
171,24,80,1,1026
172,24,68,1,1026
173,24,89,1,1026
174,24,57,1,1026
175,24,69,1,1026
176,44,82,1,1026
177,44,56,1,1026
178,44,91,1,1026
179,44,92,2,1026
180,44,89,1,1026
181,44,70,1,1026
182,44,79,1,1026
183,88,56,1,1026
184,88,63,1,1026
185,88,76,1,1026
186,88,50,1,1026
187,88,53,1,1026
188,88,73,2,1026
189,88,84,1,1026
190,88,97,1,1026
191,88,93,1,1026
192,93,91,1,1026
193,93,84,1,1026
194,93,47,2,1026
195,93,54,1,1026
196,93,100,1,1026
197,70,87,1,1026
198,70,56,1,1026
199,70,54,1,1026
200,70,70,1,1026
201,70,62,1,1026
202,70,81,1,1026
203,70,90,1,1026
204,70,93,1,1026
205,70,83,1,1026
206,70,71,1,1026
207,70,95,1,1026
208,70,92,1,1026
209,51,93,1,1026
210,51,75,1,1026
211,51,98,1,1026
212,51,87,1,1026
213,40,75,1,1026
214,40,95,1,1026
215,37,81,1,1026
216,37,96,2,1026
217,37,55,1,1026
218,37,95,1,1026
219,37,70,1,1026
220,37,68,1,1026
221,37,60,1,1026
222,36,88,1,1026
223,36,91,2,1026
224,36,33,1,1026
225,36,85,1,1026
226,36,75,1,1026
227,36,95,1,1026
228,36,97,1,1026
229,36,73,1,1026
230,36,76,1,1026
231,23,29,1,1026
232,23,21,1,1026
233,23,81,1,1026
234,23,54,1,1026
235,23,76,1,1026
236,23,47,1,1026
237,13,98,1,1026
238,13,72,1,1026
239,13,58,1,1026
240,13,60,1,1026
241,13,95,2,1026
242,13,51,1,1026
243,13,56,1,1026
244,62,12,1,1026
245,62,94,1,1026
246,62,83,1,1026
247,62,100,1,1026
248,62,96,1,1026
249,62,93,1,1026
250,62,90,1,1026
251,62,73,1,1026
252,62,57,1,1026
253,28,95,1,1026
254,28,45,1,1026
255,28,92,1,1026
256,28,94,2,1026
257,28,83,1,1026
258,28,84,1,1026
259,28,53,1,1026
260,28,91,2,1026
261,77,94,1,1026
262,77,52,1,1026
263,77,54,2,1026
264,77,69,1,1026
265,77,88,1,1026
266,77,91,1,1026
267,77,95,1,1026
268,77,96,1,1026
269,77,80,1,1026
270,77,93,1,1026
271,77,86,1,1026
272,77,70,1,1026
273,77,92,1,1026
274,77,98,1,1026
275,22,35,1,1026
276,22,95,1,1026
277,22,74,1,1026
278,22,49,1,1026
279,22,93,1,1026
280,22,56,1,1026
281,31,32,1,1026
282,31,56,1,1026
283,31,39,1,1026
284,31,67,1,1026
285,31,87,1,1026
286,31,3,1,1026
287,31,72,1,1026
288,31,71,1,1026
289,31,69,1,1026
290,31,82,1,1026
291,31,63,1,1026
292,31,95,1,1026
293,27,39,1,1026
294,27,82,1,1026
295,27,71,1,1026
296,27,85,1,1026
297,27,92,1,1026
298,27,97,1,1026
299,25,83,1,1026
300,25,60,1,1026
301,25,51,1,1026
302,25,24,1,1026
303,25,70,1,1026
304,25,91,1,1026
305,25,84,1,1026
306,25,90,1,1026
307,25,72,1,1026
308,25,54,1,1026
309,25,48,1,1026
310,67,64,1,1026
311,67,95,1,1026
312,67,65,1,1026
313,67,94,1,1026
314,67,29,1,1026
315,67,72,1,1026
316,45,55,1,1026
317,45,80,1,1026
318,45,60,1,1026
319,45,53,2,1026
320,45,95,1,1026
321,45,72,1,1026
322,45,85,1,1026
323,45,87,1,1026
324,45,93,1,1026
325,45,90,1,1026
326,61,77,2,1026
327,61,88,3,1026
328,61,56,1,1026
329,61,95,1,1026
330,61,97,1,1026
331,61,73,2,1026
332,61,96,2,1026
333,61,94,1,1026
334,33,86,1,1026
335,33,68,1,1026
336,33,80,1,1026
337,33,47,1,1026
338,33,69,1,1026
339,33,89,3,1026
340,33,77,1,1026
341,33,73,2,1026
342,33,96,1,1026
343,33,88,1,1026
344,66,87,1,1026
345,66,75,1,1026
346,66,76,1,1026
347,66,96,2,1026
348,66,95,1,1026
349,66,93,1,1026
350,66,38,1,1026
351,66,94,2,1026
352,66,92,1,1026
353,66,81,1,1026
354,66,100,1,1026
355,82,95,1,1026
356,82,89,1,1026
357,82,69,2,1026
358,82,81,1,1026
359,98,68,1,1026
360,98,31,1,1026
361,98,52,1,1026
362,98,87,1,1026
363,46,54,2,1026
364,46,88,2,1026
365,46,93,1,1026
366,46,91,1,1026
367,46,74,1,1026
368,46,70,1,1026
369,46,55,1,1026
370,85,93,1,1026
371,85,74,1,1026
372,85,86,1,1026
373,85,72,1,1026
374,85,84,1,1026
375,85,70,1,1026
376,85,85,1,1026
377,80,88,1,1026
378,80,95,1,1026
379,80,85,2,1026
380,80,51,1,1026
381,80,90,1,1026
382,80,87,1,1026
383,80,82,1,1026
384,80,93,1,1026
385,80,75,1,1026
386,80,96,1,1026
387,97,70,1,1026
388,97,57,1,1026
389,97,63,1,1026
390,97,96,1,1026
391,97,89,1,1026
392,97,91,1,1026
393,97,74,1,1026
394,21,67,1,1026
395,21,32,2,1026
396,21,85,1,1026
397,21,57,1,1026
398,21,61,2,1026
399,18,96,1,1026
400,18,87,1,1026
401,18,57,1,1026
402,35,88,1,1026
403,35,95,1,1026
404,35,78,1,1026
405,35,85,1,1026
406,35,84,2,1026
407,35,79,1,1026
408,35,65,1,1026
409,35,73,1,1026
410,35,61,1,1026
411,9,76,1,1026
412,7,84,1,1026
413,7,85,2,1026
414,7,94,2,1026
415,6,94,1,1026
416,6,63,1,1026
417,6,86,1,1026
418,26,75,1,1026
419,26,96,1,1026
420,26,94,2,1026
421,26,89,1,1026
422,26,65,1,1026
423,26,90,1,1026
424,26,56,1,1026
425,26,76,1,1026
426,26,34,1,1026
427,26,73,2,1026
428,26,61,1,1026
429,26,93,1,1026
430,29,72,1,1026
431,29,85,1,1026
432,29,57,1,1026
433,29,95,1,1026
434,29,98,1,1026
435,29,59,1,1026
436,92,84,1,1026
437,92,95,1,1026
438,92,64,1,1026
439,92,60,1,1026
440,92,82,1,1026
441,75,90,1,1026
442,75,73,1,1026
443,75,100,2,1026
444,75,96,1,1026
445,75,95,2,1026
446,75,67,1,1026
447,75,71,1,1026
448,75,87,1,1026
449,75,19,1,1026
450,75,55,1,1026
451,75,57,1,1026
452,75,62,1,1026
453,91,79,1,1026
454,91,86,1,1026
455,91,57,1,1026
456,91,25,1,1026
457,91,47,1,1026
458,91,92,1,1026
459,91,90,1,1026
460,83,86,2,1026
461,83,29,1,1026
462,83,90,2,1026
463,83,96,2,1026
464,83,93,1,1026
465,83,91,1,1026
466,83,100,1,1026
467,83,97,1,1026
468,94,81,1,1026
469,94,66,1,1026
470,94,71,1,1026
471,99,67,1,1026
472,99,54,1,1026
473,84,91,1,1026
474,84,81,1,1026
475,84,69,2,1026
476,84,77,2,1026
477,84,97,2,1026
478,84,100,1,1026
479,84,79,1,1026
480,84,82,1,1026
481,79,73,1,1026
482,79,95,1,1026
483,79,75,1,1026
484,79,86,1,1026
