nokta_no,x,y,count,sezon_dakikasi
1,37,61,1,1873
2,37,70,1,1873
3,37,17,1,1873
4,37,45,2,1873
5,37,46,1,1873
6,49,59,1,1873
7,49,50,8,1873
8,49,49,3,1873
9,49,33,1,1873
10,49,60,1,1873
11,49,26,1,1873
12,75,39,2,1873
13,75,36,1,1873
14,75,94,1,1873
15,75,59,1,1873
16,75,22,1,1873
17,75,93,1,1873
18,75,66,1,1873
19,75,76,1,1873
20,75,41,1,1873
21,75,74,1,1873
22,75,37,1,1873
23,75,40,1,1873
24,75,15,1,1873
25,75,64,1,1873
26,29,90,1,1873
27,29,5,1,1873
28,29,12,1,1873
29,29,94,1,1873
30,69,13,1,1873
31,69,69,1,1873
32,69,85,1,1873
33,69,49,1,1873
34,69,30,1,1873
35,69,41,1,1873
36,69,25,1,1873
37,69,20,1,1873
38,69,9,1,1873
39,69,70,1,1873
40,69,75,1,1873
41,69,61,2,1873
42,69,53,1,1873
43,69,40,2,1873
44,55,11,1,1873
45,55,75,2,1873
46,55,85,1,1873
47,55,73,1,1873
48,55,92,1,1873
49,55,34,1,1873
50,55,28,1,1873
51,55,27,1,1873
52,55,23,2,1873
53,55,24,1,1873
54,55,86,1,1873
55,55,69,1,1873
56,55,25,1,1873
57,55,62,1,1873
58,76,72,1,1873
59,76,34,1,1873
60,76,48,1,1873
61,76,60,1,1873
62,76,69,2,1873
63,76,47,1,1873
64,76,75,1,1873
65,76,39,1,1873
66,76,81,1,1873
67,76,55,1,1873
68,76,92,1,1873
69,95,44,1,1873
70,95,34,1,1873
71,95,6,1,1873
72,95,33,1,1873
73,95,52,1,1873
74,95,53,1,1873
75,95,54,1,1873
76,95,48,1,1873
77,95,57,1,1873
78,95,24,1,1873
79,95,26,1,1873
80,94,43,1,1873
81,94,12,1,1873
82,94,7,1,1873
83,94,77,1,1873
84,94,55,1,1873
85,94,49,1,1873
86,50,50,5,1873
87,50,49,2,1873
88,50,32,1,1873
89,50,72,1,1873
90,50,87,1,1873
91,70,3,1,1873
92,70,28,1,1873
93,70,52,1,1873
94,70,74,1,1873
95,70,36,1,1873
96,70,69,1,1873
97,70,71,1,1873
98,70,58,1,1873
99,70,19,1,1873
100,70,31,1,1873
101,70,59,1,1873
102,70,48,1,1873
103,70,34,1,1873
104,70,65,2,1873
105,70,67,1,1873
106,77,54,1,1873
