nokta_no,x,y,count,sezon_dakikasi
1,25,75,2,1863
2,25,74,1,1863
3,25,78,1,1863
4,25,71,1,1863
5,25,13,1,1863
6,25,2,1,1863
7,25,5,3,1863
8,25,21,1,1863
9,25,10,2,1863
10,25,20,1,1863
11,25,9,1,1863
12,25,0,2,1863
13,25,83,1,1863
14,25,81,1,1863
15,25,22,1,1863
16,25,34,1,1863
17,25,12,3,1863
18,25,76,1,1863
19,25,52,1,1863
20,34,44,1,1863
21,34,70,1,1863
22,34,74,1,1863
23,34,14,2,1863
24,34,12,1,1863
25,34,30,1,1863
26,34,25,1,1863
27,34,13,2,1863
28,34,76,1,1863
29,34,10,1,1863
30,34,42,1,1863
31,34,6,2,1863
32,34,24,1,1863
33,34,33,1,1863
34,34,9,3,1863
35,34,17,1,1863
36,34,11,1,1863
37,34,2,2,1863
38,34,45,1,1863
39,34,51,1,1863
40,34,7,1,1863
41,34,26,1,1863
42,22,43,1,1863
43,22,77,1,1863
44,22,76,3,1863
45,22,89,1,1863
46,22,1,1,1863
47,22,31,1,1863
48,22,75,1,1863
49,22,59,1,1863
50,22,15,1,1863
51,22,50,2,1863
52,22,33,1,1863
53,22,87,1,1863
54,22,18,2,1863
55,22,10,1,1863
56,22,17,1,1863
57,22,28,1,1863
58,22,57,1,1863
59,22,34,1,1863
60,22,22,2,1863
61,22,27,1,1863
62,22,12,2,1863
63,22,8,1,1863
64,22,7,1,1863
65,32,70,1,1863
66,32,63,1,1863
67,32,65,1,1863
68,32,20,1,1863
69,32,16,1,1863
70,32,67,2,1863
71,32,34,1,1863
72,32,59,1,1863
73,32,5,1,1863
74,32,8,1,1863
75,32,4,2,1863
76,32,10,1,1863
77,32,17,1,1863
78,32,7,1,1863
79,32,69,1,1863
80,32,93,1,1863
81,32,68,1,1863
82,32,37,1,1863
83,32,21,1,1863
84,32,72,1,1863
85,32,83,1,1863
86,32,0,1,1863
87,32,2,1,1863
88,32,54,1,1863
89,32,50,1,1863
90,32,22,1,1863
91,32,3,1,1863
92,32,11,1,1863
93,32,15,1,1863
94,23,83,1,1863
95,23,77,1,1863
96,23,10,2,1863
97,23,0,1,1863
98,23,96,1,1863
99,23,68,3,1863
100,23,21,2,1863
101,23,44,1,1863
102,23,27,3,1863
103,23,29,1,1863
104,23,54,1,1863
105,23,59,1,1863
106,23,26,1,1863
107,23,38,1,1863
108,23,58,1,1863
109,23,14,2,1863
110,23,91,1,1863
111,23,19,1,1863
112,23,15,1,1863
113,31,60,1,1863
114,31,65,2,1863
115,31,6,2,1863
116,31,9,3,1863
117,31,5,2,1863
118,31,90,1,1863
119,31,58,1,1863
120,31,12,2,1863
121,31,45,1,1863
122,31,4,1,1863
123,31,38,2,1863
124,31,50,1,1863
125,31,63,1,1863
126,31,37,1,1863
127,31,35,1,1863
128,31,40,1,1863
129,31,10,1,1863
130,31,3,1,1863
131,31,68,1,1863
132,31,0,1,1863
133,31,15,1,1863
134,31,23,1,1863
135,27,85,2,1863
136,27,76,1,1863
137,27,21,1,1863
138,27,26,1,1863
139,27,15,1,1863
140,27,27,1,1863
141,27,0,1,1863
142,27,94,1,1863
143,27,62,1,1863
144,27,37,2,1863
145,27,80,1,1863
146,27,7,2,1863
147,27,49,1,1863
148,27,5,1,1863
149,27,41,2,1863
150,27,65,1,1863
151,27,23,1,1863
152,30,80,1,1863
153,30,63,1,1863
154,30,55,2,1863
155,30,87,1,1863
156,30,0,1,1863
157,30,61,1,1863
158,30,21,2,1863
159,30,6,2,1863
160,30,3,1,1863
161,30,67,1,1863
162,30,11,2,1863
163,30,37,1,1863
164,30,10,1,1863
165,30,7,1,1863
166,30,66,2,1863
167,30,34,1,1863
168,30,2,3,1863
169,30,79,1,1863
170,30,13,2,1863
171,30,8,1,1863
172,15,86,2,1863
173,15,63,1,1863
174,15,0,1,1863
175,15,56,1,1863
176,15,26,2,1863
177,15,76,1,1863
178,15,82,2,1863
179,15,44,1,1863
180,15,3,1,1863
181,15,39,1,1863
182,21,72,2,1863
183,21,3,1,1863
184,21,65,1,1863
185,21,35,1,1863
186,21,93,1,1863
187,21,76,1,1863
188,21,86,1,1863
189,21,23,2,1863
190,21,30,1,1863
191,21,8,1,1863
192,21,0,4,1863
193,21,13,1,1863
194,21,10,1,1863
195,21,87,1,1863
196,21,73,1,1863
197,21,4,3,1863
198,21,57,1,1863
199,21,43,1,1863
200,6,92,1,1863
201,6,23,1,1863
202,6,59,1,1863
203,6,72,1,1863
204,6,54,1,1863
205,6,57,1,1863
206,6,4,1,1863
207,6,15,1,1863
208,6,53,1,1863
209,6,34,1,1863
210,19,83,1,1863
211,19,55,1,1863
212,19,30,1,1863
213,19,14,1,1863
214,19,61,1,1863
215,19,69,1,1863
216,19,19,1,1863
217,19,100,2,1863
218,19,0,3,1863
219,19,72,1,1863
220,19,24,1,1863
221,19,36,1,1863
222,19,3,2,1863
223,19,10,1,1863
224,19,12,1,1863
225,19,48,1,1863
226,19,7,1,1863
227,19,2,1,1863
228,19,13,1,1863
229,19,62,1,1863
230,18,76,1,1863
231,18,81,1,1863
232,18,55,1,1863
233,18,11,1,1863
234,18,30,1,1863
235,18,100,1,1863
236,18,71,1,1863
237,18,17,1,1863
238,18,32,1,1863
239,18,19,1,1863
240,18,5,1,1863
241,18,6,1,1863
242,18,83,1,1863
243,18,14,1,1863
244,18,51,1,1863
245,18,0,1,1863
246,28,68,1,1863
247,28,67,1,1863
248,28,31,1,1863
249,28,8,1,1863
250,28,4,2,1863
251,28,27,2,1863
252,28,22,1,1863
253,28,73,1,1863
254,28,75,1,1863
255,28,33,1,1863
256,28,39,1,1863
257,28,13,1,1863
258,28,6,1,1863
259,28,25,1,1863
260,28,50,1,1863
261,28,3,1,1863
262,28,7,1,1863
263,52,58,1,1863
264,52,0,4,1863
265,52,7,1,1863
266,52,4,2,1863
267,45,66,1,1863
268,45,70,1,1863
269,45,43,1,1863
270,45,19,1,1863
271,45,0,1,1863
272,45,32,1,1863
273,45,8,2,1863
274,45,4,1,1863
275,45,30,2,1863
276,45,3,2,1863
277,45,10,1,1863
278,45,17,1,1863
279,39,89,1,1863
280,39,13,2,1863
281,39,8,1,1863
282,39,18,1,1863
283,39,0,1,1863
284,39,72,1,1863
285,39,34,1,1863
286,39,5,1,1863
287,39,15,1,1863
288,39,9,1,1863
289,39,37,1,1863
290,39,11,1,1863
291,44,57,1,1863
292,44,31,2,1863
293,44,55,2,1863
294,44,16,1,1863
295,44,80,1,1863
296,44,9,1,1863
297,44,8,1,1863
298,44,4,1,1863
299,44,7,1,1863
300,36,67,1,1863
301,36,27,1,1863
302,36,4,1,1863
303,36,23,2,1863
304,36,5,1,1863
305,36,0,1,1863
306,36,88,1,1863
307,36,6,2,1863
308,36,42,1,1863
309,36,50,1,1863
310,36,56,1,1863
311,36,18,1,1863
312,36,84,1,1863
313,36,3,1,1863
314,36,70,1,1863
315,36,11,3,1863
316,33,63,1,1863
317,33,18,1,1863
318,33,31,2,1863
319,33,0,5,1863
320,33,29,1,1863
321,33,8,1,1863
322,33,10,1,1863
323,33,9,1,1863
324,33,70,1,1863
325,33,48,1,1863
326,33,67,1,1863
327,33,80,1,1863
328,33,81,1,1863
329,33,68,1,1863
330,33,14,1,1863
331,33,3,1,1863
332,33,78,1,1863
333,33,16,1,1863
334,12,74,2,1863
335,12,40,1,1863
336,12,19,1,1863
337,12,52,1,1863
338,12,9,1,1863
339,12,54,1,1863
340,12,5,1,1863
341,12,45,1,1863
342,12,18,1,1863
343,12,35,1,1863
344,12,23,1,1863
345,12,7,1,1863
346,12,0,1,1863
347,12,79,1,1863
348,12,97,1,1863
349,12,38,1,1863
350,12,86,1,1863
351,12,64,1,1863
352,12,85,2,1863
353,12,17,1,1863
354,12,16,1,1863
355,12,6,1,1863
356,12,42,1,1863
357,12,46,1,1863
358,26,79,1,1863
359,26,33,1,1863
360,26,32,1,1863
361,26,31,3,1863
362,26,40,1,1863
363,26,63,3,1863
364,26,76,1,1863
365,26,18,1,1863
366,26,11,1,1863
367,26,22,1,1863
368,26,24,2,1863
369,26,37,1,1863
370,26,10,1,1863
371,26,42,1,1863
372,29,76,1,1863
373,29,62,1,1863
374,29,32,1,1863
375,29,33,1,1863
376,29,11,1,1863
377,29,5,2,1863
378,29,34,1,1863
379,29,66,1,1863
380,29,69,1,1863
381,29,70,1,1863
382,29,67,1,1863
383,29,18,1,1863
384,29,6,1,1863
385,29,87,1,1863
386,29,60,1,1863
387,29,52,1,1863
388,29,39,1,1863
389,29,9,1,1863
390,29,0,1,1863
391,29,74,1,1863
392,29,100,1,1863
393,29,92,1,1863
394,29,80,1,1863
395,29,12,1,1863
396,29,24,2,1863
397,29,14,1,1863
398,29,8,1,1863
399,29,35,2,1863
400,92,49,1,1863
401,92,4,1,1863
402,92,0,2,1863
403,92,10,1,1863
404,92,41,1,1863
405,92,45,1,1863
406,89,60,1,1863
407,89,35,1,1863
408,89,59,1,1863
409,46,47,2,1863
410,46,34,1,1863
411,46,96,2,1863
412,46,45,1,1863
413,46,0,3,1863
414,46,28,1,1863
415,46,35,1,1863
416,46,83,1,1863
417,46,2,1,1863
418,41,67,1,1863
419,41,36,2,1863
420,41,14,1,1863
421,41,73,1,1863
422,41,12,1,1863
423,41,27,1,1863
424,41,11,1,1863
425,41,0,4,1863
426,41,7,1,1863
427,41,75,1,1863
428,41,80,1,1863
429,41,29,2,1863
430,37,66,1,1863
431,37,81,1,1863
432,37,28,1,1863
433,37,10,2,1863
434,37,63,2,1863
435,37,61,1,1863
436,37,9,1,1863
437,37,4,1,1863
438,37,7,3,1863
439,37,0,1,1863
440,37,3,1,1863
441,37,97,1,1863
442,37,38,1,1863
443,62,60,2,1863
444,62,2,1,1863
445,62,4,1,1863
446,62,92,1,1863
447,62,5,2,1863
448,62,37,2,1863
449,8,68,1,1863
450,8,94,1,1863
451,8,40,1,1863
452,8,56,1,1863
453,8,38,1,1863
454,8,11,2,1863
455,8,39,1,1863
456,8,28,1,1863
457,8,35,1,1863
458,8,45,1,1863
459,8,84,2,1863
460,8,75,1,1863
461,8,14,1,1863
462,9,91,1,1863
463,9,55,1,1863
464,9,2,1,1863
465,9,47,2,1863
466,9,11,1,1863
467,9,53,1,1863
468,9,28,1,1863
469,9,9,1,1863
470,9,42,1,1863
471,9,7,1,1863
472,9,35,1,1863
473,9,49,1,1863
474,7,48,2,1863
475,7,44,2,1863
476,7,54,1,1863
477,7,33,1,1863
478,7,0,1,1863
479,7,24,1,1863
480,7,50,2,1863
481,7,51,1,1863
482,7,13,3,1863
483,7,30,1,1863
484,7,49,1,1863
485,7,36,1,1863
