nokta_no,x,y,count,sezon_dakikasi
1,43,88,1,2024
2,43,16,1,2024
3,43,83,1,2024
4,43,80,1,2024
5,43,5,1,2024
6,43,89,1,2024
7,43,49,1,2024
8,43,39,1,2024
9,43,67,1,2024
10,43,96,1,2024
11,43,93,2,2024
12,43,4,1,2024
13,43,50,1,2024
14,43,22,1,2024
15,43,29,1,2024
16,43,92,1,2024
17,61,92,1,2024
18,61,18,1,2024
19,61,5,1,2024
20,61,61,2,2024
21,61,26,1,2024
22,61,89,1,2024
23,61,88,2,2024
24,61,33,1,2024
25,61,67,2,2024
26,61,17,1,2024
27,61,80,1,2024
28,61,35,1,2024
29,61,36,1,2024
30,61,71,2,2024
31,61,12,1,2024
32,61,29,1,2024
33,61,42,1,2024
34,61,20,2,2024
35,61,23,1,2024
36,61,90,1,2024
37,61,64,1,2024
38,57,31,1,2024
39,57,48,1,2024
40,57,30,1,2024
41,57,36,2,2024
42,57,69,1,2024
43,57,66,1,2024
44,57,78,2,2024
45,57,61,2,2024
46,57,22,1,2024
47,57,63,1,2024
48,57,87,1,2024
49,57,14,1,2024
50,57,57,1,2024
51,57,75,1,2024
52,57,80,1,2024
53,57,92,1,2024
54,57,26,1,2024
55,57,73,1,2024
56,53,44,1,2024
57,53,51,2,2024
58,53,36,1,2024
59,53,71,1,2024
60,53,11,2,2024
61,53,64,1,2024
62,53,48,1,2024
63,53,60,1,2024
64,53,58,1,2024
65,53,82,1,2024
66,53,65,1,2024
67,53,96,1,2024
68,53,54,1,2024
69,53,41,1,2024
70,53,93,1,2024
71,40,25,1,2024
72,40,23,2,2024
73,40,60,1,2024
74,40,3,1,2024
75,40,85,1,2024
76,40,34,1,2024
77,40,17,1,2024
78,40,36,2,2024
79,40,32,1,2024
80,40,93,1,2024
81,40,65,1,2024
82,40,31,1,2024
83,40,72,1,2024
84,40,71,1,2024
85,40,84,1,2024
86,40,21,1,2024
87,40,28,1,2024
88,40,80,1,2024
89,40,26,1,2024
90,24,92,1,2024
91,24,69,1,2024
92,24,16,1,2024
93,24,12,1,2024
94,24,85,1,2024
95,24,93,1,2024
96,24,50,1,2024
97,24,39,1,2024
98,44,83,1,2024
99,44,53,1,2024
100,44,86,1,2024
101,44,60,2,2024
102,44,10,1,2024
103,44,47,1,2024
104,44,2,1,2024
105,44,74,1,2024
106,44,52,1,2024
107,44,44,2,2024
108,44,69,1,2024
109,44,96,1,2024
110,44,7,1,2024
111,44,75,1,2024
112,44,67,1,2024
113,47,51,1,2024
114,47,41,3,2024
115,47,64,1,2024
116,47,55,1,2024
117,47,46,1,2024
118,47,10,1,2024
119,47,49,1,2024
120,47,72,1,2024
121,47,27,1,2024
122,47,39,1,2024
123,47,54,2,2024
124,47,92,1,2024
125,47,17,1,2024
126,47,5,1,2024
127,89,10,1,2024
128,89,65,2,2024
129,89,28,1,2024
130,89,4,1,2024
131,89,79,1,2024
132,89,53,1,2024
133,89,73,1,2024
134,89,87,1,2024
135,89,61,2,2024
136,89,15,2,2024
137,89,56,1,2024
138,64,81,1,2024
139,64,50,1,2024
140,64,72,1,2024
141,64,71,2,2024
142,64,36,1,2024
143,64,17,1,2024
144,64,23,1,2024
145,64,10,1,2024
146,64,24,1,2024
147,64,91,1,2024
148,64,70,1,2024
149,64,61,1,2024
150,64,18,1,2024
151,64,0,1,2024
152,64,87,1,2024
153,64,55,1,2024
154,64,25,1,2024
155,64,89,1,2024
156,64,7,1,2024
157,64,82,1,2024
158,64,35,1,2024
159,64,88,1,2024
160,64,39,1,2024
161,64,69,1,2024
162,64,73,1,2024
163,71,50,3,2024
164,71,5,1,2024
165,71,3,1,2024
166,71,60,2,2024
167,71,29,2,2024
168,71,13,1,2024
169,71,82,1,2024
170,71,79,1,2024
171,71,45,1,2024
172,71,71,1,2024
173,71,24,1,2024
174,71,27,1,2024
175,71,22,1,2024
176,71,62,1,2024
177,71,64,1,2024
178,71,46,1,2024
179,80,49,1,2024
180,80,78,1,2024
181,80,91,1,2024
182,80,84,1,2024
183,80,86,1,2024
184,80,13,1,2024
185,80,64,1,2024
186,80,77,1,2024
187,80,81,1,2024
188,80,69,1,2024
189,80,33,1,2024
190,80,5,1,2024
191,80,23,1,2024
192,80,96,1,2024
193,80,7,1,2024
194,82,50,1,2024
195,82,93,1,2024
196,82,89,1,2024
197,82,100,1,2024
198,82,21,1,2024
199,82,70,1,2024
200,82,84,1,2024
201,82,8,1,2024
202,82,0,1,2024
203,82,77,1,2024
204,58,68,1,2024
205,58,32,1,2024
206,58,87,1,2024
207,58,14,2,2024
208,58,71,1,2024
209,58,80,1,2024
210,58,17,1,2024
211,58,15,1,2024
212,58,21,1,2024
213,58,20,1,2024
214,58,50,1,2024
215,58,9,1,2024
216,58,67,1,2024
217,58,76,1,2024
218,58,93,1,2024
219,58,62,1,2024
220,58,38,1,2024
221,34,16,1,2024
222,34,27,1,2024
223,34,19,2,2024
224,34,68,1,2024
225,34,5,1,2024
226,34,59,1,2024
227,34,18,1,2024
228,34,53,1,2024
229,34,49,1,2024
230,34,93,1,2024
231,34,40,1,2024
232,34,36,1,2024
233,34,31,1,2024
234,34,32,1,2024
235,34,42,1,2024
236,34,52,1,2024
237,34,92,1,2024
238,34,9,1,2024
239,34,13,1,2024
240,34,74,1,2024
241,34,2,1,2024
242,54,59,1,2024
243,54,76,1,2024
244,54,30,1,2024
245,54,83,2,2024
246,54,87,1,2024
247,54,42,1,2024
248,54,40,1,2024
249,54,47,2,2024
250,54,93,1,2024
251,54,50,1,2024
252,54,62,1,2024
253,54,94,1,2024
254,54,61,1,2024
255,54,89,1,2024
256,54,33,1,2024
257,54,27,1,2024
258,54,38,1,2024
259,54,37,1,2024
260,54,68,1,2024
261,54,36,1,2024
262,54,67,1,2024
263,52,31,2,2024
264,52,43,1,2024
265,52,12,1,2024
266,52,93,1,2024
267,52,68,1,2024
268,52,52,1,2024
269,52,26,1,2024
270,52,1,1,2024
271,91,82,1,2024
272,91,64,1,2024
273,91,51,1,2024
274,91,39,1,2024
275,91,3,1,2024
276,91,72,1,2024
277,91,46,1,2024
278,91,47,1,2024
279,91,30,1,2024
280,91,59,2,2024
281,91,67,1,2024
282,91,27,1,2024
283,91,96,1,2024
284,91,35,1,2024
285,94,84,1,2024
286,94,83,1,2024
287,94,48,1,2024
288,94,52,1,2024
289,94,38,1,2024
290,94,45,1,2024
291,94,7,1,2024
292,94,23,1,2024
293,22,27,1,2024
294,22,35,1,2024
295,22,91,1,2024
296,22,60,1,2024
297,22,69,1,2024
298,22,63,1,2024
299,22,31,1,2024
300,22,39,1,2024
301,70,41,1,2024
302,70,86,1,2024
303,70,45,1,2024
304,70,10,1,2024
305,70,35,1,2024
306,70,73,2,2024
307,70,81,1,2024
308,70,94,2,2024
309,70,64,1,2024
310,70,69,1,2024
311,70,49,1,2024
312,70,62,1,2024
313,70,68,1,2024
314,70,48,2,2024
315,70,25,1,2024
316,70,4,1,2024
317,70,9,2,2024
318,70,74,1,2024
319,70,20,1,2024
320,70,93,1,2024
321,70,61,1,2024
322,63,28,1,2024
323,63,14,1,2024
324,63,96,1,2024
325,63,60,1,2024
326,63,25,1,2024
327,63,21,1,2024
328,63,74,1,2024
329,63,2,1,2024
330,63,35,1,2024
331,63,23,1,2024
332,63,51,1,2024
333,63,19,1,2024
334,63,91,1,2024
335,63,86,1,2024
336,63,39,1,2024
337,63,27,1,2024
338,63,11,1,2024
339,45,21,1,2024
340,45,10,1,2024
341,45,29,1,2024
342,45,46,1,2024
343,45,67,1,2024
344,45,73,1,2024
345,45,53,2,2024
346,45,44,1,2024
347,45,2,1,2024
348,45,47,1,2024
349,45,93,1,2024
350,45,45,1,2024
351,45,55,1,2024
352,45,57,1,2024
353,36,91,1,2024
354,36,72,1,2024
355,36,10,1,2024
356,36,28,1,2024
357,36,31,1,2024
358,36,53,1,2024
359,36,27,1,2024
360,36,60,1,2024
361,36,70,2,2024
362,36,87,1,2024
363,36,71,1,2024
364,36,88,1,2024
365,36,24,1,2024
366,15,81,1,2024
367,15,22,1,2024
368,15,25,1,2024
369,15,43,1,2024
370,29,67,1,2024
371,29,5,1,2024
372,29,39,1,2024
373,29,50,1,2024
374,29,58,3,2024
375,29,28,2,2024
376,29,24,1,2024
377,29,64,1,2024
378,29,69,1,2024
379,29,35,1,2024
380,29,78,1,2024
381,29,92,1,2024
382,29,74,1,2024
