nokta_no,x,y,count,sezon_dakikasi
1,91,48,1,2247
2,91,54,1,2247
3,91,51,2,2247
4,91,44,1,2247
5,91,61,2,2247
6,91,56,1,2247
7,91,28,1,2247
8,91,39,1,2247
9,91,58,1,2247
10,91,76,1,2247
11,91,49,1,2247
12,91,62,1,2247
13,91,82,1,2247
14,91,25,1,2247
15,91,55,1,2247
16,91,50,1,2247
17,92,45,2,2247
18,92,53,1,2247
19,92,43,3,2247
20,92,41,2,2247
21,92,38,1,2247
22,92,39,1,2247
23,92,33,1,2247
24,92,55,2,2247
25,92,48,1,2247
26,92,92,1,2247
27,92,52,1,2247
28,92,10,1,2247
29,92,82,1,2247
30,92,59,1,2247
31,92,47,1,2247
32,92,8,1,2247
33,92,26,1,2247
34,92,57,3,2247
35,92,71,1,2247
36,92,42,1,2247
37,92,32,1,2247
38,37,46,1,2247
39,37,56,1,2247
40,37,39,1,2247
41,37,55,1,2247
42,37,40,1,2247
43,37,64,1,2247
44,37,92,1,2247
45,37,82,1,2247
46,37,68,1,2247
47,43,75,1,2247
48,43,29,1,2247
49,43,64,1,2247
50,43,31,1,2247
51,43,26,1,2247
52,43,35,1,2247
53,43,32,1,2247
54,43,16,1,2247
55,43,93,1,2247
56,43,96,1,2247
57,43,11,1,2247
58,43,54,1,2247
59,43,61,1,2247
60,43,76,1,2247
61,43,21,1,2247
62,43,90,1,2247
63,43,65,1,2247
64,47,11,1,2247
65,47,53,1,2247
66,47,65,1,2247
67,47,52,1,2247
68,47,40,1,2247
69,47,81,1,2247
70,47,41,1,2247
71,47,86,1,2247
72,47,93,1,2247
73,47,22,1,2247
74,47,30,1,2247
75,47,49,1,2247
76,47,37,1,2247
77,47,44,1,2247
78,47,70,1,2247
79,47,54,1,2247
80,90,46,1,2247
81,90,54,3,2247
82,90,40,1,2247
83,90,31,1,2247
84,90,38,2,2247
85,90,8,1,2247
86,90,53,2,2247
87,90,57,4,2247
88,90,95,1,2247
89,90,91,1,2247
90,90,42,1,2247
91,90,59,1,2247
92,90,50,2,2247
93,90,13,1,2247
94,90,18,2,2247
95,90,49,1,2247
96,90,26,1,2247
97,90,43,1,2247
98,90,34,1,2247
99,90,74,1,2247
100,90,17,1,2247
101,90,67,1,2247
102,90,48,1,2247
103,90,25,1,2247
104,90,47,1,2247
105,90,21,1,2247
106,89,43,4,2247
107,89,51,1,2247
108,89,0,1,2247
109,89,29,1,2247
110,89,62,1,2247
111,89,48,2,2247
112,89,55,1,2247
113,89,27,1,2247
114,89,8,1,2247
115,89,64,1,2247
116,89,45,1,2247
117,89,58,1,2247
118,89,89,1,2247
119,89,42,1,2247
120,89,44,1,2247
121,89,52,1,2247
122,89,60,2,2247
123,89,73,1,2247
124,67,66,2,2247
125,67,88,1,2247
126,67,85,1,2247
127,67,23,1,2247
128,67,14,1,2247
129,67,54,1,2247
130,67,56,1,2247
131,67,55,1,2247
132,67,35,1,2247
133,67,42,2,2247
134,67,28,1,2247
135,67,91,1,2247
136,67,13,1,2247
137,67,27,2,2247
138,67,36,1,2247
139,67,8,1,2247
140,67,22,1,2247
141,67,25,1,2247
142,67,100,1,2247
143,67,70,1,2247
144,67,5,1,2247
145,67,4,1,2247
146,67,59,1,2247
147,66,90,2,2247
148,66,51,1,2247
149,66,12,1,2247
150,66,38,1,2247
151,66,25,1,2247
152,66,74,1,2247
153,66,50,1,2247
154,66,68,1,2247
155,66,63,1,2247
156,66,62,2,2247
157,66,18,1,2247
158,66,44,1,2247
159,66,11,1,2247
160,66,30,1,2247
161,66,70,1,2247
162,66,79,1,2247
163,66,26,1,2247
164,66,6,1,2247
165,78,18,1,2247
166,78,13,1,2247
167,78,47,1,2247
168,78,19,1,2247
169,78,57,1,2247
170,78,55,1,2247
171,78,72,1,2247
172,78,33,1,2247
173,78,64,1,2247
174,78,49,2,2247
175,78,37,1,2247
176,78,38,1,2247
177,78,75,1,2247
178,78,76,1,2247
179,78,82,1,2247
180,78,46,1,2247
181,78,26,1,2247
182,78,21,1,2247
183,78,34,1,2247
184,78,89,2,2247
185,78,86,2,2247
186,78,32,1,2247
187,78,85,1,2247
188,53,35,1,2247
189,53,86,1,2247
190,53,50,1,2247
191,53,39,1,2247
192,53,56,1,2247
193,53,48,1,2247
194,53,66,1,2247
195,53,33,1,2247
196,53,27,1,2247
197,53,92,1,2247
198,53,5,1,2247
199,53,45,1,2247
200,53,75,1,2247
201,53,60,1,2247
202,53,79,2,2247
203,53,80,1,2247
204,53,65,1,2247
205,53,25,1,2247
206,53,34,1,2247
207,69,91,1,2247
208,69,11,1,2247
209,69,67,1,2247
210,69,83,1,2247
211,69,66,1,2247
212,69,24,1,2247
213,69,36,1,2247
214,69,50,2,2247
215,69,58,1,2247
216,69,48,1,2247
217,69,26,2,2247
218,69,47,1,2247
219,69,7,1,2247
220,69,38,1,2247
221,69,65,1,2247
222,69,75,2,2247
223,69,79,1,2247
224,69,89,1,2247
225,69,76,1,2247
226,69,84,2,2247
227,69,13,1,2247
228,69,53,1,2247
229,69,39,1,2247
230,69,82,1,2247
231,58,88,2,2247
232,58,26,2,2247
233,58,16,1,2247
234,58,44,1,2247
235,58,46,1,2247
236,58,54,1,2247
237,58,94,1,2247
238,58,43,1,2247
239,58,24,1,2247
240,58,62,1,2247
241,58,9,1,2247
242,58,75,1,2247
243,58,25,1,2247
244,58,83,2,2247
245,58,5,1,2247
246,58,35,2,2247
247,58,69,1,2247
248,58,36,1,2247
249,58,15,1,2247
250,58,53,1,2247
251,58,33,1,2247
252,58,22,1,2247
253,58,61,1,2247
254,58,37,1,2247
255,58,82,1,2247
256,64,87,1,2247
257,64,49,1,2247
258,64,54,1,2247
259,64,65,1,2247
260,64,45,1,2247
261,64,46,1,2247
262,64,34,1,2247
263,64,72,1,2247
264,64,30,1,2247
265,64,42,1,2247
266,64,43,1,2247
267,64,60,1,2247
268,64,44,1,2247
269,64,37,1,2247
270,64,24,1,2247
271,64,28,1,2247
272,64,12,1,2247
273,64,74,1,2247
274,64,86,1,2247
275,64,93,1,2247
276,64,94,2,2247
277,64,61,1,2247
278,64,47,1,2247
279,64,66,2,2247
280,64,69,1,2247
281,64,11,1,2247
282,64,50,1,2247
283,64,33,1,2247
284,85,16,1,2247
285,85,90,1,2247
286,85,31,1,2247
287,85,50,1,2247
288,85,8,1,2247
289,85,53,1,2247
290,85,96,1,2247
291,85,13,1,2247
292,85,55,1,2247
293,85,47,1,2247
294,85,75,1,2247
295,85,51,1,2247
