nokta_no,x,y,count,sezon_dakikasi
1,65,65,2,1791
2,65,55,2,1791
3,65,30,1,1791
4,65,68,2,1791
5,65,43,1,1791
6,65,23,1,1791
7,65,64,1,1791
8,65,40,1,1791
9,65,33,2,1791
10,65,57,1,1791
11,65,66,1,1791
12,65,72,1,1791
13,65,34,1,1791
14,65,24,1,1791
15,65,49,1,1791
16,65,62,1,1791
17,65,63,1,1791
18,65,76,2,1791
19,65,82,2,1791
20,65,54,1,1791
21,65,80,1,1791
22,65,42,1,1791
23,65,74,1,1791
24,65,27,1,1791
25,65,35,1,1791
26,35,20,1,1791
27,35,37,2,1791
28,35,50,1,1791
29,35,44,1,1791
30,35,40,1,1791
31,35,64,2,1791
32,35,24,1,1791
33,35,83,1,1791
34,35,85,1,1791
35,35,56,2,1791
36,35,78,1,1791
37,35,90,1,1791
38,35,16,1,1791
39,35,26,1,1791
40,35,82,1,1791
41,35,61,1,1791
42,35,70,1,1791
43,35,68,1,1791
44,35,28,1,1791
45,35,31,1,1791
46,35,66,1,1791
47,35,55,1,1791
48,35,65,1,1791
49,35,59,1,1791
50,35,42,1,1791
51,35,58,2,1791
52,35,72,2,1791
53,35,47,1,1791
54,35,35,1,1791
55,38,33,2,1791
56,38,16,2,1791
57,38,19,1,1791
58,38,72,1,1791
59,38,38,2,1791
60,38,32,1,1791
61,38,57,1,1791
62,38,73,2,1791
63,38,66,2,1791
64,38,28,2,1791
65,38,48,2,1791
66,38,67,1,1791
67,38,54,1,1791
68,38,63,4,1791
69,38,39,4,1791
70,38,14,1,1791
71,38,30,1,1791
72,38,24,1,1791
73,38,53,2,1791
74,38,34,2,1791
75,38,4,1,1791
76,38,62,2,1791
77,38,40,1,1791
78,38,68,1,1791
79,38,59,2,1791
80,38,65,1,1791
81,38,51,1,1791
82,38,29,1,1791
83,37,41,1,1791
84,37,67,2,1791
85,37,51,3,1791
86,37,21,1,1791
87,37,42,3,1791
88,37,75,1,1791
89,37,73,1,1791
90,37,43,1,1791
91,37,68,1,1791
92,37,22,1,1791
93,37,60,3,1791
94,37,49,2,1791
95,37,40,1,1791
96,37,53,2,1791
97,37,38,1,1791
98,37,85,1,1791
99,37,27,2,1791
100,37,54,1,1791
101,37,57,1,1791
102,37,56,1,1791
103,37,36,1,1791
104,37,35,1,1791
105,37,32,1,1791
106,37,64,2,1791
107,37,66,1,1791
108,37,55,1,1791
109,37,77,1,1791
110,37,63,1,1791
111,37,33,1,1791
112,37,58,1,1791
113,37,78,1,1791
114,37,39,1,1791
115,29,57,3,1791
116,29,38,2,1791
117,29,32,1,1791
118,29,83,1,1791
119,29,39,3,1791
120,29,52,3,1791
121,29,74,1,1791
122,29,75,1,1791
123,29,67,2,1791
124,29,78,1,1791
125,29,50,1,1791
126,29,26,1,1791
127,29,62,1,1791
128,29,64,2,1791
129,29,45,3,1791
130,29,48,2,1791
131,29,73,1,1791
132,29,65,5,1791
133,29,66,2,1791
134,29,53,1,1791
135,29,42,1,1791
136,29,56,1,1791
137,29,27,1,1791
138,46,69,2,1791
139,46,70,2,1791
140,46,43,1,1791
141,46,34,1,1791
142,46,20,1,1791
143,46,72,1,1791
144,46,63,1,1791
145,46,24,3,1791
146,46,77,1,1791
147,46,66,2,1791
148,46,87,1,1791
149,46,60,3,1791
150,46,56,3,1791
151,46,47,2,1791
152,46,54,2,1791
153,46,14,1,1791
154,46,29,1,1791
155,46,90,1,1791
156,46,67,1,1791
157,46,64,1,1791
158,46,75,1,1791
159,46,33,3,1791
160,46,79,1,1791
161,46,78,1,1791
162,46,85,1,1791
163,46,27,1,1791
164,46,68,1,1791
165,46,44,1,1791
166,46,57,2,1791
167,46,51,1,1791
168,46,9,1,1791
169,46,18,1,1791
170,46,32,1,1791
171,46,74,1,1791
172,23,58,1,1791
173,23,25,1,1791
174,23,76,1,1791
175,23,73,1,1791
176,23,19,1,1791
177,23,65,1,1791
178,23,39,1,1791
179,23,79,1,1791
180,23,16,1,1791
181,23,59,1,1791
182,23,40,1,1791
183,23,62,1,1791
184,23,64,1,1791
185,49,14,1,1791
186,49,80,1,1791
187,49,55,2,1791
188,49,5,1,1791
189,49,54,2,1791
190,49,32,2,1791
191,49,51,2,1791
192,49,66,1,1791
193,49,44,1,1791
194,49,38,1,1791
195,49,13,1,1791
196,49,47,1,1791
197,49,63,2,1791
198,49,40,1,1791
199,49,49,2,1791
200,49,50,1,1791
201,51,14,1,1791
202,51,66,1,1791
203,51,37,1,1791
204,51,42,1,1791
205,51,48,1,1791
206,51,35,1,1791
207,51,64,2,1791
208,51,27,1,1791
209,51,30,2,1791
210,51,44,1,1791
211,51,47,1,1791
212,51,5,1,1791
213,51,41,1,1791
214,51,21,1,1791
215,51,51,1,1791
216,51,68,1,1791
217,51,17,1,1791
218,51,25,1,1791
219,43,52,2,1791
220,43,27,2,1791
221,43,28,1,1791
222,43,56,1,1791
223,43,66,1,1791
224,43,73,1,1791
225,43,42,1,1791
226,43,50,3,1791
227,43,62,1,1791
228,43,24,1,1791
229,43,53,2,1791
230,43,55,1,1791
231,43,69,1,1791
232,43,18,1,1791
233,43,37,3,1791
234,43,21,1,1791
235,43,47,1,1791
236,43,35,1,1791
237,43,36,1,1791
238,43,57,1,1791
239,43,30,3,1791
240,43,11,1,1791
241,43,48,1,1791
242,43,43,1,1791
243,43,68,1,1791
244,43,46,1,1791
245,43,51,1,1791
246,43,83,1,1791
247,43,31,1,1791
248,43,19,1,1791
249,43,88,1,1791
250,64,12,2,1791
251,64,58,1,1791
252,64,42,1,1791
253,64,27,1,1791
254,64,55,1,1791
255,64,48,1,1791
256,64,30,3,1791
257,64,84,2,1791
258,64,36,1,1791
259,64,81,1,1791
260,64,63,2,1791
261,64,47,1,1791
262,64,17,1,1791
263,64,74,1,1791
264,64,95,1,1791
265,64,4,1,1791
266,64,53,1,1791
267,64,34,1,1791
268,64,80,1,1791
269,64,15,1,1791
270,32,70,1,1791
271,32,94,1,1791
272,32,66,1,1791
273,32,69,2,1791
274,32,63,1,1791
275,32,32,1,1791
276,32,30,3,1791
277,32,11,1,1791
278,32,40,1,1791
279,32,49,3,1791
280,32,35,1,1791
281,32,56,1,1791
282,32,72,1,1791
283,32,77,1,1791
284,32,62,2,1791
285,32,18,1,1791
286,32,76,1,1791
287,32,89,1,1791
288,32,33,1,1791
289,32,68,2,1791
290,32,24,1,1791
291,32,57,1,1791
292,53,65,2,1791
293,53,73,1,1791
294,53,60,2,1791
295,53,71,1,1791
296,53,74,2,1791
297,53,25,2,1791
298,53,34,1,1791
299,53,37,2,1791
300,53,70,1,1791
301,53,52,1,1791
302,53,18,1,1791
303,53,47,2,1791
304,53,38,1,1791
305,53,61,1,1791
306,53,21,1,1791
307,53,75,2,1791
308,53,30,2,1791
309,53,41,1,1791
310,53,63,1,1791
311,53,58,1,1791
312,53,14,1,1791
313,53,31,1,1791
314,53,19,1,1791
315,53,40,1,1791
316,53,16,1,1791
317,53,45,2,1791
318,53,42,1,1791
319,53,44,1,1791
320,53,32,1,1791
321,53,51,2,1791
322,69,80,1,1791
323,69,38,1,1791
324,69,4,1,1791
325,69,15,1,1791
326,69,41,1,1791
327,69,44,1,1791
328,69,28,2,1791
329,69,56,1,1791
330,69,13,1,1791
331,69,70,1,1791
332,69,21,1,1791
333,69,16,1,1791
334,69,48,1,1791
335,69,54,1,1791
336,69,27,1,1791
337,56,65,1,1791
338,56,25,3,1791
339,56,33,2,1791
340,56,29,2,1791
341,56,73,1,1791
342,56,48,1,1791
343,56,34,2,1791
344,56,32,1,1791
345,56,76,2,1791
346,56,68,1,1791
347,56,62,1,1791
348,56,30,2,1791
349,56,13,1,1791
350,56,45,1,1791
351,56,19,1,1791
352,56,22,1,1791
353,56,74,1,1791
354,56,35,2,1791
355,56,20,1,1791
356,56,10,1,1791
357,56,7,1,1791
358,56,90,1,1791
359,56,37,1,1791
360,56,47,1,1791
361,56,58,1,1791
362,39,29,2,1791
363,39,100,1,1791
364,39,56,2,1791
365,39,67,1,1791
366,39,32,1,1791
367,39,60,2,1791
368,39,57,1,1791
369,39,58,1,1791
370,39,48,2,1791
371,39,22,1,1791
372,39,30,1,1791
373,39,52,1,1791
374,39,62,1,1791
375,39,76,1,1791
376,39,81,1,1791
377,39,86,1,1791
378,39,39,1,1791
379,39,54,2,1791
380,39,44,1,1791
381,39,63,1,1791
382,39,79,1,1791
383,39,64,1,1791
384,39,37,1,1791
385,39,53,1,1791
386,39,28,2,1791
387,42,21,1,1791
388,42,27,1,1791
389,42,89,1,1791
390,42,84,1,1791
391,42,66,2,1791
392,42,41,3,1791
393,42,65,1,1791
394,42,78,1,1791
395,42,15,1,1791
396,42,26,1,1791
397,42,43,1,1791
398,42,73,1,1791
399,42,72,2,1791
400,42,24,1,1791
401,42,29,1,1791
402,42,62,1,1791
403,42,4,1,1791
404,42,32,1,1791
405,42,35,1,1791
406,42,18,1,1791
407,42,92,1,1791
408,42,33,1,1791
409,42,64,1,1791
410,31,93,1,1791
411,31,63,1,1791
412,31,19,2,1791
413,31,29,1,1791
414,31,57,1,1791
415,31,36,1,1791
416,31,54,1,1791
417,31,46,1,1791
418,31,55,2,1791
419,31,43,3,1791
420,31,53,2,1791
421,31,42,1,1791
422,31,72,2,1791
423,31,48,2,1791
424,31,41,1,1791
425,31,37,2,1791
426,31,77,1,1791
427,31,58,2,1791
428,31,10,1,1791
429,31,66,1,1791
430,31,8,1,1791
431,31,96,1,1791
432,31,56,1,1791
433,31,49,1,1791
434,31,78,1,1791
435,31,81,1,1791
436,31,62,1,1791
437,31,18,2,1791
438,31,24,2,1791
439,45,28,1,1791
440,45,36,1,1791
441,45,40,1,1791
442,45,55,4,1791
443,45,34,4,1791
444,45,72,3,1791
445,45,74,1,1791
446,45,29,3,1791
447,45,83,1,1791
448,45,38,1,1791
449,45,57,1,1791
450,45,52,2,1791
451,45,53,1,1791
452,45,21,1,1791
453,45,33,1,1791
454,45,75,1,1791
455,45,51,1,1791
456,45,44,3,1791
457,45,65,1,1791
458,45,23,1,1791
459,45,71,1,1791
460,45,46,3,1791
461,45,80,1,1791
462,45,32,2,1791
463,45,68,1,1791
464,45,39,1,1791
465,45,50,1,1791
466,45,45,1,1791
467,45,48,1,1791
468,45,85,1,1791
469,45,54,1,1791
470,47,45,1,1791
471,47,41,1,1791
472,47,29,1,1791
473,47,71,1,1791
474,47,66,2,1791
475,47,68,1,1791
476,47,47,1,1791
477,47,33,1,1791
478,47,34,3,1791
479,47,59,1,1791
480,47,43,1,1791
481,47,42,2,1791
482,47,64,1,1791
483,47,28,1,1791
484,47,15,2,1791
485,47,56,1,1791
486,47,23,1,1791
487,47,70,2,1791
488,47,36,1,1791
489,47,81,2,1791
490,47,51,1,1791
491,47,25,1,1791
492,47,27,1,1791
493,47,87,1,1791
494,47,67,1,1791
495,47,32,1,1791
496,47,58,1,1791
497,47,48,1,1791
498,47,78,1,1791
499,47,18,1,1791
500,47,13,1,1791
501,48,17,1,1791
502,48,29,1,1791
503,48,63,1,1791
504,48,1,1,1791
505,48,52,1,1791
506,48,53,1,1791
507,48,68,1,1791
508,48,50,1,1791
509,48,25,1,1791
510,48,67,1,1791
511,48,69,1,1791
512,48,45,1,1791
513,48,80,1,1791
514,48,48,2,1791
515,48,44,1,1791
516,48,55,1,1791
517,48,73,1,1791
518,19,47,3,1791
519,19,53,1,1791
520,19,40,1,1791
521,19,44,1,1791
522,19,59,1,1791
523,19,55,1,1791
524,19,70,1,1791
525,19,33,1,1791
526,19,16,1,1791
527,19,75,1,1791
528,54,50,1,1791
529,54,59,4,1791
530,54,77,1,1791
531,54,31,1,1791
532,54,41,1,1791
533,54,56,1,1791
534,54,69,2,1791
535,54,45,1,1791
536,54,63,2,1791
537,54,71,1,1791
538,54,81,1,1791
539,54,62,1,1791
540,54,53,2,1791
541,54,48,1,1791
542,54,28,1,1791
543,54,26,1,1791
544,54,72,2,1791
545,54,37,1,1791
546,54,55,1,1791
547,54,75,1,1791
548,54,32,1,1791
549,54,84,1,1791
550,54,7,1,1791
551,54,36,1,1791
552,54,33,1,1791
553,54,24,1,1791
554,54,21,2,1791
555,54,66,2,1791
556,54,15,1,1791
557,54,34,2,1791
558,54,47,1,1791
559,54,29,1,1791
560,54,64,1,1791
561,54,44,1,1791
562,54,51,1,1791
563,54,23,1,1791
564,54,13,1,1791
565,52,20,1,1791
566,52,46,2,1791
567,52,79,1,1791
568,52,76,1,1791
569,52,60,1,1791
570,52,64,1,1791
571,52,29,2,1791
572,52,73,1,1791
573,52,67,1,1791
574,52,31,1,1791
575,52,30,5,1791
576,52,51,2,1791
577,52,42,1,1791
578,52,82,1,1791
579,52,91,1,1791
580,52,74,1,1791
581,52,34,2,1791
582,52,41,1,1791
583,52,15,1,1791
584,52,69,1,1791
585,52,32,1,1791
586,52,28,1,1791
587,52,50,1,1791
588,68,55,1,1791
589,68,49,1,1791
590,68,69,1,1791
591,68,30,2,1791
592,68,54,1,1791
593,68,44,1,1791
594,68,56,2,1791
595,68,10,3,1791
596,68,9,1,1791
597,68,79,1,1791
598,68,11,2,1791
599,68,13,1,1791
600,68,88,1,1791
601,68,87,1,1791
602,68,68,1,1791
603,68,74,1,1791
604,68,32,2,1791
605,68,75,1,1791
606,68,28,1,1791
607,68,16,1,1791
608,68,52,1,1791
609,57,35,1,1791
610,57,66,2,1791
611,57,30,1,1791
612,57,27,2,1791
613,57,23,1,1791
614,57,76,2,1791
615,57,72,1,1791
616,57,77,1,1791
617,57,54,1,1791
618,57,38,1,1791
619,57,71,1,1791
620,57,36,1,1791
621,57,15,1,1791
622,57,13,1,1791
623,57,12,1,1791
624,57,73,1,1791
625,57,21,1,1791
626,57,84,1,1791
627,57,29,1,1791
628,57,26,1,1791
629,10,27,2,1791
630,10,58,1,1791
631,10,94,1,1791
632,10,69,1,1791
633,10,7,1,1791
634,25,25,2,1791
635,25,55,1,1791
636,25,43,1,1791
637,25,15,1,1791
638,25,31,1,1791
639,25,42,1,1791
640,25,39,2,1791
641,25,70,2,1791
642,25,80,1,1791
643,25,28,1,1791
644,25,81,1,1791
645,25,47,1,1791
646,25,27,1,1791
647,25,52,2,1791
648,25,67,1,1791
649,25,45,1,1791
650,25,72,2,1791
651,25,83,1,1791
652,25,61,1,1791
653,44,40,1,1791
654,44,77,1,1791
655,44,72,2,1791
656,44,18,1,1791
657,44,43,3,1791
658,44,71,3,1791
659,44,64,2,1791
660,44,53,4,1791
661,44,5,1,1791
662,44,52,1,1791
663,44,45,1,1791
664,44,31,2,1791
665,44,47,1,1791
666,44,19,1,1791
667,44,35,1,1791
668,44,67,1,1791
669,44,9,1,1791
670,44,13,1,1791
671,44,57,1,1791
672,44,17,1,1791
673,44,58,1,1791
674,44,82,1,1791
675,44,37,3,1791
676,44,36,1,1791
677,44,48,1,1791
678,44,74,2,1791
679,44,63,1,1791
680,44,55,1,1791
681,66,30,2,1791
682,66,39,1,1791
683,66,15,2,1791
684,66,57,2,1791
685,66,54,1,1791
686,66,67,2,1791
687,66,31,1,1791
688,66,59,1,1791
689,66,43,1,1791
690,66,29,1,1791
691,66,76,1,1791
692,66,27,1,1791
693,66,77,1,1791
694,66,38,1,1791
695,66,17,1,1791
696,66,83,1,1791
697,66,32,1,1791
698,66,62,1,1791
699,66,70,1,1791
700,66,48,1,1791
701,66,50,1,1791
702,66,11,1,1791
703,61,32,2,1791
704,61,34,1,1791
705,61,69,1,1791
706,61,12,1,1791
707,61,15,2,1791
708,61,38,1,1791
709,61,85,1,1791
710,61,21,1,1791
711,61,53,1,1791
712,61,47,1,1791
713,61,63,1,1791
