nokta_no,x,y,count,sezon_dakikasi
1,26,39,1,2651
2,26,35,2,2651
3,26,28,3,2651
4,26,25,2,2651
5,26,36,2,2651
6,26,30,1,2651
7,26,23,1,2651
8,26,37,2,2651
9,26,24,4,2651
10,26,3,1,2651
11,26,6,2,2651
12,26,57,2,2651
13,26,47,1,2651
14,26,66,2,2651
15,26,51,1,2651
16,26,27,2,2651
17,26,54,2,2651
18,26,45,1,2651
19,26,12,1,2651
20,26,49,1,2651
21,26,21,1,2651
22,26,44,1,2651
23,26,53,1,2651
24,26,32,1,2651
25,26,31,1,2651
26,26,26,1,2651
27,32,42,1,2651
28,32,35,3,2651
29,32,31,2,2651
30,32,33,4,2651
31,32,46,1,2651
32,32,19,2,2651
33,32,18,1,2651
34,32,21,2,2651
35,32,57,2,2651
36,32,37,1,2651
37,32,23,2,2651
38,32,29,2,2651
39,32,34,1,2651
40,32,38,2,2651
41,32,70,1,2651
42,32,25,2,2651
43,32,43,1,2651
44,32,36,5,2651
45,32,60,2,2651
46,32,26,2,2651
47,32,20,1,2651
48,32,52,1,2651
49,32,28,3,2651
50,32,30,2,2651
51,32,72,1,2651
52,32,92,2,2651
53,32,32,2,2651
54,32,39,1,2651
55,32,27,3,2651
56,32,16,1,2651
57,32,48,1,2651
58,32,58,1,2651
59,32,8,1,2651
60,32,11,1,2651
61,32,6,1,2651
62,32,40,1,2651
63,32,13,1,2651
64,32,7,2,2651
65,32,24,1,2651
66,32,22,1,2651
67,32,63,1,2651
68,32,55,1,2651
69,48,30,1,2651
70,48,23,1,2651
71,48,31,3,2651
72,48,29,1,2651
73,48,28,2,2651
74,48,32,1,2651
75,48,63,1,2651
76,48,43,1,2651
77,48,38,2,2651
78,48,42,1,2651
79,48,19,1,2651
80,48,0,1,2651
81,48,58,1,2651
82,48,49,1,2651
83,48,6,1,2651
84,48,41,1,2651
85,48,34,1,2651
86,48,16,1,2651
87,48,18,1,2651
88,48,40,1,2651
89,48,33,1,2651
90,48,15,1,2651
91,36,57,2,2651
92,36,30,3,2651
93,36,29,2,2651
94,36,25,1,2651
95,36,42,2,2651
96,36,33,2,2651
97,36,20,2,2651
98,36,13,1,2651
99,36,26,2,2651
100,36,74,1,2651
101,36,31,3,2651
102,36,45,1,2651
103,36,82,1,2651
104,36,32,6,2651
105,36,0,1,2651
106,36,18,3,2651
107,36,58,1,2651
108,36,43,1,2651
109,36,39,1,2651
110,36,28,2,2651
111,36,47,1,2651
112,36,46,2,2651
113,36,53,1,2651
114,36,11,1,2651
115,36,69,1,2651
116,36,8,1,2651
117,36,12,1,2651
118,36,34,1,2651
119,36,6,1,2651
120,36,37,1,2651
121,36,35,1,2651
122,36,16,1,2651
123,36,40,1,2651
124,36,14,1,2651
125,36,27,1,2651
126,35,58,1,2651
127,35,37,2,2651
128,35,26,1,2651
129,35,82,1,2651
130,35,29,2,2651
131,35,15,2,2651
132,35,32,2,2651
133,35,75,2,2651
134,35,57,1,2651
135,35,28,4,2651
136,35,35,3,2651
137,35,25,1,2651
138,35,17,1,2651
139,35,33,3,2651
140,35,42,2,2651
141,35,31,2,2651
142,35,74,3,2651
143,35,67,1,2651
144,35,19,1,2651
145,35,59,1,2651
146,35,51,1,2651
147,35,6,1,2651
148,35,60,2,2651
149,35,55,2,2651
150,35,49,1,2651
151,35,80,1,2651
152,35,24,1,2651
153,35,70,1,2651
154,35,46,2,2651
155,35,87,1,2651
156,35,14,1,2651
157,35,18,2,2651
158,35,10,1,2651
159,35,76,1,2651
160,35,12,2,2651
161,35,30,2,2651
162,35,54,1,2651
163,35,20,2,2651
164,35,71,2,2651
165,35,41,1,2651
166,35,21,1,2651
167,35,53,1,2651
168,35,40,1,2651
169,35,39,1,2651
170,54,35,1,2651
171,54,33,1,2651
172,54,26,3,2651
173,54,22,2,2651
174,54,29,3,2651
175,54,58,1,2651
176,54,85,1,2651
177,54,15,1,2651
178,54,36,1,2651
179,54,31,2,2651
180,54,24,1,2651
181,54,27,1,2651
182,54,34,1,2651
183,54,66,1,2651
184,54,77,1,2651
185,54,47,3,2651
186,54,46,1,2651
187,54,30,1,2651
188,54,21,2,2651
189,54,42,1,2651
190,54,16,1,2651
191,54,14,1,2651
192,54,20,1,2651
193,60,36,2,2651
194,60,30,2,2651
195,60,40,1,2651
196,60,29,2,2651
197,60,27,1,2651
198,60,38,2,2651
199,60,46,1,2651
200,60,18,1,2651
201,60,26,2,2651
202,60,14,2,2651
203,60,45,1,2651
204,60,50,1,2651
205,60,31,1,2651
206,60,20,1,2651
207,60,12,1,2651
208,60,8,1,2651
209,60,7,1,2651
210,60,23,2,2651
211,60,42,1,2651
212,60,17,1,2651
213,60,79,1,2651
214,72,46,1,2651
215,72,16,1,2651
216,72,8,1,2651
217,38,66,1,2651
218,38,30,2,2651
219,38,56,2,2651
220,38,37,1,2651
221,38,15,1,2651
222,38,70,2,2651
223,38,33,3,2651
224,38,27,1,2651
225,38,31,5,2651
226,38,25,1,2651
227,38,11,2,2651
228,38,6,2,2651
229,38,43,1,2651
230,38,51,1,2651
231,38,35,1,2651
232,38,48,1,2651
233,38,55,1,2651
234,38,22,1,2651
235,38,29,2,2651
236,38,64,1,2651
237,38,45,1,2651
238,38,67,1,2651
239,38,36,1,2651
240,38,13,3,2651
241,38,54,2,2651
242,38,28,2,2651
243,38,62,1,2651
244,38,24,1,2651
245,38,12,2,2651
246,38,41,1,2651
247,31,74,1,2651
248,31,44,1,2651
249,31,19,3,2651
250,31,11,2,2651
251,31,5,2,2651
252,31,25,2,2651
253,31,30,4,2651
254,31,4,1,2651
255,31,59,1,2651
256,31,17,2,2651
257,31,35,1,2651
258,31,38,2,2651
259,31,27,2,2651
260,31,36,2,2651
261,31,46,1,2651
262,31,33,5,2651
263,31,55,1,2651
264,31,41,1,2651
265,31,51,1,2651
266,31,12,1,2651
267,31,28,1,2651
268,31,15,1,2651
269,31,16,2,2651
270,31,31,2,2651
271,31,63,1,2651
272,31,14,2,2651
273,31,32,2,2651
274,31,40,1,2651
275,61,35,1,2651
276,61,26,1,2651
277,61,36,1,2651
278,61,32,1,2651
279,61,30,2,2651
280,61,15,1,2651
281,61,18,1,2651
282,61,38,1,2651
283,61,16,1,2651
284,61,58,1,2651
285,61,29,2,2651
286,61,43,1,2651
287,61,22,1,2651
288,61,19,2,2651
289,61,28,2,2651
290,61,31,1,2651
291,58,25,1,2651
292,58,32,1,2651
293,58,35,2,2651
294,58,27,1,2651
295,58,28,1,2651
296,58,19,4,2651
297,58,13,2,2651
298,58,18,1,2651
299,58,10,1,2651
