nokta_no,x,y,count,sezon_dakikasi
1,50,50,4,2820
2,50,39,1,2820
3,50,55,1,2820
4,50,63,1,2820
5,50,27,1,2820
6,50,57,1,2820
7,50,58,1,2820
8,50,88,1,2820
9,50,49,1,2820
10,50,52,1,2820
11,71,63,1,2820
12,71,17,1,2820
13,71,23,1,2820
14,71,8,2,2820
15,71,56,1,2820
16,71,31,1,2820
17,71,13,3,2820
18,71,57,2,2820
19,71,21,4,2820
20,71,16,2,2820
21,71,26,1,2820
22,71,44,1,2820
23,71,97,1,2820
24,71,88,1,2820
25,71,94,2,2820
26,71,72,1,2820
27,71,66,1,2820
28,71,77,2,2820
29,71,81,1,2820
30,71,19,1,2820
31,71,6,1,2820
32,71,69,1,2820
33,71,34,1,2820
34,71,40,2,2820
35,71,76,1,2820
36,71,33,1,2820
37,71,10,1,2820
38,71,91,1,2820
39,71,86,1,2820
40,57,33,1,2820
41,57,31,3,2820
42,57,30,2,2820
43,57,68,2,2820
44,57,22,3,2820
45,57,16,1,2820
46,57,64,1,2820
47,57,81,1,2820
48,57,91,1,2820
49,57,72,2,2820
50,57,83,2,2820
51,57,88,1,2820
52,57,77,2,2820
53,57,6,1,2820
54,57,36,1,2820
55,57,21,1,2820
56,57,38,1,2820
57,57,9,1,2820
58,57,76,1,2820
59,57,14,1,2820
60,57,51,1,2820
61,57,86,2,2820
62,57,26,1,2820
63,57,15,1,2820
64,57,73,1,2820
65,57,19,1,2820
66,57,47,1,2820
67,57,74,1,2820
68,78,29,1,2820
69,78,33,1,2820
70,78,67,1,2820
71,78,74,1,2820
72,78,7,1,2820
73,78,5,2,2820
74,78,4,1,2820
75,78,43,1,2820
76,78,36,1,2820
77,78,0,1,2820
78,78,54,1,2820
79,78,57,1,2820
80,99,99,66,2820
81,99,0,69,2820
82,99,49,1,2820
83,99,80,1,2820
84,99,38,1,2820
85,89,86,1,2820
86,89,98,1,2820
87,89,7,2,2820
88,89,55,1,2820
89,89,95,1,2820
90,89,6,2,2820
91,89,48,1,2820
92,89,39,1,2820
93,89,8,1,2820
94,89,97,1,2820
95,89,89,1,2820
96,89,71,1,2820
97,89,66,1,2820
98,34,75,1,2820
99,34,12,1,2820
100,34,37,1,2820
101,34,2,1,2820
102,34,74,2,2820
103,34,35,1,2820
104,34,82,1,2820
105,34,66,2,2820
106,34,49,3,2820
107,34,92,1,2820
108,34,33,1,2820
109,34,90,2,2820
110,34,58,3,2820
111,34,27,1,2820
112,34,57,1,2820
113,34,67,1,2820
114,34,76,2,2820
115,34,64,1,2820
116,34,51,1,2820
117,34,5,1,2820
118,34,28,1,2820
119,34,63,1,2820
120,34,93,1,2820
121,34,61,1,2820
122,34,60,1,2820
123,34,79,2,2820
124,34,21,2,2820
125,34,25,1,2820
126,34,10,1,2820
127,34,46,1,2820
128,34,45,1,2820
129,34,41,1,2820
130,34,80,2,2820
131,34,29,1,2820
132,34,70,3,2820
133,34,26,1,2820
134,34,69,1,2820
135,34,47,1,2820
136,34,54,1,2820
137,34,65,1,2820
138,53,16,4,2820
139,53,54,1,2820
140,53,26,1,2820
141,53,3,2,2820
142,53,28,1,2820
143,53,27,2,2820
144,53,44,2,2820
145,53,18,1,2820
146,53,53,2,2820
147,53,56,2,2820
148,53,13,1,2820
149,53,35,1,2820
150,53,49,1,2820
