nokta_no,x,y,count,sezon_dakikasi
1,18,65,1,2495
2,21,53,1,2495
3,21,64,1,2495
4,21,34,1,2495
5,21,6,1,2495
6,21,31,1,2495
7,69,26,1,2495
8,69,53,1,2495
9,69,52,1,2495
10,69,70,1,2495
11,69,85,1,2495
12,69,65,2,2495
13,69,72,1,2495
14,69,82,2,2495
15,69,92,1,2495
16,69,34,1,2495
17,69,58,2,2495
18,69,2,1,2495
19,69,96,1,2495
20,69,84,1,2495
21,69,16,1,2495
22,69,75,2,2495
23,69,68,1,2495
24,69,36,1,2495
25,69,11,1,2495
26,69,95,1,2495
27,69,86,1,2495
28,69,73,1,2495
29,69,15,1,2495
30,69,83,2,2495
31,69,89,1,2495
32,69,4,1,2495
33,70,70,1,2495
34,70,55,1,2495
35,70,88,1,2495
36,70,66,1,2495
37,70,95,1,2495
38,70,41,1,2495
39,70,57,2,2495
40,70,86,1,2495
41,70,52,1,2495
42,70,90,2,2495
43,70,77,3,2495
44,70,51,1,2495
45,70,17,1,2495
46,70,40,2,2495
47,70,93,1,2495
48,70,18,1,2495
49,70,60,2,2495
50,70,72,1,2495
51,70,10,1,2495
52,70,43,1,2495
53,70,61,2,2495
54,70,64,1,2495
55,70,87,1,2495
56,70,63,1,2495
57,68,45,1,2495
58,68,57,1,2495
59,68,93,1,2495
60,68,82,1,2495
61,68,22,2,2495
62,68,20,1,2495
63,68,83,2,2495
64,68,64,1,2495
65,68,69,2,2495
66,68,2,1,2495
67,68,44,1,2495
68,68,6,1,2495
69,68,53,1,2495
70,68,28,1,2495
71,68,92,1,2495
72,68,31,1,2495
73,68,13,1,2495
74,68,23,1,2495
75,68,61,1,2495
76,68,30,1,2495
77,68,5,1,2495
78,68,14,1,2495
79,68,4,2,2495
80,68,71,1,2495
81,68,70,1,2495
82,68,95,1,2495
83,68,59,2,2495
84,68,67,2,2495
85,68,85,1,2495
86,68,87,1,2495
87,68,96,1,2495
88,73,85,1,2495
89,73,24,1,2495
90,73,52,2,2495
91,73,82,1,2495
92,73,73,1,2495
93,73,87,1,2495
94,73,14,1,2495
95,73,22,1,2495
96,73,15,1,2495
97,73,40,1,2495
98,73,7,1,2495
99,73,70,1,2495
100,73,77,1,2495
101,73,75,1,2495
102,73,23,2,2495
103,73,79,1,2495
104,73,57,1,2495
105,73,92,2,2495
106,73,71,1,2495
107,73,16,1,2495
108,73,63,1,2495
109,73,26,1,2495
110,73,49,1,2495
111,73,8,1,2495
112,73,81,1,2495
113,73,32,1,2495
114,73,90,1,2495
115,73,37,1,2495
116,73,58,1,2495
117,73,66,1,2495
118,76,89,1,2495
119,76,72,1,2495
120,76,30,1,2495
121,76,71,2,2495
122,76,75,1,2495
123,76,95,1,2495
124,76,87,1,2495
125,76,48,1,2495
126,76,93,1,2495
127,76,29,1,2495
128,76,70,2,2495
129,76,63,1,2495
130,76,4,1,2495
131,76,67,1,2495
132,76,27,1,2495
133,88,11,1,2495
134,88,16,2,2495
135,88,40,2,2495
136,88,6,1,2495
137,88,55,1,2495
138,88,49,1,2495
139,88,82,1,2495
140,88,66,1,2495
141,88,67,1,2495
142,43,60,1,2495
143,43,65,2,2495
144,43,91,1,2495
145,43,93,2,2495
146,43,86,1,2495
147,43,69,1,2495
148,43,74,1,2495
149,43,96,3,2495
150,43,70,3,2495
151,43,75,2,2495
152,43,97,1,2495
153,43,19,1,2495
154,43,79,1,2495
155,43,5,1,2495
156,43,76,1,2495
157,43,82,3,2495
158,43,92,2,2495
159,43,21,1,2495
160,43,68,1,2495
161,43,26,1,2495
162,43,83,1,2495
163,32,71,2,2495
164,32,72,1,2495
165,32,77,1,2495
166,32,66,2,2495
167,32,17,1,2495
168,32,32,1,2495
169,32,34,1,2495
170,32,85,1,2495
171,32,36,1,2495
172,32,67,1,2495
173,32,61,1,2495
174,32,68,1,2495
175,32,56,1,2495
176,32,64,2,2495
177,32,59,1,2495
178,32,51,2,2495
179,32,35,1,2495
180,32,50,1,2495
181,32,29,1,2495
182,32,47,2,2495
183,32,20,1,2495
184,32,33,1,2495
185,32,86,1,2495
186,32,62,1,2495
187,34,72,1,2495
188,34,40,1,2495
189,34,83,2,2495
190,34,35,1,2495
191,34,76,1,2495
192,34,56,1,2495
193,34,52,1,2495
194,34,69,1,2495
195,34,86,1,2495
196,34,70,1,2495
197,34,4,2,2495
198,34,53,2,2495
199,34,78,1,2495
200,34,71,1,2495
201,33,69,1,2495
202,33,82,1,2495
203,33,86,1,2495
204,33,95,1,2495
205,33,61,1,2495
206,33,52,1,2495
207,33,57,1,2495
208,33,54,1,2495
209,33,31,1,2495
210,33,83,1,2495
211,33,79,1,2495
212,33,30,1,2495
213,33,70,1,2495
214,66,79,1,2495
215,66,95,1,2495
216,66,16,1,2495
217,66,80,2,2495
218,66,9,1,2495
219,66,78,2,2495
220,66,91,3,2495
221,66,54,1,2495
222,66,81,1,2495
223,66,92,1,2495
224,66,75,2,2495
225,66,65,1,2495
226,66,85,1,2495
227,66,49,1,2495
228,66,90,3,2495
229,66,94,1,2495
230,66,87,1,2495
231,66,15,1,2495
232,66,32,2,2495
233,66,76,2,2495
234,66,20,2,2495
235,66,41,1,2495
236,66,17,1,2495
237,66,48,1,2495
238,66,67,1,2495
239,66,44,1,2495
240,66,74,1,2495
241,66,46,1,2495
242,81,61,1,2495
243,81,36,1,2495
244,81,65,1,2495
245,81,12,1,2495
246,81,90,1,2495
247,81,92,1,2495
248,81,83,1,2495
249,81,91,1,2495
250,81,69,1,2495
251,81,27,1,2495
252,81,42,1,2495
253,81,48,2,2495
254,81,43,2,2495
255,81,74,1,2495
256,81,71,1,2495
257,81,28,1,2495
258,81,46,1,2495
259,58,67,1,2495
260,58,39,1,2495
261,58,19,1,2495
262,58,68,2,2495
263,58,56,1,2495
264,58,36,1,2495
265,58,65,1,2495
266,58,93,1,2495
267,58,32,1,2495
268,58,77,1,2495
269,58,82,1,2495
270,58,35,1,2495
271,58,22,1,2495
272,58,55,1,2495
273,58,83,1,2495
274,58,75,1,2495
275,58,73,1,2495
276,71,24,1,2495
277,71,53,1,2495
278,71,30,1,2495
279,71,26,1,2495
280,71,73,2,2495
281,71,66,1,2495
282,71,90,2,2495
283,71,82,1,2495
284,71,81,2,2495
285,71,8,1,2495
286,71,87,1,2495
