nokta_no,x,y,count,sezon_dakikasi
1,38,55,1,1007
2,38,79,3,1007
3,38,30,2,1007
4,38,81,1,1007
5,38,37,2,1007
6,38,68,1,1007
7,38,27,2,1007
8,38,78,1,1007
9,38,50,1,1007
10,38,6,1,1007
11,38,73,1,1007
12,38,66,1,1007
13,38,42,1,1007
14,38,77,2,1007
15,38,56,1,1007
16,38,85,1,1007
17,38,28,1,1007
18,38,33,1,1007
19,38,40,1,1007
20,38,17,1,1007
21,38,31,1,1007
22,38,67,1,1007
23,56,66,1,1007
24,56,4,1,1007
25,56,47,1,1007
26,56,27,1,1007
27,56,44,1,1007
28,56,64,1,1007
29,56,86,1,1007
30,56,9,1,1007
31,56,73,1,1007
32,56,76,1,1007
33,56,77,1,1007
34,56,22,1,1007
35,44,31,1,1007
36,44,20,1,1007
37,44,12,1,1007
38,44,37,1,1007
39,44,17,1,1007
40,44,62,1,1007
41,44,29,1,1007
42,44,45,1,1007
43,44,26,1,1007
44,44,30,1,1007
45,44,47,1,1007
46,44,13,1,1007
47,10,29,1,1007
48,10,11,1,1007
49,10,27,2,1007
50,10,12,1,1007
51,10,90,1,1007
52,10,42,1,1007
53,10,36,1,1007
54,68,68,1,1007
55,68,8,1,1007
56,68,62,1,1007
57,68,69,1,1007
58,68,90,1,1007
59,68,31,1,1007
60,68,82,1,1007
61,68,25,1,1007
62,29,36,1,1007
63,29,70,1,1007
64,29,77,1,1007
65,29,34,2,1007
66,29,40,1,1007
67,29,37,1,1007
68,29,24,1,1007
69,29,29,1,1007
70,29,51,1,1007
71,29,32,1,1007
72,29,46,2,1007
73,29,22,1,1007
74,29,17,1,1007
75,29,58,2,1007
76,29,62,1,1007
77,62,23,1,1007
78,62,33,1,1007
79,62,54,1,1007
80,62,57,1,1007
81,62,46,1,1007
82,62,29,1,1007
83,62,75,1,1007
84,62,90,1,1007
85,62,2,1,1007
86,62,70,1,1007
87,62,20,1,1007
88,62,41,2,1007
89,61,25,2,1007
90,61,16,1,1007
91,61,43,1,1007
92,61,61,1,1007
93,61,29,1,1007
94,61,62,1,1007
95,61,37,2,1007
96,61,36,1,1007
97,61,7,1,1007
98,61,70,1,1007
99,61,27,1,1007
100,61,68,1,1007
101,63,27,1,1007
102,63,8,1,1007
103,63,51,1,1007
104,63,56,1,1007
105,63,36,1,1007
106,63,28,1,1007
107,63,29,3,1007
108,63,37,1,1007
109,63,48,1,1007
110,63,39,1,1007
111,63,19,1,1007
112,63,90,1,1007
113,63,73,2,1007
114,63,45,1,1007
115,63,74,1,1007
116,63,17,1,1007
117,63,68,1,1007
118,63,77,1,1007
119,63,40,1,1007
120,63,62,1,1007
121,35,46,1,1007
122,35,8,1,1007
123,35,90,1,1007
124,35,12,2,1007
125,35,72,1,1007
126,35,66,1,1007
127,35,18,1,1007
128,35,33,1,1007
129,35,94,1,1007
130,35,61,1,1007
131,35,58,1,1007
132,35,39,1,1007
133,35,50,2,1007
134,35,32,1,1007
135,35,62,2,1007
136,45,49,2,1007
137,45,79,1,1007
138,45,74,1,1007
139,45,35,1,1007
140,45,46,1,1007
141,45,59,1,1007
142,45,50,1,1007
143,45,52,1,1007
144,45,47,1,1007
145,45,57,1,1007
146,45,25,1,1007
147,45,26,1,1007
148,45,60,1,1007
149,59,38,1,1007
150,59,30,1,1007
151,59,15,1,1007
152,59,77,1,1007
153,59,31,1,1007
154,59,20,1,1007
155,59,37,1,1007
156,59,67,1,1007
157,43,86,1,1007
158,43,55,1,1007
159,43,75,1,1007
160,43,26,3,1007
161,43,20,2,1007
162,43,22,1,1007
163,43,62,2,1007
164,43,47,1,1007
165,43,61,1,1007
166,43,2,1,1007
167,43,63,1,1007
168,43,13,1,1007
169,43,57,1,1007
170,43,45,1,1007
171,11,55,1,1007
172,11,54,2,1007
173,11,52,1,1007
174,11,42,1,1007
175,11,39,1,1007
176,33,29,1,1007
177,33,32,1,1007
178,33,77,2,1007
179,33,54,1,1007
180,33,50,1,1007
181,33,79,1,1007
182,33,67,1,1007
183,33,61,1,1007
184,33,48,1,1007
185,33,66,1,1007
186,33,63,1,1007
187,33,16,2,1007
188,33,53,1,1007
189,33,28,2,1007
190,69,54,1,1007
191,69,12,1,1007
192,69,15,1,1007
193,69,37,1,1007
194,69,33,1,1007
195,69,31,1,1007
196,69,46,1,1007
197,69,42,1,1007
198,91,54,1,1007
199,8,49,1,1007
200,8,52,1,1007
201,8,95,1,1007
202,8,31,1,1007
203,9,22,1,1007
204,9,9,1,1007
205,9,56,1,1007
206,9,43,1,1007
207,64,43,1,1007
208,64,13,1,1007
209,64,20,1,1007
210,64,32,1,1007
211,64,86,1,1007
212,64,51,1,1007
213,64,66,1,1007
214,64,58,1,1007
215,72,37,1,1007
216,72,82,1,1007
217,72,6,1,1007
218,72,56,1,1007
219,72,5,1,1007
220,72,2,1,1007
221,72,28,1,1007
222,72,68,1,1007
223,72,51,1,1007
224,18,47,2,1007
225,18,46,1,1007
226,18,50,2,1007
227,18,27,1,1007
228,27,47,1,1007
229,27,6,1,1007
230,27,67,1,1007
231,27,42,1,1007
