nokta_no,x,y,count,sezon_dakikasi
1,27,14,1,1080
2,27,19,1,1080
3,27,18,1,1080
4,27,6,1,1080
5,27,23,1,1080
6,27,37,1,1080
7,27,15,1,1080
8,27,17,1,1080
9,27,8,1,1080
10,27,24,1,1080
11,69,4,1,1080
12,69,12,1,1080
13,69,25,1,1080
14,69,10,1,1080
15,69,16,1,1080
16,69,19,2,1080
17,69,7,1,1080
18,69,13,1,1080
19,69,29,1,1080
20,69,28,1,1080
21,69,15,1,1080
22,67,31,1,1080
23,67,3,1,1080
24,67,8,1,1080
25,67,18,1,1080
26,67,41,1,1080
27,67,13,1,1080
28,67,12,1,1080
29,67,10,1,1080
30,67,30,1,1080
31,23,8,1,1080
32,23,6,1,1080
33,23,0,1,1080
34,23,29,1,1080
35,23,17,1,1080
36,23,10,1,1080
37,23,5,1,1080
38,23,25,2,1080
39,23,24,1,1080
40,23,23,1,1080
41,23,38,1,1080
42,11,31,2,1080
43,11,94,2,1080
44,11,15,2,1080
45,11,13,1,1080
46,11,44,1,1080
47,11,76,1,1080
48,11,30,1,1080
49,11,32,1,1080
50,11,9,1,1080
51,30,11,1,1080
52,30,36,1,1080
53,30,13,2,1080
54,30,22,1,1080
55,30,23,1,1080
56,30,31,1,1080
57,30,88,1,1080
58,30,73,1,1080
59,30,14,1,1080
60,30,21,2,1080
61,30,37,1,1080
62,30,38,1,1080
63,30,30,1,1080
64,26,9,1,1080
65,26,61,2,1080
66,26,41,1,1080
67,26,24,1,1080
68,26,21,2,1080
69,26,15,2,1080
70,26,22,2,1080
71,26,28,2,1080
72,26,37,1,1080
73,26,27,1,1080
74,66,24,2,1080
75,66,12,1,1080
76,66,13,1,1080
77,66,35,1,1080
78,66,0,3,1080
79,66,34,1,1080
80,66,30,1,1080
81,66,22,1,1080
82,22,46,1,1080
83,22,7,1,1080
84,22,11,1,1080
85,22,23,1,1080
86,22,40,1,1080
87,22,36,1,1080
88,22,31,1,1080
89,22,26,1,1080
90,22,80,1,1080
91,22,15,1,1080
92,22,63,2,1080
93,21,5,1,1080
94,21,22,1,1080
95,21,16,2,1080
96,21,34,1,1080
97,21,9,1,1080
98,21,6,1,1080
99,21,27,2,1080
100,21,33,1,1080
101,21,17,1,1080
102,21,23,1,1080
103,21,29,1,1080
104,21,82,1,1080
105,21,32,1,1080
106,37,4,1,1080
107,37,73,1,1080
108,37,40,1,1080
109,37,55,1,1080
110,37,8,1,1080
111,37,33,1,1080
112,37,20,1,1080
113,37,15,1,1080
114,37,7,1,1080
115,37,22,1,1080
116,37,38,2,1080
117,37,5,1,1080
118,37,6,1,1080
119,37,10,1,1080
120,37,32,1,1080
121,37,88,1,1080
122,38,8,1,1080
123,38,22,1,1080
124,38,28,1,1080
125,38,21,2,1080
126,38,26,1,1080
127,38,10,1,1080
128,38,17,1,1080
129,38,19,1,1080
130,38,37,1,1080
131,38,18,1,1080
132,38,15,1,1080
133,38,67,1,1080
134,38,25,1,1080
135,38,42,1,1080
136,38,24,1,1080
137,38,32,1,1080
138,14,31,1,1080
139,14,28,1,1080
140,14,11,1,1080
141,14,9,1,1080
142,14,10,1,1080
143,14,51,1,1080
144,14,45,1,1080
145,44,0,1,1080
146,44,6,1,1080
147,44,10,1,1080
148,44,15,1,1080
149,44,33,1,1080
150,44,21,1,1080
151,73,19,1,1080
152,73,7,2,1080
153,73,17,1,1080
154,73,3,2,1080
155,73,36,1,1080
156,56,4,1,1080
157,56,15,2,1080
158,56,0,1,1080
159,56,28,1,1080
160,56,13,1,1080
161,56,53,1,1080
162,56,52,1,1080
163,48,22,1,1080
164,48,43,1,1080
165,48,32,1,1080
166,48,54,1,1080
167,48,26,1,1080
168,48,10,1,1080
169,48,56,1,1080
170,48,61,1,1080
171,53,42,1,1080
172,53,22,1,1080
173,53,37,1,1080
174,53,10,2,1080
175,53,21,1,1080
176,53,48,1,1080
177,53,6,1,1080
178,53,83,1,1080
179,53,26,1,1080
180,53,25,2,1080
181,57,22,2,1080
182,57,23,1,1080
183,57,10,1,1080
184,57,7,2,1080
185,57,14,1,1080
186,57,88,1,1080
187,57,69,1,1080
188,57,11,1,1080
189,57,29,1,1080
