nokta_no,x,y,count,sezon_dakikasi
1,89,36,1,1725
2,89,39,1,1725
3,89,22,1,1725
4,89,44,2,1725
5,89,41,1,1725
6,89,96,2,1725
7,89,42,1,1725
8,89,30,1,1725
9,89,65,1,1725
10,89,47,1,1725
11,89,32,1,1725
12,89,60,1,1725
13,89,56,1,1725
14,89,64,1,1725
15,89,11,1,1725
16,90,38,1,1725
17,90,63,1,1725
18,90,50,2,1725
19,90,47,1,1725
20,90,68,1,1725
21,90,12,1,1725
22,90,71,1,1725
23,90,84,1,1725
24,90,97,1,1725
25,90,29,1,1725
26,90,76,1,1725
27,90,49,1,1725
28,88,41,1,1725
29,88,93,1,1725
30,88,9,1,1725
31,88,52,1,1725
32,88,51,1,1725
33,88,46,1,1725
34,88,82,1,1725
35,88,87,1,1725
36,88,77,1,1725
37,88,15,1,1725
38,88,34,1,1725
39,88,75,1,1725
40,64,31,2,1725
41,64,82,1,1725
42,64,81,1,1725
43,64,49,1,1725
44,64,38,3,1725
45,64,50,2,1725
46,64,66,2,1725
47,64,55,2,1725
48,64,61,3,1725
49,64,89,1,1725
50,64,8,1,1725
51,64,34,1,1725
52,64,19,1,1725
53,64,42,1,1725
54,64,67,1,1725
55,64,27,1,1725
56,64,41,1,1725
57,67,31,1,1725
58,67,4,1,1725
59,67,72,1,1725
60,67,43,1,1725
61,67,6,1,1725
62,67,51,2,1725
63,67,81,1,1725
64,67,57,1,1725
65,67,74,1,1725
66,67,34,1,1725
67,67,27,1,1725
68,67,55,1,1725
69,67,62,1,1725
70,67,63,1,1725
71,67,60,1,1725
72,54,31,1,1725
73,54,40,1,1725
74,54,70,1,1725
75,54,28,1,1725
76,54,61,1,1725
77,54,30,2,1725
78,54,18,1,1725
79,54,77,2,1725
80,54,84,1,1725
81,54,46,1,1725
82,54,66,2,1725
83,54,10,1,1725
84,87,66,1,1725
85,87,58,4,1725
86,87,50,4,1725
87,87,65,1,1725
88,87,74,1,1725
89,87,54,1,1725
90,87,56,1,1725
91,87,47,1,1725
92,87,45,1,1725
93,87,32,1,1725
94,87,63,2,1725
95,74,63,1,1725
96,74,56,1,1725
97,74,41,1,1725
98,74,31,2,1725
99,74,77,1,1725
100,74,65,1,1725
101,74,49,2,1725
102,74,45,2,1725
103,74,52,2,1725
104,74,30,3,1725
105,72,59,1,1725
106,72,4,1,1725
107,72,47,1,1725
108,72,49,1,1725
109,72,68,1,1725
110,72,53,1,1725
111,72,44,1,1725
112,72,45,1,1725
113,72,18,1,1725
114,72,33,1,1725
115,72,23,2,1725
116,72,22,1,1725
117,77,60,2,1725
118,77,64,1,1725
119,77,3,1,1725
120,77,39,1,1725
121,77,79,1,1725
122,77,42,1,1725
123,77,53,1,1725
124,77,88,1,1725
125,77,46,1,1725
126,46,58,1,1725
127,46,70,2,1725
128,46,80,1,1725
129,46,54,1,1725
130,46,73,2,1725
131,46,28,1,1725
132,46,66,1,1725
133,46,82,1,1725
134,46,76,1,1725
135,46,52,1,1725
136,51,55,1,1725
137,51,39,3,1725
138,51,57,1,1725
139,51,36,1,1725
140,51,53,1,1725
141,51,62,2,1725
142,59,9,1,1725
143,59,43,1,1725
144,59,71,3,1725
145,59,28,2,1725
146,59,53,2,1725
147,59,68,4,1725
148,59,20,1,1725
149,59,61,1,1725
150,59,67,1,1725
151,59,11,1,1725
152,59,96,1,1725
153,59,36,1,1725
154,70,7,1,1725
155,70,72,2,1725
156,70,84,2,1725
157,70,62,2,1725
158,70,63,2,1725
159,70,73,1,1725
160,70,52,1,1725
161,70,56,1,1725
162,70,26,1,1725
163,70,35,1,1725
164,70,46,1,1725
165,70,2,1,1725
166,70,16,1,1725
167,70,12,1,1725
168,70,76,1,1725
169,11,36,1,1725
170,11,91,2,1725
171,11,70,1,1725
172,11,65,1,1725
173,11,61,1,1725
174,11,64,2,1725
175,10,39,1,1725
176,13,39,1,1725
177,13,69,1,1725
178,13,93,1,1725
179,13,76,2,1725
180,62,65,1,1725
181,62,85,1,1725
182,62,38,1,1725
183,62,87,1,1725
184,62,67,2,1725
185,62,61,1,1725
186,62,29,1,1725
187,62,49,1,1725
188,62,45,3,1725
189,62,35,2,1725
190,62,74,2,1725
191,62,43,1,1725
192,62,75,2,1725
193,62,60,1,1725
194,62,37,2,1725
195,62,72,1,1725
196,62,10,1,1725
197,62,94,1,1725
198,60,68,1,1725
199,60,65,1,1725
200,60,42,2,1725
201,60,60,1,1725
202,60,22,1,1725
203,60,34,2,1725
204,60,29,1,1725
205,60,30,2,1725
206,60,31,1,1725
207,60,39,1,1725
208,60,50,1,1725
209,60,67,1,1725
210,60,66,2,1725
211,60,46,2,1725
212,60,85,1,1725
213,60,84,1,1725
214,60,70,1,1725
215,60,74,1,1725
216,53,42,1,1725
217,53,34,2,1725
218,53,45,1,1725
219,50,36,1,1725
220,50,49,4,1725
221,50,50,3,1725
222,50,51,1,1725
223,50,95,1,1725
224,42,3,1,1725
225,42,25,1,1725
226,42,91,2,1725
227,42,80,2,1725
228,42,22,1,1725
229,42,36,1,1725
230,42,67,1,1725
231,42,7,1,1725
232,42,45,1,1725
233,42,15,1,1725
234,63,89,1,1725
235,63,18,2,1725
236,63,11,1,1725
237,63,82,1,1725
238,63,5,1,1725
239,63,28,2,1725
240,63,64,1,1725
241,63,76,1,1725
242,63,80,1,1725
243,63,68,1,1725
244,63,52,2,1725
245,63,55,2,1725
246,63,33,1,1725
247,63,46,1,1725
248,63,85,1,1725
249,63,37,1,1725
250,63,45,2,1725
251,63,43,1,1725
252,63,63,1,1725
253,31,82,1,1725
254,31,4,2,1725
255,31,83,1,1725
256,31,73,1,1725
257,31,27,1,1725
258,31,17,1,1725
259,31,48,1,1725
260,86,52,3,1725
261,86,64,1,1725
262,86,45,1,1725
263,86,46,2,1725
264,86,32,1,1725
265,86,29,1,1725
266,86,48,3,1725
267,86,70,1,1725
268,86,47,1,1725
269,86,53,1,1725
270,86,10,1,1725
271,76,24,1,1725
272,76,91,1,1725
273,76,47,1,1725
274,76,66,1,1725
275,76,93,1,1725
276,76,74,1,1725
277,76,31,1,1725
278,58,69,1,1725
279,58,46,2,1725
280,58,67,2,1725
281,58,29,1,1725
282,58,34,2,1725
283,58,61,1,1725
284,58,25,1,1725
285,58,26,1,1725
286,58,60,1,1725
287,58,73,2,1725
288,58,92,1,1725
289,57,73,1,1725
290,57,68,1,1725
291,57,52,1,1725
292,57,41,2,1725
293,57,69,1,1725
294,57,3,1,1725
295,57,58,1,1725
296,57,40,1,1725
297,57,70,1,1725
298,57,85,1,1725
299,57,25,1,1725
300,57,87,1,1725
301,57,92,1,1725
302,57,11,2,1725
303,75,37,2,1725
304,75,9,1,1725
305,75,18,1,1725
306,75,24,1,1725
307,75,51,1,1725
308,75,83,2,1725
309,75,46,2,1725
310,75,63,1,1725
311,75,91,1,1725
312,75,34,1,1725
313,75,68,1,1725
314,75,15,1,1725
315,75,25,1,1725
316,75,27,1,1725
317,92,41,1,1725
318,92,95,2,1725
319,92,44,1,1725
320,92,53,1,1725
321,92,33,2,1725
322,92,47,3,1725
323,92,59,1,1725
324,92,42,3,1725
325,92,55,2,1725
326,92,51,3,1725
327,92,50,2,1725
328,92,52,1,1725
329,92,32,1,1725
330,92,49,2,1725
331,92,94,1,1725
332,92,70,2,1725
333,92,66,1,1725
334,44,78,1,1725
335,44,4,1,1725
336,44,58,1,1725
337,44,94,1,1725
338,44,90,1,1725
339,44,25,1,1725
340,44,6,1,1725
341,44,75,1,1725
342,44,70,2,1725
343,44,30,1,1725
344,44,43,1,1725
345,45,80,1,1725
346,45,83,1,1725
347,45,43,1,1725
348,45,48,1,1725
349,45,30,2,1725
350,45,45,1,1725
351,45,73,1,1725
352,45,77,2,1725
353,45,35,3,1725
354,45,65,2,1725
355,45,24,1,1725
356,97,54,1,1725
357,97,52,1,1725
358,97,3,2,1725
359,97,44,1,1725
360,97,89,1,1725
361,97,33,1,1725
362,97,39,1,1725
363,97,42,1,1725
364,97,53,1,1725
365,65,12,1,1725
366,65,31,2,1725
367,65,38,1,1725
368,65,53,2,1725
369,65,56,1,1725
370,65,29,2,1725
371,65,84,1,1725
372,65,74,1,1725
373,65,70,2,1725
374,65,49,1,1725
375,65,57,2,1725
376,65,64,1,1725
377,65,14,1,1725
378,65,21,1,1725
379,65,78,1,1725
380,65,25,1,1725
381,65,40,1,1725
382,65,61,2,1725
383,65,71,1,1725
384,52,49,2,1725
385,52,42,1,1725
386,52,25,2,1725
387,52,58,1,1725
388,52,75,1,1725
389,52,11,1,1725
390,96,50,4,1725
391,96,45,3,1725
392,96,34,2,1725
393,96,6,1,1725
394,96,52,1,1725
395,96,49,2,1725
396,96,35,2,1725
397,96,48,1,1725
398,8,59,1,1725
399,8,46,1,1725
400,8,56,1,1725
401,8,43,1,1725
402,8,45,1,1725
403,8,49,1,1725
404,9,53,1,1725
405,9,47,2,1725
406,9,46,1,1725
407,9,62,1,1725
408,9,41,1,1725
409,9,42,1,1725
410,9,48,1,1725
411,82,22,1,1725
412,82,46,2,1725
413,82,86,1,1725
414,82,50,1,1725
415,82,68,1,1725
416,82,26,1,1725
417,93,49,2,1725
418,93,94,1,1725
419,93,39,1,1725
420,93,64,3,1725
421,93,51,1,1725
422,93,35,2,1725
423,93,68,1,1725
424,93,58,1,1725
425,93,32,1,1725
426,93,27,1,1725
427,56,75,1,1725
428,56,46,2,1725
429,56,35,1,1725
430,56,25,1,1725
431,56,48,2,1725
432,56,13,2,1725
433,56,3,1,1725
434,56,28,1,1725
435,56,24,1,1725
436,56,61,1,1725
437,56,65,1,1725
438,56,36,1,1725
439,56,30,1,1725
440,56,32,1,1725
441,43,47,1,1725
442,43,63,1,1725
443,43,5,2,1725
444,43,19,1,1725
445,43,25,1,1725
446,43,89,1,1725
447,43,9,1,1725
448,68,39,2,1725
449,68,65,3,1725
450,68,11,1,1725
451,68,67,3,1725
452,68,5,1,1725
453,68,84,1,1725
454,68,62,2,1725
455,68,47,1,1725
456,68,46,1,1725
457,68,53,3,1725
458,68,63,2,1725
459,68,66,1,1725
460,68,69,1,1725
461,68,51,2,1725
462,68,97,1,1725
463,68,72,3,1725
464,68,7,2,1725
465,68,99,1,1725
466,68,36,1,1725
467,68,81,1,1725
468,68,71,1,1725
469,68,18,1,1725
470,68,78,1,1725
471,66,66,3,1725
472,66,21,2,1725
473,66,68,1,1725
474,66,92,1,1725
475,66,65,2,1725
476,66,71,2,1725
477,66,43,3,1725
478,66,72,1,1725
479,66,36,1,1725
480,66,64,2,1725
481,66,38,1,1725
482,66,93,1,1725
483,66,44,2,1725
484,66,13,1,1725
485,66,45,1,1725
486,66,34,2,1725
487,79,20,1,1725
488,79,81,1,1725
489,79,34,1,1725
490,79,38,1,1725
491,79,63,2,1725
492,79,71,1,1725
493,79,72,2,1725
494,79,92,1,1725
495,79,95,1,1725
496,80,67,1,1725
497,80,34,1,1725
498,80,48,1,1725
499,80,51,1,1725
500,80,66,1,1725
501,80,60,1,1725
502,14,48,1,1725
503,14,42,1,1725
504,32,7,1,1725
505,32,90,1,1725
506,32,86,1,1725
507,32,6,1,1725
508,32,54,1,1725
509,41,10,1,1725
510,41,22,1,1725
