nokta_no,x,y,count,sezon_dakikasi
1,34,11,1,1420
2,34,4,1,1420
3,34,45,1,1420
4,34,41,1,1420
5,34,47,1,1420
6,34,35,1,1420
7,34,61,1,1420
8,34,16,1,1420
9,34,58,1,1420
10,34,85,1,1420
11,34,37,2,1420
12,34,9,1,1420
13,34,28,1,1420
14,34,14,1,1420
15,34,32,1,1420
16,95,12,1,1420
17,95,66,1,1420
18,95,82,1,1420
19,95,85,1,1420
20,95,25,1,1420
21,95,14,1,1420
22,43,24,2,1420
23,43,93,1,1420
24,43,41,1,1420
25,43,69,2,1420
26,43,87,1,1420
27,43,28,1,1420
28,43,74,2,1420
29,43,67,1,1420
30,43,35,1,1420
31,43,33,1,1420
32,43,63,1,1420
33,70,66,1,1420
34,70,73,1,1420
35,70,61,1,1420
36,70,44,1,1420
37,70,31,1,1420
38,70,24,1,1420
39,70,40,1,1420
40,70,6,1,1420
41,70,87,1,1420
42,70,39,1,1420
43,70,95,1,1420
44,70,94,1,1420
45,70,32,1,1420
46,70,52,1,1420
47,70,42,1,1420
48,70,48,2,1420
49,41,22,1,1420
50,41,77,1,1420
51,41,64,2,1420
52,41,70,1,1420
53,41,16,1,1420
54,41,68,1,1420
55,41,32,3,1420
56,41,24,1,1420
57,41,76,1,1420
58,41,10,1,1420
59,41,65,1,1420
60,45,18,1,1420
61,45,44,1,1420
62,45,81,2,1420
63,45,75,1,1420
64,45,37,1,1420
65,45,29,1,1420
66,45,91,1,1420
67,45,95,1,1420
68,45,35,1,1420
69,45,51,1,1420
70,45,32,1,1420
71,45,24,1,1420
72,5,23,1,1420
73,5,40,1,1420
74,5,33,1,1420
75,5,71,1,1420
76,63,11,1,1420
77,63,78,1,1420
78,63,49,1,1420
79,63,57,1,1420
80,63,23,1,1420
81,63,55,1,1420
82,63,58,1,1420
83,63,85,1,1420
84,63,24,1,1420
85,63,89,1,1420
86,63,64,1,1420
87,63,3,1,1420
88,63,40,1,1420
89,63,86,2,1420
90,63,21,1,1420
91,63,31,1,1420
92,63,59,1,1420
93,63,48,1,1420
94,63,56,1,1420
95,63,35,2,1420
96,63,37,1,1420
97,63,30,1,1420
98,63,14,1,1420
99,1,7,1,1420
100,1,60,1,1420
101,1,67,1,1420
102,1,51,1,1420
103,1,26,1,1420
104,1,32,1,1420
105,40,8,1,1420
106,40,87,1,1420
107,40,84,1,1420
108,40,17,1,1420
109,40,59,1,1420
110,40,96,1,1420
111,40,18,2,1420
112,40,27,1,1420
113,40,5,1,1420
114,40,61,1,1420
115,40,12,1,1420
116,40,73,1,1420
117,67,65,1,1420
118,67,56,1,1420
119,67,44,1,1420
120,67,49,1,1420
121,67,30,1,1420
122,67,96,1,1420
123,67,54,1,1420
124,67,66,1,1420
125,67,57,1,1420
126,67,52,1,1420
127,67,83,1,1420
128,67,60,1,1420
129,67,35,1,1420
130,67,19,1,1420
131,67,94,1,1420
132,67,23,1,1420
133,20,44,1,1420
134,20,13,1,1420
135,20,37,1,1420
136,20,31,1,1420
137,26,15,2,1420
138,26,30,1,1420
139,26,88,1,1420
140,26,42,2,1420
141,26,25,1,1420
142,26,80,1,1420
143,26,23,1,1420
144,26,35,1,1420
145,26,62,1,1420
146,26,64,1,1420
147,26,28,1,1420
148,26,8,1,1420
149,26,84,1,1420
150,26,49,1,1420
151,31,5,1,1420
152,31,35,1,1420
153,31,90,1,1420
154,31,43,2,1420
155,31,37,1,1420
156,31,86,1,1420
157,31,27,2,1420
158,31,21,1,1420
159,31,34,1,1420
160,31,22,1,1420
161,31,10,2,1420
162,31,56,1,1420
163,31,85,1,1420
164,31,73,1,1420
165,31,36,1,1420
166,31,19,1,1420
167,31,75,1,1420
168,31,88,2,1420
169,31,16,1,1420
170,31,17,1,1420
171,31,65,1,1420
172,31,66,1,1420
173,98,15,1,1420
174,98,4,1,1420
175,83,89,1,1420
176,83,88,1,1420
177,83,7,1,1420
178,83,29,1,1420
179,83,3,1,1420
180,50,49,5,1420
181,50,43,1,1420
182,50,50,3,1420
183,50,45,1,1420
184,50,73,1,1420
185,50,1,1,1420
186,50,53,1,1420
187,50,55,1,1420
188,50,10,1,1420
189,13,66,2,1420
190,13,32,1,1420
191,13,73,1,1420
192,13,71,1,1420
193,13,93,1,1420
194,13,13,1,1420
195,13,1,1,1420
196,13,64,1,1420
197,7,68,1,1420
198,7,48,1,1420
199,7,39,1,1420
200,7,17,1,1420
201,47,45,1,1420
202,47,46,2,1420
203,47,43,1,1420
204,47,75,2,1420
205,47,83,2,1420
206,47,40,1,1420
207,47,24,1,1420
208,47,41,1,1420
209,47,58,1,1420
210,47,36,1,1420
211,47,76,1,1420
212,47,91,1,1420
213,47,88,2,1420
214,47,8,1,1420
215,47,30,1,1420
216,14,61,1,1420
217,14,85,1,1420
218,14,47,1,1420
219,14,95,2,1420
220,14,49,1,1420
221,14,5,1,1420
222,14,88,1,1420
223,14,39,1,1420
224,14,16,1,1420
225,14,13,1,1420
226,14,65,1,1420
227,14,44,1,1420
228,14,52,2,1420
229,14,67,1,1420
230,14,2,1,1420
231,12,66,1,1420
232,12,90,1,1420
233,12,61,1,1420
234,12,60,1,1420
235,12,46,1,1420
236,12,9,1,1420
237,12,84,1,1420
238,12,55,1,1420
239,12,42,1,1420
240,12,54,1,1420
241,12,6,2,1420
242,36,55,1,1420
243,36,34,2,1420
244,36,43,2,1420
245,36,58,1,1420
246,36,73,1,1420
247,36,51,1,1420
248,36,67,1,1420
249,36,79,1,1420
250,36,85,3,1420
251,36,9,1,1420
252,36,7,1,1420
253,36,64,1,1420
254,36,90,1,1420
255,36,24,1,1420
256,36,44,1,1420
257,36,37,1,1420
258,36,23,1,1420
259,36,6,1,1420
260,36,22,1,1420
261,36,84,1,1420
262,36,19,1,1420
263,36,33,1,1420
264,36,75,1,1420
265,39,53,1,1420
266,39,15,1,1420
267,39,28,1,1420
268,39,77,1,1420
269,39,6,1,1420
270,39,36,1,1420
271,39,67,1,1420
272,39,74,1,1420
273,39,11,1,1420
274,39,30,1,1420
275,39,69,1,1420
276,39,91,1,1420
277,39,44,1,1420
278,39,33,1,1420
279,39,42,1,1420
280,64,18,1,1420
281,64,87,1,1420
282,64,73,2,1420
283,64,27,2,1420
284,64,78,1,1420
285,64,3,1,1420
286,64,12,1,1420
287,64,94,1,1420
288,64,88,1,1420
289,64,15,1,1420
290,64,4,1,1420
291,64,49,2,1420
292,24,43,2,1420
293,24,83,1,1420
294,24,93,1,1420
295,24,55,1,1420
296,24,80,1,1420
297,24,64,1,1420
298,24,17,1,1420
299,24,38,1,1420
300,30,55,2,1420
301,30,48,2,1420
302,30,18,2,1420
303,30,31,1,1420
304,30,51,1,1420
305,30,62,1,1420
306,30,52,1,1420
307,30,23,1,1420
308,30,70,1,1420
309,30,68,1,1420
310,30,72,1,1420
311,30,65,1,1420
312,30,56,1,1420
313,30,47,1,1420
314,30,74,1,1420
315,82,88,1,1420
316,82,87,1,1420
317,82,49,1,1420
318,82,69,1,1420
319,71,93,1,1420
320,71,50,1,1420
321,71,16,1,1420
322,71,30,1,1420
323,71,35,1,1420
324,71,71,2,1420
325,71,9,2,1420
326,71,74,1,1420
327,71,53,1,1420
328,71,84,2,1420
329,71,49,1,1420
330,71,3,2,1420
331,71,63,1,1420
332,74,89,3,1420
