nokta_no,x,y,count,sezon_dakikasi
1,69,10,1,2256
2,69,71,2,2256
3,69,67,2,2256
4,69,42,1,2256
5,69,54,2,2256
6,69,96,1,2256
7,69,82,3,2256
8,69,32,2,2256
9,69,51,1,2256
10,69,69,1,2256
11,69,76,1,2256
12,69,64,1,2256
13,69,21,1,2256
14,69,17,3,2256
15,69,97,1,2256
16,69,57,1,2256
17,69,29,1,2256
18,69,88,1,2256
19,69,65,1,2256
20,69,75,1,2256
21,91,43,2,2256
22,91,66,1,2256
23,91,50,5,2256
24,91,57,2,2256
25,91,55,1,2256
26,91,47,1,2256
27,91,44,1,2256
28,91,49,5,2256
29,91,45,1,2256
30,91,82,1,2256
31,91,83,1,2256
32,91,40,2,2256
33,91,54,1,2256
34,91,56,2,2256
35,91,96,1,2256
36,91,48,1,2256
37,91,34,1,2256
38,54,7,1,2256
39,54,46,1,2256
40,54,45,3,2256
41,54,51,4,2256
42,54,25,1,2256
43,54,43,3,2256
44,54,60,1,2256
45,54,32,1,2256
46,54,74,1,2256
47,54,3,1,2256
48,54,42,2,2256
49,54,57,1,2256
50,54,87,1,2256
51,54,89,1,2256
52,54,34,1,2256
53,54,26,2,2256
54,54,30,2,2256
55,54,75,1,2256
56,54,55,2,2256
57,54,50,1,2256
58,65,24,1,2256
59,65,18,1,2256
60,65,21,1,2256
61,65,57,1,2256
62,65,35,1,2256
63,65,51,3,2256
64,65,93,1,2256
65,65,58,1,2256
66,65,54,2,2256
67,65,70,3,2256
68,65,45,1,2256
69,65,48,1,2256
70,65,94,1,2256
71,65,40,1,2256
72,65,27,1,2256
73,65,61,1,2256
74,65,86,1,2256
75,65,66,2,2256
76,65,32,1,2256
77,65,82,1,2256
78,65,63,1,2256
79,65,38,1,2256
80,65,72,2,2256
81,65,71,1,2256
82,65,29,1,2256
83,65,92,1,2256
84,65,44,1,2256
85,9,57,1,2256
86,9,39,2,2256
87,9,55,1,2256
88,9,53,2,2256
89,9,48,2,2256
90,9,46,1,2256
91,31,32,2,2256
92,31,31,1,2256
93,31,43,1,2256
94,31,87,1,2256
95,31,45,1,2256
96,31,37,1,2256
97,31,19,1,2256
98,31,83,1,2256
99,31,94,1,2256
100,52,57,3,2256
101,52,42,1,2256
102,52,53,1,2256
103,52,45,2,2256
104,52,77,1,2256
105,52,72,1,2256
106,52,82,1,2256
107,52,7,1,2256
108,52,98,1,2256
109,52,44,1,2256
110,52,91,1,2256
