nokta_no,x,y,count,sezon_dakikasi
1,49,0,1,1869
2,49,23,2,1869
3,49,4,1,1869
4,82,0,3,1869
5,82,8,1,1869
6,82,4,1,1869
7,82,15,1,1869
8,82,7,1,1869
9,82,94,1,1869
10,82,16,1,1869
11,97,17,1,1869
12,97,28,1,1869
13,97,25,1,1869
14,97,9,1,1869
15,97,33,1,1869
16,97,11,1,1869
17,97,35,1,1869
18,97,38,1,1869
19,97,72,1,1869
20,99,0,40,1869
21,99,99,46,1869
22,99,28,1,1869
23,35,4,1,1869
24,35,18,1,1869
25,35,0,3,1869
26,35,6,3,1869
27,35,69,1,1869
28,35,38,2,1869
29,35,27,1,1869
30,35,10,1,1869
31,35,7,1,1869
32,35,11,1,1869
33,17,16,2,1869
34,17,6,2,1869
35,17,0,1,1869
36,17,10,1,1869
37,17,8,1,1869
38,10,9,2,1869
39,10,46,2,1869
40,10,2,1,1869
41,10,40,1,1869
42,10,39,2,1869
43,10,0,1,1869
44,10,37,1,1869
45,10,28,1,1869
46,20,0,3,1869
47,20,27,1,1869
48,20,40,1,1869
49,20,13,1,1869
50,20,8,1,1869
51,20,30,2,1869
52,20,24,1,1869
53,20,6,1,1869
54,20,25,1,1869
55,20,55,1,1869
56,33,23,1,1869
57,33,14,1,1869
58,33,0,3,1869
59,33,25,1,1869
60,33,15,1,1869
61,33,7,1,1869
62,33,6,2,1869
63,33,3,1,1869
64,33,20,2,1869
65,33,4,2,1869
66,33,18,1,1869
67,33,11,1,1869
68,33,45,1,1869
69,33,10,1,1869
70,1,10,2,1869
71,1,27,1,1869
72,1,38,1,1869
73,34,46,1,1869
74,34,18,1,1869
75,34,6,2,1869
76,34,4,3,1869
77,34,42,1,1869
78,34,5,3,1869
79,34,0,4,1869
80,34,16,1,1869
81,34,31,1,1869
82,34,7,1,1869
83,34,15,1,1869
84,34,8,1,1869
85,34,12,2,1869
86,34,13,1,1869
87,34,32,1,1869
88,58,6,5,1869
89,58,2,1,1869
90,58,74,1,1869
91,58,12,1,1869
92,58,7,2,1869
93,58,8,2,1869
94,58,4,1,1869
95,58,11,2,1869
96,58,0,1,1869
97,58,34,1,1869
98,58,20,1,1869
99,58,19,1,1869
100,58,9,1,1869
101,4,13,1,1869
102,4,9,1,1869
103,4,6,1,1869
104,4,37,2,1869
105,4,44,1,1869
106,4,4,1,1869
107,4,12,1,1869
108,4,11,2,1869
109,4,17,1,1869
110,4,45,1,1869
111,4,61,1,1869
112,21,0,3,1869
113,21,6,2,1869
114,21,11,1,1869
115,21,8,1,1869
116,21,55,1,1869
117,21,2,1,1869
118,21,38,1,1869
119,21,21,1,1869
120,21,39,1,1869
121,21,7,1,1869
122,21,20,1,1869
123,21,19,1,1869
124,21,9,1,1869
125,21,52,1,1869
126,60,11,2,1869
127,60,10,2,1869
128,60,0,4,1869
129,60,5,2,1869
130,60,6,1,1869
131,60,9,1,1869
132,60,23,2,1869
133,60,4,4,1869
134,60,13,1,1869
135,60,15,1,1869
136,60,37,2,1869
137,60,16,1,1869
138,60,12,2,1869
139,60,47,1,1869
140,60,21,1,1869
141,60,14,1,1869
142,60,56,1,1869
143,60,26,1,1869
144,59,11,2,1869
145,59,24,1,1869
146,59,8,1,1869
147,59,6,1,1869
148,59,80,1,1869
149,59,44,1,1869
150,59,7,2,1869
151,59,4,3,1869
152,59,19,1,1869
153,59,14,1,1869
154,59,18,1,1869
155,59,3,1,1869
156,59,10,1,1869
157,59,15,1,1869
158,59,67,1,1869
159,59,5,1,1869
160,12,41,1,1869
161,12,26,1,1869
162,12,10,1,1869
163,12,37,1,1869
164,12,35,1,1869
165,12,47,1,1869
166,12,16,1,1869
167,12,0,1,1869
168,12,7,1,1869
169,12,30,1,1869
170,19,9,1,1869
171,19,2,1,1869
172,19,44,1,1869
173,19,8,2,1869
174,19,28,1,1869
175,76,0,4,1869
176,76,94,1,1869
177,76,5,2,1869
178,76,18,1,1869
179,76,13,2,1869
180,76,2,1,1869
181,64,15,1,1869
182,64,6,3,1869
183,64,4,4,1869
184,64,83,1,1869
185,64,0,4,1869
186,64,8,2,1869
187,64,12,1,1869
188,64,25,1,1869
189,64,1,1,1869
190,64,31,1,1869
191,75,0,6,1869
192,75,25,1,1869
193,75,2,2,1869
194,75,18,1,1869
195,75,16,2,1869
196,75,5,3,1869
197,75,11,1,1869
198,75,10,1,1869
199,75,29,1,1869
200,75,12,1,1869
201,75,20,1,1869
202,66,79,1,1869
203,66,57,1,1869
204,66,17,1,1869
205,66,6,1,1869
206,66,0,2,1869
207,66,4,1,1869
208,66,11,3,1869
209,66,10,3,1869
210,66,96,1,1869
211,66,35,1,1869
212,66,8,1,1869
213,66,43,1,1869
214,66,67,1,1869
215,66,12,1,1869
216,66,44,1,1869
217,66,25,1,1869
218,66,32,1,1869
219,66,13,1,1869
220,61,0,3,1869
221,61,4,3,1869
222,61,12,1,1869
223,61,18,1,1869
224,61,6,2,1869
225,61,13,1,1869
226,61,23,1,1869
227,61,68,1,1869
228,61,9,1,1869
229,61,11,1,1869
230,61,28,1,1869
231,61,14,1,1869
232,61,7,1,1869
233,61,83,1,1869
234,61,15,1,1869
235,56,0,1,1869
236,56,29,1,1869
237,56,5,2,1869
238,56,9,1,1869
239,56,8,4,1869
240,56,3,1,1869
241,56,6,2,1869
242,56,25,1,1869
243,56,13,2,1869
244,56,4,2,1869
245,56,7,1,1869
246,56,17,1,1869
247,56,22,1,1869
248,56,39,1,1869
249,56,11,1,1869
250,56,31,1,1869
251,56,32,1,1869
252,56,10,1,1869
253,7,47,2,1869
254,7,11,1,1869
255,7,53,1,1869
256,7,10,1,1869
257,7,16,1,1869
258,7,6,1,1869
259,7,35,2,1869
260,7,32,2,1869
261,7,41,1,1869
262,7,24,2,1869
263,7,45,1,1869
264,94,41,1,1869
265,94,0,1,1869
266,94,5,1,1869
267,94,11,1,1869
268,67,24,1,1869
269,67,6,2,1869
270,67,0,4,1869
271,67,9,1,1869
272,67,18,1,1869
273,67,4,1,1869
274,67,11,1,1869
275,67,2,1,1869
276,67,3,1,1869
277,67,15,3,1869
278,67,5,1,1869
279,67,13,1,1869
280,67,66,1,1869
281,67,42,1,1869
282,67,22,1,1869
283,67,8,1,1869
284,67,10,1,1869
285,18,0,3,1869
286,18,7,2,1869
287,18,9,1,1869
288,18,27,1,1869
289,18,6,1,1869
290,18,25,1,1869
291,18,4,2,1869
292,14,47,1,1869
293,14,13,2,1869
294,14,5,1,1869
295,14,4,1,1869
296,14,26,1,1869
297,14,48,1,1869
298,14,10,1,1869
299,14,23,2,1869
300,14,18,1,1869
301,14,57,1,1869
302,14,0,1,1869
303,14,42,1,1869
304,14,9,1,1869
305,52,46,1,1869
306,52,4,1,1869
307,52,7,1,1869
308,52,40,1,1869
309,52,25,1,1869
310,52,26,1,1869
311,52,11,1,1869
312,52,6,1,1869
313,68,31,1,1869
314,68,72,1,1869
315,68,13,1,1869
316,68,32,1,1869
317,68,17,1,1869
318,68,76,1,1869
319,68,0,3,1869
320,68,5,3,1869
321,68,33,1,1869
322,68,7,1,1869
323,68,2,1,1869
324,90,0,4,1869
325,90,24,1,1869
326,90,13,1,1869
327,90,97,1,1869
328,90,4,1,1869
329,27,12,2,1869
330,27,17,1,1869
331,27,4,2,1869
332,27,0,3,1869
333,27,34,1,1869
334,27,5,3,1869
335,27,7,2,1869
336,27,29,1,1869
337,27,13,1,1869
338,27,11,2,1869
339,27,18,1,1869
340,27,14,2,1869
341,27,6,1,1869
342,27,20,1,1869
343,27,33,1,1869
344,27,8,1,1869
345,36,6,2,1869
346,36,28,1,1869
347,36,29,1,1869
348,36,0,3,1869
349,36,9,1,1869
350,36,13,1,1869
351,36,5,3,1869
352,36,24,1,1869
353,36,14,1,1869
354,36,21,2,1869
355,36,18,1,1869
356,36,17,1,1869
357,36,27,1,1869
358,36,11,1,1869
359,36,3,1,1869
360,36,100,1,1869
361,37,4,4,1869
362,37,8,3,1869
363,37,5,1,1869
364,37,9,2,1869
365,37,6,1,1869
366,37,23,1,1869
367,37,19,1,1869
368,37,0,1,1869
369,37,11,1,1869
370,37,10,4,1869
371,37,28,1,1869
372,37,7,2,1869
373,37,3,1,1869
374,37,1,1,1869
375,37,30,1,1869
376,84,3,2,1869
377,84,0,2,1869
378,84,9,2,1869
379,84,43,1,1869
380,84,5,1,1869
381,57,5,2,1869
382,57,4,1,1869
383,57,27,1,1869
384,57,0,2,1869
385,57,8,2,1869
386,57,25,1,1869
387,57,3,2,1869
388,57,17,1,1869
389,57,6,2,1869
390,57,15,1,1869
391,57,23,1,1869
392,57,39,1,1869
393,57,26,1,1869
394,57,14,1,1869
