nokta_no,x,y,count,sezon_dakikasi
1,65,4,7,2317
2,65,2,2,2317
3,65,5,3,2317
4,65,96,1,2317
5,65,11,3,2317
6,65,33,1,2317
7,65,38,2,2317
8,65,12,1,2317
9,65,18,1,2317
10,65,0,3,2317
11,65,6,3,2317
12,65,16,4,2317
13,65,20,1,2317
14,65,1,1,2317
15,65,7,2,2317
16,65,35,1,2317
17,65,37,1,2317
18,65,24,1,2317
19,65,75,1,2317
20,65,23,1,2317
21,65,15,1,2317
22,65,10,3,2317
23,65,64,1,2317
24,65,44,1,2317
25,65,31,1,2317
26,65,36,1,2317
27,65,32,1,2317
28,65,59,1,2317
29,65,8,1,2317
30,55,6,2,2317
31,55,4,2,2317
32,55,5,2,2317
33,55,3,4,2317
34,55,0,2,2317
35,55,17,1,2317
36,55,9,1,2317
37,55,29,2,2317
38,55,28,1,2317
39,55,70,1,2317
40,55,79,2,2317
41,55,49,1,2317
42,55,8,1,2317
43,55,43,1,2317
44,55,10,1,2317
45,55,15,1,2317
46,55,38,1,2317
47,94,24,3,2317
48,94,28,4,2317
49,94,27,2,2317
50,94,17,1,2317
51,94,40,1,2317
52,94,13,4,2317
53,94,35,1,2317
54,94,4,1,2317
55,94,18,1,2317
56,94,45,1,2317
57,94,16,1,2317
58,94,48,1,2317
59,94,34,2,2317
60,94,0,1,2317
61,94,29,1,2317
62,94,7,1,2317
63,94,26,1,2317
64,94,20,1,2317
65,99,0,87,2317
66,99,12,1,2317
67,99,99,1,2317
68,99,61,1,2317
69,99,62,1,2317
70,99,40,2,2317
71,99,25,1,2317
72,99,31,1,2317
73,87,8,1,2317
74,87,35,1,2317
75,87,3,1,2317
76,87,27,1,2317
77,87,23,1,2317
78,87,12,3,2317
79,87,29,1,2317
80,87,15,2,2317
81,87,45,1,2317
82,87,6,4,2317
83,87,28,3,2317
84,87,7,3,2317
85,87,5,1,2317
86,87,43,1,2317
87,87,33,2,2317
88,87,32,3,2317
89,87,16,1,2317
90,87,17,2,2317
91,87,24,2,2317
92,87,92,1,2317
93,87,10,1,2317
94,87,14,1,2317
95,87,9,2,2317
96,87,42,1,2317
97,87,21,1,2317
98,87,20,1,2317
99,87,13,1,2317
100,87,37,1,2317
101,87,89,1,2317
102,10,35,1,2317
103,10,11,1,2317
104,10,1,1,2317
105,10,4,1,2317
106,10,10,1,2317
107,10,13,3,2317
108,63,8,3,2317
109,63,17,2,2317
110,63,18,2,2317
111,63,6,4,2317
112,63,3,2,2317
113,63,14,1,2317
114,63,23,2,2317
115,63,24,2,2317
116,63,7,2,2317
117,63,0,1,2317
118,63,26,1,2317
119,63,5,3,2317
120,63,9,1,2317
121,63,97,1,2317
122,63,10,3,2317
123,63,49,1,2317
124,63,12,1,2317
125,63,31,2,2317
126,63,13,2,2317
127,63,4,1,2317
128,63,52,1,2317
129,63,33,1,2317
130,63,11,1,2317
131,63,56,1,2317
132,63,58,1,2317
133,63,19,1,2317
134,63,29,1,2317
135,63,100,1,2317
136,63,35,1,2317
137,63,47,1,2317
138,63,36,1,2317
139,63,39,1,2317
140,39,7,2,2317
141,39,26,2,2317
142,39,2,1,2317
143,39,13,1,2317
144,39,6,1,2317
145,39,37,1,2317
146,39,32,2,2317
147,39,11,1,2317
148,39,31,1,2317
149,39,8,1,2317
150,39,9,1,2317
151,39,14,1,2317
152,39,22,1,2317
153,39,10,1,2317
154,71,27,1,2317
155,71,14,3,2317
156,71,43,1,2317
157,71,15,1,2317
158,71,3,8,2317
159,71,7,7,2317
160,71,4,6,2317
161,71,62,2,2317
162,71,35,2,2317
163,71,13,5,2317
164,71,1,1,2317
165,71,9,3,2317
166,71,37,4,2317
167,71,24,1,2317
168,71,16,2,2317
169,71,8,1,2317
170,71,25,2,2317
171,71,30,3,2317
172,71,5,2,2317
173,71,12,1,2317
174,71,19,2,2317
175,71,75,1,2317
176,71,28,1,2317
177,71,34,2,2317
178,71,11,2,2317
179,71,33,1,2317
180,71,39,1,2317
181,71,68,1,2317
182,71,22,1,2317
183,71,6,1,2317
184,71,41,1,2317
185,71,44,1,2317
186,71,0,1,2317
187,71,48,2,2317
188,71,32,2,2317
189,71,70,1,2317
190,71,21,1,2317
191,71,55,1,2317
192,71,38,1,2317
193,71,67,1,2317
194,71,31,1,2317
195,54,24,1,2317
196,54,6,4,2317
197,54,9,2,2317
198,54,44,1,2317
199,54,8,1,2317
200,54,7,7,2317
201,54,11,2,2317
202,54,0,1,2317
203,54,25,1,2317
204,54,27,1,2317
205,54,13,1,2317
206,54,4,1,2317
207,54,21,1,2317
208,54,35,1,2317
209,54,37,1,2317
210,54,19,1,2317
211,54,3,1,2317
212,54,40,1,2317
213,54,23,1,2317
214,54,38,1,2317
215,58,12,2,2317
216,58,23,1,2317
217,58,59,1,2317
218,58,31,1,2317
219,58,3,3,2317
220,58,13,1,2317
221,58,17,1,2317
222,58,14,1,2317
223,58,11,1,2317
224,58,7,1,2317
225,58,56,1,2317
226,58,5,2,2317
227,58,6,2,2317
228,58,18,1,2317
229,58,21,1,2317
230,58,35,1,2317
231,58,9,1,2317
232,32,5,1,2317
233,32,73,1,2317
234,32,29,1,2317
235,32,3,1,2317
236,32,21,2,2317
237,32,18,1,2317
238,32,6,1,2317
239,32,0,1,2317
240,32,12,1,2317
241,32,10,1,2317
242,32,42,1,2317
243,32,22,1,2317
244,44,4,2,2317
245,44,5,2,2317
246,44,26,1,2317
247,44,7,1,2317
248,44,64,1,2317
249,44,18,1,2317
250,44,11,1,2317
251,44,16,1,2317
252,44,12,3,2317
253,44,35,1,2317
254,44,17,1,2317
255,44,9,1,2317
256,44,10,2,2317
257,44,38,2,2317
258,76,22,2,2317
259,76,2,1,2317
260,76,8,3,2317
261,76,27,1,2317
262,76,6,3,2317
263,76,4,2,2317
264,76,17,1,2317
265,76,34,1,2317
266,76,26,1,2317
267,76,67,1,2317
268,76,13,3,2317
269,76,14,2,2317
270,76,31,2,2317
271,76,40,3,2317
272,76,16,2,2317
273,76,5,3,2317
274,76,32,1,2317
275,76,36,1,2317
276,76,0,2,2317
277,76,30,1,2317
278,76,33,1,2317
279,76,51,1,2317
280,76,57,1,2317
281,76,64,1,2317
282,76,29,1,2317
283,76,21,1,2317
284,76,61,1,2317
285,76,7,1,2317
286,79,19,2,2317
287,79,29,1,2317
288,79,18,1,2317
289,79,5,5,2317
290,79,6,4,2317
291,79,42,1,2317
292,79,16,2,2317
