nokta_no,x,y,count,sezon_dakikasi
1,38,7,1,1068
2,38,57,1,1068
3,38,18,1,1068
4,38,61,1,1068
5,38,47,1,1068
6,38,16,1,1068
7,38,24,1,1068
8,38,14,1,1068
9,38,81,1,1068
10,38,28,1,1068
11,38,21,1,1068
12,21,19,1,1068
13,21,45,1,1068
14,21,73,1,1068
15,21,90,1,1068
16,21,34,1,1068
17,21,64,1,1068
18,21,65,1,1068
19,21,76,1,1068
20,21,13,1,1068
21,21,38,1,1068
22,21,35,1,1068
23,21,37,1,1068
24,21,10,1,1068
25,21,28,1,1068
26,40,28,1,1068
27,40,5,1,1068
28,40,37,1,1068
29,40,31,1,1068
30,40,82,1,1068
31,40,13,1,1068
32,40,91,1,1068
33,40,9,2,1068
34,40,12,1,1068
35,40,23,1,1068
36,24,17,1,1068
37,24,67,1,1068
38,24,65,1,1068
39,24,21,1,1068
40,24,45,1,1068
41,24,14,1,1068
42,24,38,1,1068
43,24,79,1,1068
44,24,82,1,1068
45,24,71,1,1068
46,24,40,1,1068
47,24,24,1,1068
48,24,31,1,1068
49,24,35,2,1068
50,18,12,1,1068
51,18,85,1,1068
52,18,77,1,1068
53,18,33,1,1068
54,62,11,1,1068
55,62,88,1,1068
56,62,16,2,1068
57,62,67,1,1068
58,62,61,1,1068
59,62,24,2,1068
60,62,30,1,1068
61,62,39,1,1068
62,95,41,1,1068
63,22,32,2,1068
64,22,7,1,1068
65,22,84,1,1068
66,22,68,2,1068
67,22,55,1,1068
68,22,43,3,1068
69,22,73,1,1068
70,22,8,1,1068
71,22,30,2,1068
72,22,74,1,1068
73,22,44,2,1068
74,22,27,1,1068
75,22,31,1,1068
76,22,28,1,1068
77,22,25,1,1068
78,22,6,1,1068
79,22,33,1,1068
80,45,29,3,1068
81,45,69,1,1068
82,45,89,1,1068
83,45,45,1,1068
84,45,79,1,1068
85,45,8,1,1068
86,45,30,1,1068
87,45,31,1,1068
88,45,57,1,1068
89,45,11,1,1068
90,13,18,2,1068
91,13,12,1,1068
92,13,41,1,1068
93,13,29,1,1068
94,13,24,1,1068
95,13,10,2,1068
96,13,37,1,1068
97,13,40,2,1068
98,13,15,2,1068
99,13,14,1,1068
100,13,7,1,1068
101,13,28,1,1068
102,13,31,1,1068
103,13,51,1,1068
104,11,14,1,1068
105,11,72,1,1068
106,11,32,1,1068
107,11,37,1,1068
108,11,73,1,1068
109,11,82,1,1068
110,11,67,1,1068
111,11,39,1,1068
112,11,18,2,1068
113,11,29,1,1068
114,11,46,1,1068
115,11,45,1,1068
116,3,16,1,1068
117,3,56,1,1068
118,3,10,1,1068
119,3,51,1,1068
120,3,46,1,1068
121,3,49,2,1068
122,3,36,1,1068
123,3,29,1,1068
124,12,14,1,1068
125,12,78,1,1068
126,12,96,1,1068
127,12,18,1,1068
128,12,88,1,1068
129,12,86,1,1068
130,12,4,1,1068
131,12,27,1,1068
132,12,7,1,1068
133,12,43,1,1068
134,12,60,1,1068
135,12,37,1,1068
136,12,33,1,1068
137,12,55,1,1068
138,20,9,1,1068
139,20,59,1,1068
140,20,27,1,1068
141,20,82,1,1068
142,20,90,1,1068
143,20,10,1,1068
144,20,75,1,1068
145,20,65,1,1068
146,20,71,1,1068
147,20,17,2,1068
148,20,26,1,1068
149,20,6,1,1068
150,20,25,1,1068
151,20,36,3,1068
152,20,14,1,1068
153,26,10,2,1068
154,26,43,1,1068
155,26,32,1,1068
156,26,40,1,1068
157,26,35,2,1068
158,26,30,2,1068
159,26,76,1,1068
160,26,48,1,1068
161,26,29,1,1068
162,41,9,1,1068
163,41,41,1,1068
164,41,60,1,1068
165,41,10,1,1068
166,41,29,1,1068
167,41,23,1,1068
168,41,68,1,1068
169,41,31,3,1068
170,41,4,1,1068
171,41,6,1,1068
172,41,28,2,1068
173,41,20,1,1068
174,36,24,3,1068
175,36,63,1,1068
176,36,65,1,1068
177,36,17,1,1068
178,36,8,1,1068
179,36,13,1,1068
180,36,46,1,1068
181,36,4,1,1068
182,36,37,2,1068
183,36,74,1,1068
184,36,47,1,1068
185,36,18,1,1068
186,36,15,1,1068
187,36,26,1,1068
188,36,73,1,1068
189,36,23,1,1068
190,36,34,1,1068
191,36,51,2,1068
192,36,9,1,1068
193,36,28,1,1068
194,31,17,1,1068
195,31,6,1,1068
196,31,22,1,1068
197,31,54,1,1068
198,31,50,1,1068
199,31,60,1,1068
200,31,43,1,1068
201,31,48,1,1068
202,31,52,1,1068
203,31,72,1,1068
204,31,95,2,1068
205,31,33,1,1068
206,31,12,2,1068
207,31,38,1,1068
208,31,88,1,1068
209,31,46,1,1068
210,31,24,1,1068
211,31,37,4,1068
212,31,35,1,1068
213,31,10,1,1068
214,25,73,1,1068
215,25,68,1,1068
216,25,72,1,1068
217,25,32,2,1068
218,25,83,1,1068
219,25,29,1,1068
220,25,51,1,1068
221,25,27,1,1068
222,25,23,2,1068
223,25,61,1,1068
224,25,26,1,1068
225,14,47,2,1068
226,14,80,1,1068
227,14,62,2,1068
228,14,19,2,1068
229,14,29,1,1068
230,14,56,1,1068
231,14,9,1,1068
232,14,38,1,1068
233,19,47,1,1068
234,19,49,1,1068
235,19,54,1,1068
236,19,76,1,1068
237,19,44,1,1068
238,19,12,1,1068
239,19,23,1,1068
240,19,14,1,1068
241,19,81,1,1068
242,19,30,1,1068
243,19,39,1,1068
244,19,8,1,1068
245,19,32,1,1068
246,68,93,1,1068
247,68,13,1,1068
248,34,71,1,1068
249,34,45,1,1068
250,34,47,1,1068
251,34,61,1,1068
252,34,81,1,1068
253,34,92,1,1068
254,34,32,2,1068
255,34,62,1,1068
256,34,42,1,1068
257,34,53,1,1068
258,34,48,1,1068
259,34,50,1,1068
260,34,28,2,1068
261,34,26,1,1068
262,34,27,1,1068
263,34,70,1,1068
264,34,49,1,1068
265,34,46,1,1068
266,34,17,2,1068
267,34,9,1,1068
268,96,71,1,1068
269,96,65,2,1068
270,57,73,1,1068
271,57,90,1,1068
272,57,92,1,1068
273,57,93,1,1068
274,57,36,1,1068
275,57,25,1,1068
276,57,13,1,1068
277,57,14,1,1068
278,57,55,2,1068
279,57,86,1,1068
280,60,73,1,1068
281,60,31,1,1068
282,60,30,1,1068
283,60,58,1,1068
284,60,18,1,1068
285,60,13,1,1068
286,60,33,1,1068
287,60,28,1,1068
288,15,68,1,1068
289,15,93,1,1068
290,15,28,1,1068
291,15,72,1,1068
292,15,76,2,1068
293,15,62,1,1068
294,15,82,1,1068
295,15,8,1,1068
296,15,30,1,1068
297,15,13,1,1068
298,39,48,1,1068
299,39,10,1,1068
300,39,31,1,1068
301,39,84,1,1068
302,39,27,1,1068
303,39,29,1,1068
304,39,21,2,1068
305,39,96,1,1068
306,39,35,1,1068
307,39,24,1,1068
308,39,93,1,1068
309,39,20,1,1068
310,39,12,2,1068
311,37,65,2,1068
312,37,60,1,1068
313,37,56,1,1068
314,37,79,1,1068
315,37,51,1,1068
316,37,74,1,1068
317,37,82,1,1068
318,37,72,1,1068
319,37,26,2,1068
320,37,41,1,1068
321,37,30,1,1068
322,37,35,1,1068
323,37,23,1,1068
324,37,31,1,1068
325,37,32,1,1068
326,37,21,1,1068
327,27,64,1,1068
328,27,59,1,1068
329,27,67,1,1068
330,27,55,1,1068
331,27,77,1,1068
332,27,72,1,1068
333,27,11,1,1068
334,27,34,2,1068
335,27,23,1,1068
336,27,36,1,1068
337,27,51,1,1068
338,29,66,1,1068
339,29,60,1,1068
340,29,58,1,1068
341,29,39,1,1068
342,29,73,2,1068
343,29,41,2,1068
344,29,49,1,1068
345,29,37,1,1068
346,29,45,1,1068
347,29,55,1,1068
348,29,27,1,1068
349,29,34,1,1068
350,29,31,1,1068
351,29,28,1,1068
352,29,8,1,1068
353,29,30,2,1068
354,29,24,1,1068
355,29,11,1,1068
356,33,57,2,1068
357,33,66,1,1068
358,33,49,1,1068
359,33,59,1,1068
360,33,60,1,1068
361,33,64,1,1068
362,33,74,1,1068
363,33,8,1,1068
364,33,11,1,1068
365,33,12,2,1068
366,33,15,1,1068
367,33,52,1,1068
368,33,45,2,1068
369,33,25,1,1068
370,33,22,1,1068
371,33,69,1,1068
372,33,17,1,1068
373,53,93,1,1068
374,53,17,1,1068
375,53,64,1,1068
376,53,41,1,1068
377,53,11,1,1068
378,53,15,1,1068
379,53,2,1,1068
380,46,39,1,1068
381,46,66,1,1068
382,46,68,2,1068
383,46,14,1,1068
384,46,27,1,1068
385,46,62,1,1068
386,46,42,1,1068
387,46,15,1,1068
388,46,8,1,1068
389,46,16,1,1068
390,47,44,1,1068
391,47,14,1,1068
392,47,4,1,1068
393,47,70,1,1068
394,51,42,1,1068
395,51,54,1,1068
396,51,55,1,1068
397,51,71,1,1068
398,51,59,1,1068
399,51,10,1,1068
400,51,29,1,1068
401,51,96,1,1068
402,56,90,1,1068
403,56,10,1,1068
404,56,37,1,1068
405,56,17,1,1068
406,56,24,1,1068
407,56,32,1,1068
408,56,27,1,1068
409,56,33,1,1068
410,55,30,1,1068
411,55,74,1,1068
412,55,6,2,1068
413,55,26,3,1068
414,55,21,2,1068
415,55,33,1,1068
416,55,35,1,1068
417,4,28,1,1068
418,4,90,1,1068
419,4,17,1,1068
420,4,19,1,1068
421,4,64,1,1068
422,4,44,1,1068
423,58,38,1,1068
424,58,91,1,1068
425,58,27,2,1068
426,58,69,1,1068
427,58,19,1,1068
428,58,15,1,1068
429,58,16,1,1068
430,58,88,1,1068
431,59,88,1,1068
432,59,61,1,1068
433,59,18,1,1068
434,59,8,1,1068
435,59,30,1,1068
436,65,91,1,1068
437,65,44,1,1068
438,65,1,1,1068
439,65,14,1,1068
440,97,5,1,1068
441,97,89,1,1068
442,97,53,1,1068
443,42,87,1,1068
444,42,84,1,1068
445,42,78,1,1068
446,42,64,1,1068
447,42,90,1,1068
448,42,14,2,1068
449,42,31,2,1068
450,42,33,1,1068
