nokta_no,x,y,count,sezon_dakikasi
1,49,49,6,2068
2,49,50,11,2068
3,49,23,1,2068
4,49,34,1,2068
5,49,22,1,2068
6,49,17,1,2068
7,86,93,1,2068
8,86,52,1,2068
9,86,19,1,2068
10,86,92,1,2068
11,86,13,1,2068
12,86,71,1,2068
13,86,82,2,2068
14,86,88,1,2068
15,86,60,1,2068
16,86,39,1,2068
17,86,42,1,2068
18,86,90,1,2068
19,86,6,1,2068
20,86,4,1,2068
21,86,25,1,2068
22,86,3,1,2068
23,86,85,1,2068
24,86,10,1,2068
25,89,88,2,2068
26,89,33,1,2068
27,89,5,1,2068
28,89,25,1,2068
29,89,6,1,2068
30,89,50,1,2068
31,89,42,1,2068
32,89,54,1,2068
33,89,12,1,2068
34,89,14,1,2068
35,85,94,1,2068
36,85,93,1,2068
37,85,13,2,2068
38,85,24,1,2068
39,85,26,1,2068
40,85,38,1,2068
41,85,96,1,2068
42,85,8,1,2068
43,85,64,1,2068
44,85,2,1,2068
45,85,10,1,2068
46,85,83,1,2068
47,85,71,1,2068
48,53,32,2,2068
49,53,35,1,2068
50,53,13,2,2068
51,53,83,1,2068
52,53,40,2,2068
53,53,30,1,2068
54,53,8,1,2068
55,53,38,1,2068
56,53,50,1,2068
57,53,56,1,2068
58,53,63,1,2068
59,53,87,2,2068
60,53,95,1,2068
61,53,89,1,2068
62,53,23,2,2068
63,53,21,1,2068
64,53,74,1,2068
65,53,57,1,2068
66,53,43,1,2068
67,53,36,1,2068
68,53,11,1,2068
69,53,53,2,2068
70,53,76,1,2068
71,53,20,1,2068
72,53,52,1,2068
73,43,91,1,2068
74,43,83,2,2068
75,43,88,1,2068
76,43,96,1,2068
77,43,63,1,2068
78,43,31,2,2068
79,43,95,1,2068
80,43,21,2,2068
81,43,37,1,2068
82,43,46,2,2068
83,43,42,1,2068
84,43,87,1,2068
85,43,16,1,2068
86,43,8,1,2068
87,43,48,1,2068
88,43,12,1,2068
89,43,18,1,2068
90,43,26,2,2068
91,43,45,2,2068
92,43,68,1,2068
93,43,25,1,2068
94,43,61,1,2068
95,43,73,1,2068
96,43,80,1,2068
97,39,81,1,2068
98,39,19,2,2068
99,39,33,1,2068
100,39,22,1,2068
101,39,26,1,2068
102,39,27,3,2068
103,39,31,1,2068
104,39,85,3,2068
105,39,88,2,2068
106,39,61,1,2068
107,39,24,1,2068
108,39,82,1,2068
109,39,17,1,2068
110,39,21,1,2068
111,39,29,1,2068
112,39,20,1,2068
113,39,78,1,2068
114,39,10,1,2068
115,39,30,1,2068
116,41,91,1,2068
117,41,85,1,2068
118,41,31,2,2068
119,41,59,1,2068
120,41,92,2,2068
121,41,40,1,2068
122,41,42,1,2068
123,41,87,2,2068
124,41,20,1,2068
125,41,79,2,2068
126,41,17,1,2068
127,41,60,1,2068
