nokta_no,x,y,count,sezon_dakikasi
1,42,12,1,2591
2,42,61,1,2591
3,42,42,2,2591
4,42,24,1,2591
5,42,14,2,2591
6,42,10,2,2591
7,42,13,2,2591
8,42,34,1,2591
9,42,15,1,2591
10,42,68,2,2591
11,42,56,1,2591
12,42,31,1,2591
13,42,17,1,2591
14,42,9,2,2591
15,42,23,1,2591
16,42,35,1,2591
17,42,8,1,2591
18,42,11,1,2591
19,42,60,1,2591
20,42,77,1,2591
21,42,65,1,2591
22,42,81,1,2591
23,42,48,1,2591
24,42,37,1,2591
25,42,39,1,2591
26,42,72,1,2591
27,42,19,1,2591
28,42,27,1,2591
29,42,62,1,2591
30,42,50,1,2591
31,42,26,1,2591
32,42,69,1,2591
33,42,51,1,2591
34,30,36,2,2591
35,30,14,2,2591
36,30,37,1,2591
37,30,15,3,2591
38,30,23,3,2591
39,30,49,2,2591
40,30,24,2,2591
41,30,18,1,2591
42,30,12,2,2591
43,30,3,1,2591
44,30,28,2,2591
45,30,67,1,2591
46,30,38,1,2591
47,30,27,2,2591
48,30,48,4,2591
49,30,29,2,2591
50,30,52,2,2591
51,30,76,1,2591
52,30,91,2,2591
53,30,44,1,2591
54,30,17,4,2591
55,30,11,1,2591
56,30,9,3,2591
57,30,45,1,2591
58,30,80,1,2591
59,30,7,1,2591
60,30,32,1,2591
61,30,22,1,2591
62,30,51,3,2591
63,30,43,1,2591
64,30,69,1,2591
65,30,20,1,2591
66,30,61,1,2591
67,30,26,1,2591
68,30,34,1,2591
69,43,7,1,2591
70,43,49,2,2591
71,43,19,1,2591
72,43,13,3,2591
73,43,41,1,2591
74,43,47,1,2591
75,43,61,2,2591
76,43,31,2,2591
77,43,48,1,2591
78,43,5,1,2591
79,43,6,2,2591
80,43,28,6,2591
81,43,67,1,2591
82,43,0,1,2591
83,43,52,3,2591
84,43,27,1,2591
85,43,36,1,2591
86,43,15,1,2591
87,43,39,1,2591
88,43,85,1,2591
89,43,45,1,2591
90,43,23,1,2591
91,43,64,2,2591
92,43,43,1,2591
93,43,71,1,2591
94,43,60,1,2591
95,29,22,4,2591
96,29,26,3,2591
97,29,6,1,2591
98,29,72,2,2591
99,29,29,1,2591
100,29,16,1,2591
101,29,8,1,2591
102,29,24,3,2591
103,29,31,1,2591
104,29,38,1,2591
105,29,44,3,2591
106,29,12,1,2591
107,29,7,1,2591
108,29,81,1,2591
109,29,33,2,2591
110,29,5,1,2591
111,29,36,1,2591
112,29,48,1,2591
113,29,9,1,2591
114,29,27,1,2591
115,29,68,1,2591
116,29,75,1,2591
117,29,58,2,2591
118,29,62,1,2591
119,29,47,1,2591
120,29,49,1,2591
121,29,86,1,2591
122,29,18,1,2591
123,29,92,1,2591
124,29,13,1,2591
125,29,53,1,2591
126,29,56,2,2591
127,29,34,1,2591
128,29,63,1,2591
129,29,20,1,2591
130,29,71,1,2591
131,29,87,1,2591
132,29,67,1,2591
133,29,15,1,2591
134,29,74,1,2591
135,41,14,2,2591
136,41,19,1,2591
137,41,32,2,2591
138,41,68,2,2591
139,41,13,2,2591
140,41,63,2,2591
141,41,5,1,2591
142,41,37,2,2591
143,41,57,2,2591
144,41,11,1,2591
145,41,61,1,2591
146,41,34,1,2591
147,41,28,1,2591
148,41,22,2,2591
149,41,43,1,2591
150,41,40,1,2591
151,41,54,1,2591
152,41,51,1,2591
153,41,69,1,2591
154,41,47,1,2591
155,41,17,1,2591
156,41,55,1,2591
157,41,36,1,2591
158,41,21,1,2591
159,41,29,1,2591
160,41,45,1,2591
161,41,33,1,2591
162,41,35,1,2591
163,41,64,1,2591
164,41,23,1,2591
165,39,23,1,2591
166,39,19,1,2591
167,39,10,2,2591
168,39,17,2,2591
169,39,6,1,2591
170,39,21,2,2591
171,39,9,2,2591
172,39,0,1,2591
173,39,20,3,2591
174,39,28,2,2591
175,39,13,1,2591
176,39,31,1,2591
177,39,11,1,2591
178,39,34,1,2591
179,39,22,1,2591
180,39,27,2,2591
181,39,26,1,2591
182,39,14,1,2591
183,39,51,1,2591
184,39,32,1,2591
185,39,75,2,2591
186,39,58,1,2591
187,39,41,1,2591
188,39,62,2,2591
189,39,37,2,2591
190,39,59,1,2591
191,39,87,1,2591
192,39,86,1,2591
193,39,7,1,2591
194,39,46,1,2591
195,39,60,1,2591
196,39,96,1,2591
197,39,18,1,2591
198,39,77,1,2591
199,36,15,4,2591
200,36,31,1,2591
201,36,30,1,2591
202,36,14,4,2591
203,36,20,1,2591
204,36,6,1,2591
205,36,8,1,2591
206,36,22,1,2591
207,36,33,2,2591
208,36,21,1,2591
209,36,19,2,2591
210,36,27,1,2591
211,36,5,1,2591
212,36,52,3,2591
213,36,82,2,2591
214,36,58,2,2591
215,36,59,3,2591
216,36,73,1,2591
217,36,34,3,2591
218,36,63,1,2591
219,36,43,1,2591
220,36,49,1,2591
221,36,18,1,2591
222,36,72,1,2591
223,36,55,2,2591
224,36,24,1,2591
225,36,40,1,2591
226,36,37,1,2591
227,36,45,2,2591
228,36,62,1,2591
229,36,25,1,2591
230,26,40,1,2591
231,26,71,1,2591
232,26,30,1,2591
233,26,26,1,2591
234,26,13,1,2591
235,26,16,6,2591
236,26,18,2,2591
237,26,15,2,2591
238,26,17,1,2591
239,26,21,1,2591
240,26,37,1,2591
241,26,58,1,2591
242,26,41,1,2591
243,26,23,2,2591
244,26,35,1,2591
245,26,19,1,2591
246,26,8,1,2591
247,26,6,1,2591
248,26,76,1,2591
249,26,86,3,2591
250,26,12,2,2591
251,26,29,1,2591
252,26,73,1,2591
253,26,34,1,2591
254,26,31,1,2591
255,26,28,1,2591
256,26,61,1,2591
257,26,49,1,2591
258,26,72,1,2591
259,26,14,3,2591
260,26,44,1,2591
261,26,25,1,2591
262,26,47,1,2591
263,26,36,1,2591
264,26,11,1,2591
265,24,22,2,2591
266,24,12,1,2591
267,24,18,1,2591
268,24,13,2,2591
269,24,6,1,2591
270,24,8,1,2591
271,24,5,2,2591
272,24,27,1,2591
273,24,81,1,2591
274,24,15,2,2591
275,24,28,2,2591
276,24,21,2,2591
277,24,65,1,2591
278,24,30,4,2591
279,24,39,1,2591
280,24,75,1,2591
281,24,62,1,2591
282,24,35,1,2591
283,24,32,2,2591
284,24,25,1,2591
285,24,9,1,2591
286,24,49,1,2591
287,24,48,1,2591
288,24,69,2,2591
289,24,59,5,2591
290,24,19,1,2591
291,24,24,3,2591
292,24,47,1,2591
293,24,83,1,2591
294,24,70,2,2591
295,24,78,1,2591
296,13,8,1,2591
297,13,10,1,2591
298,13,69,1,2591
299,13,9,1,2591
300,13,39,2,2591
301,13,24,1,2591
302,13,6,1,2591
303,13,50,1,2591
304,13,33,1,2591
305,13,14,1,2591
306,13,22,1,2591
307,13,3,1,2591
308,13,35,1,2591
309,13,11,2,2591
310,13,52,1,2591
311,13,26,1,2591
312,13,64,2,2591
313,13,86,2,2591
314,13,90,1,2591
315,13,30,2,2591
316,13,21,1,2591
317,13,51,1,2591
318,13,48,1,2591
319,13,46,1,2591
320,13,87,1,2591
321,13,72,1,2591
322,13,31,2,2591
323,13,89,1,2591
324,13,59,1,2591
325,13,58,1,2591
326,13,56,1,2591
327,45,51,1,2591
328,45,58,1,2591
329,45,22,2,2591
330,45,13,2,2591
331,45,20,2,2591
332,45,23,1,2591
333,45,10,1,2591
334,45,39,1,2591
335,45,27,1,2591
336,45,33,1,2591
337,45,38,1,2591
338,45,64,1,2591
339,45,47,2,2591
340,45,54,4,2591
341,45,15,2,2591
342,45,48,2,2591
343,45,46,1,2591
344,45,65,1,2591
345,45,55,3,2591
346,45,0,1,2591
347,45,73,1,2591
348,45,25,1,2591
349,45,29,1,2591
350,45,63,1,2591
351,45,72,2,2591
352,45,57,1,2591
353,45,60,1,2591
354,45,24,1,2591
355,21,61,1,2591
356,21,18,2,2591
357,21,13,2,2591
358,21,17,2,2591
359,21,35,3,2591
360,21,50,1,2591
361,21,40,1,2591
362,21,16,2,2591
363,21,30,2,2591
364,21,26,2,2591
365,21,36,1,2591
366,21,0,1,2591
367,21,32,1,2591
368,21,87,1,2591
369,21,67,5,2591
370,21,21,2,2591
371,21,24,1,2591
372,21,31,2,2591
373,21,6,1,2591
374,21,82,1,2591
375,21,9,1,2591
376,21,63,1,2591
377,21,8,1,2591
378,21,37,1,2591
379,21,53,1,2591
380,21,55,1,2591
381,34,29,2,2591
382,34,26,1,2591
383,34,7,1,2591
384,34,46,1,2591
385,34,12,1,2591
386,34,22,1,2591
387,34,23,1,2591
388,34,20,2,2591
389,34,13,1,2591
390,34,48,2,2591
391,34,73,1,2591
392,34,58,2,2591
393,34,11,1,2591
394,34,81,1,2591
395,34,64,1,2591
396,34,40,1,2591
397,34,16,1,2591
398,34,44,1,2591
399,34,35,1,2591
400,34,45,1,2591
401,34,34,1,2591
402,34,19,2,2591
403,34,15,1,2591
404,34,9,1,2591
405,34,17,2,2591
406,34,72,1,2591
407,34,21,1,2591
408,34,53,3,2591
409,34,86,1,2591
410,34,33,1,2591
411,34,28,2,2591
412,34,47,2,2591
413,34,55,1,2591
414,34,38,1,2591
415,34,41,1,2591
416,27,30,3,2591
417,27,16,2,2591
418,27,28,3,2591
419,27,20,1,2591
420,27,3,1,2591
421,27,19,1,2591
422,27,34,2,2591
423,27,59,2,2591
424,27,17,2,2591
425,27,13,2,2591
426,27,25,2,2591
427,27,24,2,2591
428,27,6,1,2591
429,27,29,2,2591
430,27,7,1,2591
431,27,32,1,2591
432,27,18,2,2591
433,27,46,1,2591
434,27,57,2,2591
435,27,38,1,2591
436,27,27,2,2591
