nokta_no,x,y,count,sezon_dakikasi
1,59,94,1,2035
2,59,91,1,2035
3,59,44,1,2035
4,59,60,2,2035
5,59,73,1,2035
6,59,95,1,2035
7,59,63,1,2035
8,59,86,1,2035
9,59,97,1,2035
10,59,82,1,2035
11,59,64,1,2035
12,59,92,1,2035
13,59,67,1,2035
14,59,61,1,2035
15,59,93,1,2035
16,74,70,3,2035
17,74,73,2,2035
18,74,71,2,2035
19,74,62,2,2035
20,74,58,1,2035
21,74,68,1,2035
22,74,97,1,2035
23,74,94,3,2035
24,74,90,1,2035
25,74,53,1,2035
26,74,92,3,2035
27,74,87,4,2035
28,74,76,1,2035
29,74,66,1,2035
30,74,75,2,2035
31,74,100,3,2035
32,74,78,1,2035
33,74,43,1,2035
34,74,95,1,2035
35,74,74,1,2035
36,74,83,1,2035
37,74,82,1,2035
38,81,50,1,2035
39,81,89,1,2035
40,81,70,1,2035
41,81,79,1,2035
42,81,81,1,2035
43,81,62,1,2035
44,81,83,1,2035
45,81,54,1,2035
46,81,61,1,2035
47,81,98,1,2035
48,81,64,2,2035
49,81,74,1,2035
50,81,47,1,2035
51,81,72,1,2035
52,81,87,1,2035
53,81,46,1,2035
54,81,73,1,2035
55,86,71,5,2035
56,86,57,1,2035
57,86,45,1,2035
58,86,60,1,2035
59,86,74,3,2035
60,86,75,5,2035
61,86,67,1,2035
62,86,68,1,2035
63,86,91,1,2035
64,86,65,1,2035
65,86,87,1,2035
66,86,94,1,2035
67,86,72,1,2035
68,86,86,1,2035
69,86,61,1,2035
70,86,35,1,2035
71,86,81,1,2035
72,86,63,1,2035
73,90,66,3,2035
74,90,71,2,2035
75,90,92,1,2035
76,90,86,1,2035
77,90,85,1,2035
78,90,78,1,2035
79,90,72,2,2035
80,90,62,1,2035
81,90,68,1,2035
82,90,91,1,2035
83,90,75,2,2035
84,90,90,1,2035
85,51,79,1,2035
86,51,59,1,2035
87,51,46,1,2035
88,51,25,1,2035
89,51,48,1,2035
90,51,88,1,2035
91,31,92,3,2035
92,31,97,1,2035
93,31,88,1,2035
94,31,74,1,2035
95,31,90,2,2035
96,31,13,1,2035
97,31,62,1,2035
98,31,53,2,2035
99,31,54,1,2035
100,31,25,1,2035
101,31,21,1,2035
102,31,85,1,2035
103,31,32,1,2035
104,30,81,1,2035
105,30,93,1,2035
106,30,47,1,2035
107,30,76,1,2035
108,30,25,1,2035
109,30,34,1,2035
110,30,86,1,2035
111,30,88,1,2035
112,30,79,1,2035
113,30,43,1,2035
114,79,75,1,2035
115,79,44,1,2035
116,79,81,1,2035
117,79,67,2,2035
118,79,65,1,2035
119,79,39,1,2035
120,79,72,2,2035
121,79,71,1,2035
122,79,82,1,2035
123,79,70,1,2035
124,79,92,3,2035
125,79,91,1,2035
126,79,63,1,2035
127,79,56,1,2035
128,79,62,1,2035
129,79,60,1,2035
130,79,79,1,2035
131,79,78,1,2035
132,79,95,1,2035
133,79,89,1,2035
134,77,64,2,2035
135,77,52,1,2035
136,77,37,1,2035
137,77,41,1,2035
138,77,43,1,2035
139,77,11,1,2035
140,77,65,2,2035
141,77,87,1,2035
142,77,70,1,2035
143,77,66,1,2035
144,77,61,3,2035
145,77,83,1,2035
146,77,68,3,2035
147,77,95,1,2035
148,77,96,2,2035
149,77,97,1,2035
150,77,91,1,2035
151,77,74,1,2035
152,77,94,1,2035
153,77,80,1,2035
154,77,79,2,2035
155,77,89,1,2035
156,77,93,2,2035
157,77,82,2,2035
158,77,67,1,2035
159,77,72,1,2035
160,77,59,1,2035
161,77,73,1,2035
162,77,76,1,2035
163,77,63,1,2035
164,77,78,1,2035
165,91,69,2,2035
166,91,87,1,2035
167,91,81,1,2035
168,91,61,1,2035
169,91,88,1,2035
170,91,84,1,2035
171,91,72,2,2035
172,91,52,1,2035
173,91,70,1,2035
174,91,60,1,2035
175,91,78,1,2035
176,91,67,1,2035
177,91,93,1,2035
178,14,67,1,2035
179,14,95,1,2035
180,14,63,1,2035
181,14,74,2,2035
182,82,50,1,2035
183,82,72,1,2035
184,82,51,1,2035
185,82,100,1,2035
186,82,65,1,2035
187,82,54,2,2035
188,82,62,1,2035
189,82,66,1,2035
190,82,67,1,2035
191,28,93,2,2035
192,28,95,1,2035
193,28,88,1,2035
194,28,45,1,2035
195,28,89,1,2035
196,28,73,1,2035
197,36,91,2,2035
198,36,93,1,2035
199,36,64,2,2035
200,36,94,1,2035
201,36,86,1,2035
202,36,88,1,2035
203,36,71,2,2035
204,36,82,1,2035
205,36,48,1,2035
206,36,58,1,2035
207,36,74,1,2035
208,97,81,2,2035
209,97,83,1,2035
210,97,47,1,2035
211,97,75,1,2035
212,97,77,1,2035
213,97,55,1,2035
214,97,73,1,2035
215,87,95,2,2035
216,87,66,1,2035
217,87,70,1,2035
218,87,44,1,2035
219,87,63,1,2035
220,87,85,1,2035
221,87,83,1,2035
222,87,72,2,2035
223,87,90,1,2035
224,87,93,1,2035
225,87,73,1,2035
226,87,75,2,2035
227,87,57,1,2035
228,87,68,1,2035
229,87,96,1,2035
230,87,76,2,2035
231,87,87,1,2035
232,87,58,1,2035
233,87,56,1,2035
234,87,84,1,2035
235,33,91,1,2035
236,33,84,3,2035
237,33,95,1,2035
238,33,33,1,2035
239,33,43,1,2035
240,33,93,2,2035
241,33,94,1,2035
242,33,89,1,2035
