nokta_no,x,y,count,sezon_dakikasi
1,78,76,1,2094
2,78,94,2,2094
3,78,63,1,2094
4,78,81,3,2094
5,78,92,1,2094
6,78,67,1,2094
7,78,86,1,2094
8,78,65,1,2094
9,78,10,1,2094
10,78,51,1,2094
11,78,13,1,2094
12,78,90,1,2094
13,78,85,1,2094
14,34,42,1,2094
15,34,35,2,2094
16,34,85,1,2094
17,34,27,2,2094
18,34,81,1,2094
19,34,74,2,2094
20,34,69,2,2094
21,34,34,1,2094
22,34,62,1,2094
23,34,70,1,2094
24,34,13,1,2094
25,34,92,1,2094
26,34,79,1,2094
27,34,43,1,2094
28,34,66,1,2094
29,34,68,1,2094
30,34,30,1,2094
31,34,83,1,2094
32,34,29,1,2094
33,34,76,1,2094
34,34,15,1,2094
35,34,75,1,2094
36,34,40,1,2094
37,34,89,1,2094
38,34,26,1,2094
39,47,85,2,2094
40,47,72,1,2094
41,47,50,1,2094
42,47,8,1,2094
43,47,46,1,2094
44,47,60,1,2094
45,47,57,1,2094
46,47,45,3,2094
47,47,63,1,2094
48,47,59,1,2094
49,47,62,1,2094
50,47,51,1,2094
51,47,54,1,2094
52,47,53,1,2094
53,47,92,1,2094
54,47,90,1,2094
55,47,97,1,2094
56,47,23,1,2094
57,47,88,2,2094
58,47,91,1,2094
59,47,47,1,2094
60,47,77,1,2094
61,47,40,1,2094
62,47,74,1,2094
63,47,37,1,2094
64,47,17,1,2094
65,43,78,2,2094
66,43,34,1,2094
67,43,92,2,2094
68,43,37,1,2094
69,43,90,3,2094
70,43,11,1,2094
71,43,22,1,2094
72,43,75,1,2094
73,43,69,1,2094
74,43,96,1,2094
75,43,29,1,2094
76,43,95,1,2094
77,43,73,1,2094
78,43,23,1,2094
79,43,54,1,2094
80,43,79,1,2094
81,43,88,1,2094
82,43,89,1,2094
83,43,77,2,2094
84,43,56,1,2094
85,43,18,1,2094
86,58,63,2,2094
87,58,81,1,2094
88,58,24,2,2094
89,58,23,1,2094
90,58,15,1,2094
91,58,61,2,2094
92,58,17,1,2094
93,58,58,1,2094
94,58,66,1,2094
95,58,76,1,2094
96,58,67,1,2094
97,58,89,1,2094
98,58,59,1,2094
99,58,94,1,2094
100,58,71,1,2094
101,58,98,1,2094
102,58,87,1,2094
103,58,40,1,2094
104,58,10,1,2094
105,58,75,1,2094
106,58,93,1,2094
107,60,84,2,2094
108,60,80,2,2094
109,60,90,1,2094
110,60,2,1,2094
111,60,71,1,2094
112,60,20,1,2094
113,60,39,2,2094
114,60,86,1,2094
115,60,26,1,2094
116,60,79,2,2094
117,60,16,1,2094
118,60,81,1,2094
119,60,51,1,2094
120,60,93,3,2094
121,60,75,2,2094
122,60,83,1,2094
123,60,92,1,2094
124,60,94,1,2094
125,60,98,1,2094
126,60,74,1,2094
127,60,57,1,2094
128,60,59,1,2094
129,60,41,1,2094
130,60,73,1,2094
131,60,37,1,2094
132,60,67,2,2094
133,60,55,1,2094
134,38,78,2,2094
135,38,39,1,2094
136,38,42,1,2094
137,38,67,1,2094
138,38,82,1,2094
139,38,63,2,2094
140,38,64,1,2094
141,38,88,1,2094
142,38,52,1,2094
143,38,70,2,2094
144,38,81,1,2094
145,38,72,2,2094
146,38,97,1,2094
147,38,68,2,2094
148,38,62,1,2094
149,38,61,1,2094
150,38,83,1,2094
151,38,90,1,2094
152,38,51,1,2094
153,38,91,1,2094
154,38,14,1,2094
155,40,83,1,2094
156,40,79,1,2094
157,40,74,1,2094
158,40,62,1,2094
159,40,72,1,2094
160,40,77,2,2094
161,40,11,1,2094
162,40,70,1,2094
163,40,59,2,2094
164,40,7,2,2094
165,40,15,1,2094
166,40,18,2,2094
167,40,46,2,2094
168,40,80,1,2094
169,40,84,1,2094
170,40,58,1,2094
171,40,89,1,2094
172,40,27,1,2094
173,40,60,1,2094
174,40,9,2,2094
175,40,85,2,2094
176,40,69,2,2094
177,40,76,2,2094
178,40,35,1,2094
179,40,31,1,2094
180,40,61,2,2094
181,40,3,1,2094
182,40,2,1,2094
183,40,33,1,2094
184,39,37,1,2094
185,39,69,1,2094
186,39,27,1,2094
187,39,79,1,2094
188,39,82,1,2094
189,39,70,1,2094
190,39,21,1,2094
191,39,53,1,2094
192,39,58,1,2094
193,39,76,1,2094
194,39,92,1,2094
195,39,35,1,2094
196,39,94,1,2094
197,39,13,1,2094
198,39,83,1,2094
199,39,10,1,2094
200,39,67,1,2094
201,39,29,1,2094
202,39,86,1,2094
203,39,49,1,2094
204,39,84,1,2094
205,39,59,1,2094
206,39,65,1,2094
207,39,9,1,2094
208,39,81,1,2094
209,39,77,1,2094
210,39,28,1,2094
211,39,30,2,2094
212,25,59,1,2094
213,25,50,2,2094
214,25,76,1,2094
215,25,79,1,2094
216,25,95,2,2094
217,25,84,1,2094
218,25,92,2,2094
219,25,70,1,2094
220,25,74,1,2094
221,25,90,1,2094
222,25,37,1,2094
223,25,85,1,2094
224,25,78,1,2094
225,25,39,1,2094
226,27,6,1,2094
227,27,25,1,2094
228,27,72,1,2094
229,27,76,1,2094
230,27,59,1,2094
231,27,46,1,2094
232,27,89,1,2094
233,27,71,1,2094
234,27,37,1,2094
235,27,61,1,2094
236,27,34,1,2094
237,27,64,1,2094
238,27,79,1,2094
239,27,86,1,2094
240,27,62,1,2094
241,27,70,1,2094
242,27,42,1,2094
243,28,9,1,2094
244,28,12,1,2094
245,28,69,2,2094
246,28,73,1,2094
247,28,68,1,2094
248,28,72,1,2094
249,28,32,1,2094
250,28,92,1,2094
