nokta_no,x,y,count,sezon_dakikasi
1,30,70,3,2296
2,30,89,2,2296
3,30,73,1,2296
4,30,93,1,2296
5,30,25,3,2296
6,30,61,1,2296
7,30,97,1,2296
8,30,80,1,2296
9,30,58,2,2296
10,30,68,2,2296
11,30,38,3,2296
12,30,49,1,2296
13,30,40,1,2296
14,30,51,1,2296
15,30,42,2,2296
16,30,52,2,2296
17,30,64,1,2296
18,30,62,3,2296
19,30,57,3,2296
20,30,67,3,2296
21,30,29,1,2296
22,30,75,1,2296
23,30,71,1,2296
24,30,34,2,2296
25,30,39,1,2296
26,30,13,1,2296
27,30,47,1,2296
28,30,27,1,2296
29,30,50,3,2296
30,30,63,2,2296
31,30,53,2,2296
32,30,45,1,2296
33,35,62,2,2296
34,35,42,2,2296
35,35,83,1,2296
36,35,60,5,2296
37,35,69,1,2296
38,35,57,3,2296
39,35,13,1,2296
40,35,71,2,2296
41,35,55,1,2296
42,35,33,1,2296
43,35,91,1,2296
44,35,53,2,2296
45,35,75,1,2296
46,35,87,1,2296
47,35,51,2,2296
48,35,56,2,2296
49,35,67,2,2296
50,35,49,2,2296
51,35,50,1,2296
52,35,68,3,2296
53,35,78,2,2296
54,35,73,2,2296
55,35,90,2,2296
56,35,66,1,2296
57,35,81,1,2296
58,35,94,1,2296
59,35,11,1,2296
60,35,64,5,2296
61,35,82,1,2296
62,35,65,2,2296
63,35,27,2,2296
64,35,25,2,2296
65,35,70,1,2296
66,35,41,1,2296
67,35,44,3,2296
68,35,80,2,2296
69,35,48,1,2296
70,35,58,1,2296
71,35,54,1,2296
72,35,61,1,2296
73,35,43,1,2296
74,35,74,2,2296
75,32,70,2,2296
76,32,60,3,2296
77,32,75,2,2296
78,32,20,1,2296
79,32,57,5,2296
80,32,93,1,2296
81,32,61,4,2296
82,32,71,1,2296
83,32,66,2,2296
84,32,53,1,2296
85,32,48,1,2296
86,32,42,1,2296
87,32,50,3,2296
88,32,34,1,2296
89,32,67,2,2296
90,32,33,1,2296
91,32,78,2,2296
92,32,76,1,2296
93,32,68,1,2296
94,32,28,1,2296
