nokta_no,x,y,count,sezon_dakikasi
1,59,8,1,1290
2,59,17,1,1290
3,59,4,2,1290
4,59,6,1,1290
5,59,35,1,1290
6,59,1,1,1290
7,59,31,1,1290
8,55,5,3,1290
9,55,28,1,1290
10,55,16,1,1290
11,55,6,3,1290
12,55,4,1,1290
13,55,10,1,1290
14,55,21,1,1290
15,53,45,1,1290
16,53,6,2,1290
17,53,12,1,1290
18,53,4,1,1290
19,53,2,1,1290
20,53,0,1,1290
21,53,7,1,1290
22,38,4,1,1290
23,38,37,1,1290
24,38,7,1,1290
25,38,13,2,1290
26,38,11,1,1290
27,38,10,1,1290
28,38,6,1,1290
29,38,9,2,1290
30,38,18,1,1290
31,23,48,1,1290
32,23,12,1,1290
33,23,2,1,1290
34,23,3,1,1290
35,48,3,1,1290
36,48,10,1,1290
37,48,5,1,1290
38,48,6,1,1290
39,48,32,1,1290
40,28,6,1,1290
41,28,20,2,1290
42,28,4,1,1290
43,28,12,2,1290
44,28,9,1,1290
45,28,17,1,1290
46,27,7,2,1290
47,27,10,1,1290
48,27,16,1,1290
49,27,45,1,1290
50,27,5,2,1290
51,27,15,1,1290
52,27,29,1,1290
53,44,7,1,1290
54,44,10,2,1290
55,44,6,2,1290
56,44,35,1,1290
57,44,4,1,1290
58,44,0,1,1290
59,96,31,1,1290
60,96,23,1,1290
61,96,51,1,1290
62,96,14,1,1290
63,96,11,1,1290
64,96,35,1,1290
65,96,38,1,1290
66,96,17,1,1290
67,96,13,1,1290
68,31,11,1,1290
69,31,3,1,1290
70,31,14,1,1290
71,31,6,1,1290
72,31,30,1,1290
73,31,10,1,1290
74,31,18,1,1290
75,31,5,2,1290
76,31,25,1,1290
77,31,28,1,1290
78,40,3,2,1290
79,40,5,1,1290
80,40,41,2,1290
81,40,26,1,1290
82,40,0,2,1290
83,40,36,1,1290
84,40,7,2,1290
85,40,18,1,1290
86,40,6,1,1290
87,40,8,1,1290
88,17,12,1,1290
89,17,19,1,1290
90,17,21,1,1290
91,7,3,1,1290
92,7,35,1,1290
93,7,15,1,1290
94,7,28,1,1290
95,7,13,1,1290
96,7,46,1,1290
97,7,7,1,1290
98,7,9,1,1290
99,33,4,1,1290
100,33,10,3,1290
101,33,0,1,1290
102,33,19,2,1290
103,33,5,1,1290
104,33,7,1,1290
105,33,2,1,1290
106,78,34,1,1290
107,78,4,5,1290
108,78,62,1,1290
109,78,3,3,1290
110,78,9,2,1290
111,78,14,1,1290
112,78,5,1,1290
113,78,7,1,1290
114,78,0,3,1290
115,78,37,1,1290
116,78,33,1,1290
117,78,12,1,1290
118,78,2,2,1290
119,78,31,1,1290
120,56,2,1,1290
121,56,17,1,1290
122,56,8,3,1290
123,56,5,2,1290
124,56,3,1,1290
125,56,4,2,1290
126,56,0,2,1290
127,56,1,1,1290
128,67,4,2,1290
129,67,0,2,1290
130,67,6,1,1290
131,67,22,1,1290
132,67,2,1,1290
133,67,3,4,1290
134,67,7,2,1290
135,67,8,1,1290
136,91,22,2,1290
137,91,9,2,1290
138,91,19,2,1290
139,91,18,2,1290
140,91,16,1,1290
141,91,14,2,1290
142,91,10,2,1290
143,91,25,1,1290
144,91,11,1,1290
145,91,8,1,1290
146,91,3,1,1290
147,91,0,1,1290
148,91,36,1,1290
149,91,39,1,1290
150,63,5,1,1290
151,63,11,1,1290
152,63,6,2,1290
153,63,4,1,1290
154,63,9,2,1290
155,63,21,1,1290
156,63,26,1,1290
157,63,3,2,1290
158,35,6,1,1290
159,35,10,1,1290
160,35,16,1,1290
161,35,8,2,1290
162,35,21,1,1290
163,35,4,1,1290
164,35,9,1,1290
165,35,18,1,1290
166,89,11,2,1290
167,89,48,1,1290
168,89,24,1,1290
169,89,15,1,1290
170,89,4,1,1290
171,89,17,1,1290
172,89,8,3,1290
173,89,0,2,1290
174,89,16,1,1290
175,89,26,1,1290
176,89,35,1,1290
177,89,31,2,1290
178,89,6,1,1290
179,64,7,1,1290
180,64,6,2,1290
181,64,4,2,1290
182,64,3,2,1290
183,64,2,1,1290
184,64,19,1,1290
185,64,25,1,1290
186,61,4,2,1290
187,61,3,2,1290
188,61,20,1,1290
189,61,7,1,1290
190,61,5,1,1290
191,61,12,1,1290
192,61,0,1,1290
193,85,9,1,1290
194,85,4,2,1290
195,85,0,3,1290
196,85,3,1,1290
197,85,5,2,1290
198,85,51,1,1290
199,85,7,2,1290
200,85,24,1,1290
201,85,6,1,1290
202,85,17,1,1290
203,85,8,1,1290
204,43,31,1,1290
205,43,6,2,1290
206,43,8,1,1290
207,43,4,2,1290
208,43,22,1,1290
209,43,5,1,1290
210,43,7,1,1290
211,43,16,1,1290
212,43,9,1,1290
213,43,13,1,1290
214,70,18,1,1290
215,70,7,2,1290
216,70,93,1,1290
217,70,4,5,1290
218,70,3,2,1290
219,70,6,1,1290
220,70,73,1,1290
221,70,0,1,1290
222,70,2,2,1290
223,70,36,1,1290
224,70,1,1,1290
225,70,5,1,1290
226,70,8,1,1290
227,70,15,1,1290
228,72,30,1,1290
229,72,17,1,1290
230,72,7,3,1290
231,72,10,1,1290
232,72,2,1,1290
233,72,11,1,1290
234,72,28,1,1290
235,72,0,1,1290
236,72,5,1,1290
237,72,3,1,1290
238,72,23,1,1290
239,72,25,1,1290
240,71,39,1,1290
241,71,4,3,1290
242,71,9,2,1290
243,71,7,1,1290
244,71,8,1,1290
245,76,5,3,1290
246,76,16,1,1290
247,76,7,2,1290
248,76,0,2,1290
249,76,12,1,1290
250,76,13,1,1290
251,76,4,3,1290
252,76,34,1,1290
253,76,2,1,1290
254,66,14,1,1290
255,66,3,4,1290
256,66,4,2,1290
257,66,0,1,1290
258,66,12,1,1290
259,66,5,1,1290
260,66,2,1,1290
261,66,1,1,1290
262,66,41,1,1290
263,84,4,1,1290
264,84,13,1,1290
265,84,9,1,1290
266,84,45,2,1290
267,84,0,2,1290
268,84,49,1,1290
269,84,6,2,1290
270,84,14,1,1290
271,84,12,1,1290
272,90,3,1,1290
273,90,24,1,1290
274,90,18,1,1290
275,90,32,1,1290
276,90,7,3,1290
277,90,35,1,1290
278,90,6,3,1290
279,90,0,2,1290
280,90,38,1,1290
281,90,11,1,1290
282,90,5,1,1290
283,90,10,1,1290
284,90,14,1,1290
285,90,42,1,1290
286,98,22,1,1290
287,98,34,1,1290
288,98,21,1,1290
289,98,25,1,1290
290,98,2,1,1290
291,98,30,1,1290
292,42,3,1,1290
293,42,6,2,1290
294,42,8,1,1290
295,42,4,1,1290
296,42,17,1,1290
297,60,3,2,1290
298,60,1,1,1290
299,60,4,2,1290
300,60,5,3,1290
301,60,7,3,1290
302,60,15,1,1290
303,60,8,1,1290
304,60,6,1,1290
305,60,0,4,1290
306,60,13,1,1290
307,60,2,1,1290
308,83,3,1,1290
309,83,6,1,1290
310,83,16,3,1290
311,83,0,2,1290
312,83,5,2,1290
313,83,19,1,1290
314,83,1,1,1290
