nokta_no,x,y,count,sezon_dakikasi
1,27,54,1,1629
2,27,17,1,1629
3,27,84,1,1629
4,27,73,2,1629
5,27,69,3,1629
6,27,72,2,1629
7,27,37,2,1629
8,27,89,1,1629
9,27,55,1,1629
10,27,24,1,1629
11,27,68,1,1629
12,27,66,2,1629
13,27,31,2,1629
14,27,4,1,1629
15,27,42,1,1629
16,27,74,4,1629
17,27,71,1,1629
18,27,48,1,1629
19,27,78,1,1629
20,27,52,1,1629
21,27,57,1,1629
22,27,79,1,1629
23,27,70,1,1629
24,27,33,1,1629
25,27,56,1,1629
26,27,38,1,1629
27,12,86,1,1629
28,12,42,1,1629
29,12,88,1,1629
30,12,84,2,1629
31,12,80,1,1629
32,12,40,1,1629
33,12,70,1,1629
34,12,33,1,1629
35,12,82,1,1629
36,12,72,1,1629
37,12,46,1,1629
38,12,55,1,1629
39,18,88,1,1629
40,18,63,1,1629
41,18,86,1,1629
42,18,73,1,1629
43,18,66,1,1629
44,18,74,1,1629
45,18,84,1,1629
46,18,81,1,1629
47,18,94,1,1629
48,18,83,1,1629
49,18,44,1,1629
50,18,30,1,1629
51,18,39,1,1629
52,18,77,1,1629
53,19,63,1,1629
54,19,74,1,1629
55,19,47,1,1629
56,19,41,1,1629
57,19,84,1,1629
58,19,28,1,1629
59,19,8,1,1629
60,19,66,1,1629
61,19,75,1,1629
62,19,67,1,1629
63,19,89,1,1629
64,19,93,1,1629
65,19,59,1,1629
66,19,78,1,1629
67,19,71,2,1629
68,19,26,1,1629
69,19,68,1,1629
70,59,46,1,1629
71,59,41,1,1629
72,59,33,2,1629
73,59,25,1,1629
74,59,14,1,1629
75,59,12,1,1629
76,59,43,1,1629
77,59,93,1,1629
78,59,13,1,1629
79,54,41,1,1629
80,54,96,1,1629
81,54,57,1,1629
82,54,49,2,1629
83,54,70,2,1629
84,54,93,1,1629
85,54,84,1,1629
86,54,81,1,1629
87,54,26,1,1629
88,54,39,1,1629
89,54,24,2,1629
90,54,94,1,1629
91,54,55,1,1629
92,54,59,1,1629
93,54,16,1,1629
94,54,30,1,1629
95,54,52,1,1629
96,32,85,3,1629
97,32,52,2,1629
98,32,63,1,1629
99,32,60,3,1629
100,32,24,3,1629
101,32,56,1,1629
102,32,57,1,1629
103,32,69,1,1629
104,32,36,1,1629
105,32,25,1,1629
106,32,42,1,1629
107,32,49,1,1629
108,32,86,1,1629
109,32,35,1,1629
110,32,54,1,1629
111,32,75,2,1629
112,32,74,1,1629
113,32,46,1,1629
114,32,22,1,1629
115,32,80,1,1629
116,32,62,1,1629
117,32,5,1,1629
118,32,55,1,1629
119,32,31,1,1629
120,32,59,1,1629
121,32,66,1,1629
122,32,97,1,1629
123,32,73,1,1629
124,31,86,1,1629
125,31,48,3,1629
126,31,67,3,1629
127,31,57,2,1629
128,31,8,1,1629
129,31,59,1,1629
130,31,62,3,1629
131,31,70,1,1629
132,31,71,2,1629
133,31,61,1,1629
134,31,36,2,1629
135,31,33,2,1629
136,31,60,2,1629
137,31,47,2,1629
138,31,37,1,1629
139,31,43,1,1629
140,31,68,1,1629
141,31,58,2,1629
142,31,66,1,1629
143,31,63,2,1629
144,31,26,1,1629
145,31,51,1,1629
146,31,65,1,1629
147,31,81,1,1629
148,31,22,1,1629
149,31,27,1,1629
150,31,23,1,1629
151,31,29,1,1629
152,31,91,1,1629
153,31,41,1,1629
154,31,82,1,1629
155,24,64,1,1629
156,24,72,3,1629
157,24,97,1,1629
158,24,66,2,1629
159,24,51,1,1629
160,24,54,2,1629
161,24,84,2,1629
162,24,28,1,1629
163,24,32,1,1629
164,24,25,1,1629
165,24,83,1,1629
166,24,30,1,1629
167,24,71,1,1629
168,24,33,1,1629
169,24,11,1,1629
170,24,15,1,1629
171,24,60,1,1629
172,24,26,1,1629
173,24,65,1,1629
174,24,31,1,1629
175,24,70,1,1629
176,24,74,1,1629
177,21,69,2,1629
178,21,67,3,1629
179,21,33,1,1629
180,21,90,1,1629
181,21,83,3,1629
182,21,20,1,1629
183,21,70,2,1629
184,21,72,1,1629
185,21,63,2,1629
186,21,93,1,1629
187,21,21,1,1629
188,21,34,2,1629
189,21,78,1,1629
190,21,84,1,1629
191,16,73,1,1629
192,16,57,1,1629
193,16,37,1,1629
194,16,83,1,1629
195,16,84,1,1629
196,16,67,1,1629
197,38,60,2,1629
198,38,70,1,1629
199,38,91,1,1629
200,38,66,1,1629
201,38,59,1,1629
202,38,50,1,1629
203,38,37,2,1629
204,38,25,1,1629
205,38,30,2,1629
206,38,67,2,1629
207,38,61,1,1629
208,38,58,2,1629
209,38,41,1,1629
210,38,34,1,1629
211,38,77,1,1629
212,38,31,1,1629
213,38,16,1,1629
214,28,42,3,1629
215,28,87,3,1629
216,28,51,1,1629
217,28,90,1,1629
218,28,78,2,1629
219,28,30,1,1629
220,28,37,1,1629
221,28,66,1,1629
222,28,35,1,1629
223,28,73,2,1629
224,28,34,1,1629
225,28,70,2,1629
226,28,41,1,1629
227,28,80,1,1629
228,28,89,1,1629
