nokta_no,x,y,count,sezon_dakikasi
1,40,28,1,1803
2,40,94,1,1803
3,40,66,1,1803
4,40,93,1,1803
5,40,85,1,1803
6,40,37,1,1803
7,40,84,1,1803
8,40,17,1,1803
9,40,31,1,1803
10,40,27,1,1803
11,40,77,2,1803
12,40,58,1,1803
13,40,2,1,1803
14,40,15,1,1803
15,67,44,1,1803
16,67,72,2,1803
17,67,75,1,1803
18,67,68,2,1803
19,67,81,1,1803
20,67,59,1,1803
21,67,17,1,1803
22,67,89,2,1803
23,67,34,1,1803
24,67,43,1,1803
25,67,56,1,1803
26,67,69,1,1803
27,67,13,1,1803
28,67,71,2,1803
29,67,38,1,1803
30,67,35,2,1803
31,67,10,1,1803
32,67,37,1,1803
33,67,36,1,1803
34,67,42,2,1803
35,76,11,1,1803
36,76,62,1,1803
37,76,25,1,1803
38,76,53,1,1803
39,76,83,1,1803
40,76,49,1,1803
41,76,73,1,1803
42,76,63,1,1803
43,76,68,2,1803
44,76,12,2,1803
45,76,44,1,1803
46,76,22,1,1803
47,7,47,2,1803
48,7,43,1,1803
49,7,29,1,1803
50,32,55,2,1803
51,32,85,1,1803
52,32,32,1,1803
53,32,81,1,1803
54,32,58,2,1803
55,32,12,1,1803
56,81,45,1,1803
57,81,47,1,1803
58,81,52,1,1803
59,81,49,2,1803
60,81,6,1,1803
61,81,8,1,1803
62,81,82,1,1803
63,81,75,1,1803
64,81,69,1,1803
65,81,90,1,1803
66,89,41,1,1803
67,89,44,1,1803
68,89,39,1,1803
69,89,67,1,1803
70,89,51,1,1803
71,89,25,2,1803
72,88,32,1,1803
73,88,50,2,1803
74,88,66,1,1803
75,88,16,1,1803
76,88,43,1,1803
77,88,26,2,1803
78,88,61,1,1803
79,88,64,2,1803
80,88,28,1,1803
81,88,22,1,1803
82,88,41,1,1803
83,88,11,1,1803
84,88,58,1,1803
85,88,57,1,1803
86,42,15,1,1803
87,42,69,1,1803
88,42,80,1,1803
89,42,5,1,1803
90,42,64,1,1803
91,42,47,1,1803
92,42,57,1,1803
93,42,34,1,1803
94,42,71,1,1803
95,42,59,1,1803
96,42,76,1,1803
97,36,10,1,1803
98,36,82,1,1803
99,36,80,1,1803
100,36,73,1,1803
101,36,90,1,1803
102,36,43,1,1803
103,36,33,1,1803
104,36,54,1,1803
105,36,34,1,1803
106,36,15,1,1803
107,69,33,1,1803
108,69,42,1,1803
109,69,85,2,1803
110,69,65,1,1803
111,69,49,1,1803
