nokta_no,x,y,count,sezon_dakikasi
1,30,61,1,1312
2,30,80,1,1312
3,30,67,1,1312
4,30,66,1,1312
5,30,44,1,1312
6,30,76,1,1312
7,30,81,1,1312
8,30,10,1,1312
9,30,84,1,1312
10,30,86,1,1312
11,30,90,1,1312
12,30,89,1,1312
13,30,11,1,1312
14,18,27,1,1312
15,18,53,1,1312
16,18,74,1,1312
17,18,93,1,1312
18,18,67,1,1312
19,19,21,1,1312
20,19,90,1,1312
21,42,10,1,1312
22,42,65,2,1312
23,42,50,1,1312
24,42,64,1,1312
25,42,8,1,1312
26,42,71,2,1312
27,42,74,1,1312
28,42,69,1,1312
29,42,67,1,1312
30,62,66,1,1312
31,62,76,2,1312
32,62,63,1,1312
33,62,65,1,1312
34,62,31,1,1312
35,62,75,2,1312
36,62,20,1,1312
37,62,41,2,1312
38,62,86,1,1312
39,62,77,1,1312
40,62,69,1,1312
41,62,70,1,1312
42,62,53,1,1312
43,62,89,1,1312
44,62,72,1,1312
45,62,24,1,1312
46,68,76,1,1312
47,68,69,2,1312
48,68,87,2,1312
49,68,38,2,1312
50,68,18,2,1312
51,68,54,1,1312
52,68,39,1,1312
53,68,43,1,1312
54,68,27,1,1312
55,68,67,2,1312
56,68,77,1,1312
57,68,61,1,1312
58,68,63,1,1312
59,68,83,1,1312
60,68,34,1,1312
61,68,48,2,1312
62,68,85,1,1312
63,68,71,1,1312
64,68,84,1,1312
65,68,93,3,1312
66,68,100,1,1312
67,68,57,1,1312
68,68,59,1,1312
69,76,90,1,1312
70,76,96,1,1312
71,76,28,1,1312
72,76,78,1,1312
73,76,12,2,1312
74,76,71,1,1312
75,76,59,1,1312
76,76,52,1,1312
77,76,75,1,1312
78,76,69,1,1312
79,76,66,1,1312
80,76,10,1,1312
81,76,21,1,1312
82,76,80,2,1312
83,76,82,1,1312
84,76,88,1,1312
85,76,89,1,1312
86,82,78,1,1312
87,82,73,1,1312
88,82,94,1,1312
89,82,92,1,1312
90,82,70,1,1312
91,82,80,1,1312
92,46,90,2,1312
93,46,64,1,1312
94,46,88,1,1312
95,46,4,1,1312
96,46,47,1,1312
97,46,35,1,1312
98,46,82,1,1312
99,46,5,1,1312
100,46,20,1,1312
101,46,57,1,1312
102,46,73,1,1312
103,46,42,1,1312
104,57,77,1,1312
105,57,96,2,1312
106,57,67,1,1312
107,57,83,2,1312
108,57,37,1,1312
109,57,38,1,1312
110,57,66,2,1312
111,57,41,1,1312
112,57,63,1,1312
113,57,52,1,1312
114,57,94,2,1312
115,57,69,1,1312
116,57,70,1,1312
117,57,25,1,1312
118,57,68,1,1312
119,57,28,1,1312
120,57,82,1,1312
121,57,85,1,1312
122,57,91,1,1312
123,57,71,1,1312
124,57,84,2,1312
125,57,31,1,1312
126,38,46,1,1312
127,38,76,1,1312
128,38,64,1,1312
129,38,9,1,1312
130,38,32,1,1312
131,38,10,1,1312
132,38,91,1,1312
133,38,85,1,1312
134,38,77,1,1312
135,38,62,1,1312
136,38,84,1,1312
137,38,89,1,1312
138,38,51,1,1312
139,38,88,1,1312
140,38,73,1,1312
141,38,70,1,1312
142,38,35,1,1312
143,38,26,1,1312
144,38,6,1,1312
145,45,74,2,1312
146,45,78,1,1312
147,45,63,2,1312
148,45,10,1,1312
149,45,92,1,1312
150,45,46,1,1312
151,45,69,1,1312
152,45,11,1,1312
153,45,34,1,1312
154,45,81,1,1312
155,63,95,2,1312
156,63,65,1,1312
157,63,78,1,1312
158,63,54,1,1312
159,63,16,1,1312
160,63,75,1,1312
161,63,66,1,1312
162,63,87,2,1312
163,63,82,1,1312
164,63,42,1,1312
165,63,51,1,1312
166,63,58,1,1312
167,63,69,1,1312
168,63,64,1,1312
169,63,83,1,1312
170,63,74,1,1312
171,63,21,1,1312
172,63,39,1,1312
173,63,68,2,1312
174,63,100,1,1312
175,63,8,1,1312
176,63,29,1,1312
177,63,20,1,1312
178,63,90,1,1312
179,63,3,1,1312
180,21,54,1,1312
181,21,37,1,1312
182,21,71,1,1312
183,21,95,1,1312
184,21,34,2,1312
185,21,63,1,1312
186,21,7,1,1312
187,21,9,1,1312
188,21,92,2,1312
189,21,52,1,1312
190,20,54,3,1312
191,20,92,1,1312
192,20,6,1,1312
193,20,90,1,1312
194,20,35,1,1312
195,20,3,1,1312
196,65,54,2,1312
197,65,81,1,1312
198,65,84,1,1312
199,65,55,2,1312
200,65,61,2,1312
201,65,40,1,1312
202,65,30,1,1312
203,65,87,2,1312
204,65,73,1,1312
205,65,88,1,1312
206,65,46,1,1312
207,65,94,1,1312
208,65,62,2,1312
209,65,7,1,1312
210,65,22,1,1312
211,65,35,1,1312
212,65,78,2,1312
213,65,91,1,1312
214,65,80,1,1312
215,65,95,1,1312
216,65,65,2,1312
217,65,24,1,1312
218,65,51,1,1312
219,65,66,1,1312
220,65,57,1,1312
221,65,36,1,1312
222,29,76,1,1312
223,29,89,1,1312
224,29,94,1,1312
225,29,72,1,1312
226,29,38,1,1312
227,29,95,1,1312
228,29,4,1,1312
229,29,8,1,1312
230,29,53,1,1312
231,29,45,1,1312
232,29,82,1,1312
233,40,65,1,1312
234,40,85,1,1312
235,40,80,1,1312
236,40,90,2,1312
237,40,86,1,1312
238,40,43,1,1312
239,40,69,1,1312
240,40,71,2,1312
241,40,70,1,1312
242,40,62,1,1312
243,40,24,1,1312
244,40,82,1,1312
245,40,23,1,1312
246,55,22,1,1312
247,55,71,1,1312
248,55,67,1,1312
249,55,85,1,1312
250,55,88,1,1312
251,55,74,1,1312
252,55,59,1,1312
253,55,46,1,1312
254,55,7,1,1312
255,55,53,1,1312
256,55,6,1,1312
257,55,30,1,1312
258,55,72,1,1312
259,55,79,1,1312
260,55,90,1,1312
261,55,65,1,1312
262,55,4,1,1312
263,70,85,1,1312
264,70,61,1,1312
265,70,49,2,1312
266,70,55,2,1312
267,70,66,1,1312
268,70,64,1,1312
269,70,82,1,1312
270,70,77,1,1312
271,70,11,1,1312
272,70,47,1,1312
273,70,72,1,1312
274,70,58,1,1312
275,70,62,1,1312
276,70,92,2,1312
277,70,53,1,1312
278,70,13,1,1312
279,70,79,2,1312
280,70,40,1,1312
281,70,50,1,1312
282,70,96,2,1312
283,70,41,1,1312
284,70,28,1,1312
285,70,63,2,1312
286,70,74,1,1312
287,70,89,1,1312
288,22,90,1,1312
289,22,41,1,1312
290,22,88,1,1312
291,22,87,1,1312
292,22,91,1,1312
293,22,27,1,1312
294,22,79,1,1312
295,22,46,1,1312
296,22,3,1,1312
297,22,60,1,1312
298,89,80,1,1312
299,89,43,1,1312
300,89,66,1,1312
301,44,64,2,1312
302,44,60,1,1312
303,44,83,1,1312
304,44,71,1,1312
305,44,68,2,1312
306,44,30,2,1312
307,44,82,1,1312
308,44,32,1,1312
309,44,70,3,1312
310,44,91,1,1312
311,44,20,1,1312
312,44,35,1,1312
313,59,27,1,1312
314,59,60,1,1312
315,59,23,2,1312
316,59,54,1,1312
317,59,36,1,1312
318,59,28,1,1312
319,59,45,1,1312
320,59,76,1,1312
321,59,5,1,1312
322,59,80,1,1312
323,59,22,1,1312
324,59,11,1,1312
325,59,90,1,1312
326,59,87,3,1312
327,59,64,1,1312
328,59,68,1,1312
329,59,83,1,1312
330,67,31,1,1312
331,67,46,1,1312
332,67,24,1,1312
333,67,94,1,1312
334,67,78,1,1312
335,67,67,1,1312
336,67,81,1,1312
337,67,42,2,1312
338,67,80,2,1312
339,67,50,1,1312
340,67,77,1,1312
341,67,62,1,1312
342,67,19,1,1312
343,67,52,1,1312
344,67,57,1,1312
345,67,29,1,1312
346,67,74,1,1312
347,67,91,1,1312
348,67,85,1,1312
349,67,26,1,1312
350,67,68,2,1312
351,67,82,1,1312
352,67,60,1,1312
353,74,22,1,1312
354,74,35,1,1312
355,74,54,1,1312
356,74,74,5,1312
357,74,82,1,1312
358,74,91,1,1312
359,74,18,1,1312
360,74,62,1,1312
361,74,42,1,1312
362,74,92,1,1312
363,74,28,1,1312
364,74,44,1,1312
365,74,70,1,1312
366,74,88,1,1312
367,74,32,1,1312
368,74,56,1,1312
369,74,48,1,1312
370,74,86,1,1312
371,74,52,1,1312
372,74,7,1,1312
373,36,88,1,1312
374,36,87,1,1312
375,36,28,1,1312
376,36,46,1,1312
377,36,72,1,1312
378,36,55,1,1312
379,36,40,1,1312
380,36,47,1,1312
381,36,92,2,1312
382,36,93,1,1312
383,36,89,1,1312
384,33,85,1,1312
385,33,96,1,1312
386,33,87,2,1312
387,33,82,1,1312
388,33,69,1,1312
389,33,79,1,1312
390,33,25,1,1312
391,33,43,1,1312
392,33,65,1,1312
393,39,79,2,1312
394,39,94,1,1312
395,39,72,1,1312
396,39,54,1,1312
397,39,70,2,1312
398,39,43,1,1312
399,39,86,1,1312
400,39,85,1,1312
401,39,16,1,1312
402,39,95,1,1312
403,39,31,1,1312
404,39,7,1,1312
405,39,90,1,1312
406,79,74,1,1312
407,79,66,1,1312
408,79,53,1,1312
