nokta_no,x,y,count,sezon_dakikasi
1,32,29,5,2708
2,32,6,1,2708
3,32,79,1,2708
4,32,70,1,2708
5,32,59,1,2708
6,32,72,1,2708
7,32,65,2,2708
8,32,80,1,2708
9,32,64,5,2708
10,32,67,1,2708
11,32,78,2,2708
12,32,75,2,2708
13,32,63,1,2708
14,32,84,1,2708
15,32,83,1,2708
16,32,45,2,2708
17,32,60,2,2708
18,32,82,1,2708
19,32,61,3,2708
20,32,28,2,2708
21,32,21,3,2708
22,32,53,1,2708
23,32,73,4,2708
24,32,51,2,2708
25,32,41,1,2708
26,32,35,2,2708
27,32,38,2,2708
28,32,27,2,2708
29,32,40,5,2708
30,32,36,2,2708
31,32,32,6,2708
32,32,34,2,2708
33,32,17,1,2708
34,32,20,3,2708
35,32,42,2,2708
36,32,26,2,2708
37,32,37,1,2708
38,32,71,1,2708
39,32,55,3,2708
40,32,31,2,2708
41,32,43,2,2708
42,32,39,2,2708
43,32,19,1,2708
44,32,52,2,2708
45,32,8,1,2708
46,32,50,1,2708
47,32,56,1,2708
48,32,7,3,2708
49,32,48,2,2708
50,32,22,1,2708
51,32,33,1,2708
52,39,71,1,2708
53,39,72,1,2708
54,39,67,1,2708
55,39,63,2,2708
56,39,65,2,2708
57,39,79,1,2708
58,39,73,1,2708
59,39,81,1,2708
60,39,90,1,2708
61,39,93,1,2708
62,39,44,4,2708
63,39,60,3,2708
64,39,66,2,2708
65,39,88,1,2708
66,39,61,1,2708
67,39,30,2,2708
68,39,62,4,2708
69,39,29,3,2708
70,39,10,1,2708
71,39,34,2,2708
72,39,38,2,2708
73,39,49,2,2708
74,39,14,1,2708
75,39,26,1,2708
76,39,43,1,2708
77,39,54,2,2708
78,39,37,3,2708
79,39,24,1,2708
80,39,25,1,2708
81,39,28,2,2708
82,39,35,2,2708
83,39,45,2,2708
84,39,5,1,2708
85,39,27,1,2708
86,39,48,1,2708
87,39,36,2,2708
88,39,33,1,2708
89,39,47,2,2708
90,39,68,1,2708
91,39,40,1,2708
92,39,52,1,2708
93,43,78,2,2708
94,43,73,2,2708
95,43,69,1,2708
