nokta_no,x,y,count,sezon_dakikasi
1,56,29,1,2107
2,56,90,2,2107
3,56,66,2,2107
4,56,50,1,2107
5,56,72,2,2107
6,56,75,1,2107
7,56,70,3,2107
8,56,67,2,2107
9,56,45,3,2107
10,56,53,1,2107
11,56,20,1,2107
12,56,56,1,2107
13,56,48,2,2107
14,56,44,1,2107
15,56,83,3,2107
16,56,35,1,2107
17,56,12,1,2107
18,56,9,1,2107
19,56,24,1,2107
20,56,26,1,2107
21,56,19,1,2107
22,56,65,1,2107
23,56,54,3,2107
24,56,92,2,2107
25,56,95,1,2107
26,56,16,1,2107
27,56,40,1,2107
28,56,31,2,2107
29,56,74,1,2107
30,56,82,1,2107
31,56,23,1,2107
32,56,62,1,2107
33,55,75,2,2107
34,55,80,1,2107
35,55,73,1,2107
36,55,40,1,2107
37,55,65,2,2107
38,55,49,1,2107
39,55,55,1,2107
40,55,63,2,2107
41,55,79,1,2107
42,55,36,1,2107
43,55,54,2,2107
44,55,43,2,2107
45,55,70,4,2107
46,55,67,2,2107
47,55,84,1,2107
48,55,69,1,2107
49,55,44,1,2107
50,55,41,1,2107
51,55,59,1,2107
52,55,58,2,2107
53,55,27,1,2107
54,55,62,1,2107
55,55,82,1,2107
56,55,93,2,2107
57,55,77,2,2107
58,55,51,1,2107
59,55,9,1,2107
60,55,89,2,2107
61,55,32,1,2107
62,55,30,2,2107
63,55,47,1,2107
64,55,48,2,2107
65,55,15,1,2107
66,55,37,2,2107
67,55,83,1,2107
68,55,39,2,2107
69,55,18,1,2107
70,55,50,1,2107
71,55,22,2,2107
72,55,33,1,2107
73,55,26,1,2107
74,55,10,1,2107
75,55,91,2,2107
76,55,72,1,2107
77,66,33,1,2107
78,66,76,1,2107
79,66,73,2,2107
80,66,52,3,2107
81,66,37,1,2107
82,66,61,1,2107
83,66,53,2,2107
84,66,54,2,2107
85,66,70,1,2107
86,66,47,1,2107
87,66,78,2,2107
88,66,59,1,2107
89,66,36,1,2107
90,66,34,2,2107
91,66,49,2,2107
92,66,66,2,2107
93,66,63,5,2107
94,66,67,4,2107
95,66,62,2,2107
96,66,17,1,2107
97,66,42,3,2107
98,66,26,1,2107
99,66,21,2,2107
100,66,43,2,2107
101,66,50,1,2107
102,66,35,1,2107
103,66,24,1,2107
104,66,65,2,2107
105,66,55,1,2107
106,66,48,1,2107
107,66,83,1,2107
108,66,64,1,2107
109,66,56,1,2107
110,66,58,2,2107
111,66,85,1,2107
112,66,44,1,2107
113,66,72,1,2107
114,66,60,1,2107
115,66,91,2,2107
116,66,23,1,2107
117,66,82,2,2107
118,66,79,1,2107
119,66,90,2,2107
120,66,57,1,2107
121,66,38,2,2107
122,66,92,1,2107
123,66,80,2,2107
124,66,41,1,2107
125,66,69,1,2107
126,66,27,1,2107
127,64,63,3,2107
128,64,68,2,2107
129,64,20,1,2107
130,64,47,4,2107
131,64,46,2,2107
132,64,71,1,2107
133,64,94,1,2107
134,64,50,1,2107
135,64,45,2,2107
136,64,62,1,2107
137,64,73,2,2107
138,64,60,1,2107
139,64,51,1,2107
140,64,74,1,2107
141,64,91,2,2107
142,64,49,1,2107
143,64,41,1,2107
144,64,90,1,2107
145,64,23,1,2107
146,64,77,1,2107
147,64,65,2,2107
148,64,15,1,2107
149,64,44,1,2107
150,64,21,3,2107
151,64,92,1,2107
152,64,40,1,2107
153,64,31,3,2107
154,64,30,1,2107
155,64,80,1,2107
156,64,10,1,2107
157,64,32,1,2107
158,64,59,1,2107
159,64,39,1,2107
160,64,55,3,2107
161,64,38,2,2107
162,64,28,1,2107
163,64,72,1,2107
164,64,61,1,2107
165,64,85,1,2107
166,64,89,1,2107
167,64,34,1,2107
168,64,64,1,2107
169,64,58,1,2107
170,64,52,1,2107
171,70,84,1,2107
172,70,39,3,2107
173,70,45,2,2107
174,70,59,2,2107
175,70,74,2,2107
176,70,81,1,2107
177,70,52,1,2107
178,70,46,2,2107
179,70,93,1,2107
180,70,21,1,2107
181,70,62,3,2107
182,70,65,2,2107
183,70,57,3,2107
184,70,87,1,2107
185,70,70,1,2107
186,70,43,1,2107
187,70,64,3,2107
188,70,40,2,2107
189,70,41,1,2107
190,70,96,2,2107
191,70,36,2,2107
192,70,47,1,2107
193,70,51,1,2107
194,70,8,1,2107
195,70,34,1,2107
196,70,31,1,2107
197,70,80,1,2107
198,70,49,1,2107
199,70,69,1,2107
200,70,19,1,2107
201,70,9,1,2107
202,70,92,1,2107
203,70,28,1,2107
204,70,67,2,2107
205,70,29,1,2107
206,70,61,1,2107
207,70,77,1,2107
208,70,42,1,2107
209,70,7,1,2107
210,70,89,1,2107
211,70,91,1,2107
212,70,15,1,2107
213,70,17,1,2107
214,70,85,1,2107
215,70,63,1,2107
216,60,87,2,2107
217,60,40,2,2107
218,60,39,2,2107
219,60,83,2,2107
220,60,73,2,2107
221,60,55,1,2107
222,60,52,1,2107
223,60,38,3,2107
224,60,66,5,2107
225,60,64,1,2107
226,60,86,2,2107
227,60,32,3,2107
228,60,35,1,2107
229,60,31,1,2107
230,60,20,2,2107
231,60,84,1,2107
232,60,79,1,2107
233,60,29,1,2107
234,60,97,2,2107
235,60,75,1,2107
236,60,37,3,2107
237,60,34,1,2107
238,60,42,1,2107
239,60,63,2,2107
240,60,69,2,2107
241,60,80,1,2107
242,60,23,1,2107
243,60,74,1,2107
244,60,53,1,2107
