nokta_no,x,y,count,sezon_dakikasi
1,44,21,1,1984
2,44,0,2,1984
3,44,17,1,1984
4,44,45,1,1984
5,44,5,1,1984
6,44,2,1,1984
7,44,9,1,1984
8,44,36,1,1984
9,44,26,1,1984
10,44,22,2,1984
11,44,33,1,1984
12,44,30,1,1984
13,44,4,1,1984
14,44,91,1,1984
15,44,94,1,1984
16,44,95,1,1984
17,44,80,1,1984
18,44,24,1,1984
19,44,27,2,1984
20,44,28,1,1984
21,44,34,1,1984
22,44,35,1,1984
23,44,84,1,1984
24,44,12,1,1984
25,44,7,1,1984
26,25,11,1,1984
27,25,5,2,1984
28,25,81,1,1984
29,25,18,1,1984
30,25,14,2,1984
31,25,15,1,1984
32,25,0,1,1984
33,25,39,2,1984
34,25,3,1,1984
35,25,8,2,1984
36,25,10,1,1984
37,25,35,1,1984
38,25,43,1,1984
39,25,37,1,1984
40,25,25,1,1984
41,25,31,1,1984
42,25,22,1,1984
43,25,7,1,1984
44,25,23,1,1984
45,35,26,2,1984
46,35,16,2,1984
47,35,38,1,1984
48,35,27,1,1984
49,35,12,1,1984
50,35,44,1,1984
51,35,22,1,1984
52,35,21,1,1984
53,35,35,2,1984
54,35,47,1,1984
55,35,5,1,1984
56,35,32,1,1984
57,35,6,3,1984
58,35,23,1,1984
59,35,8,1,1984
60,35,95,1,1984
61,35,87,1,1984
62,35,41,1,1984
63,35,46,1,1984
64,35,0,3,1984
65,35,55,1,1984
66,35,81,1,1984
67,35,90,1,1984
68,35,28,1,1984
69,35,37,1,1984
70,35,91,1,1984
71,35,13,1,1984
72,78,0,1,1984
73,78,14,1,1984
74,78,27,1,1984
75,78,16,1,1984
76,78,91,1,1984
77,78,6,1,1984
78,78,22,1,1984
79,78,11,2,1984
80,78,94,1,1984
81,78,4,1,1984
82,78,23,1,1984
83,78,25,1,1984
84,78,10,2,1984
85,78,9,2,1984
86,42,17,4,1984
87,42,14,3,1984
88,42,38,1,1984
89,42,22,2,1984
90,42,5,2,1984
91,42,28,1,1984
92,42,25,2,1984
93,42,30,2,1984
94,42,10,2,1984
95,42,65,1,1984
96,42,23,3,1984
97,42,11,4,1984
98,42,16,1,1984
99,42,29,2,1984
100,42,13,1,1984
101,42,18,1,1984
102,42,59,1,1984
103,42,19,1,1984
104,42,8,1,1984
105,42,6,1,1984
106,42,12,1,1984
107,42,21,1,1984
108,42,40,1,1984
109,42,33,1,1984
110,66,30,2,1984
111,66,41,2,1984
112,66,5,2,1984
113,66,7,1,1984
114,66,10,2,1984
115,66,3,2,1984
116,66,15,3,1984
117,66,14,1,1984
118,66,21,1,1984
119,66,16,3,1984
120,66,0,1,1984
121,66,17,3,1984
122,66,11,1,1984
123,66,88,2,1984
124,66,23,1,1984
125,66,38,1,1984
126,66,51,1,1984
127,66,25,1,1984
128,66,9,1,1984
129,66,36,1,1984
130,66,4,1,1984
131,66,6,2,1984
132,66,27,1,1984
133,66,63,1,1984
134,66,1,1,1984
135,68,18,2,1984
136,68,15,1,1984
137,68,33,1,1984
138,68,10,2,1984
139,68,81,1,1984
140,68,94,1,1984
141,68,91,1,1984
142,68,21,1,1984
143,68,17,1,1984
144,68,8,2,1984
145,68,0,2,1984
146,68,100,1,1984
147,68,36,1,1984
148,68,34,1,1984
149,68,42,1,1984
150,68,7,1,1984
151,68,6,1,1984
152,68,60,1,1984
153,68,73,1,1984
154,76,8,1,1984
155,76,22,1,1984
