nokta_no,x,y,count,sezon_dakikasi
1,50,50,1,2200
2,50,49,2,2200
3,50,15,1,2200
4,50,87,1,2200
5,62,15,1,2200
6,62,32,1,2200
7,62,36,2,2200
8,62,80,1,2200
9,62,40,2,2200
10,62,29,1,2200
11,62,3,2,2200
12,62,39,2,2200
13,62,71,2,2200
14,62,68,1,2200
15,62,57,2,2200
16,62,62,1,2200
17,62,61,1,2200
18,62,18,1,2200
19,62,43,2,2200
20,62,38,1,2200
21,62,37,1,2200
22,62,25,1,2200
23,62,69,1,2200
24,62,33,1,2200
25,62,10,1,2200
26,62,49,1,2200
27,62,27,1,2200
28,62,79,2,2200
29,62,91,2,2200
30,62,48,2,2200
31,62,35,1,2200
32,62,72,1,2200
33,62,47,1,2200
34,62,78,1,2200
35,58,28,1,2200
36,58,12,1,2200
37,58,10,1,2200
38,58,46,1,2200
39,58,31,2,2200
40,58,82,2,2200
41,58,37,1,2200
42,58,15,2,2200
43,58,33,1,2200
44,58,91,1,2200
45,58,66,1,2200
46,58,35,1,2200
47,58,74,1,2200
48,58,22,1,2200
49,58,38,3,2200
50,58,6,1,2200
51,58,34,1,2200
52,58,27,1,2200
53,58,90,1,2200
54,68,77,5,2200
55,68,96,1,2200
56,68,37,2,2200
57,68,11,1,2200
58,68,93,2,2200
59,68,18,1,2200
60,68,92,2,2200
61,68,41,1,2200
62,68,36,1,2200
63,68,72,1,2200
64,68,75,1,2200
65,68,64,1,2200
66,68,67,2,2200
67,68,34,2,2200
68,68,62,1,2200
69,68,50,1,2200
70,68,20,2,2200
71,68,26,1,2200
72,68,95,1,2200
73,68,46,1,2200
74,68,14,1,2200
75,68,48,1,2200
76,68,88,1,2200
77,56,39,1,2200
78,56,72,1,2200
79,56,43,1,2200
80,56,64,1,2200
81,56,21,1,2200
82,56,6,1,2200
83,56,67,2,2200
84,56,85,1,2200
85,56,57,1,2200
86,56,47,1,2200
87,56,91,2,2200
88,56,5,3,2200
89,56,82,1,2200
90,56,4,2,2200
91,56,38,2,2200
92,56,50,1,2200
93,56,51,1,2200
94,56,31,2,2200
95,56,68,2,2200
96,56,73,1,2200
97,56,83,1,2200
98,56,46,1,2200
99,56,81,1,2200
100,57,36,1,2200
101,57,92,1,2200
102,57,13,1,2200
103,57,69,1,2200
104,57,20,1,2200
105,57,5,2,2200
106,57,7,1,2200
107,57,76,1,2200
108,57,12,1,2200
109,57,43,1,2200
110,57,29,2,2200
111,57,18,2,2200
112,57,64,2,2200
113,57,51,3,2200
114,57,16,1,2200
115,57,91,1,2200
116,57,28,1,2200
117,57,26,2,2200
118,57,9,1,2200
119,57,46,1,2200
120,57,34,1,2200
121,73,74,2,2200
122,73,95,1,2200
123,73,70,1,2200
124,73,96,1,2200
125,73,91,2,2200
126,73,46,1,2200
127,73,17,2,2200
128,73,71,1,2200
129,73,30,1,2200
130,73,51,1,2200
131,73,4,1,2200
132,73,69,2,2200
133,73,31,1,2200
134,73,47,1,2200
135,73,6,1,2200
136,73,19,1,2200
137,73,41,1,2200
138,73,82,1,2200
139,73,20,1,2200
140,73,26,1,2200
141,73,65,2,2200
142,73,81,1,2200
143,73,56,1,2200
144,44,14,1,2200
145,44,64,2,2200
146,44,87,1,2200
147,44,95,1,2200
148,44,2,1,2200
149,44,11,1,2200
150,44,23,1,2200
151,44,77,1,2200
152,44,89,1,2200
153,44,7,2,2200
154,44,42,1,2200
155,44,29,1,2200
156,44,45,2,2200
157,44,81,1,2200
158,44,21,1,2200
159,44,30,2,2200
160,44,50,2,2200
161,44,69,1,2200
162,44,93,1,2200
163,44,6,3,2200
164,44,63,1,2200
165,44,53,1,2200
166,59,42,1,2200
167,59,32,1,2200
168,59,38,1,2200
169,59,7,1,2200
170,59,30,1,2200
171,59,17,1,2200
172,59,97,1,2200
173,59,18,1,2200
174,59,55,1,2200
175,59,76,2,2200
176,59,12,1,2200
177,59,22,2,2200
178,59,23,2,2200
179,59,57,1,2200
180,59,33,2,2200
181,59,65,1,2200
182,59,54,1,2200
183,59,79,1,2200
184,59,4,1,2200
185,59,10,1,2200
186,74,20,1,2200
187,74,50,1,2200
188,74,80,2,2200
189,74,61,1,2200
190,74,88,1,2200
191,74,70,1,2200
192,74,7,1,2200
193,74,13,1,2200
194,74,27,2,2200
195,74,86,1,2200
196,74,19,1,2200
197,74,48,1,2200
198,74,39,2,2200
199,74,32,1,2200
200,74,35,1,2200
201,74,34,1,2200
202,74,92,1,2200
203,74,60,1,2200
204,74,95,1,2200
205,74,52,1,2200
206,74,57,2,2200
207,74,41,1,2200
208,79,1,1,2200
209,79,19,1,2200
210,79,18,1,2200
211,79,7,1,2200
212,79,83,1,2200
213,79,30,1,2200
214,79,4,1,2200
215,79,27,1,2200
216,79,36,1,2200
217,79,15,2,2200
218,79,85,1,2200
219,79,39,1,2200
220,79,94,1,2200
221,79,10,1,2200
