nokta_no,x,y,count,sezon_dakikasi
1,36,47,3,2953
2,36,27,3,2953
3,36,31,4,2953
4,36,59,1,2953
5,36,42,2,2953
6,36,21,3,2953
7,36,85,1,2953
8,36,26,4,2953
9,36,53,2,2953
10,36,57,1,2953
11,36,87,2,2953
12,36,10,1,2953
13,36,32,1,2953
14,36,23,1,2953
15,36,30,2,2953
16,36,28,1,2953
17,36,39,3,2953
18,36,50,2,2953
19,36,33,3,2953
20,36,45,1,2953
21,36,29,1,2953
22,36,48,1,2953
23,36,18,2,2953
24,36,34,4,2953
25,36,62,1,2953
26,36,44,3,2953
27,36,36,1,2953
28,36,88,1,2953
29,36,52,1,2953
30,36,51,2,2953
31,36,40,1,2953
32,36,46,4,2953
33,36,35,1,2953
34,36,24,1,2953
35,36,58,1,2953
36,36,56,1,2953
37,36,11,1,2953
38,36,63,1,2953
39,36,64,1,2953
40,36,41,2,2953
41,36,9,1,2953
42,27,22,2,2953
43,27,16,1,2953
44,27,42,5,2953
45,27,39,4,2953
46,27,27,3,2953
47,27,17,2,2953
48,27,45,1,2953
49,27,18,2,2953
50,27,20,1,2953
51,27,50,1,2953
52,27,41,1,2953
53,27,15,1,2953
54,27,21,1,2953
55,27,52,3,2953
56,27,29,2,2953
57,27,37,2,2953
58,27,68,2,2953
59,27,49,1,2953
60,27,31,1,2953
61,27,33,3,2953
62,27,34,2,2953
63,27,36,1,2953
64,27,25,2,2953
65,27,38,2,2953
66,27,56,1,2953
67,27,26,2,2953
68,27,4,1,2953
69,27,40,1,2953
70,27,14,2,2953
71,27,28,1,2953
72,27,44,1,2953
73,27,65,1,2953
74,27,8,1,2953
75,27,10,1,2953
76,27,11,1,2953
77,27,23,1,2953
78,27,46,2,2953
79,27,30,1,2953
80,27,13,1,2953
81,29,22,1,2953
82,29,30,2,2953
83,29,26,1,2953
84,29,34,3,2953
85,29,2,1,2953
86,29,10,2,2953
87,29,32,1,2953
88,29,33,3,2953
89,29,44,4,2953
90,29,28,2,2953
91,29,29,3,2953
92,29,21,1,2953
93,29,45,2,2953
94,29,7,1,2953
95,29,37,2,2953
96,29,16,2,2953
97,29,19,1,2953
98,29,24,2,2953
99,29,38,4,2953
100,29,23,1,2953
101,29,27,2,2953
102,29,36,2,2953
103,29,46,4,2953
104,29,47,2,2953
105,29,66,1,2953
106,29,39,4,2953
107,29,42,2,2953
108,29,54,1,2953
109,29,50,1,2953
110,29,41,1,2953
111,29,65,1,2953
112,29,12,1,2953
113,29,35,2,2953
114,29,49,2,2953
115,29,88,1,2953
116,29,31,1,2953
117,29,75,2,2953
118,29,48,1,2953
119,29,25,2,2953
120,34,27,1,2953
121,34,33,4,2953
122,34,36,3,2953
123,34,14,1,2953
124,34,43,1,2953
125,34,7,2,2953
126,34,31,3,2953
127,34,38,4,2953
128,34,16,1,2953
129,34,59,3,2953
130,34,91,1,2953
131,34,48,1,2953
132,34,25,2,2953
133,34,41,2,2953
134,34,29,4,2953
135,34,13,1,2953
136,34,75,1,2953
137,34,32,2,2953
138,34,11,2,2953
139,34,35,1,2953
140,34,37,3,2953
141,34,70,1,2953
142,34,30,4,2953
143,34,19,2,2953
144,34,21,1,2953
145,34,26,1,2953
146,34,15,2,2953
147,34,45,2,2953
148,34,28,1,2953
149,34,40,4,2953
150,34,39,4,2953
151,34,34,3,2953
152,34,47,1,2953
153,34,53,1,2953
154,34,24,1,2953
155,34,22,1,2953
156,34,0,1,2953
157,34,46,3,2953
158,34,17,1,2953
159,34,42,3,2953
160,34,20,2,2953
161,34,60,1,2953
162,34,49,1,2953
163,34,8,1,2953
164,34,63,1,2953
165,34,56,1,2953
166,34,52,1,2953
167,43,92,1,2953
168,43,47,1,2953
169,43,34,3,2953
170,43,31,2,2953
171,43,43,1,2953
172,43,50,1,2953
173,43,32,2,2953
174,43,36,4,2953
175,43,38,2,2953
176,43,26,1,2953
177,43,52,1,2953
178,43,51,2,2953
179,43,18,1,2953
180,43,30,2,2953
181,43,40,1,2953
182,43,45,2,2953
183,43,44,2,2953
184,43,29,3,2953
185,43,12,1,2953
186,43,24,1,2953
187,43,0,2,2953
188,43,79,1,2953
189,43,68,1,2953
190,43,27,3,2953
191,43,7,1,2953
192,43,6,1,2953
193,43,17,2,2953
194,43,46,1,2953
195,43,8,1,2953
196,43,25,1,2953
197,43,75,1,2953
198,43,23,1,2953
199,43,62,1,2953
200,43,72,1,2953
201,43,20,2,2953
202,43,41,1,2953
203,32,52,2,2953
204,32,45,2,2953
205,32,40,6,2953
206,32,36,6,2953
207,32,42,1,2953
208,32,41,3,2953
209,32,67,1,2953
210,32,39,1,2953
211,32,54,1,2953
212,32,25,3,2953
213,32,3,1,2953
214,32,27,2,2953
215,32,28,2,2953
216,32,10,1,2953
217,32,44,1,2953
218,32,32,4,2953
