nokta_no,x,y,count,sezon_dakikasi
1,65,41,1,1986
2,65,80,2,1986
3,65,5,1,1986
4,65,18,2,1986
5,65,69,1,1986
6,65,15,1,1986
7,65,13,3,1986
8,65,22,1,1986
9,65,44,3,1986
10,65,23,3,1986
11,65,86,1,1986
12,65,43,1,1986
13,65,16,1,1986
14,65,3,1,1986
15,65,76,2,1986
16,65,24,1,1986
17,65,65,1,1986
18,65,74,1,1986
19,65,82,1,1986
20,65,38,1,1986
21,65,39,2,1986
22,65,37,2,1986
23,65,94,1,1986
24,65,31,1,1986
25,69,96,1,1986
26,69,27,1,1986
27,69,24,1,1986
28,69,83,1,1986
29,69,91,1,1986
30,69,40,2,1986
31,69,54,1,1986
32,69,62,1,1986
33,69,75,2,1986
34,69,69,1,1986
35,69,47,2,1986
36,69,48,1,1986
37,69,58,1,1986
38,69,81,1,1986
39,69,22,1,1986
40,69,46,1,1986
41,69,5,1,1986
42,69,36,2,1986
43,96,46,1,1986
44,96,52,1,1986
45,96,65,1,1986
46,96,73,1,1986
47,96,97,1,1986
48,96,76,1,1986
49,96,58,1,1986
50,97,46,1,1986
51,97,53,1,1986
52,97,48,1,1986
53,97,37,2,1986
54,97,61,2,1986
55,97,26,1,1986
56,97,56,1,1986
57,97,86,1,1986
58,97,87,1,1986
59,33,67,1,1986
60,33,7,1,1986
61,33,39,1,1986
62,33,72,4,1986
63,33,61,1,1986
64,33,73,1,1986
65,33,62,1,1986
66,33,37,1,1986
67,33,58,1,1986
68,33,43,1,1986
69,33,47,1,1986
70,33,17,1,1986
71,33,89,1,1986
72,33,94,2,1986
73,33,71,1,1986
74,33,93,1,1986
75,33,90,1,1986
76,33,53,2,1986
77,34,65,1,1986
78,34,70,1,1986
79,34,64,1,1986
80,34,94,1,1986
81,34,56,1,1986
82,34,29,1,1986
83,34,85,1,1986
84,34,92,1,1986
85,34,38,1,1986
86,52,46,1,1986
87,52,21,1,1986
88,52,31,1,1986
89,52,4,1,1986
90,52,37,1,1986
91,52,9,1,1986
92,52,8,2,1986
93,52,24,1,1986
94,52,23,1,1986
95,52,63,1,1986
96,52,53,1,1986
97,52,70,1,1986
98,52,52,1,1986
99,86,44,1,1986
100,86,41,1,1986
101,86,24,1,1986
102,86,97,1,1986
103,86,48,1,1986
104,86,45,1,1986
105,86,3,1,1986
106,86,91,1,1986
107,86,89,1,1986
108,86,66,1,1986
109,86,90,1,1986
110,86,82,1,1986
111,7,31,1,1986
112,7,83,1,1986
113,7,45,1,1986
114,7,97,1,1986
115,7,58,1,1986
116,46,93,2,1986
117,46,31,1,1986
118,46,42,1,1986
119,46,88,1,1986
120,46,62,1,1986
121,46,35,2,1986
122,46,22,1,1986
123,46,34,1,1986
124,46,32,1,1986
125,46,52,3,1986
126,46,47,1,1986
127,46,46,1,1986
128,46,56,1,1986
129,46,59,1,1986
130,46,87,1,1986
131,46,96,1,1986
132,46,91,1,1986
133,46,71,1,1986
134,46,63,1,1986
135,46,57,1,1986
136,27,56,1,1986
137,27,87,1,1986
138,27,95,1,1986
139,27,49,1,1986
140,27,78,1,1986
141,27,91,1,1986
142,27,73,1,1986
143,27,65,2,1986
144,26,60,1,1986
145,26,89,1,1986
146,26,70,1,1986
147,26,87,1,1986
148,26,50,1,1986
149,26,76,1,1986
150,26,75,1,1986
151,26,79,1,1986
152,36,52,1,1986
153,36,20,1,1986
154,36,59,2,1986
155,36,51,2,1986
156,36,72,1,1986
157,36,96,1,1986
158,36,49,1,1986
159,36,91,2,1986
160,36,93,1,1986
161,36,21,1,1986
162,36,95,2,1986
163,36,67,1,1986
164,36,54,1,1986
165,87,24,1,1986
166,87,45,1,1986
167,87,89,1,1986
168,87,88,1,1986
169,87,84,1,1986
170,87,91,1,1986
171,87,37,1,1986
172,57,11,1,1986
173,57,56,1,1986
174,57,65,1,1986
175,57,67,1,1986
176,57,100,1,1986
177,57,22,1,1986
178,57,18,1,1986
179,57,35,1,1986
180,57,94,1,1986
181,57,59,2,1986
182,57,52,1,1986
183,57,90,1,1986
184,57,64,1,1986
185,57,88,1,1986
186,57,31,1,1986
187,57,10,1,1986
188,57,72,1,1986
189,57,87,1,1986
190,56,43,1,1986
191,56,35,1,1986
192,56,30,2,1986
193,56,9,1,1986
194,56,57,1,1986
195,56,81,1,1986
196,56,92,1,1986
197,56,65,1,1986
198,56,87,1,1986
199,56,25,2,1986
200,56,36,1,1986
201,56,20,1,1986
