nokta_no,x,y,count,sezon_dakikasi
1,57,87,1,1023
2,57,50,1,1023
3,57,11,1,1023
4,57,89,1,1023
5,57,12,1,1023
6,57,88,1,1023
7,61,8,1,1023
8,61,19,2,1023
9,61,70,1,1023
10,61,82,1,1023
11,61,53,1,1023
12,61,16,1,1023
13,61,31,2,1023
14,61,92,1,1023
15,61,67,1,1023
16,61,23,2,1023
17,61,21,1,1023
18,61,32,1,1023
19,61,34,2,1023
20,61,63,1,1023
21,61,24,1,1023
22,61,14,1,1023
23,81,24,1,1023
24,81,28,1,1023
25,81,78,1,1023
26,81,49,1,1023
27,81,68,1,1023
28,81,95,1,1023
29,81,45,1,1023
30,81,70,1,1023
31,81,47,1,1023
32,81,36,1,1023
33,81,55,1,1023
34,81,7,1,1023
35,46,56,1,1023
36,46,86,1,1023
37,46,34,1,1023
38,46,74,1,1023
39,46,38,1,1023
40,46,51,1,1023
41,46,69,1,1023
42,46,48,1,1023
43,46,53,1,1023
44,47,31,1,1023
45,47,54,1,1023
46,47,89,1,1023
47,47,64,1,1023
48,47,94,1,1023
49,47,88,1,1023
50,47,26,1,1023
51,47,20,1,1023
52,10,42,1,1023
53,10,26,1,1023
54,14,44,1,1023
55,14,20,1,1023
56,14,27,1,1023
57,14,23,1,1023
58,14,51,1,1023
59,78,45,1,1023
60,78,92,1,1023
61,78,76,1,1023
62,78,93,1,1023
63,78,91,1,1023
64,78,59,1,1023
65,78,74,1,1023
66,78,33,1,1023
67,78,29,1,1023
68,78,38,1,1023
69,45,7,1,1023
70,45,4,1,1023
71,45,82,1,1023
72,45,62,1,1023
73,45,71,1,1023
74,45,64,1,1023
75,45,52,1,1023
76,45,55,1,1023
77,45,8,1,1023
78,45,28,1,1023
79,70,35,1,1023
80,70,82,1,1023
81,70,88,1,1023
82,70,68,1,1023
83,70,70,1,1023
84,70,86,1,1023
85,70,37,1,1023
86,70,84,1,1023
87,70,61,1,1023
88,70,66,1,1023
89,86,18,1,1023
90,86,31,1,1023
91,86,84,1,1023
92,86,93,1,1023
93,86,26,1,1023
94,86,61,1,1023
95,86,42,1,1023
96,71,3,1,1023
97,71,74,1,1023
98,71,80,1,1023
99,71,46,1,1023
100,71,53,2,1023
101,71,29,1,1023
102,71,59,1,1023
103,71,31,1,1023
104,71,11,1,1023
105,71,17,1,1023
106,71,4,1,1023
107,71,92,1,1023
108,71,22,2,1023
109,71,23,1,1023
110,71,76,1,1023
111,71,9,1,1023
112,71,45,1,1023
113,26,69,1,1023
114,26,59,1,1023
115,26,60,1,1023
116,26,74,1,1023
117,26,84,1,1023
118,27,79,1,1023
119,27,9,1,1023
120,27,83,2,1023
121,27,57,2,1023
122,27,33,1,1023
123,27,41,1,1023
124,27,47,1,1023
125,25,77,1,1023
126,25,7,1,1023
127,25,84,1,1023
128,25,89,1,1023
129,25,87,1,1023
130,25,74,2,1023
131,62,17,1,1023
132,62,60,1,1023
133,62,57,1,1023
134,62,90,1,1023
135,62,32,1,1023
136,62,62,1,1023
137,62,27,1,1023
138,62,79,1,1023
139,62,63,1,1023
140,24,69,1,1023
141,24,94,1,1023
142,24,72,1,1023
143,24,10,1,1023
144,24,28,1,1023
145,34,52,1,1023
146,34,94,1,1023
147,34,66,1,1023
148,34,62,1,1023
149,32,58,1,1023
150,32,85,1,1023
151,32,6,1,1023
152,32,59,1,1023
153,32,27,1,1023
154,44,58,1,1023
155,44,51,1,1023
156,44,45,1,1023
157,44,70,1,1023
158,44,68,1,1023
159,44,54,1,1023
160,44,4,1,1023
161,44,8,1,1023
162,39,5,1,1023
163,39,72,1,1023
164,39,35,1,1023
165,39,19,1,1023
166,39,80,1,1023
167,39,9,1,1023
168,39,33,1,1023
169,39,6,1,1023
170,41,76,1,1023
171,41,40,1,1023
172,41,96,1,1023
173,41,7,1,1023
174,41,90,1,1023
175,41,33,1,1023
176,37,76,1,1023
177,37,56,1,1023
178,37,75,1,1023
179,37,2,1,1023
180,37,85,1,1023
181,37,59,1,1023
182,33,72,1,1023
183,33,74,1,1023
184,33,37,1,1023
185,33,94,1,1023
186,33,48,1,1023
187,33,68,1,1023
188,33,28,1,1023
189,77,7,1,1023
190,77,54,1,1023
191,77,3,1,1023
192,77,50,1,1023
193,77,26,2,1023
194,77,29,1,1023
195,77,53,1,1023
196,77,94,1,1023
197,77,28,1,1023
198,77,13,1,1023
199,77,86,1,1023
200,48,42,1,1023
201,48,18,1,1023
202,48,34,1,1023
203,60,57,1,1023
204,60,82,1,1023
205,60,89,1,1023
206,60,22,2,1023
207,60,75,1,1023
208,60,37,1,1023
209,60,12,1,1023
210,60,23,1,1023
211,36,37,1,1023
212,36,8,1,1023
213,36,93,1,1023
214,36,35,1,1023
215,36,32,1,1023
216,36,10,1,1023
217,36,13,1,1023
218,36,46,1,1023
219,35,39,1,1023
220,35,6,1,1023
221,35,89,1,1023
222,35,5,1,1023
223,35,63,1,1023
224,35,93,1,1023
225,35,44,1,1023
226,49,6,1,1023
227,49,40,1,1023
228,49,50,1,1023
229,49,29,1,1023
230,15,22,1,1023
231,15,28,2,1023
232,15,49,1,1023
233,88,67,2,1023
234,88,92,1,1023
235,88,93,1,1023
236,88,55,1,1023
237,20,63,1,1023
238,20,39,1,1023
239,20,40,1,1023
240,20,37,1,1023
241,20,36,1,1023
242,91,6,1,1023
243,91,87,1,1023
244,91,79,1,1023
245,91,35,1,1023
246,91,50,1,1023
247,91,93,1,1023
248,91,12,1,1023
249,38,35,1,1023
250,38,25,1,1023
251,38,10,1,1023
252,38,95,1,1023
253,38,46,1,1023
254,38,82,1,1023
255,38,6,1,1023
256,74,55,1,1023
257,74,40,1,1023
258,74,79,2,1023
259,74,65,1,1023
260,74,39,1,1023
261,74,71,1,1023
262,74,6,1,1023
263,74,25,1,1023
264,74,82,1,1023
265,74,30,2,1023
266,75,69,1,1023
267,75,78,1,1023
268,75,66,1,1023
269,75,38,1,1023
270,75,74,1,1023
271,75,27,2,1023
272,75,88,1,1023
273,75,92,1,1023
274,75,7,2,1023
275,75,28,1,1023
276,75,32,1,1023
277,75,62,1,1023
278,75,35,1,1023
279,75,25,1,1023
280,75,90,1,1023
281,75,68,1,1023
282,92,25,1,1023
283,92,16,1,1023
284,40,26,1,1023
285,40,68,1,1023
286,40,65,1,1023
287,40,9,1,1023
288,40,1,1,1023
289,40,93,1,1023
290,40,83,2,1023
291,40,27,1,1023
292,40,73,1,1023
293,40,95,1,1023
294,65,28,1,1023
295,65,70,1,1023
296,65,60,1,1023
297,65,69,1,1023
298,65,11,1,1023
299,65,14,1,1023
300,64,16,1,1023
301,64,92,1,1023
302,64,9,1,1023
303,64,52,1,1023
304,64,25,1,1023
305,64,64,1,1023
306,64,77,1,1023
307,64,58,1,1023
308,64,18,1,1023
309,64,23,1,1023
310,64,63,1,1023
311,64,70,1,1023
312,64,79,1,1023
313,63,7,1,1023
314,63,85,1,1023
315,63,97,1,1023
316,63,90,1,1023
317,63,10,1,1023
318,63,11,2,1023
319,63,28,1,1023
320,63,51,1,1023
321,63,37,1,1023
322,63,60,1,1023
323,50,56,1,1023
324,50,50,3,1023
325,50,49,1,1023
326,50,30,1,1023
327,50,45,1,1023
328,50,78,1,1023
329,50,35,1,1023
330,50,65,1,1023
331,69,38,1,1023
332,69,96,1,1023
333,69,7,1,1023
334,69,22,1,1023
335,69,80,1,1023
336,69,94,1,1023
337,69,21,1,1023
338,69,4,1,1023
339,69,16,1,1023
340,69,79,1,1023
341,69,57,2,1023
342,99,99,3,1023
343,99,0,8,1023
344,43,70,1,1023
345,43,89,1,1023
346,43,15,1,1023
347,76,92,1,1023
348,76,74,1,1023
349,76,40,2,1023
350,76,23,1,1023
351,76,28,1,1023
352,76,29,1,1023
353,76,66,1,1023
354,76,17,1,1023
355,76,32,1,1023
356,76,85,1,1023
357,76,38,1,1023
358,76,30,1,1023
359,83,93,2,1023
360,83,85,1,1023
361,83,30,1,1023
362,83,4,2,1023
363,90,94,1,1023
364,90,96,1,1023
365,90,5,1,1023
366,90,68,1,1023
367,67,76,1,1023
368,67,70,2,1023
369,67,93,2,1023
370,67,33,2,1023
371,67,7,1,1023
372,67,87,2,1023
373,67,67,1,1023
374,67,83,1,1023
375,67,17,1,1023
376,67,36,1,1023
377,67,6,1,1023
378,85,84,1,1023
379,85,92,1,1023
380,85,2,1,1023
381,85,45,1,1023
382,85,25,1,1023
383,85,14,1,1023
384,85,51,1,1023
385,85,93,1,1023
386,73,92,1,1023
387,73,57,1,1023
388,73,15,1,1023
389,73,6,1,1023
390,73,63,1,1023
391,73,18,1,1023
392,73,27,1,1023
393,73,89,1,1023
394,82,78,1,1023
395,82,14,1,1023
396,68,47,1,1023
397,68,95,1,1023
398,68,14,1,1023
399,68,80,1,1023
400,68,21,1,1023
401,68,37,1,1023
402,68,7,2,1023
403,68,12,1,1023
404,68,35,1,1023
405,68,42,1,1023
406,97,57,1,1023
407,97,15,1,1023
408,56,47,1,1023
409,56,56,2,1023
410,56,74,1,1023
411,56,67,1,1023
412,56,27,1,1023
413,56,6,1,1023
414,56,52,1,1023
415,56,28,1,1023
416,55,95,1,1023
417,55,66,1,1023
418,55,28,1,1023
419,55,72,1,1023
420,55,97,1,1023
421,55,54,1,1023
422,55,42,1,1023
423,55,64,1,1023
424,55,38,1,1023
425,55,24,1,1023
426,55,35,1,1023
427,55,23,1,1023
428,19,27,2,1023
429,19,61,1,1023
430,19,65,1,1023
431,7,24,1,1023
432,7,43,1,1023
433,8,26,1,1023
434,12,27,1,1023
435,12,56,1,1023
436,54,94,1,1023
437,54,54,1,1023
438,54,90,1,1023
439,54,59,1,1023
440,54,58,1,1023
441,54,29,1,1023
442,54,73,1,1023
443,54,66,1,1023
444,54,25,1,1023
445,58,62,1,1023
446,58,67,1,1023
447,58,20,1,1023
448,58,89,1,1023
449,58,28,1,1023
450,58,69,1,1023
451,58,27,2,1023
452,58,90,1,1023
453,58,93,2,1023
454,58,46,1,1023
455,58,52,1,1023
456,58,24,1,1023
457,58,87,1,1023
458,58,96,1,1023
459,30,91,1,1023
460,30,89,2,1023
461,30,94,1,1023
462,30,15,1,1023
463,30,75,1,1023
464,30,55,1,1023
465,30,14,1,1023
466,89,31,1,1023
467,89,23,1,1023
468,89,91,1,1023
469,89,67,2,1023
470,29,48,1,1023
471,29,8,1,1023
472,29,45,1,1023
473,16,97,1,1023
474,16,43,1,1023
475,16,7,1,1023
476,16,44,1,1023
477,16,42,1,1023
478,72,67,1,1023
479,72,32,1,1023
480,72,26,1,1023
481,72,29,1,1023
482,72,61,1,1023
483,72,31,1,1023
484,72,83,1,1023
485,80,92,1,1023
486,80,38,1,1023
487,80,4,1,1023
488,80,50,1,1023
489,80,85,1,1023
490,21,51,1,1023
491,21,62,1,1023
492,18,90,2,1023
493,66,56,1,1023
494,66,89,1,1023
495,66,74,1,1023
496,66,83,1,1023
497,66,69,1,1023
498,66,22,1,1023
499,66,18,1,1023
500,66,20,1,1023
501,66,17,1,1023
502,66,46,1,1023
503,66,12,1,1023
504,66,37,1,1023
505,66,71,1,1023
506,66,78,1,1023
507,66,80,1,1023
508,95,20,1,1023
509,95,94,1,1023
510,95,5,1,1023
511,95,66,1,1023
512,79,29,1,1023
513,79,85,1,1023
514,79,14,1,1023
515,59,40,1,1023
516,59,8,1,1023
517,59,30,1,1023
518,59,31,1,1023
519,59,69,1,1023
520,59,64,1,1023
521,59,19,1,1023
522,59,21,1,1023
523,59,93,1,1023
524,59,7,1,1023
525,59,36,1,1023
526,59,33,1,1023
527,59,50,1,1023
528,59,88,1,1023
529,52,65,1,1023
530,52,68,1,1023
531,52,72,1,1023
532,52,60,1,1023
533,52,25,1,1023
534,52,23,1,1023
535,52,22,1,1023
536,52,67,1,1023
537,28,92,1,1023
538,28,88,1,1023
539,28,3,1,1023
540,28,18,2,1023
541,28,34,1,1023
542,87,84,1,1023
543,87,38,1,1023
544,87,25,1,1023
545,87,55,1,1023
546,87,48,1,1023
547,53,51,1,1023
548,53,59,1,1023
549,53,63,1,1023
550,31,92,2,1023
551,31,94,1,1023
552,31,67,1,1023
553,31,51,1,1023
554,31,13,1,1023
555,98,14,1,1023
556,98,8,1,1023
557,98,95,1,1023
558,13,64,1,1023
559,13,70,1,1023
560,13,38,1,1023
561,42,11,1,1023
562,42,40,1,1023
563,42,63,1,1023
564,42,65,1,1023
565,42,8,1,1023
566,94,89,1,1023
567,94,67,1,1023
568,94,11,1,1023
569,94,7,1,1023
570,94,12,1,1023
571,23,72,1,1023
572,23,13,1,1023
573,23,16,1,1023
574,51,78,1,1023
575,51,51,1,1023
576,51,76,1,1023
577,51,48,1,1023
578,51,36,1,1023
579,84,87,1,1023
580,84,6,1,1023
581,11,69,1,1023
582,11,41,1,1023
583,0,64,1,1023
584,96,11,1,1023
585,93,7,1,1023
586,6,79,1,1023
