nokta_no,x,y,count,sezon_dakikasi
1,72,95,2,1729
2,72,16,2,1729
3,72,69,1,1729
4,72,91,1,1729
5,72,81,1,1729
6,72,33,4,1729
7,72,93,1,1729
8,72,78,1,1729
9,72,61,1,1729
10,72,0,1,1729
11,72,52,1,1729
12,72,27,1,1729
13,72,43,1,1729
14,22,19,2,1729
15,22,51,1,1729
16,22,79,1,1729
17,22,56,1,1729
18,22,29,1,1729
19,22,67,1,1729
20,22,32,1,1729
21,22,38,1,1729
22,54,3,1,1729
23,54,68,1,1729
24,54,87,1,1729
25,54,88,1,1729
26,54,46,1,1729
27,54,54,1,1729
28,54,64,1,1729
29,54,13,1,1729
30,54,2,1,1729
31,54,42,1,1729
32,54,45,1,1729
33,54,44,1,1729
34,59,4,2,1729
35,59,94,1,1729
36,59,63,1,1729
37,59,95,1,1729
38,59,100,1,1729
39,59,62,1,1729
40,59,11,1,1729
41,59,18,1,1729
42,59,83,1,1729
43,59,31,1,1729
44,59,21,1,1729
45,59,24,1,1729
46,58,13,1,1729
47,58,27,1,1729
48,58,76,1,1729
49,58,86,1,1729
50,58,41,1,1729
51,58,12,1,1729
52,58,48,1,1729
53,58,24,1,1729
54,58,4,1,1729
55,58,23,1,1729
56,58,15,1,1729
57,58,0,1,1729
58,58,58,1,1729
59,58,89,2,1729
60,58,66,1,1729
61,58,71,1,1729
62,58,75,1,1729
63,58,70,1,1729
64,24,27,1,1729
65,24,28,1,1729
66,24,26,1,1729
67,24,35,1,1729
68,24,73,1,1729
69,45,30,1,1729
70,45,19,1,1729
71,45,88,1,1729
72,45,56,1,1729
73,45,77,1,1729
74,45,71,1,1729
75,45,34,1,1729
76,45,15,1,1729
77,45,89,1,1729
78,45,8,1,1729
79,45,18,1,1729
80,45,28,1,1729
81,45,14,1,1729
82,45,48,1,1729
83,45,16,2,1729
84,45,45,1,1729
85,45,44,1,1729
86,45,96,1,1729
87,45,9,1,1729
88,45,24,1,1729
89,45,20,1,1729
90,45,49,1,1729
91,77,9,1,1729
92,77,87,1,1729
93,77,69,1,1729
94,77,45,1,1729
95,77,12,1,1729
96,77,81,1,1729
97,77,86,2,1729
98,77,6,1,1729
99,77,13,2,1729
100,77,53,1,1729
101,77,42,1,1729
102,77,62,1,1729
103,77,94,1,1729
104,63,34,2,1729
105,63,72,1,1729
106,63,46,2,1729
107,63,23,2,1729
108,63,20,1,1729
109,63,74,1,1729
110,63,6,2,1729
111,63,29,1,1729
112,63,32,2,1729
113,63,71,2,1729
114,63,67,1,1729
115,63,5,1,1729
116,63,8,1,1729
117,63,39,1,1729
118,63,27,1,1729
119,63,21,1,1729
120,63,97,1,1729
121,63,96,1,1729
122,63,73,1,1729
123,63,82,1,1729
124,66,14,1,1729
125,66,51,1,1729
126,66,21,1,1729
127,66,71,1,1729
128,66,85,2,1729
129,66,41,1,1729
130,66,95,1,1729
131,66,80,1,1729
132,66,33,2,1729
133,66,15,1,1729
134,66,75,2,1729
135,66,76,1,1729
136,66,10,2,1729
137,66,27,1,1729
138,66,3,1,1729
139,66,67,3,1729
140,66,93,1,1729
141,66,25,1,1729
142,66,83,1,1729
143,99,0,42,1729
144,99,99,14,1729
145,99,17,1,1729
146,99,35,1,1729
147,99,65,1,1729
148,99,38,1,1729
149,31,36,2,1729
150,31,27,1,1729
151,31,72,1,1729
152,31,59,1,1729
153,31,67,1,1729
154,31,91,1,1729
155,31,41,1,1729
156,31,19,1,1729
157,31,22,1,1729
158,31,37,1,1729
159,31,56,1,1729
160,31,64,1,1729
161,31,29,1,1729
162,31,90,1,1729
163,31,30,2,1729
164,31,71,1,1729
165,39,24,1,1729
166,39,85,1,1729
167,39,68,1,1729
168,39,27,1,1729
169,39,78,1,1729
170,39,16,1,1729
171,39,62,1,1729
172,39,23,1,1729
173,39,86,1,1729
174,39,60,1,1729
175,39,70,1,1729
176,39,91,1,1729
177,39,9,1,1729
178,60,31,1,1729
179,60,62,1,1729
180,60,70,1,1729
181,60,9,1,1729
182,60,8,1,1729
183,60,43,1,1729
184,60,41,1,1729
185,60,67,1,1729
186,60,14,1,1729
187,60,66,1,1729
188,60,91,1,1729
189,60,68,1,1729
190,75,46,1,1729
191,75,83,1,1729
192,75,10,1,1729
193,75,15,1,1729
194,75,25,1,1729
195,75,50,1,1729
196,75,51,1,1729
197,75,31,1,1729
198,75,27,1,1729
199,75,38,1,1729
200,75,63,1,1729
201,75,16,1,1729
202,75,82,1,1729
203,75,56,1,1729
204,75,32,1,1729
205,57,67,1,1729
206,57,25,1,1729
207,57,18,1,1729
208,57,30,1,1729
209,57,84,1,1729
210,57,76,1,1729
211,57,77,1,1729
212,57,44,2,1729
213,57,35,1,1729
214,57,81,1,1729
215,57,59,1,1729
216,57,64,1,1729
217,57,80,2,1729
218,57,16,1,1729
219,57,26,4,1729
220,57,51,1,1729
221,57,53,1,1729
222,57,20,1,1729
223,57,73,1,1729
224,57,75,1,1729
225,46,60,1,1729
226,46,59,1,1729
227,46,39,1,1729
228,46,93,1,1729
229,46,79,1,1729
230,46,53,2,1729
231,46,12,1,1729
232,46,51,1,1729
233,46,6,1,1729
234,46,27,3,1729
235,46,33,1,1729
236,46,31,1,1729
237,46,32,1,1729
238,46,100,1,1729
239,46,86,1,1729
240,73,9,2,1729
241,73,62,1,1729
242,73,60,1,1729
243,73,46,1,1729
244,73,66,1,1729
245,73,70,4,1729
246,73,4,1,1729
247,73,13,1,1729
248,73,73,2,1729
249,73,49,1,1729
250,73,22,1,1729
251,73,26,1,1729
252,73,82,1,1729
253,73,74,1,1729
254,73,77,1,1729
255,73,85,1,1729
256,56,75,1,1729
257,56,72,1,1729
258,56,15,1,1729
259,56,30,1,1729
260,56,78,2,1729
261,56,97,1,1729
262,56,38,1,1729
263,56,32,1,1729
264,56,79,1,1729
265,56,81,2,1729
266,56,47,1,1729
267,56,55,1,1729
268,56,35,1,1729
269,56,77,1,1729
270,56,80,1,1729
271,56,53,1,1729
272,56,22,1,1729
273,56,25,2,1729
274,56,87,1,1729
275,56,69,2,1729
276,56,20,1,1729
277,56,83,1,1729
278,35,52,1,1729
279,35,44,1,1729
280,35,79,1,1729
281,35,89,1,1729
282,35,33,1,1729
283,35,80,1,1729
284,35,76,2,1729
285,35,12,1,1729
286,35,40,1,1729
287,35,85,2,1729
288,35,47,1,1729
289,35,37,2,1729
290,35,3,1,1729
291,35,68,1,1729
292,35,66,1,1729
293,35,58,1,1729
294,35,54,1,1729
295,35,74,1,1729
296,43,70,1,1729
297,43,37,1,1729
298,43,87,1,1729
299,43,91,1,1729
300,43,31,1,1729
301,43,33,1,1729
302,43,82,1,1729
303,43,10,1,1729
