nokta_no,x,y,count,sezon_dakikasi
1,73,51,2,3028
2,73,97,1,3028
3,73,80,1,3028
4,73,15,1,3028
5,73,64,1,3028
6,73,94,2,3028
7,73,75,1,3028
8,73,0,1,3028
9,73,33,1,3028
10,73,14,1,3028
11,73,11,1,3028
12,73,13,2,3028
13,73,22,1,3028
14,73,47,1,3028
15,73,91,2,3028
16,73,32,1,3028
17,73,84,1,3028
18,73,9,1,3028
19,73,92,1,3028
20,73,8,1,3028
21,73,27,1,3028
22,73,16,1,3028
23,73,100,1,3028
24,73,10,1,3028
25,69,93,5,3028
26,69,92,1,3028
27,69,94,2,3028
28,69,53,1,3028
29,69,32,1,3028
30,69,57,1,3028
31,69,18,1,3028
32,69,82,1,3028
33,69,6,1,3028
34,69,7,2,3028
35,69,5,2,3028
36,69,13,1,3028
37,69,35,1,3028
38,69,14,1,3028
39,69,55,1,3028
40,69,83,1,3028
41,69,3,1,3028
42,69,48,2,3028
43,69,9,1,3028
44,69,2,1,3028
45,69,16,1,3028
46,69,47,1,3028
47,69,60,1,3028
48,69,90,1,3028
49,69,70,1,3028
50,21,84,1,3028
51,21,20,1,3028
52,21,15,1,3028
53,21,11,2,3028
54,21,51,1,3028
55,21,5,1,3028
56,21,33,1,3028
57,21,24,1,3028
58,21,0,1,3028
59,21,36,1,3028
60,21,81,1,3028
61,21,73,1,3028
62,21,44,1,3028
63,21,29,1,3028
64,21,67,1,3028
65,21,69,1,3028
66,21,94,1,3028
67,21,57,1,3028
68,21,12,1,3028
69,19,87,2,3028
70,19,48,2,3028
71,19,26,1,3028
72,19,70,1,3028
73,19,86,1,3028
74,19,11,1,3028
75,19,51,1,3028
76,19,33,1,3028
77,19,45,1,3028
78,19,42,1,3028
79,19,24,1,3028
80,19,31,1,3028
81,19,63,1,3028
82,20,81,1,3028
83,20,93,2,3028
84,20,96,1,3028
85,20,16,1,3028
86,20,8,1,3028
87,20,0,1,3028
88,20,38,1,3028
89,20,4,1,3028
90,20,78,1,3028
91,20,56,1,3028
92,20,80,1,3028
93,20,57,1,3028
94,20,27,1,3028
95,20,35,1,3028
96,20,63,1,3028
97,20,41,1,3028
98,37,77,1,3028
99,37,67,1,3028
100,37,37,1,3028
101,37,17,1,3028
102,37,48,1,3028
103,37,2,1,3028
104,37,11,1,3028
105,37,64,1,3028
106,37,54,1,3028
107,37,31,1,3028
108,37,66,1,3028
109,37,7,1,3028
110,37,0,1,3028
111,37,9,1,3028
112,37,5,2,3028
113,37,27,1,3028
114,37,74,1,3028
115,37,13,1,3028
116,37,25,1,3028
117,37,4,1,3028
118,37,22,1,3028
119,37,59,1,3028
120,37,57,1,3028
121,37,56,1,3028
122,37,33,1,3028
123,37,49,1,3028
124,37,39,1,3028
125,37,14,2,3028
126,37,18,1,3028
127,71,97,1,3028
128,71,96,1,3028
129,71,95,1,3028
130,71,51,1,3028
131,71,7,2,3028
132,71,61,1,3028
133,71,9,1,3028
134,71,8,3,3028
135,71,17,1,3028
136,71,29,1,3028
137,71,30,1,3028
