nokta_no,x,y,count,sezon_dakikasi
1,28,54,1,1598
2,28,69,2,1598
3,28,83,2,1598
4,28,85,4,1598
5,28,71,2,1598
6,28,89,1,1598
7,28,70,4,1598
8,28,67,1,1598
9,28,79,2,1598
10,28,61,1,1598
11,28,76,1,1598
12,28,68,1,1598
13,28,60,1,1598
14,28,31,1,1598
15,28,81,1,1598
16,28,73,2,1598
17,28,48,1,1598
18,28,74,1,1598
19,28,75,2,1598
20,28,55,1,1598
21,28,77,2,1598
22,28,84,1,1598
23,8,68,3,1598
24,8,96,1,1598
25,8,53,3,1598
26,8,83,1,1598
27,8,93,1,1598
28,8,46,2,1598
29,8,60,1,1598
30,8,74,1,1598
31,8,48,2,1598
32,8,65,1,1598
33,8,50,1,1598
34,8,61,1,1598
35,8,73,1,1598
36,8,59,1,1598
37,8,63,1,1598
38,8,52,2,1598
39,8,55,1,1598
40,8,69,1,1598
41,55,91,1,1598
42,55,88,1,1598
43,55,85,2,1598
44,55,44,1,1598
45,55,36,2,1598
46,55,94,1,1598
47,55,93,1,1598
48,55,64,1,1598
49,55,77,1,1598
50,55,86,2,1598
51,55,80,1,1598
52,55,89,1,1598
53,55,74,1,1598
54,55,78,1,1598
55,25,68,4,1598
56,25,96,1,1598
57,25,70,2,1598
58,25,69,2,1598
59,25,83,1,1598
60,25,61,2,1598
61,25,73,2,1598
62,25,75,2,1598
63,25,65,3,1598
64,25,64,2,1598
65,25,24,1,1598
66,25,62,1,1598
67,25,76,1,1598
68,25,54,1,1598
69,33,82,1,1598
70,33,47,1,1598
71,33,74,1,1598
72,33,71,1,1598
73,33,79,1,1598
74,33,83,1,1598
75,33,94,1,1598
76,33,69,1,1598
77,33,73,3,1598
78,33,64,2,1598
79,33,65,2,1598
80,33,61,2,1598
81,33,68,1,1598
82,33,60,2,1598
83,33,75,1,1598
84,33,45,1,1598
85,33,81,1,1598
86,33,55,1,1598
87,33,72,1,1598
88,13,91,1,1598
89,13,81,1,1598
90,13,93,2,1598
91,13,73,1,1598
92,13,60,1,1598
93,13,47,1,1598
94,13,68,1,1598
95,13,83,1,1598
96,13,72,1,1598
97,13,28,1,1598
98,13,77,1,1598
99,13,45,1,1598
100,13,61,2,1598
101,13,69,1,1598
102,19,64,1,1598
103,19,73,1,1598
104,19,48,1,1598
105,19,75,2,1598
106,19,89,1,1598
107,19,82,1,1598
108,19,76,1,1598
109,19,16,1,1598
110,19,59,1,1598
111,19,52,1,1598
112,19,51,1,1598
113,19,55,1,1598
114,19,72,2,1598
115,19,69,1,1598
116,30,87,1,1598
117,30,94,1,1598
118,30,97,1,1598
119,30,75,2,1598
120,30,77,2,1598
121,30,60,2,1598
122,30,65,3,1598
123,30,63,1,1598
124,30,69,2,1598
125,30,78,2,1598
126,30,72,1,1598
127,30,71,3,1598
128,30,73,1,1598
129,30,56,2,1598
130,30,61,1,1598
131,30,66,1,1598
132,30,49,1,1598
133,30,14,2,1598
134,30,39,2,1598
135,30,74,1,1598
136,30,67,1,1598
137,30,62,1,1598
138,30,59,1,1598
139,31,80,2,1598
140,31,82,1,1598
141,31,72,2,1598
142,31,75,1,1598
143,31,77,3,1598
144,31,79,1,1598
145,31,85,1,1598
146,31,50,1,1598
147,31,73,1,1598
148,31,58,1,1598
149,31,35,2,1598
150,31,59,2,1598
151,31,60,1,1598
152,31,63,1,1598
153,31,62,2,1598
154,31,76,1,1598
155,31,27,2,1598
156,31,84,1,1598
157,31,68,1,1598
158,3,38,1,1598
159,3,77,1,1598
160,3,75,1,1598
161,3,33,1,1598
162,3,56,2,1598
163,3,37,1,1598
164,3,43,1,1598
165,3,90,1,1598
166,3,41,1,1598
167,3,68,1,1598
168,3,47,1,1598
169,18,77,1,1598
170,18,100,1,1598
171,18,87,2,1598
172,18,83,1,1598
173,18,47,1,1598
174,18,95,1,1598
175,18,50,2,1598
176,18,67,1,1598
177,18,86,1,1598
178,18,40,1,1598
179,18,78,2,1598
180,18,62,1,1598
181,18,91,2,1598
182,18,48,1,1598
183,6,53,3,1598
184,6,88,1,1598
185,6,58,2,1598
186,6,42,1,1598
187,6,72,2,1598
188,6,73,1,1598
189,6,57,1,1598
190,6,6,1,1598
191,6,56,1,1598
192,6,39,1,1598
193,6,37,1,1598
194,6,75,1,1598
195,11,53,1,1598
196,11,59,1,1598
197,11,64,2,1598
198,11,70,4,1598
199,11,63,1,1598
200,11,47,1,1598
201,11,45,1,1598
202,11,52,1,1598
203,11,48,1,1598
204,11,65,1,1598
205,11,71,1,1598
206,37,77,1,1598
207,37,68,2,1598
208,37,58,2,1598
209,37,78,2,1598
210,37,67,4,1598
211,37,90,1,1598
212,37,55,1,1598
213,37,65,1,1598
214,37,36,1,1598
215,37,74,2,1598
216,37,50,1,1598
217,37,80,1,1598
218,37,82,2,1598
219,37,88,1,1598
220,37,73,2,1598
221,22,91,2,1598
222,22,72,3,1598
223,22,68,1,1598
224,22,50,1,1598
225,22,55,1,1598
226,22,70,1,1598
227,22,37,1,1598
228,22,73,1,1598
229,22,63,1,1598
230,22,66,1,1598
231,22,56,1,1598
232,22,95,1,1598
233,22,47,1,1598
234,22,82,1,1598
235,22,17,1,1598
236,22,78,1,1598
237,22,93,1,1598
238,22,69,1,1598
239,22,64,1,1598
240,22,83,1,1598
241,22,67,1,1598
242,5,68,3,1598
243,5,84,1,1598
244,5,52,1,1598
245,5,74,2,1598
246,5,56,1,1598
247,5,51,1,1598
248,5,65,1,1598
249,5,67,1,1598
250,5,33,1,1598
251,5,48,1,1598
