nokta_no,x,y,count,sezon_dakikasi
1,40,14,1,1814
2,40,28,1,1814
3,40,7,1,1814
4,40,64,1,1814
5,40,95,1,1814
6,40,3,2,1814
7,40,22,2,1814
8,40,6,1,1814
9,40,38,1,1814
10,40,0,2,1814
11,40,37,1,1814
12,40,9,1,1814
13,40,18,1,1814
14,44,56,1,1814
15,44,80,1,1814
16,44,59,1,1814
17,44,1,1,1814
18,44,12,2,1814
19,44,90,1,1814
20,44,5,2,1814
21,44,6,2,1814
22,44,28,1,1814
23,44,29,1,1814
24,44,77,1,1814
25,44,2,1,1814
26,44,10,1,1814
27,44,0,1,1814
28,68,27,1,1814
29,68,13,2,1814
30,68,3,1,1814
31,68,6,1,1814
32,68,76,1,1814
33,68,30,2,1814
34,68,85,1,1814
35,68,29,1,1814
36,68,18,1,1814
37,68,48,1,1814
38,68,5,1,1814
39,68,25,1,1814
40,68,65,1,1814
41,68,24,1,1814
42,68,57,1,1814
43,37,44,1,1814
44,37,7,1,1814
45,37,18,1,1814
46,37,89,1,1814
47,37,92,1,1814
48,37,20,1,1814
49,37,28,1,1814
50,37,0,2,1814
51,37,14,1,1814
52,37,6,1,1814
53,37,31,1,1814
54,37,37,1,1814
55,37,93,1,1814
56,37,68,1,1814
57,37,41,1,1814
58,23,14,1,1814
59,23,25,1,1814
60,23,21,1,1814
61,23,6,2,1814
62,23,32,1,1814
63,23,16,1,1814
64,23,13,1,1814
65,23,0,2,1814
66,23,3,1,1814
67,23,8,2,1814
68,23,4,2,1814
69,23,12,2,1814
70,23,26,1,1814
71,23,33,1,1814
72,23,7,2,1814
73,23,64,1,1814
74,23,89,1,1814
75,23,24,1,1814
76,23,27,1,1814
77,67,13,1,1814
78,67,12,1,1814
79,67,9,1,1814
80,67,55,2,1814
81,67,44,1,1814
82,67,53,1,1814
83,67,76,1,1814
84,67,35,1,1814
85,67,63,1,1814
86,67,92,1,1814
87,67,94,1,1814
88,67,87,1,1814
89,67,5,1,1814
90,67,8,1,1814
91,67,43,1,1814
92,67,4,2,1814
93,67,28,1,1814
94,67,72,1,1814
95,67,16,1,1814
96,67,36,1,1814
97,67,57,1,1814
98,90,32,1,1814
99,90,60,1,1814
100,90,49,1,1814
101,90,35,1,1814
102,97,27,1,1814
103,97,33,1,1814
104,97,14,1,1814
105,97,59,1,1814
106,43,15,2,1814
107,43,96,1,1814
108,43,94,2,1814
109,43,85,1,1814
110,43,77,1,1814
111,43,8,3,1814
112,43,0,3,1814
113,43,95,1,1814
114,43,51,1,1814
115,43,36,1,1814
116,43,5,2,1814
117,87,53,1,1814
118,87,23,1,1814
119,87,89,1,1814
120,87,0,3,1814
121,87,20,1,1814
122,87,91,1,1814
123,87,39,1,1814
124,87,30,1,1814
125,87,17,1,1814
126,87,82,1,1814
127,87,85,1,1814
128,87,8,1,1814
129,92,59,1,1814
130,92,4,1,1814
131,92,82,1,1814
132,92,67,1,1814
133,92,28,1,1814
134,39,6,3,1814
135,39,90,2,1814
136,39,38,1,1814
137,39,17,2,1814
138,39,95,1,1814
139,39,4,1,1814
140,39,8,1,1814
141,39,5,1,1814
142,39,21,1,1814
143,39,0,2,1814
144,39,10,1,1814
145,39,22,1,1814
146,39,35,1,1814
147,39,9,1,1814
148,39,46,1,1814
149,39,7,1,1814
150,38,8,1,1814
151,38,10,1,1814
152,38,29,1,1814
153,38,23,1,1814
154,38,72,1,1814
155,38,0,1,1814
156,38,14,1,1814
157,38,56,1,1814
158,38,89,1,1814
159,38,65,1,1814
160,38,96,1,1814
161,38,7,2,1814
162,38,5,3,1814
163,38,37,1,1814
164,38,3,2,1814
165,38,6,1,1814
166,79,30,2,1814
167,79,6,1,1814
168,79,67,1,1814
169,79,0,1,1814
170,79,3,2,1814
171,79,14,1,1814
172,79,39,1,1814
173,79,80,1,1814
174,79,11,1,1814
175,79,5,1,1814
176,76,42,3,1814
177,76,36,4,1814
178,76,38,1,1814
179,76,92,1,1814
180,76,84,1,1814
181,76,85,1,1814
182,76,5,1,1814
183,76,25,1,1814
184,76,17,1,1814
185,76,0,1,1814
186,76,55,1,1814
187,76,96,1,1814
188,76,70,1,1814
189,76,8,1,1814
190,76,31,1,1814
191,36,46,1,1814
192,36,4,1,1814
193,36,96,1,1814
194,36,6,1,1814
195,36,19,1,1814
196,36,92,1,1814
197,36,80,2,1814
198,36,81,1,1814
199,36,7,1,1814
200,36,11,2,1814
201,36,26,1,1814
202,36,78,1,1814
203,36,9,1,1814
204,36,13,1,1814
205,35,47,1,1814
206,35,3,1,1814
207,35,10,2,1814
208,35,0,2,1814
209,35,91,1,1814
210,35,85,1,1814
211,35,8,2,1814
212,35,4,2,1814
213,35,2,1,1814
214,35,79,1,1814
215,35,17,1,1814
216,35,11,1,1814
217,35,5,1,1814
218,35,23,1,1814
