nokta_no,x,y,count,sezon_dakikasi
1,24,39,1,2622
2,24,59,1,2622
3,24,43,1,2622
4,24,46,1,2622
5,24,38,3,2622
6,24,14,1,2622
7,24,60,2,2622
8,24,11,2,2622
9,24,41,2,2622
10,24,47,2,2622
11,24,22,2,2622
12,24,50,1,2622
13,24,82,2,2622
14,24,72,1,2622
15,24,33,2,2622
16,24,42,1,2622
17,24,57,1,2622
18,24,65,1,2622
19,24,30,1,2622
20,24,58,1,2622
21,24,53,1,2622
22,44,42,1,2622
23,44,51,1,2622
24,44,52,2,2622
25,44,31,1,2622
26,44,34,2,2622
27,44,69,3,2622
28,44,84,1,2622
29,44,90,1,2622
30,44,30,1,2622
31,44,27,1,2622
32,44,67,2,2622
33,44,9,1,2622
34,44,62,1,2622
35,44,39,1,2622
36,44,43,1,2622
37,44,40,1,2622
38,44,75,1,2622
39,44,58,1,2622
40,44,54,1,2622
41,44,50,2,2622
42,44,65,2,2622
43,44,33,1,2622
44,44,80,3,2622
45,44,53,2,2622
46,44,41,1,2622
47,44,45,1,2622
48,44,49,1,2622
49,44,55,1,2622
50,44,32,1,2622
51,44,4,1,2622
52,44,56,1,2622
53,44,59,1,2622
54,44,57,1,2622
55,44,95,1,2622
56,44,46,2,2622
57,44,29,1,2622
58,54,67,1,2622
59,54,64,3,2622
60,54,70,1,2622
61,54,66,4,2622
62,54,45,6,2622
63,54,42,2,2622
64,54,57,4,2622
65,54,51,1,2622
66,54,83,2,2622
67,54,74,1,2622
68,54,35,2,2622
69,54,28,1,2622
70,54,20,1,2622
71,54,10,2,2622
72,54,54,1,2622
73,54,63,1,2622
74,54,58,5,2622
75,54,50,1,2622
76,54,52,3,2622
77,54,80,1,2622
78,54,88,1,2622
79,54,36,2,2622
80,54,59,3,2622
81,54,37,1,2622
82,54,41,1,2622
83,54,56,1,2622
84,54,26,1,2622
85,54,76,1,2622
86,54,60,1,2622
87,54,12,1,2622
88,54,31,2,2622
89,54,87,1,2622
90,54,33,2,2622
91,54,39,1,2622
92,54,53,1,2622
93,54,21,1,2622
94,54,68,1,2622
95,54,44,1,2622
96,54,85,1,2622
97,54,69,1,2622
98,54,72,1,2622
99,57,77,1,2622
100,57,28,2,2622
101,57,31,3,2622
102,57,37,1,2622
103,57,74,2,2622
104,57,67,2,2622
105,57,30,2,2622
106,57,47,1,2622
107,57,40,2,2622
108,57,82,3,2622
109,57,13,1,2622
110,57,19,1,2622
111,57,61,1,2622
112,57,39,1,2622
113,57,68,3,2622
114,57,36,1,2622
115,57,52,2,2622
116,57,60,1,2622
117,57,66,1,2622
118,57,81,2,2622
119,57,55,1,2622
120,57,48,1,2622
121,57,71,1,2622
122,57,75,1,2622
123,57,9,1,2622
124,57,50,1,2622
125,57,64,1,2622
126,57,70,1,2622
127,57,38,1,2622
128,57,65,2,2622
129,47,32,1,2622
130,47,42,1,2622
131,47,58,2,2622
132,47,65,2,2622
133,47,44,1,2622
134,47,76,1,2622
135,47,69,1,2622
136,47,40,1,2622
137,47,64,3,2622
138,47,56,2,2622
139,47,50,1,2622
140,47,55,2,2622
141,47,46,1,2622
142,47,45,1,2622
