nokta_no,x,y,count,sezon_dakikasi
1,77,74,2,2059
2,77,26,1,2059
3,77,15,1,2059
4,77,34,1,2059
5,77,63,1,2059
6,77,41,1,2059
7,77,29,1,2059
8,77,32,1,2059
9,85,44,1,2059
10,85,51,2,2059
11,85,53,1,2059
12,85,27,1,2059
13,85,52,1,2059
14,85,96,1,2059
15,85,16,2,2059
16,85,35,1,2059
17,85,83,2,2059
18,85,69,1,2059
19,85,98,1,2059
20,85,15,1,2059
21,94,26,1,2059
22,94,49,1,2059
23,94,93,1,2059
24,94,91,1,2059
25,94,44,1,2059
26,94,53,1,2059
27,94,25,1,2059
28,94,66,1,2059
29,94,31,1,2059
30,50,50,4,2059
31,50,49,4,2059
32,50,97,1,2059
33,91,25,3,2059
34,91,24,1,2059
35,91,48,2,2059
36,91,72,1,2059
37,91,39,1,2059
38,91,6,1,2059
39,91,23,1,2059
40,91,12,1,2059
41,91,89,1,2059
42,91,21,1,2059
43,91,49,1,2059
44,91,26,1,2059
45,91,44,2,2059
46,91,17,1,2059
47,88,23,1,2059
48,88,67,1,2059
49,88,63,1,2059
50,88,9,1,2059
51,88,53,1,2059
52,88,16,1,2059
53,88,35,1,2059
54,88,27,1,2059
55,88,74,1,2059
56,88,50,3,2059
57,88,92,1,2059
58,88,18,1,2059
59,88,51,1,2059
60,88,26,1,2059
61,88,30,1,2059
62,88,71,1,2059
63,88,82,1,2059
64,88,40,1,2059
65,88,64,2,2059
66,88,72,4,2059
67,88,94,1,2059
68,41,97,2,2059
69,41,83,1,2059
70,41,51,1,2059
71,41,5,2,2059
72,41,64,1,2059
73,41,78,1,2059
74,41,18,1,2059
75,41,94,1,2059
76,41,44,1,2059
77,41,62,1,2059
78,41,27,1,2059
79,41,69,1,2059
80,75,55,1,2059
81,75,47,1,2059
82,75,70,1,2059
83,75,66,1,2059
84,75,5,1,2059
85,75,90,1,2059
86,75,58,1,2059
87,75,31,2,2059
88,75,76,1,2059
89,75,50,1,2059
90,74,44,1,2059
91,74,27,2,2059
92,74,96,1,2059
93,74,61,1,2059
94,74,69,1,2059
95,74,51,1,2059
96,74,25,1,2059
97,74,18,1,2059
98,74,88,1,2059
99,74,48,1,2059
100,74,6,2,2059
101,74,65,1,2059
102,74,73,1,2059
103,74,46,2,2059
104,74,4,1,2059
105,74,30,1,2059
106,74,91,1,2059
107,74,28,1,2059
108,74,94,2,2059
109,74,32,1,2059
110,78,12,1,2059
111,78,42,1,2059
112,78,11,1,2059
113,78,69,1,2059
114,78,72,1,2059
115,78,56,2,2059
116,78,58,1,2059
117,78,25,1,2059
118,78,3,1,2059
119,78,36,1,2059
120,78,66,1,2059
121,78,62,1,2059
122,78,60,1,2059
123,78,52,1,2059
124,72,12,2,2059
125,72,25,1,2059
126,72,34,1,2059
127,72,69,1,2059
128,72,76,1,2059
129,72,77,1,2059
130,72,42,1,2059
131,72,65,1,2059
132,72,82,1,2059
133,72,73,1,2059
134,72,46,1,2059
135,72,36,1,2059
136,72,79,1,2059
137,72,58,1,2059
138,72,22,1,2059
139,72,38,2,2059
140,72,64,1,2059
141,72,15,1,2059
142,72,84,1,2059
143,87,20,1,2059
144,87,56,1,2059
145,87,46,1,2059
146,87,25,2,2059
147,87,60,1,2059
148,87,37,1,2059
149,87,14,1,2059
150,87,40,1,2059
151,87,59,1,2059
152,87,65,1,2059
153,87,86,1,2059
154,87,55,2,2059
155,87,12,1,2059
156,87,42,1,2059
157,87,35,1,2059
158,87,30,1,2059
159,87,71,1,2059
160,73,45,3,2059
161,73,28,1,2059
162,73,30,2,2059
163,73,38,1,2059
164,73,47,1,2059
165,73,31,1,2059
166,73,68,1,2059
167,73,66,1,2059
168,73,16,1,2059
169,73,6,1,2059
170,73,49,1,2059
171,73,59,1,2059
172,73,57,1,2059
173,73,75,1,2059
174,93,49,1,2059
175,93,87,1,2059
176,93,83,1,2059
177,93,42,1,2059
178,93,73,1,2059
179,93,91,1,2059
180,93,70,1,2059
181,93,84,1,2059
182,93,82,1,2059
183,93,74,1,2059
184,93,72,1,2059
185,92,48,1,2059
186,92,46,2,2059
187,92,32,1,2059
188,92,17,1,2059
189,92,57,1,2059
190,92,25,1,2059
191,92,49,1,2059
192,92,65,2,2059
193,92,24,1,2059
194,92,72,1,2059
195,92,69,1,2059
196,4,66,1,2059
197,4,69,1,2059
198,4,58,1,2059
199,4,40,1,2059
200,68,32,1,2059
201,68,6,1,2059
202,68,43,1,2059
203,68,25,1,2059
204,68,76,1,2059
205,68,23,1,2059
206,68,5,1,2059
207,68,53,1,2059
208,68,51,1,2059
209,68,28,1,2059
210,68,27,2,2059
211,68,7,1,2059
212,68,66,1,2059
213,68,69,1,2059
214,68,19,1,2059
215,68,17,1,2059
216,81,4,1,2059
217,81,42,1,2059
218,81,53,3,2059
219,81,29,2,2059
220,81,58,1,2059
221,81,72,1,2059
222,20,34,1,2059
223,27,32,1,2059
224,27,31,1,2059
225,27,70,1,2059
226,51,29,2,2059
227,51,20,1,2059
228,51,68,1,2059
229,51,65,1,2059
230,46,66,1,2059
231,46,49,2,2059
232,46,28,1,2059
233,46,39,1,2059
234,46,76,1,2059
235,46,86,2,2059
236,46,74,1,2059
237,46,47,1,2059
238,46,68,1,2059
239,46,64,1,2059
240,90,54,4,2059
241,90,67,1,2059
242,90,45,1,2059
243,90,58,1,2059
244,90,49,1,2059
245,90,35,1,2059
246,90,71,1,2059
247,90,26,1,2059
248,90,80,1,2059
249,90,22,1,2059
250,90,5,1,2059
251,90,73,1,2059
252,90,85,1,2059
253,90,52,1,2059
254,58,28,1,2059
255,58,39,1,2059
256,58,66,1,2059
257,58,86,1,2059
258,58,5,1,2059
259,58,25,1,2059
260,58,80,1,2059
261,45,3,1,2059
262,45,27,1,2059
263,45,47,1,2059
264,45,53,1,2059
265,45,13,1,2059
266,45,14,1,2059
267,45,58,1,2059
268,45,30,1,2059
269,45,65,1,2059
270,45,45,1,2059
271,45,15,1,2059
272,45,87,1,2059
273,66,69,1,2059
274,66,19,2,2059
275,66,17,1,2059
276,66,23,1,2059
277,66,45,2,2059
278,66,80,2,2059
279,66,52,1,2059
280,66,75,1,2059
281,9,61,1,2059
282,9,59,1,2059
283,9,67,1,2059
284,96,30,2,2059
285,96,92,1,2059
286,96,6,1,2059
287,96,66,1,2059
288,96,37,1,2059
289,96,9,1,2059
290,96,18,1,2059
291,96,73,1,2059
292,96,10,1,2059
293,96,65,1,2059
294,96,75,1,2059
295,96,15,1,2059
296,96,17,1,2059
297,36,78,2,2059
298,36,7,1,2059
299,36,59,1,2059
300,36,67,1,2059
301,36,90,1,2059
302,36,79,1,2059
303,36,40,1,2059
304,36,81,1,2059
305,36,22,1,2059
306,62,93,1,2059
307,62,24,1,2059
308,62,42,1,2059
309,62,84,1,2059
310,62,16,1,2059
311,62,73,1,2059
312,62,69,3,2059
313,62,70,3,2059
314,62,82,3,2059
315,62,28,1,2059
316,62,81,1,2059
317,62,50,1,2059
318,5,59,1,2059
319,5,61,2,2059
320,5,36,1,2059
321,5,41,1,2059
322,5,39,1,2059
323,5,28,1,2059
324,49,50,12,2059
325,49,26,1,2059
326,49,49,1,2059
327,49,89,1,2059
328,49,95,1,2059
329,70,97,1,2059
330,70,31,1,2059
331,70,53,2,2059
332,70,8,1,2059
333,70,70,1,2059
334,70,65,1,2059
335,70,41,1,2059
336,70,37,1,2059
337,70,76,1,2059
338,70,4,1,2059
339,70,58,1,2059
340,70,82,2,2059
341,70,26,1,2059
342,70,20,1,2059
343,55,76,2,2059
344,55,47,1,2059
345,55,53,1,2059
346,55,51,3,2059
347,55,79,1,2059
348,55,55,1,2059
349,55,60,1,2059
350,55,80,1,2059
351,55,28,1,2059
352,55,8,3,2059
353,55,69,1,2059
354,55,29,1,2059
355,53,40,1,2059
356,53,11,1,2059
357,53,45,1,2059
358,53,59,1,2059
