nokta_no,x,y,count,sezon_dakikasi
1,31,15,1,1218
2,31,8,4,1218
3,31,17,1,1218
4,31,5,1,1218
5,31,2,1,1218
6,31,3,1,1218
7,31,25,1,1218
8,31,31,3,1218
9,31,28,1,1218
10,31,39,1,1218
11,31,6,1,1218
12,31,0,2,1218
13,31,22,1,1218
14,31,54,1,1218
15,31,21,1,1218
16,31,18,1,1218
17,31,9,1,1218
18,28,16,4,1218
19,28,28,2,1218
20,28,19,1,1218
21,28,23,2,1218
22,28,13,1,1218
23,28,15,1,1218
24,28,0,2,1218
25,28,39,1,1218
26,28,30,1,1218
27,28,25,3,1218
28,28,59,1,1218
29,28,43,1,1218
30,28,69,1,1218
31,28,32,1,1218
32,28,22,1,1218
33,28,4,1,1218
34,28,36,1,1218
35,28,21,1,1218
36,28,29,1,1218
37,26,20,2,1218
38,26,8,1,1218
39,26,7,1,1218
40,26,39,1,1218
41,26,0,2,1218
42,26,25,2,1218
43,26,40,1,1218
44,26,15,1,1218
45,26,34,1,1218
46,26,10,1,1218
47,26,24,1,1218
48,26,23,3,1218
49,26,1,1,1218
50,26,11,3,1218
51,26,4,1,1218
52,26,27,1,1218
53,26,31,1,1218
54,16,0,1,1218
55,16,25,1,1218
56,16,8,1,1218
57,16,13,1,1218
58,16,44,1,1218
59,20,29,1,1218
60,20,16,2,1218
61,20,60,1,1218
62,20,26,2,1218
63,20,22,1,1218
64,20,33,1,1218
65,20,18,2,1218
66,20,12,2,1218
67,20,40,1,1218
68,20,42,1,1218
69,20,35,1,1218
70,20,14,1,1218
71,20,39,1,1218
72,21,24,2,1218
73,21,25,1,1218
74,21,27,1,1218
75,21,5,1,1218
76,21,15,1,1218
77,21,28,1,1218
78,21,13,2,1218
79,21,33,1,1218
80,21,17,1,1218
81,21,10,1,1218
82,21,0,1,1218
83,21,14,1,1218
84,21,12,1,1218
85,21,31,1,1218
86,74,91,1,1218
87,74,6,1,1218
88,74,24,1,1218
89,74,17,1,1218
90,74,48,2,1218
91,29,34,5,1218
92,29,12,2,1218
93,29,29,1,1218
94,29,27,3,1218
95,29,26,3,1218
96,29,51,1,1218
97,29,20,2,1218
98,29,5,2,1218
99,29,45,1,1218
100,29,18,1,1218
101,29,11,2,1218
102,29,0,2,1218
103,29,10,1,1218
104,29,15,3,1218
105,29,4,1,1218
106,29,38,1,1218
107,29,49,1,1218
108,29,25,1,1218
109,29,22,1,1218
110,29,19,1,1218
111,29,30,1,1218
112,30,23,1,1218
113,30,12,1,1218
114,30,15,2,1218
115,30,26,3,1218
116,30,25,2,1218
117,30,9,1,1218
118,30,6,1,1218
119,30,27,1,1218
120,30,21,1,1218
121,30,14,1,1218
122,30,37,1,1218
123,30,60,1,1218
124,30,22,1,1218
125,30,10,1,1218
126,30,35,1,1218
127,30,5,1,1218
128,30,18,1,1218
129,30,42,1,1218
130,52,0,1,1218
131,52,36,1,1218
132,52,29,2,1218
133,52,45,1,1218
134,52,27,1,1218
135,52,59,1,1218
136,52,6,1,1218
137,52,26,1,1218
138,52,43,1,1218
139,56,11,1,1218
140,56,30,1,1218
141,56,6,1,1218
142,56,31,1,1218
143,56,5,2,1218
144,56,13,1,1218
145,56,10,1,1218
146,56,22,1,1218
147,56,45,1,1218
148,56,20,1,1218
149,56,28,2,1218
150,56,19,1,1218
151,56,90,1,1218
152,61,5,1,1218
153,61,6,1,1218
154,61,12,1,1218
155,61,24,1,1218
156,61,23,1,1218
157,61,20,1,1218
158,61,19,2,1218
159,61,0,1,1218
160,61,16,1,1218
161,61,3,1,1218
162,61,28,1,1218
163,18,13,1,1218
164,18,21,1,1218
165,18,5,1,1218
166,18,9,1,1218
167,18,45,1,1218
168,18,10,1,1218
169,18,27,1,1218
170,18,38,1,1218
171,32,26,3,1218
172,32,7,3,1218
173,32,36,2,1218
174,32,5,2,1218
175,32,23,2,1218
176,32,19,1,1218
177,32,6,1,1218
178,32,0,2,1218
179,32,10,2,1218
180,32,9,1,1218
181,32,14,1,1218
182,32,25,1,1218
183,32,94,1,1218
184,32,16,3,1218
185,32,31,1,1218
186,32,32,3,1218
187,32,30,1,1218
188,32,13,1,1218
189,32,4,1,1218
190,32,33,1,1218
191,80,100,1,1218
192,85,4,1,1218
193,85,22,1,1218
194,85,17,1,1218
195,85,0,1,1218
196,85,14,1,1218
197,71,3,1,1218
198,71,7,1,1218
199,71,10,1,1218
200,71,68,1,1218
201,71,15,1,1218
202,71,22,1,1218
203,71,5,1,1218
204,70,0,2,1218
205,70,15,1,1218
206,70,5,1,1218
207,70,41,1,1218
208,70,54,1,1218
209,70,20,1,1218
210,35,29,3,1218
211,35,26,2,1218
212,35,18,3,1218
213,35,25,2,1218
214,35,0,2,1218
215,35,38,2,1218
216,35,9,1,1218
217,35,30,1,1218
218,35,3,2,1218
219,35,15,1,1218
220,35,20,1,1218
221,35,27,1,1218
222,35,22,1,1218
223,35,21,1,1218
224,39,29,4,1218
225,39,18,1,1218
226,39,52,1,1218
227,39,6,2,1218
228,39,11,1,1218
229,39,23,1,1218
230,39,0,2,1218
231,39,9,2,1218
232,39,20,3,1218
233,39,12,1,1218
234,39,15,2,1218
235,39,38,1,1218
236,39,28,1,1218
237,39,17,1,1218
238,39,26,3,1218
239,39,19,1,1218
240,39,10,1,1218
241,39,37,2,1218
