nokta_no,x,y,count,sezon_dakikasi
1,27,91,2,2096
2,27,93,4,2096
3,27,76,1,2096
4,27,100,4,2096
5,27,72,2,2096
6,27,94,2,2096
7,27,70,1,2096
8,27,95,2,2096
9,27,96,2,2096
10,27,90,1,2096
11,27,82,1,2096
12,27,97,1,2096
13,27,50,1,2096
14,27,88,1,2096
15,27,83,1,2096
16,27,71,1,2096
17,27,87,1,2096
18,27,81,2,2096
19,27,68,1,2096
20,27,86,1,2096
21,31,91,1,2096
22,31,71,2,2096
23,31,92,3,2096
24,31,96,1,2096
25,31,78,1,2096
26,31,95,2,2096
27,31,69,1,2096
28,31,93,1,2096
29,31,90,2,2096
30,31,100,1,2096
31,31,79,1,2096
32,31,88,2,2096
33,31,73,1,2096
34,31,77,1,2096
35,31,83,1,2096
36,83,91,2,2096
37,83,84,1,2096
38,83,94,1,2096
39,83,95,1,2096
40,83,93,2,2096
41,83,100,1,2096
42,83,74,1,2096
43,83,67,1,2096
44,83,79,1,2096
45,83,92,2,2096
46,65,100,1,2096
47,65,95,4,2096
48,65,24,1,2096
49,65,83,1,2096
50,65,80,1,2096
51,65,66,1,2096
52,65,92,3,2096
53,65,77,1,2096
54,65,76,1,2096
55,65,93,2,2096
56,65,96,2,2096
57,65,74,1,2096
58,65,72,2,2096
59,65,47,1,2096
60,65,73,1,2096
61,58,97,1,2096
62,58,95,2,2096
63,58,89,4,2096
64,58,91,5,2096
65,58,45,1,2096
66,58,67,1,2096
67,58,85,1,2096
68,58,90,1,2096
69,58,92,1,2096
70,58,96,1,2096
71,58,80,2,2096
72,58,30,1,2096
73,58,75,1,2096
74,58,87,1,2096
75,58,100,1,2096
76,58,66,1,2096
77,58,86,1,2096
78,61,92,2,2096
79,61,84,1,2096
80,61,12,1,2096
81,61,97,2,2096
82,61,73,1,2096
83,61,95,3,2096
84,61,28,1,2096
85,61,82,2,2096
86,61,77,2,2096
87,61,93,5,2096
88,61,96,1,2096
89,61,72,1,2096
90,61,62,2,2096
91,61,78,1,2096
92,61,100,1,2096
93,61,94,3,2096
94,61,91,2,2096
95,61,87,1,2096
96,61,19,1,2096
97,25,92,2,2096
98,25,95,2,2096
99,25,76,1,2096
100,25,94,3,2096
101,25,84,1,2096
102,25,86,1,2096
103,25,87,1,2096
104,25,91,3,2096
105,25,82,1,2096
106,25,93,1,2096
107,25,67,1,2096
108,25,83,1,2096
109,25,78,1,2096
110,88,78,1,2096
111,88,91,1,2096
112,88,75,2,2096
113,88,100,2,2096
114,88,86,1,2096
115,88,95,1,2096
116,88,87,1,2096
117,88,76,1,2096
118,66,100,3,2096
119,66,95,1,2096
120,66,84,1,2096
121,66,93,3,2096
122,66,81,1,2096
123,66,79,1,2096
124,66,82,1,2096
125,66,90,1,2096
126,66,86,1,2096
127,66,87,2,2096
128,66,94,1,2096
129,66,96,2,2096
130,66,83,2,2096
131,66,69,1,2096
132,66,0,1,2096
133,66,74,1,2096
134,66,63,1,2096
135,35,88,2,2096
136,35,69,1,2096
137,35,62,2,2096
138,35,100,3,2096
139,35,93,2,2096
140,35,95,4,2096
141,35,91,2,2096
142,35,94,2,2096
143,35,73,2,2096
144,35,67,1,2096
145,35,86,1,2096
146,35,97,1,2096
147,35,70,1,2096
148,35,68,1,2096
149,35,37,1,2096
150,35,92,1,2096
151,35,83,1,2096
152,35,90,1,2096
153,35,80,1,2096
154,35,76,1,2096
155,35,58,1,2096
156,35,66,2,2096
157,33,90,2,2096
158,33,95,4,2096
159,33,68,1,2096
160,33,57,1,2096
161,33,83,1,2096
162,33,94,4,2096
163,33,82,2,2096
164,33,91,2,2096
165,33,69,1,2096
166,33,100,3,2096
167,33,92,1,2096
168,33,89,2,2096
169,33,86,2,2096
170,33,84,1,2096
171,33,58,1,2096
172,33,87,1,2096
173,33,93,3,2096
174,33,80,1,2096
175,33,55,1,2096
176,33,70,1,2096
177,33,63,1,2096
178,33,67,1,2096
179,33,78,2,2096
180,33,73,1,2096
181,56,91,3,2096
182,56,95,2,2096
183,56,84,1,2096
184,56,97,1,2096
185,56,93,2,2096
186,56,81,2,2096
187,56,90,2,2096
188,56,86,2,2096
189,56,87,1,2096
190,56,100,5,2096
191,56,92,2,2096
192,56,85,5,2096
193,56,75,2,2096
194,56,96,2,2096
195,56,88,2,2096
196,56,94,1,2096
197,56,82,1,2096
198,56,71,1,2096
199,99,0,19,2096
200,99,8,1,2096
201,99,99,15,2096
202,7,82,2,2096
203,7,100,1,2096
204,7,51,1,2096
205,7,89,3,2096
206,7,83,2,2096
207,7,71,1,2096
208,7,73,2,2096
209,7,55,2,2096
210,7,87,1,2096
211,7,54,2,2096
212,7,80,1,2096
213,7,63,1,2096
214,7,77,2,2096
215,7,46,1,2096
216,7,90,1,2096
217,7,50,1,2096
218,7,93,1,2096
219,7,81,1,2096
220,5,81,2,2096
221,5,78,1,2096
222,5,86,1,2096
223,5,85,1,2096
224,5,42,1,2096
225,5,75,1,2096
226,5,73,1,2096
227,5,83,1,2096
228,5,37,1,2096
229,30,72,1,2096
230,30,96,3,2096
231,30,77,3,2096
232,30,82,2,2096
233,30,100,2,2096
234,30,92,2,2096
235,30,91,2,2096
236,30,97,2,2096
237,30,93,1,2096
238,30,81,1,2096
239,30,84,1,2096
240,30,88,3,2096
241,30,83,1,2096
242,30,59,1,2096
243,30,85,1,2096
244,30,94,1,2096
245,30,95,1,2096
246,30,86,1,2096
247,30,90,2,2096
248,30,73,1,2096
249,30,87,1,2096
250,24,96,3,2096
251,24,80,1,2096
252,24,93,2,2096
253,24,61,1,2096
254,24,63,1,2096
255,24,73,2,2096
256,24,94,2,2096
257,24,89,2,2096
258,24,65,2,2096
259,24,71,1,2096
260,24,54,1,2096
261,24,81,1,2096
262,24,90,1,2096
263,24,84,1,2096
264,24,67,1,2096
265,24,100,1,2096
266,24,83,1,2096
267,24,64,1,2096
268,24,87,1,2096
269,24,60,1,2096
270,24,85,1,2096
271,24,86,1,2096
272,24,20,1,2096
273,52,79,1,2096
274,52,96,3,2096
275,52,94,2,2096
276,52,58,1,2096
277,52,84,1,2096
278,52,90,2,2096
279,52,93,2,2096
280,52,70,1,2096
281,52,100,1,2096
282,52,60,1,2096
283,52,48,1,2096
284,42,100,3,2096
285,42,91,4,2096
286,42,95,3,2096
287,42,19,1,2096
288,42,92,2,2096
289,42,90,1,2096
290,42,87,1,2096
291,42,88,1,2096
292,42,84,1,2096
293,42,89,1,2096
294,42,94,2,2096
295,42,71,1,2096
296,42,78,1,2096
297,42,64,1,2096
298,42,81,1,2096
299,86,74,1,2096
300,86,77,1,2096
301,86,94,2,2096
302,86,9,1,2096
303,86,89,1,2096
304,86,95,2,2096
305,86,67,2,2096
306,86,66,1,2096
307,86,76,1,2096
308,86,93,1,2096
309,86,92,1,2096
310,86,90,1,2096
311,86,100,1,2096
312,1,84,2,2096
313,1,77,1,2096
314,43,76,1,2096
315,43,83,4,2096
316,43,100,2,2096
317,43,96,1,2096
318,43,57,1,2096
319,43,87,2,2096
320,43,95,4,2096
321,43,89,1,2096
322,43,94,2,2096
323,43,92,2,2096
324,43,85,1,2096
325,43,71,1,2096
326,43,91,4,2096
327,43,80,1,2096
328,43,86,2,2096
329,40,91,4,2096
330,40,90,3,2096
331,40,88,2,2096
332,40,100,4,2096
333,40,89,2,2096
334,40,85,3,2096
335,40,74,1,2096
336,40,72,1,2096
337,40,87,3,2096
338,40,94,4,2096
339,40,81,1,2096
340,40,76,1,2096
341,40,84,1,2096
342,40,73,1,2096
343,40,61,1,2096
344,40,93,1,2096
345,46,89,2,2096
346,46,55,1,2096
347,46,98,2,2096
348,46,96,1,2096
349,46,75,3,2096
350,46,73,1,2096
351,46,87,2,2096
