nokta_no,x,y,count,sezon_dakikasi
1,50,50,1,1608
2,50,43,1,1608
3,85,5,1,1608
4,85,33,1,1608
5,85,90,1,1608
6,85,81,1,1608
7,85,65,1,1608
8,85,40,1,1608
9,85,44,1,1608
10,85,96,2,1608
11,85,89,1,1608
12,85,100,2,1608
13,85,8,1,1608
14,85,47,1,1608
15,89,44,2,1608
16,89,36,1,1608
17,89,59,2,1608
18,89,93,1,1608
19,89,8,1,1608
20,89,76,1,1608
21,89,19,1,1608
22,89,100,1,1608
23,89,54,1,1608
24,89,56,1,1608
25,89,24,1,1608
26,78,88,1,1608
27,78,8,1,1608
28,78,65,1,1608
29,78,39,1,1608
30,78,2,1,1608
31,78,93,2,1608
32,78,90,1,1608
33,78,36,1,1608
34,78,74,1,1608
35,78,11,1,1608
36,78,66,1,1608
37,78,82,1,1608
38,78,94,1,1608
39,78,16,1,1608
40,78,5,1,1608
41,78,15,1,1608
42,64,28,1,1608
43,64,7,2,1608
44,64,2,1,1608
45,64,92,1,1608
46,64,75,2,1608
47,64,97,2,1608
48,64,95,1,1608
49,64,83,1,1608
50,64,77,3,1608
51,64,70,1,1608
52,64,96,1,1608
53,64,100,1,1608
54,64,13,2,1608
55,64,4,3,1608
56,64,76,1,1608
57,64,3,1,1608
58,64,14,1,1608
59,64,25,1,1608
60,64,8,1,1608
61,64,15,1,1608
62,69,5,1,1608
63,69,15,2,1608
64,69,14,1,1608
65,69,6,1,1608
66,69,29,1,1608
67,69,37,2,1608
68,69,80,1,1608
69,69,89,1,1608
70,69,92,2,1608
71,69,95,2,1608
72,69,86,1,1608
73,69,12,1,1608
74,69,72,1,1608
75,69,77,2,1608
76,69,79,1,1608
77,69,52,1,1608
78,69,0,1,1608
79,69,88,1,1608
80,69,53,1,1608
81,69,19,1,1608
82,70,2,2,1608
83,70,17,1,1608
84,70,5,2,1608
85,70,74,2,1608
86,70,95,1,1608
87,70,92,2,1608
88,70,91,1,1608
89,70,86,2,1608
90,70,96,1,1608
91,70,97,1,1608
92,70,77,1,1608
93,70,70,1,1608
94,70,87,1,1608
95,70,19,1,1608
96,70,11,1,1608
97,70,81,1,1608
98,70,8,1,1608
99,70,100,1,1608
100,71,93,1,1608
101,71,12,1,1608
102,71,62,1,1608
103,71,16,1,1608
104,71,69,1,1608
105,71,71,1,1608
106,71,92,2,1608
107,71,94,1,1608
108,71,54,1,1608
109,71,80,1,1608
110,71,88,2,1608
111,71,96,1,1608
112,71,49,1,1608
113,71,3,1,1608
114,71,15,1,1608
115,71,23,1,1608
116,71,25,1,1608
117,34,8,2,1608
118,34,16,1,1608
119,34,27,2,1608
120,34,17,1,1608
121,34,61,1,1608
122,34,86,1,1608
123,34,89,2,1608
124,34,77,2,1608
125,34,85,1,1608
126,34,82,1,1608
127,34,12,1,1608
128,44,9,2,1608
129,44,24,1,1608
130,44,89,1,1608
131,44,19,1,1608
132,44,27,1,1608
133,44,6,1,1608
134,44,31,1,1608
135,44,18,1,1608
136,44,16,1,1608
137,44,5,1,1608
138,37,10,1,1608
139,37,40,1,1608
140,37,5,1,1608
141,37,11,1,1608
142,37,17,1,1608
143,37,85,1,1608
144,37,66,1,1608
145,37,82,2,1608
146,37,62,2,1608
147,37,12,1,1608
148,37,18,1,1608
149,37,4,1,1608
150,37,22,1,1608
151,37,8,2,1608
152,38,7,2,1608
153,38,78,1,1608
154,38,68,2,1608
155,38,91,1,1608
156,38,55,1,1608
157,38,85,1,1608
158,38,80,1,1608
159,38,99,1,1608
160,38,42,1,1608
161,99,99,23,1608
162,99,0,17,1608
163,99,83,1,1608
164,99,87,1,1608
165,99,75,1,1608
166,86,86,2,1608
167,86,26,1,1608
168,86,72,1,1608
169,86,94,2,1608
170,86,89,1,1608
171,86,71,2,1608
172,86,99,1,1608
173,86,100,1,1608
174,86,95,1,1608
175,86,70,1,1608
176,86,22,1,1608
177,86,5,1,1608
178,86,88,1,1608
179,86,2,1,1608
180,86,65,1,1608
181,86,67,1,1608
182,86,43,1,1608
183,52,57,1,1608
184,52,47,1,1608
185,52,3,1,1608
186,52,16,1,1608
187,52,6,1,1608
188,52,13,1,1608
189,52,86,1,1608
190,52,81,1,1608
191,52,77,1,1608
192,52,93,1,1608
193,52,55,1,1608
194,52,90,1,1608
195,52,28,1,1608
196,52,76,1,1608
197,52,45,1,1608
198,31,48,1,1608
199,31,35,1,1608
200,31,17,1,1608
