nokta_no,x,y,count,sezon_dakikasi
1,22,70,1,1760
2,22,89,1,1760
3,22,64,2,1760
4,22,55,1,1760
5,22,73,3,1760
6,22,59,1,1760
7,22,83,1,1760
8,22,14,1,1760
9,22,79,1,1760
10,22,48,1,1760
11,22,60,2,1760
12,22,65,1,1760
13,22,66,1,1760
14,22,86,1,1760
15,22,88,1,1760
16,22,93,1,1760
17,22,31,1,1760
18,22,84,1,1760
19,22,71,1,1760
20,22,92,1,1760
21,7,63,1,1760
22,7,72,1,1760
23,7,68,2,1760
24,7,46,1,1760
25,7,51,1,1760
26,7,55,1,1760
27,7,67,1,1760
28,7,82,1,1760
29,7,49,1,1760
30,7,52,1,1760
31,7,85,1,1760
32,7,37,1,1760
33,7,36,1,1760
34,7,56,1,1760
35,7,93,1,1760
36,2,72,2,1760
37,2,52,1,1760
38,2,70,1,1760
39,2,50,4,1760
40,2,40,1,1760
41,2,58,2,1760
42,2,67,1,1760
43,40,69,1,1760
44,40,68,3,1760
45,40,70,2,1760
46,40,86,1,1760
47,40,81,2,1760
48,40,67,2,1760
49,40,64,2,1760
50,40,10,1,1760
51,40,75,1,1760
52,40,78,1,1760
53,40,87,2,1760
54,40,80,1,1760
55,40,52,1,1760
56,40,83,2,1760
57,40,66,1,1760
58,40,76,1,1760
59,40,73,1,1760
60,40,90,1,1760
61,40,71,1,1760
62,40,82,1,1760
63,40,85,1,1760
64,33,57,1,1760
65,33,75,1,1760
66,33,80,1,1760
67,33,65,3,1760
68,33,71,2,1760
69,33,60,2,1760
70,33,92,1,1760
71,33,73,2,1760
72,33,81,1,1760
73,33,87,1,1760
74,33,70,1,1760
75,33,68,1,1760
76,33,59,1,1760
77,33,77,1,1760
78,33,89,1,1760
79,33,53,1,1760
80,33,67,1,1760
81,33,56,1,1760
82,33,58,1,1760
83,33,83,3,1760
84,33,88,2,1760
85,33,91,1,1760
86,33,50,1,1760
87,33,76,1,1760
88,33,74,1,1760
89,27,60,1,1760
90,27,70,3,1760
91,27,85,2,1760
92,27,69,2,1760
93,27,65,2,1760
94,27,82,1,1760
95,27,78,1,1760
96,27,68,2,1760
97,27,72,1,1760
98,27,73,2,1760
99,27,57,2,1760
100,27,61,1,1760
101,27,51,1,1760
102,27,95,2,1760
103,27,55,1,1760
104,27,75,2,1760
105,27,47,1,1760
106,27,25,2,1760
107,27,81,1,1760
108,27,91,1,1760
109,27,63,1,1760
110,27,71,2,1760
111,27,48,1,1760
112,27,67,1,1760
113,27,76,1,1760
114,53,71,2,1760
115,53,87,3,1760
116,53,54,1,1760
117,53,95,1,1760
118,53,70,4,1760
119,53,76,2,1760
120,53,64,1,1760
121,53,65,1,1760
122,53,94,2,1760
123,53,74,1,1760
124,53,63,1,1760
125,53,82,1,1760
126,53,89,1,1760
127,53,68,1,1760
128,53,80,4,1760
129,53,85,4,1760
130,53,50,1,1760
131,53,52,2,1760
132,53,90,1,1760
133,53,61,1,1760
134,53,92,1,1760
135,53,91,1,1760
136,53,81,1,1760
137,53,79,1,1760
138,44,64,1,1760
139,44,53,2,1760
140,44,51,1,1760
141,44,73,1,1760
142,44,68,1,1760
143,44,52,1,1760
144,44,65,1,1760
145,44,58,1,1760
146,44,79,1,1760
147,44,81,1,1760
148,44,69,3,1760
149,44,67,4,1760
150,44,55,1,1760
151,44,46,1,1760
152,44,66,1,1760
153,44,89,2,1760
154,44,48,2,1760
155,44,78,3,1760
156,44,76,1,1760
157,44,59,2,1760
158,44,75,2,1760
159,44,84,1,1760
160,44,30,1,1760
161,44,45,1,1760
162,44,54,1,1760
163,44,74,1,1760
164,44,90,1,1760
165,38,67,3,1760
166,38,63,2,1760
167,38,62,3,1760
168,38,73,1,1760
169,38,59,1,1760
170,38,78,1,1760
171,38,84,2,1760
