nokta_no,x,y,count,sezon_dakikasi
1,53,100,6,2348
2,53,81,1,2348
3,53,70,2,2348
4,53,92,3,2348
5,53,93,2,2348
6,53,91,2,2348
7,53,94,2,2348
8,53,78,1,2348
9,53,75,2,2348
10,53,88,2,2348
11,53,86,1,2348
12,53,10,1,2348
13,53,96,1,2348
14,59,100,3,2348
15,59,88,1,2348
16,59,92,5,2348
17,59,87,3,2348
18,59,65,1,2348
19,59,95,2,2348
20,59,85,2,2348
21,59,34,1,2348
22,59,96,1,2348
23,59,97,1,2348
24,59,94,2,2348
25,59,80,1,2348
26,59,78,1,2348
27,59,93,3,2348
28,59,84,1,2348
29,59,86,1,2348
30,59,11,1,2348
31,59,91,1,2348
32,59,25,2,2348
33,59,82,1,2348
34,59,75,1,2348
35,59,89,1,2348
36,59,68,1,2348
37,59,83,1,2348
38,59,90,2,2348
39,59,67,1,2348
40,59,77,1,2348
41,60,94,2,2348
42,60,91,2,2348
43,60,93,3,2348
44,60,92,4,2348
45,60,100,5,2348
46,60,95,2,2348
47,60,90,1,2348
48,60,89,2,2348
49,60,76,1,2348
50,60,85,2,2348
51,60,77,1,2348
52,60,6,1,2348
53,60,58,1,2348
54,60,83,2,2348
55,60,82,1,2348
56,60,96,1,2348
57,25,100,2,2348
58,25,85,3,2348
59,25,92,2,2348
60,25,81,4,2348
61,25,86,1,2348
62,25,93,2,2348
63,25,90,3,2348
64,25,91,4,2348
65,25,78,1,2348
66,25,95,1,2348
67,25,94,1,2348
68,25,97,1,2348
69,25,80,1,2348
70,25,73,3,2348
71,25,96,3,2348
72,25,64,1,2348
73,25,87,1,2348
74,25,89,2,2348
75,25,68,1,2348
76,25,52,1,2348
77,11,84,1,2348
78,11,85,1,2348
79,11,75,2,2348
80,11,94,4,2348
81,11,68,2,2348
82,11,93,3,2348
83,11,29,1,2348
84,11,69,3,2348
85,11,77,1,2348
86,11,66,2,2348
87,11,74,1,2348
88,11,83,1,2348
89,11,92,1,2348
90,11,58,1,2348
91,11,76,1,2348
92,11,91,2,2348
93,11,90,1,2348
94,11,61,2,2348
95,11,80,1,2348
96,11,81,1,2348
97,11,72,1,2348
98,9,90,2,2348
99,9,75,1,2348
100,9,52,1,2348
101,9,57,1,2348
102,9,93,2,2348
103,9,83,1,2348
104,9,89,1,2348
105,9,84,2,2348
106,9,53,1,2348
107,9,51,1,2348
108,9,54,1,2348
109,9,56,1,2348
110,9,59,1,2348
111,9,61,1,2348
112,9,76,1,2348
113,9,100,2,2348
114,9,86,2,2348
115,9,85,1,2348
116,9,80,1,2348
117,9,16,1,2348
118,37,100,2,2348
119,37,84,3,2348
120,37,90,3,2348
121,37,94,1,2348
