nokta_no,x,y,count,sezon_dakikasi
1,69,54,1,1068
2,69,26,1,1068
3,69,48,1,1068
4,69,16,1,1068
5,69,66,1,1068
6,69,37,1,1068
7,69,43,1,1068
8,69,63,2,1068
9,69,45,1,1068
10,9,40,1,1068
11,9,50,1,1068
12,30,8,1,1068
13,30,14,1,1068
14,30,74,1,1068
15,70,44,1,1068
16,70,22,1,1068
17,70,23,2,1068
18,70,60,1,1068
19,70,0,1,1068
20,70,63,1,1068
21,70,34,1,1068
22,70,42,1,1068
23,70,16,1,1068
24,70,43,1,1068
25,33,19,1,1068
26,33,50,1,1068
27,33,26,1,1068
28,33,41,1,1068
29,33,69,1,1068
30,33,47,1,1068
31,42,12,1,1068
32,42,77,1,1068
33,42,31,1,1068
34,42,64,1,1068
35,71,3,1,1068
36,71,61,1,1068
37,71,55,1,1068
38,71,91,1,1068
39,71,16,1,1068
40,71,18,1,1068
41,71,27,1,1068
42,71,84,1,1068
43,66,0,1,1068
44,66,29,1,1068
45,66,39,2,1068
46,66,46,1,1068
47,66,14,1,1068
48,66,7,1,1068
49,66,28,1,1068
50,66,15,1,1068
51,66,69,1,1068
52,73,17,2,1068
53,73,53,2,1068
54,73,60,1,1068
55,73,23,1,1068
56,73,41,1,1068
57,73,72,1,1068
58,73,24,1,1068
59,73,36,1,1068
60,85,51,1,1068
61,85,41,1,1068
62,85,47,1,1068
63,85,50,1,1068
64,85,33,1,1068
65,85,23,1,1068
66,85,66,1,1068
67,85,71,1,1068
68,85,59,1,1068
69,72,47,1,1068
70,72,40,1,1068
71,72,38,1,1068
72,72,58,1,1068
73,72,85,1,1068
74,59,19,1,1068
75,59,15,1,1068
76,59,36,1,1068
77,59,20,1,1068
78,59,91,1,1068
79,59,43,1,1068
80,59,51,1,1068
81,59,74,1,1068
82,94,39,1,1068
83,94,26,1,1068
84,94,70,1,1068
85,94,24,1,1068
86,92,36,1,1068
87,92,51,3,1068
88,92,18,1,1068
89,92,23,1,1068
90,38,17,1,1068
91,38,7,2,1068
92,38,54,1,1068
93,38,30,1,1068
94,38,40,1,1068
95,38,56,1,1068
96,38,46,1,1068
97,38,15,1,1068
98,38,41,1,1068
99,68,61,1,1068
100,68,27,2,1068
101,68,34,1,1068
102,68,7,1,1068
103,68,6,1,1068
104,68,47,1,1068
105,68,67,1,1068
106,79,9,1,1068
107,79,90,1,1068
108,79,5,1,1068
109,79,12,1,1068
110,79,22,1,1068
111,79,16,1,1068
112,79,26,1,1068
113,79,47,1,1068
114,79,29,1,1068
115,79,57,1,1068
116,79,31,2,1068
117,79,6,1,1068
118,58,21,1,1068
119,58,25,1,1068
120,58,8,1,1068
121,58,15,1,1068
122,58,89,1,1068
123,90,51,1,1068
124,90,49,1,1068
125,90,52,1,1068
126,90,28,1,1068
127,90,36,1,1068
128,90,20,1,1068
129,90,60,1,1068
130,87,47,1,1068
131,87,45,1,1068
132,87,41,1,1068
133,87,43,1,1068
134,87,53,1,1068
135,46,7,1,1068
136,46,52,1,1068
137,46,42,1,1068
138,46,55,1,1068
139,46,94,1,1068
140,61,15,1,1068
141,61,0,1,1068
142,61,25,1,1068
143,61,35,1,1068
144,61,84,1,1068
145,61,34,1,1068
146,61,23,1,1068
147,60,19,1,1068
148,60,24,1,1068
149,60,84,1,1068
150,60,53,1,1068
151,60,31,1,1068
152,88,46,1,1068
153,88,70,1,1068
154,88,61,1,1068
155,88,48,1,1068
156,88,52,1,1068
157,88,50,1,1068
158,88,13,2,1068
159,88,59,1,1068
160,76,46,1,1068
161,76,50,1,1068
162,76,4,1,1068
163,76,48,2,1068
164,76,54,1,1068
165,76,6,1,1068
166,76,85,1,1068
167,76,20,1,1068
168,76,37,1,1068
169,76,65,1,1068
170,67,21,1,1068
171,67,33,1,1068
172,67,78,1,1068
173,67,59,1,1068
174,67,43,1,1068
175,62,24,1,1068
176,62,28,1,1068
177,62,57,1,1068
178,62,30,1,1068
179,62,42,1,1068
180,62,50,1,1068
181,80,26,1,1068
182,80,25,1,1068
183,80,61,1,1068
184,80,14,1,1068
185,80,57,1,1068
186,98,35,1,1068
187,98,28,1,1068
188,98,43,1,1068
189,98,81,1,1068
190,98,47,1,1068
191,98,31,1,1068
192,74,22,1,1068
193,74,68,1,1068
194,64,19,1,1068
195,64,17,1,1068
196,64,34,1,1068
197,64,55,1,1068
198,64,43,1,1068
199,64,18,1,1068
200,64,50,1,1068
201,64,66,1,1068
202,83,8,1,1068
203,75,43,1,1068
204,75,4,1,1068
205,75,66,1,1068
206,75,30,1,1068
207,65,13,2,1068
208,65,31,1,1068
209,65,8,1,1068
210,65,54,1,1068
211,65,57,1,1068
212,65,22,1,1068
213,65,59,1,1068
214,65,38,1,1068
215,65,55,1,1068
216,65,21,1,1068
217,65,33,1,1068
218,65,50,1,1068
219,65,39,1,1068
220,63,16,1,1068
221,63,44,1,1068
222,63,31,1,1068
223,63,20,1,1068
224,63,59,1,1068
225,63,97,1,1068
226,63,42,1,1068
227,63,72,1,1068
228,40,58,1,1068
229,40,22,1,1068
230,40,46,1,1068
231,40,9,1,1068
232,40,74,1,1068
233,40,17,1,1068
234,40,19,1,1068
235,40,25,1,1068
236,31,43,1,1068
237,31,24,1,1068
238,31,31,1,1068
239,45,18,1,1068
240,45,49,1,1068
241,45,31,1,1068
242,45,81,1,1068
243,52,52,1,1068
244,52,29,1,1068
245,52,27,1,1068
246,52,42,1,1068
247,37,24,1,1068
248,37,17,1,1068
249,37,41,1,1068
250,95,48,1,1068
251,95,32,1,1068
252,95,46,1,1068
253,41,13,1,1068
254,41,37,1,1068
255,41,70,1,1068
256,41,41,1,1068
257,41,64,1,1068
258,56,31,1,1068
259,56,65,1,1068
260,56,52,1,1068
261,56,8,1,1068
262,56,25,2,1068
263,54,26,1,1068
264,54,29,1,1068
265,54,51,2,1068
266,54,48,2,1068
267,54,65,1,1068
268,96,46,1,1068
269,96,48,1,1068
270,96,59,1,1068
271,96,22,1,1068
272,8,59,1,1068
273,8,50,1,1068
274,8,37,1,1068
275,36,48,1,1068
276,36,47,1,1068
277,29,41,1,1068
278,29,37,1,1068
279,29,18,1,1068
280,29,76,1,1068
281,57,10,1,1068
282,57,66,1,1068
283,57,47,1,1068
284,57,29,1,1068
285,57,54,1,1068
286,57,46,1,1068
287,57,71,1,1068
288,28,73,1,1068
289,28,19,1,1068
290,28,41,1,1068
291,28,45,1,1068
292,28,82,1,1068
293,28,24,1,1068
294,32,89,1,1068
295,44,81,1,1068
296,20,20,1,1068
297,12,41,2,1068
298,12,80,1,1068
299,12,53,2,1068
300,22,30,1,1068
301,23,24,1,1068
302,23,62,1,1068
303,17,38,1,1068
304,17,61,1,1068
305,21,13,1,1068
306,48,57,1,1068
307,48,51,1,1068
308,48,36,1,1068
309,48,37,1,1068
310,48,26,1,1068
311,48,30,1,1068
312,39,45,1,1068
313,39,61,1,1068
314,39,41,1,1068
315,39,19,1,1068
316,49,38,1,1068
317,49,50,1,1068
318,50,36,1,1068
319,50,50,1,1068
320,50,40,1,1068
321,50,18,1,1068
322,86,42,1,1068
323,86,65,1,1068
324,86,28,1,1068
325,86,6,1,1068
326,86,54,1,1068
327,18,82,1,1068
328,78,18,1,1068
329,78,67,1,1068
330,78,54,1,1068
331,78,69,1,1068
332,47,41,1,1068
333,47,56,1,1068
334,77,59,1,1068
335,77,100,1,1068
336,77,89,1,1068
337,77,67,1,1068
338,77,31,1,1068
339,91,50,2,1068
340,89,48,1,1068
341,89,38,1,1068
342,89,6,1,1068
343,89,39,1,1068
344,55,56,1,1068
345,55,40,1,1068
346,55,32,1,1068
347,55,30,1,1068
348,55,78,1,1068
349,81,26,1,1068
350,81,32,1,1068
351,6,42,1,1068
352,6,54,1,1068
353,93,53,1,1068
354,93,78,1,1068
355,99,36,1,1068
356,99,35,1,1068
357,99,32,1,1068
358,82,14,1,1068
359,4,43,2,1068
360,4,85,1,1068
361,4,47,1,1068
362,84,14,1,1068
363,84,10,1,1068
364,84,7,1,1068
365,53,6,1,1068
366,53,80,1,1068
367,53,55,1,1068
368,5,40,1,1068
369,26,32,1,1068
370,26,30,1,1068
371,25,27,1,1068
372,97,45,1,1068
373,11,54,2,1068
374,24,55,1,1068
375,24,66,1,1068
376,43,71,1,1068
377,43,75,1,1068
378,34,23,1,1068
379,35,11,1,1068
