nokta_no,x,y,count,sezon_dakikasi
1,31,46,2,2610
2,31,63,1,2610
3,31,53,3,2610
4,31,43,1,2610
5,31,62,1,2610
6,31,75,3,2610
7,31,38,1,2610
8,31,51,1,2610
9,31,7,1,2610
10,31,37,1,2610
11,31,31,2,2610
12,31,50,1,2610
13,31,28,2,2610
14,31,56,1,2610
15,31,33,3,2610
16,31,66,1,2610
17,31,40,1,2610
18,31,55,2,2610
19,31,41,1,2610
20,31,94,1,2610
21,31,85,1,2610
22,31,54,1,2610
23,31,83,1,2610
24,31,15,1,2610
25,31,17,1,2610
26,31,93,1,2610
27,31,29,2,2610
28,31,34,1,2610
29,31,61,1,2610
30,31,26,2,2610
31,31,25,2,2610
32,31,4,1,2610
33,31,73,1,2610
34,31,49,1,2610
35,31,19,1,2610
36,31,82,1,2610
37,31,77,1,2610
38,31,35,1,2610
39,31,24,1,2610
40,31,21,1,2610
41,42,46,1,2610
42,42,67,1,2610
43,42,60,1,2610
44,42,73,1,2610
45,42,82,2,2610
46,42,75,1,2610
47,42,26,1,2610
48,42,29,1,2610
49,42,31,1,2610
50,42,50,2,2610
51,42,61,1,2610
52,42,36,2,2610
53,42,27,2,2610
54,42,54,3,2610
55,42,48,1,2610
56,42,35,1,2610
57,42,13,1,2610
58,42,28,1,2610
59,42,23,1,2610
60,42,32,1,2610
61,42,38,1,2610
62,42,8,1,2610
63,42,62,1,2610
64,42,53,1,2610
65,42,58,1,2610
66,42,39,1,2610
67,42,45,1,2610
68,42,14,2,2610
69,42,19,2,2610
70,42,49,1,2610
71,42,66,1,2610
72,42,80,1,2610
73,42,7,1,2610
74,38,41,1,2610
75,38,71,1,2610
76,38,45,1,2610
77,38,48,3,2610
78,38,28,2,2610
79,38,39,1,2610
80,38,23,1,2610
81,38,60,1,2610
82,38,47,1,2610
83,38,30,2,2610
84,38,14,1,2610
85,38,43,1,2610
86,38,51,1,2610
87,38,69,1,2610
88,38,25,1,2610
89,38,64,1,2610
90,38,79,1,2610
91,38,11,3,2610
92,38,73,1,2610
93,38,88,1,2610
94,38,4,1,2610
95,38,37,1,2610
96,38,77,1,2610
97,38,26,1,2610
98,38,74,1,2610
99,38,8,1,2610
100,38,50,1,2610
101,38,68,2,2610
102,38,18,1,2610
103,38,40,2,2610
104,38,63,1,2610
105,38,33,1,2610
106,38,36,1,2610
107,24,55,1,2610
108,24,66,1,2610
109,24,47,1,2610
110,24,22,1,2610
111,24,30,2,2610
112,24,27,4,2610
113,24,34,2,2610
114,24,15,3,2610
115,24,37,2,2610
116,24,61,1,2610
117,24,13,1,2610
118,24,46,2,2610
119,24,18,1,2610
120,24,9,1,2610
121,24,39,1,2610
122,24,33,2,2610
123,24,49,2,2610
124,24,29,1,2610
125,24,24,1,2610
126,24,90,1,2610
127,24,8,1,2610
128,24,7,1,2610
129,24,35,1,2610
130,24,17,1,2610
131,24,26,2,2610
132,24,76,2,2610
133,24,11,2,2610
134,24,36,2,2610
135,24,78,1,2610
136,24,25,1,2610
137,24,21,2,2610
138,24,43,1,2610
139,24,19,1,2610
140,24,10,1,2610
141,28,60,2,2610
142,28,88,1,2610
143,28,20,1,2610
144,28,72,1,2610
145,28,46,2,2610
146,28,40,2,2610
147,28,39,2,2610
148,28,29,2,2610
149,28,16,1,2610
150,28,26,2,2610
151,28,35,1,2610
152,28,13,1,2610
153,28,28,1,2610
154,28,80,1,2610
155,28,50,1,2610
156,28,48,3,2610
157,28,70,2,2610
158,28,12,1,2610
159,28,24,1,2610
160,28,18,1,2610
161,28,76,1,2610
162,28,7,1,2610
163,28,78,2,2610
164,28,44,2,2610
165,28,55,1,2610
166,28,30,1,2610
167,28,27,1,2610
168,28,25,2,2610
169,28,43,1,2610
170,28,33,1,2610
171,28,42,1,2610
172,28,11,1,2610
173,28,62,1,2610
174,28,36,1,2610
175,28,89,1,2610
176,28,37,1,2610
177,12,16,2,2610
178,12,49,5,2610
179,12,73,1,2610
180,12,41,2,2610
181,12,48,1,2610
182,12,33,1,2610
183,12,57,1,2610
184,12,27,1,2610
185,12,32,1,2610
186,12,42,1,2610
187,12,90,1,2610
188,12,37,1,2610
189,12,34,1,2610
190,12,59,1,2610
191,12,54,2,2610
192,12,23,1,2610
193,12,21,2,2610
194,12,7,1,2610
195,12,61,1,2610
196,12,44,2,2610
197,12,10,1,2610
198,12,19,1,2610
199,12,17,1,2610
200,27,36,2,2610
201,27,63,1,2610
202,27,62,1,2610
203,27,53,1,2610
204,27,70,2,2610
205,27,46,2,2610
206,27,40,1,2610
207,27,28,2,2610
208,27,52,2,2610
209,27,38,3,2610
210,27,31,1,2610
211,27,56,1,2610
212,27,8,1,2610
213,27,84,2,2610
214,27,47,2,2610
215,27,25,1,2610
216,27,26,1,2610
217,27,39,1,2610
218,27,80,2,2610
219,27,85,1,2610
220,27,30,2,2610
221,27,54,1,2610
222,27,21,2,2610
223,27,34,1,2610
224,27,7,1,2610
225,27,86,1,2610
226,27,33,2,2610
227,27,41,1,2610
228,27,11,1,2610
229,27,64,1,2610
230,27,15,1,2610
231,27,55,1,2610
232,27,44,1,2610
233,27,91,1,2610
234,27,23,1,2610
235,26,82,3,2610
236,26,75,1,2610
237,26,53,2,2610
238,26,78,2,2610
239,26,31,2,2610
240,26,70,1,2610
241,26,61,1,2610
242,26,48,2,2610
243,26,42,2,2610
244,26,41,2,2610
245,26,27,2,2610
246,26,24,3,2610
247,26,43,1,2610
248,26,40,2,2610
249,26,11,1,2610
250,26,74,1,2610
251,26,71,1,2610
252,26,63,2,2610
253,26,54,2,2610
254,26,94,1,2610
255,26,19,1,2610
256,26,64,1,2610
