nokta_no,x,y,count,sezon_dakikasi
1,46,19,3,2263
2,46,90,1,2263
3,46,75,1,2263
4,46,0,1,2263
5,46,96,1,2263
6,46,12,1,2263
7,46,32,1,2263
8,46,72,1,2263
9,46,6,2,2263
10,46,4,2,2263
11,46,11,1,2263
12,46,47,1,2263
13,46,8,1,2263
14,46,9,2,2263
15,46,22,1,2263
16,46,73,1,2263
17,46,10,1,2263
18,46,14,1,2263
19,46,20,1,2263
20,46,15,1,2263
21,46,21,1,2263
22,38,17,1,2263
23,38,26,1,2263
24,38,88,1,2263
25,38,4,2,2263
26,38,7,2,2263
27,38,37,1,2263
28,38,3,1,2263
29,38,0,2,2263
30,38,10,1,2263
31,38,12,1,2263
32,32,17,1,2263
33,32,7,1,2263
34,32,47,2,2263
35,32,95,1,2263
36,32,11,1,2263
37,32,6,1,2263
38,32,82,1,2263
39,32,12,1,2263
40,32,30,1,2263
41,32,5,1,2263
42,32,0,2,2263
43,32,8,1,2263
44,32,23,1,2263
45,90,9,1,2263
46,90,18,1,2263
47,90,0,1,2263
48,90,33,1,2263
49,90,14,1,2263
50,90,35,1,2263
51,90,17,1,2263
52,90,19,1,2263
53,90,20,1,2263
54,90,28,1,2263
55,89,10,1,2263
56,89,100,1,2263
57,89,0,2,2263
58,89,15,1,2263
59,89,25,1,2263
60,89,5,1,2263
61,89,17,1,2263
62,89,6,2,2263
63,89,13,1,2263
64,85,5,1,2263
65,85,15,1,2263
66,85,79,1,2263
67,85,0,1,2263
68,85,8,1,2263
69,85,20,1,2263
70,85,13,1,2263
71,85,16,1,2263
72,85,9,1,2263
73,85,10,1,2263
74,85,23,1,2263
75,85,82,1,2263
76,85,24,1,2263
77,85,27,1,2263
78,85,41,1,2263
79,85,6,2,2263
80,85,46,1,2263
81,39,10,1,2263
82,39,12,3,2263
83,39,8,2,2263
84,39,2,1,2263
85,39,81,1,2263
86,39,60,1,2263
87,39,37,1,2263
88,39,7,2,2263
89,39,9,1,2263
90,39,19,1,2263
91,39,5,1,2263
92,39,0,2,2263
93,39,4,1,2263
94,39,13,1,2263
95,82,19,1,2263
96,82,15,1,2263
97,82,100,1,2263
98,82,14,1,2263
99,82,7,2,2263
100,82,27,2,2263
101,82,93,1,2263
102,82,83,1,2263
103,82,85,1,2263
104,82,3,1,2263
105,82,20,1,2263
106,82,11,1,2263
107,82,13,2,2263
108,82,9,1,2263
109,80,28,2,2263
110,80,75,2,2263
111,80,100,1,2263
112,80,96,1,2263
113,80,95,1,2263
114,80,10,3,2263
115,80,22,1,2263
116,80,25,2,2263
117,80,0,2,2263
118,80,35,1,2263
119,80,14,1,2263
120,80,12,1,2263
121,80,32,1,2263
122,71,25,1,2263
123,71,13,1,2263
124,71,37,1,2263
125,71,90,1,2263
126,71,77,1,2263
127,71,5,1,2263
128,71,93,1,2263
129,71,79,1,2263
130,71,15,2,2263
131,71,9,1,2263
132,71,8,1,2263
133,71,28,1,2263
134,71,59,1,2263
135,71,22,1,2263
136,71,23,2,2263
137,71,3,2,2263
138,71,32,1,2263
139,71,6,1,2263
140,71,18,1,2263
141,71,20,1,2263
142,71,12,1,2263
143,71,10,1,2263
144,71,68,1,2263
145,71,31,1,2263
146,71,27,2,2263
147,71,30,1,2263
148,76,18,1,2263
149,76,65,1,2263
150,76,100,2,2263
151,76,46,1,2263
152,76,8,1,2263
153,76,16,1,2263
154,76,2,2,2263
155,76,0,3,2263
156,76,29,2,2263
157,76,92,1,2263
158,76,75,1,2263
159,76,25,1,2263
160,76,61,2,2263
161,76,4,1,2263
162,76,7,2,2263
163,76,32,1,2263
164,76,12,1,2263
165,76,5,1,2263
166,76,31,1,2263
167,76,6,1,2263
168,76,34,1,2263
169,76,3,1,2263
170,76,10,1,2263
171,76,22,1,2263
172,75,29,1,2263
173,75,25,2,2263
174,75,6,2,2263
175,75,36,1,2263
176,75,27,3,2263
177,75,81,1,2263
178,75,15,2,2263
179,75,16,1,2263
180,75,28,3,2263
181,75,26,2,2263
182,75,9,3,2263
183,75,12,1,2263
184,75,86,1,2263
185,75,83,1,2263
186,75,10,2,2263
187,75,11,2,2263
188,75,22,1,2263
189,75,50,1,2263
190,75,5,1,2263
191,75,41,1,2263
192,75,13,1,2263
193,75,20,1,2263
194,75,3,1,2263
195,75,0,1,2263
196,53,9,2,2263
197,53,82,1,2263
198,53,10,1,2263
199,53,92,1,2263
200,53,4,1,2263
201,53,3,1,2263
202,53,23,1,2263
203,53,87,1,2263
204,53,67,1,2263
205,53,27,1,2263
206,53,28,1,2263
207,53,2,2,2263
208,53,16,1,2263
209,53,20,1,2263
210,53,14,1,2263
211,53,8,1,2263
212,53,5,1,2263
213,67,5,2,2263
