nokta_no,x,y,count,sezon_dakikasi
1,59,8,1,1692
2,59,93,2,1692
3,59,82,1,1692
4,59,89,1,1692
5,59,95,2,1692
6,59,90,1,1692
7,59,24,1,1692
8,59,30,1,1692
9,59,96,1,1692
10,59,88,2,1692
11,59,85,1,1692
12,59,91,1,1692
13,59,84,1,1692
14,59,87,1,1692
15,59,73,1,1692
16,55,10,1,1692
17,55,7,1,1692
18,55,82,1,1692
19,55,93,1,1692
20,55,17,1,1692
21,55,16,1,1692
22,55,8,2,1692
23,55,32,1,1692
24,55,80,1,1692
25,55,95,1,1692
26,55,0,2,1692
27,55,100,1,1692
28,55,57,1,1692
29,55,71,1,1692
30,55,92,1,1692
31,75,14,1,1692
32,75,15,1,1692
33,75,75,1,1692
34,75,0,1,1692
35,75,22,1,1692
36,75,26,1,1692
37,75,62,1,1692
38,75,68,1,1692
39,74,30,2,1692
40,74,6,1,1692
41,74,81,1,1692
42,74,48,1,1692
43,74,52,1,1692
44,74,57,2,1692
45,74,100,1,1692
46,74,89,1,1692
47,74,80,1,1692
48,74,24,1,1692
49,74,96,1,1692
50,72,32,1,1692
51,72,64,1,1692
52,72,31,1,1692
53,72,27,1,1692
54,72,8,1,1692
55,72,92,2,1692
56,72,94,1,1692
57,72,93,1,1692
58,72,100,1,1692
59,86,29,1,1692
60,86,13,1,1692
61,86,100,1,1692
62,86,91,1,1692
63,87,21,1,1692
64,87,100,1,1692
65,87,3,1,1692
66,87,86,1,1692
67,78,31,1,1692
68,78,100,1,1692
69,78,8,1,1692
70,78,23,1,1692
71,78,80,1,1692
72,81,8,1,1692
73,81,100,1,1692
74,81,6,1,1692
75,81,9,1,1692
76,88,9,1,1692
77,88,0,1,1692
78,54,7,1,1692
79,54,3,1,1692
80,54,85,1,1692
81,54,0,1,1692
82,54,25,1,1692
83,54,14,1,1692
84,54,21,2,1692
85,54,93,1,1692
86,54,5,1,1692
87,54,17,1,1692
88,54,86,1,1692
89,54,57,1,1692
90,67,20,2,1692
91,67,86,1,1692
92,67,74,1,1692
93,67,7,1,1692
94,67,4,1,1692
95,67,29,1,1692
96,67,100,2,1692
97,67,11,1,1692
98,67,79,1,1692
99,67,72,1,1692
100,67,92,2,1692
101,67,27,1,1692
102,67,90,1,1692
103,67,85,1,1692
104,67,69,1,1692
105,67,96,1,1692
106,67,87,1,1692
107,24,17,1,1692
108,24,4,1,1692
109,24,26,1,1692
110,24,14,1,1692
111,24,27,2,1692
112,24,16,1,1692
113,24,91,1,1692
114,24,84,1,1692
115,24,54,1,1692
116,24,0,1,1692
117,24,23,1,1692
118,24,12,1,1692
119,24,21,1,1692
120,24,24,1,1692
121,24,92,3,1692
122,24,86,1,1692
123,24,30,1,1692
124,24,83,1,1692
125,39,16,2,1692
126,39,2,2,1692
127,39,24,1,1692
128,39,11,1,1692
129,39,1,1,1692
130,39,5,1,1692
131,39,7,1,1692
132,39,26,2,1692
133,39,100,1,1692
134,39,15,1,1692
135,39,18,1,1692
136,39,93,2,1692
137,39,86,3,1692
138,39,90,1,1692
139,39,89,2,1692
140,39,83,1,1692
141,39,12,1,1692
142,39,82,1,1692
143,39,79,1,1692
144,39,88,1,1692
145,60,7,1,1692
146,60,83,2,1692
147,60,93,1,1692
148,60,100,3,1692
149,60,85,1,1692
150,60,94,1,1692
151,60,15,1,1692
152,60,39,1,1692
153,60,33,1,1692
154,60,86,2,1692
155,60,66,1,1692
156,60,82,1,1692
157,60,20,1,1692
158,60,88,1,1692
159,60,92,1,1692
