nokta_no,x,y,count,sezon_dakikasi
1,58,70,1,1966
2,58,91,1,1966
3,58,65,1,1966
4,58,71,1,1966
5,58,98,1,1966
6,58,79,1,1966
7,58,93,1,1966
8,58,60,1,1966
9,58,77,1,1966
10,8,72,3,1966
11,8,55,2,1966
12,8,57,1,1966
13,8,44,1,1966
14,8,45,1,1966
15,8,90,3,1966
16,8,68,1,1966
17,8,100,1,1966
18,8,69,2,1966
19,8,81,1,1966
20,8,66,3,1966
21,8,79,1,1966
22,8,97,1,1966
23,8,84,1,1966
24,8,77,1,1966
25,8,52,2,1966
26,8,67,1,1966
27,8,94,2,1966
28,8,50,3,1966
29,8,63,1,1966
30,8,61,1,1966
31,8,28,1,1966
32,8,24,1,1966
33,8,82,1,1966
34,8,54,1,1966
35,8,62,3,1966
36,8,53,2,1966
37,8,56,1,1966
38,8,48,1,1966
39,8,76,1,1966
40,8,64,1,1966
41,40,86,2,1966
42,40,97,1,1966
43,40,71,2,1966
44,40,100,2,1966
45,40,91,1,1966
46,40,72,2,1966
47,40,74,1,1966
48,40,78,2,1966
49,40,85,3,1966
50,40,92,1,1966
51,40,67,1,1966
52,40,63,1,1966
53,40,62,1,1966
54,40,90,1,1966
55,40,95,1,1966
56,40,34,1,1966
57,40,33,1,1966
58,40,88,1,1966
59,40,84,1,1966
60,40,77,1,1966
61,40,57,1,1966
62,40,36,1,1966
63,40,83,1,1966
64,40,81,1,1966
65,1,85,1,1966
66,1,60,1,1966
67,1,94,1,1966
68,1,64,2,1966
69,1,65,1,1966
70,1,72,1,1966
71,29,92,1,1966
72,29,95,1,1966
73,29,58,3,1966
74,29,79,1,1966
75,29,90,1,1966
76,29,44,1,1966
77,29,93,1,1966
78,29,64,2,1966
79,29,69,4,1966
80,29,87,2,1966
81,29,89,2,1966
82,29,60,2,1966
83,29,61,2,1966
84,29,72,2,1966
85,29,39,1,1966
86,29,66,1,1966
87,29,74,3,1966
88,29,81,2,1966
89,29,85,2,1966
90,29,59,2,1966
91,29,68,2,1966
92,29,73,1,1966
93,29,86,1,1966
94,29,70,2,1966
95,29,80,1,1966
96,29,82,1,1966
97,26,93,1,1966
98,26,87,1,1966
99,26,60,1,1966
100,26,75,2,1966
101,26,100,2,1966
102,26,63,1,1966
