nokta_no,x,y,count,sezon_dakikasi
1,37,27,1,1661
2,37,67,1,1661
3,37,93,3,1661
4,37,30,1,1661
5,37,71,1,1661
6,37,75,1,1661
7,37,85,2,1661
8,37,36,1,1661
9,37,95,1,1661
10,37,49,2,1661
11,37,82,1,1661
12,36,14,1,1661
13,36,39,2,1661
14,36,33,2,1661
15,36,92,1,1661
16,36,86,1,1661
17,36,61,1,1661
18,36,71,1,1661
19,36,72,1,1661
20,36,95,1,1661
21,36,97,1,1661
22,36,63,1,1661
23,36,81,1,1661
24,36,48,1,1661
25,36,19,1,1661
26,36,40,1,1661
27,47,97,1,1661
28,47,33,1,1661
29,47,41,1,1661
30,47,58,1,1661
31,47,19,1,1661
32,47,71,1,1661
33,47,76,1,1661
34,47,65,1,1661
35,47,96,1,1661
36,28,35,1,1661
37,28,44,1,1661
38,28,82,1,1661
39,28,77,1,1661
40,28,79,1,1661
41,28,24,1,1661
42,28,53,2,1661
43,28,96,1,1661
44,28,88,1,1661
45,28,41,2,1661
46,28,29,1,1661
47,28,86,1,1661
48,28,33,1,1661
49,46,73,2,1661
50,46,84,2,1661
51,46,7,1,1661
52,46,90,1,1661
53,46,13,1,1661
54,46,97,1,1661
55,46,25,2,1661
56,46,44,1,1661
57,46,70,1,1661
58,46,93,1,1661
59,46,42,1,1661
60,46,89,1,1661
61,46,45,1,1661
62,46,18,1,1661
63,46,58,1,1661
64,46,67,1,1661
65,46,80,1,1661
66,46,91,1,1661
67,46,96,1,1661
68,46,85,1,1661
69,46,79,1,1661
70,46,46,1,1661
71,46,65,1,1661
72,54,98,1,1661
73,54,71,1,1661
74,54,40,1,1661
75,54,81,1,1661
76,54,42,1,1661
77,54,75,1,1661
78,54,83,1,1661
79,54,29,1,1661
80,54,84,1,1661
81,54,94,1,1661
82,54,74,1,1661
83,54,66,1,1661
84,54,73,1,1661
85,54,88,2,1661
86,54,9,1,1661
87,52,96,2,1661
88,52,97,1,1661
89,52,45,1,1661
90,52,67,1,1661
91,52,16,1,1661
92,52,68,1,1661
93,52,87,1,1661
94,52,60,1,1661
95,52,43,1,1661
96,52,66,1,1661
97,52,77,1,1661
98,41,92,2,1661
99,41,66,3,1661
100,41,68,1,1661
101,41,61,1,1661
102,41,80,2,1661
103,41,65,2,1661
104,41,91,3,1661
105,41,84,2,1661
106,41,71,1,1661
107,41,24,1,1661
108,41,10,1,1661
109,41,73,1,1661
110,41,76,1,1661
111,41,79,1,1661
112,64,93,3,1661
113,64,80,1,1661
114,64,92,1,1661
115,64,85,1,1661
116,64,64,1,1661
117,64,63,1,1661
118,64,95,4,1661
119,64,81,1,1661
120,64,62,1,1661
121,64,30,1,1661
122,64,79,1,1661
123,64,67,2,1661
124,64,21,1,1661
125,64,60,1,1661
126,64,78,1,1661
127,64,88,1,1661
128,64,89,1,1661
129,64,74,1,1661
130,64,96,1,1661
131,64,76,1,1661
132,64,4,1,1661
133,64,8,1,1661
134,64,6,1,1661
135,92,91,1,1661
136,92,74,1,1661
137,92,82,1,1661
138,92,83,1,1661
139,92,86,1,1661
140,92,81,1,1661
141,92,87,1,1661
142,92,68,1,1661
143,92,94,1,1661
144,92,75,1,1661
145,92,29,1,1661
146,92,53,1,1661
147,92,59,1,1661
148,92,47,1,1661
149,45,82,1,1661
150,45,28,2,1661
151,45,81,1,1661
152,45,80,1,1661
153,45,56,1,1661
154,45,54,1,1661
155,45,34,1,1661
156,45,33,1,1661
157,45,88,1,1661
158,45,51,1,1661
159,45,91,1,1661
160,45,92,1,1661
161,45,75,1,1661
162,45,85,1,1661
163,86,96,1,1661
164,86,86,1,1661
165,86,60,1,1661
166,86,48,1,1661
167,86,57,1,1661
168,86,71,1,1661
169,86,74,1,1661
170,86,55,1,1661
171,86,68,1,1661
172,86,67,1,1661
173,86,92,1,1661
174,61,68,2,1661
175,61,61,1,1661
176,61,93,1,1661
177,61,76,2,1661
178,61,46,1,1661
179,61,91,1,1661
180,61,79,2,1661
181,61,84,1,1661
182,61,69,1,1661
183,61,85,1,1661
184,61,73,1,1661
185,61,67,2,1661
186,61,45,1,1661
187,44,92,3,1661
188,44,78,2,1661
189,44,68,1,1661
190,44,51,2,1661
191,44,88,1,1661
192,44,91,1,1661
193,44,73,1,1661
194,44,67,2,1661
195,44,82,1,1661
196,44,81,1,1661
197,44,79,1,1661
198,42,93,1,1661
199,42,35,2,1661
200,42,71,1,1661
201,42,84,2,1661
202,42,91,1,1661
203,42,76,2,1661
204,42,64,1,1661
205,42,72,1,1661
206,42,74,1,1661
207,42,66,1,1661
208,42,85,2,1661
209,97,14,1,1661
210,97,30,1,1661
211,97,48,1,1661
212,97,78,1,1661
213,97,79,1,1661
214,81,11,1,1661
215,81,17,1,1661
216,81,34,1,1661
217,81,86,1,1661
218,81,3,1,1661
219,81,88,1,1661
220,81,79,1,1661
221,81,62,1,1661
222,81,66,1,1661
223,69,35,1,1661
224,69,82,3,1661
225,69,27,1,1661
226,69,38,1,1661
227,69,49,1,1661
228,69,95,1,1661
229,69,37,1,1661
230,69,72,2,1661
231,69,76,2,1661
232,69,53,1,1661
233,69,94,2,1661
234,69,90,2,1661
235,69,51,1,1661
236,69,79,1,1661
237,69,80,2,1661
238,69,68,1,1661
239,69,67,1,1661
240,69,64,1,1661
241,69,77,2,1661
242,69,60,1,1661
243,69,70,1,1661
244,69,56,1,1661
245,69,83,1,1661
246,69,63,1,1661
247,69,86,1,1661
248,69,81,1,1661
249,69,87,1,1661
250,69,71,1,1661
251,69,84,1,1661
252,99,99,8,1661
253,99,0,3,1661
254,99,43,1,1661
255,65,56,1,1661
256,65,95,3,1661
257,65,40,1,1661
258,65,75,1,1661
259,65,89,1,1661
260,65,67,3,1661
261,65,30,1,1661
262,65,38,1,1661
263,65,79,1,1661
264,65,93,1,1661
265,65,61,1,1661
266,65,92,1,1661
267,65,71,1,1661
268,65,100,1,1661
269,65,78,1,1661
270,65,76,1,1661
271,65,70,1,1661
272,65,85,1,1661
273,65,83,1,1661
274,65,68,1,1661
275,71,83,1,1661
276,71,77,1,1661
277,71,90,1,1661
278,71,49,1,1661
279,71,87,1,1661
280,71,56,2,1661
281,71,32,1,1661
282,71,85,1,1661
283,71,7,1,1661
284,71,0,1,1661
285,71,78,2,1661
286,71,52,1,1661
287,71,13,1,1661
288,71,66,1,1661
289,71,69,1,1661
290,71,73,1,1661
291,71,59,1,1661
292,71,10,1,1661
293,71,51,1,1661
294,71,24,1,1661
295,71,79,1,1661
296,71,81,2,1661
297,71,86,1,1661
298,71,84,1,1661
299,71,80,1,1661
300,73,88,1,1661
301,73,98,2,1661
302,73,35,3,1661
303,73,15,2,1661
304,73,65,1,1661
305,73,61,4,1661
306,73,32,1,1661
307,73,55,1,1661
308,73,25,1,1661
309,73,68,2,1661
310,73,69,1,1661
311,73,17,1,1661
312,73,31,1,1661
313,73,67,1,1661
314,73,78,1,1661
315,73,62,2,1661
316,73,74,1,1661
317,73,50,1,1661
318,73,75,1,1661
319,73,94,1,1661
320,73,93,1,1661
321,73,77,1,1661
322,73,81,1,1661
323,67,36,1,1661
324,67,56,2,1661
325,67,85,3,1661
326,67,49,1,1661
327,67,52,1,1661
328,67,62,1,1661
329,67,76,2,1661
330,67,69,1,1661
331,67,31,1,1661
332,67,28,1,1661
333,67,78,1,1661
334,67,48,1,1661
335,67,13,1,1661
336,67,88,1,1661
337,67,91,1,1661
338,67,55,1,1661
339,67,83,2,1661
340,67,80,1,1661
341,67,75,1,1661
342,67,35,1,1661
343,67,3,1,1661
344,67,70,1,1661
345,67,92,1,1661
346,67,90,1,1661
347,95,26,1,1661
348,95,29,1,1661
349,95,51,1,1661
350,95,73,1,1661
351,95,75,1,1661
352,95,66,1,1661
353,95,49,1,1661
354,95,38,1,1661
355,39,94,1,1661
356,39,40,1,1661
357,39,67,2,1661
358,39,58,1,1661
359,39,26,1,1661
360,39,72,1,1661
361,39,90,1,1661
362,39,17,2,1661
363,39,89,1,1661
364,39,88,1,1661
365,39,30,1,1661
366,39,9,1,1661
367,39,77,2,1661
368,39,32,1,1661
369,39,82,1,1661
370,53,64,1,1661
371,53,91,3,1661
372,53,60,1,1661
373,53,92,1,1661
374,53,71,1,1661
375,53,47,1,1661
376,53,32,1,1661
377,53,96,1,1661
378,53,95,1,1661
379,53,49,1,1661
380,53,73,1,1661
381,53,74,1,1661
382,48,75,1,1661
383,48,57,1,1661
384,48,10,1,1661
385,48,90,1,1661
386,48,50,1,1661
387,48,87,1,1661
388,48,94,1,1661
389,74,26,2,1661
390,74,32,1,1661
391,74,13,1,1661
392,74,95,1,1661
393,74,51,1,1661
394,74,65,1,1661
395,74,42,1,1661
396,74,14,1,1661
397,74,93,2,1661
398,74,59,1,1661
399,74,52,1,1661
400,74,25,1,1661
401,74,96,1,1661
402,74,77,1,1661
403,74,50,1,1661
404,74,92,1,1661
405,74,81,2,1661
406,74,82,1,1661
407,74,37,1,1661
408,74,90,1,1661
409,74,84,1,1661
410,68,26,1,1661
411,68,41,1,1661
412,68,30,1,1661
413,68,34,1,1661
414,68,100,1,1661
415,68,86,1,1661
416,68,94,1,1661
417,68,38,1,1661
418,68,46,1,1661
419,68,76,1,1661
420,68,88,1,1661
421,68,96,1,1661
422,68,98,1,1661
423,68,68,1,1661
424,68,81,3,1661
425,68,8,1,1661
426,68,56,1,1661
427,68,42,1,1661
428,68,49,2,1661
429,68,67,1,1661
430,68,27,1,1661
431,68,25,1,1661
432,68,47,1,1661
433,68,69,1,1661
434,68,84,1,1661
435,68,63,1,1661
436,68,83,1,1661
437,75,48,1,1661
438,75,25,1,1661
439,75,28,1,1661
440,75,52,1,1661
441,75,90,2,1661
442,75,42,1,1661
443,75,1,1,1661
444,75,96,2,1661
445,75,60,1,1661
446,75,87,1,1661
447,75,34,1,1661
448,75,79,1,1661
449,75,95,1,1661
450,75,45,1,1661
451,75,70,1,1661
452,75,93,1,1661
453,75,41,1,1661
454,75,78,1,1661
455,75,76,1,1661
456,75,5,1,1661
457,75,75,1,1661
458,75,72,1,1661
459,75,64,1,1661
460,75,80,1,1661
461,75,88,1,1661
462,56,66,1,1661
463,56,4,1,1661
464,56,78,2,1661
465,56,89,1,1661
466,56,95,1,1661
467,56,12,1,1661
468,56,55,1,1661
469,56,64,1,1661
470,56,74,1,1661
471,56,77,2,1661
472,56,7,1,1661
473,56,90,1,1661
474,56,83,1,1661
475,56,94,1,1661
476,56,87,1,1661
477,72,23,1,1661
478,72,72,1,1661
479,72,95,2,1661
480,72,91,1,1661
481,72,51,3,1661
482,72,22,1,1661
483,72,27,1,1661
484,72,39,1,1661
485,72,9,1,1661
486,72,77,1,1661
487,72,67,1,1661
488,72,59,1,1661
489,72,36,1,1661
490,72,85,1,1661
491,72,71,2,1661
492,72,35,2,1661
493,72,66,1,1661
494,72,57,1,1661
495,72,50,1,1661
496,72,58,1,1661
497,72,10,1,1661
498,72,79,1,1661
499,72,88,1,1661
500,72,69,1,1661
501,72,74,1,1661
502,72,65,2,1661
503,72,32,1,1661
504,72,68,2,1661
505,72,89,1,1661
506,72,82,1,1661
507,72,73,1,1661
508,66,60,1,1661
509,66,40,2,1661
510,66,61,1,1661
511,66,52,1,1661
512,66,86,1,1661
513,66,92,2,1661
514,66,90,1,1661
