nokta_no,x,y,count,sezon_dakikasi
1,26,0,3,1962
2,26,4,1,1962
3,26,13,1,1962
4,26,7,1,1962
5,26,29,1,1962
6,26,35,1,1962
7,26,5,2,1962
8,26,6,1,1962
9,26,30,1,1962
10,26,8,1,1962
11,26,10,1,1962
12,26,25,1,1962
13,26,34,2,1962
14,26,19,1,1962
15,26,20,1,1962
16,15,5,2,1962
17,15,24,1,1962
18,15,11,1,1962
19,15,19,1,1962
20,15,0,2,1962
21,15,9,3,1962
22,15,100,1,1962
23,15,16,1,1962
24,29,1,2,1962
25,29,35,1,1962
26,29,6,3,1962
27,29,10,3,1962
28,29,24,1,1962
29,29,26,1,1962
30,29,18,2,1962
31,29,4,2,1962
32,29,22,1,1962
33,29,2,1,1962
34,29,12,1,1962
35,29,11,2,1962
36,29,97,1,1962
37,29,29,1,1962
38,29,0,2,1962
39,29,13,1,1962
40,29,34,2,1962
41,29,3,1,1962
42,67,0,6,1962
43,67,11,1,1962
44,67,9,1,1962
45,67,30,1,1962
46,67,6,1,1962
47,67,7,1,1962
48,39,7,2,1962
49,39,8,1,1962
50,39,15,1,1962
51,39,0,3,1962
52,39,3,1,1962
53,39,21,2,1962
54,39,6,2,1962
55,39,4,3,1962
56,39,16,1,1962
57,39,11,2,1962
58,39,2,1,1962
59,39,9,2,1962
60,39,19,1,1962
61,39,20,1,1962
62,39,22,1,1962
63,33,8,1,1962
64,33,16,2,1962
65,33,7,2,1962
66,33,12,1,1962
67,33,5,1,1962
68,33,6,2,1962
69,33,10,1,1962
70,33,9,1,1962
71,33,20,2,1962
72,33,39,1,1962
73,33,25,1,1962
74,33,4,1,1962
75,33,41,1,1962
76,33,3,1,1962
77,33,13,4,1962
78,33,17,1,1962
79,33,85,1,1962
80,33,93,1,1962
81,33,28,1,1962
82,33,0,3,1962
83,33,23,1,1962
84,33,11,1,1962
85,31,7,2,1962
86,31,3,3,1962
87,31,5,2,1962
88,31,0,4,1962
89,31,12,2,1962
90,31,18,1,1962
91,31,15,1,1962
92,31,19,1,1962
93,31,94,1,1962
94,31,91,1,1962
95,31,2,1,1962
96,31,11,1,1962
97,31,37,1,1962
98,78,32,1,1962
99,78,13,1,1962
100,78,0,3,1962
101,78,2,1,1962
102,78,6,2,1962
103,78,8,1,1962
104,40,20,1,1962
105,40,19,1,1962
106,40,0,2,1962
107,40,14,1,1962
108,40,9,3,1962
109,40,7,2,1962
110,40,39,1,1962
111,40,5,1,1962
112,40,2,1,1962
113,40,16,3,1962
114,40,18,1,1962
115,40,100,1,1962
116,40,31,1,1962
117,40,8,1,1962
118,10,4,1,1962
119,10,5,2,1962
120,10,30,1,1962
121,10,25,1,1962
122,10,39,1,1962
123,10,49,1,1962
124,10,9,2,1962
125,10,38,1,1962
126,10,10,1,1962
127,10,2,1,1962
128,10,22,1,1962
129,10,28,2,1962
130,10,11,1,1962
131,10,8,1,1962
132,10,12,2,1962
133,10,7,1,1962
134,10,24,1,1962
135,5,3,1,1962
136,5,20,1,1962
137,5,19,1,1962
138,5,17,1,1962
139,5,46,4,1962
140,5,12,2,1962
141,5,0,2,1962
142,5,14,1,1962
143,5,4,1,1962
144,5,7,1,1962
145,5,32,1,1962
146,5,41,2,1962
147,5,13,1,1962
148,6,2,1,1962
149,6,24,1,1962
150,6,5,2,1962
151,6,28,1,1962
152,6,41,2,1962
153,6,27,2,1962
154,6,31,1,1962
155,6,30,1,1962
156,6,13,1,1962
157,6,29,1,1962
158,6,17,2,1962
159,6,9,1,1962
160,6,35,2,1962
161,6,71,1,1962
162,6,37,2,1962
163,6,32,1,1962
164,20,0,7,1962
165,20,19,1,1962
166,20,8,3,1962
167,20,13,1,1962
168,20,91,1,1962
169,20,17,1,1962
170,20,12,1,1962
171,20,31,2,1962
172,14,2,2,1962
173,14,30,1,1962
174,14,3,2,1962
175,14,0,2,1962
176,14,10,3,1962
177,14,7,2,1962
178,14,6,1,1962
179,14,28,1,1962
180,14,88,1,1962
181,14,52,1,1962
182,14,42,1,1962
183,14,18,1,1962
184,68,25,1,1962
185,68,35,1,1962
186,68,5,2,1962
187,68,11,1,1962
188,68,49,1,1962
189,68,14,1,1962
190,68,17,1,1962
191,68,8,2,1962
192,68,16,1,1962
193,68,19,1,1962
194,68,39,1,1962
195,68,30,1,1962
196,68,7,1,1962
197,45,5,4,1962
198,45,13,1,1962
199,45,55,1,1962
200,45,4,1,1962
201,45,0,3,1962
202,45,3,2,1962
203,45,7,1,1962
204,45,6,2,1962
205,45,23,1,1962
206,45,24,1,1962
207,45,91,1,1962
208,45,36,1,1962
209,45,83,1,1962
210,45,19,1,1962
211,45,25,1,1962
212,45,49,2,1962
213,45,1,1,1962
214,45,15,1,1962
215,36,17,2,1962
216,36,6,1,1962
217,36,5,1,1962
218,36,10,1,1962
219,36,9,1,1962
220,36,29,1,1962
221,36,13,1,1962
222,36,0,3,1962
223,36,12,1,1962
224,36,4,2,1962
225,36,31,1,1962
226,36,8,2,1962
227,36,3,1,1962
228,36,96,1,1962
229,36,21,1,1962
230,36,11,1,1962
231,36,1,1,1962
232,36,36,1,1962
233,36,20,1,1962
234,36,15,1,1962
235,36,25,1,1962
236,36,55,1,1962
237,25,9,3,1962
238,25,7,3,1962
239,25,21,1,1962
240,25,15,2,1962
241,25,8,1,1962
242,25,14,1,1962
243,25,5,2,1962
244,25,25,1,1962
245,25,27,2,1962
246,25,6,1,1962
247,25,24,1,1962
248,25,30,1,1962
249,22,4,3,1962
250,22,3,2,1962
251,22,6,2,1962
252,22,15,1,1962
253,22,26,2,1962
254,22,9,2,1962
255,22,19,1,1962
256,22,23,1,1962
257,22,46,2,1962
258,23,0,3,1962
259,23,31,1,1962
260,23,12,1,1962
261,23,3,1,1962
262,23,8,1,1962
263,23,11,2,1962
264,23,36,1,1962
265,23,5,1,1962
266,23,23,2,1962
267,23,35,1,1962
268,47,15,1,1962
269,47,18,2,1962
270,47,2,1,1962
271,47,7,1,1962
272,47,10,3,1962
273,47,4,1,1962
274,47,21,1,1962
275,47,22,2,1962
276,47,34,2,1962
277,47,88,1,1962
278,47,13,1,1962
279,47,3,1,1962
280,47,0,3,1962
281,47,1,1,1962
282,47,5,1,1962
283,47,23,1,1962
284,95,29,1,1962
285,95,66,1,1962
286,99,30,1,1962
287,99,76,1,1962
288,100,42,1,1962
289,61,5,2,1962
290,61,11,1,1962
291,61,16,1,1962
292,61,6,1,1962
293,61,3,1,1962
294,61,57,1,1962
295,61,19,1,1962
296,61,7,4,1962
297,61,12,1,1962
298,61,1,1,1962
299,61,0,3,1962
300,61,28,1,1962
301,61,4,2,1962
302,61,29,1,1962
303,61,17,1,1962
304,61,32,1,1962
305,61,95,1,1962
306,61,82,1,1962
307,61,36,1,1962
308,61,8,1,1962
309,61,18,1,1962
310,61,2,1,1962
311,30,19,1,1962
312,30,20,1,1962
313,30,43,1,1962
314,30,22,1,1962
315,30,15,2,1962
316,30,7,1,1962
317,30,0,4,1962
318,30,13,2,1962
319,30,5,1,1962
320,30,6,2,1962
321,30,14,1,1962
322,30,10,1,1962
323,30,18,1,1962
324,30,95,1,1962
325,30,87,1,1962
326,30,27,1,1962
327,30,17,1,1962
328,62,18,1,1962
329,62,13,2,1962
330,62,20,1,1962
331,62,17,1,1962
332,62,11,1,1962
333,62,0,1,1962
334,62,7,4,1962
335,62,38,1,1962
336,62,4,2,1962
337,62,1,1,1962
338,62,25,1,1962
339,62,14,1,1962
340,62,32,1,1962
341,44,23,3,1962
342,44,12,3,1962
343,44,6,1,1962
344,44,32,1,1962
345,44,35,1,1962
346,44,0,3,1962
347,44,9,1,1962
348,44,2,1,1962
349,44,16,1,1962
350,44,4,1,1962
351,44,25,1,1962
352,44,27,1,1962
353,44,87,1,1962
354,44,26,1,1962
355,44,10,1,1962
356,44,28,1,1962
357,44,5,1,1962
358,2,32,2,1962
359,2,17,1,1962
360,2,14,1,1962
361,2,29,1,1962
362,2,27,1,1962
363,2,25,2,1962
364,2,47,1,1962
365,2,7,1,1962
366,2,26,1,1962
367,4,8,1,1962
368,4,29,1,1962
369,4,41,2,1962
370,4,19,1,1962
371,4,25,2,1962
372,4,12,1,1962
373,4,13,2,1962
374,4,9,2,1962
375,4,39,2,1962
376,4,24,1,1962
377,4,7,1,1962
378,4,26,1,1962
379,4,11,2,1962
380,4,88,1,1962
381,11,5,2,1962
382,11,3,2,1962
383,11,33,1,1962
384,11,12,1,1962
385,11,19,1,1962
386,11,31,1,1962
387,11,29,1,1962
388,11,17,1,1962
389,11,42,1,1962
390,11,26,2,1962
391,11,11,1,1962
392,11,10,1,1962
393,11,27,1,1962
394,11,7,1,1962
395,11,54,1,1962
396,37,14,3,1962
397,37,10,2,1962
398,37,5,1,1962
399,37,13,1,1962
400,37,22,1,1962
401,37,9,2,1962
402,37,7,1,1962
403,37,4,2,1962
404,37,0,2,1962
405,37,3,1,1962
406,37,11,2,1962
407,37,91,1,1962
408,37,94,1,1962
409,37,26,1,1962
410,37,32,1,1962
411,37,6,1,1962
412,37,2,1,1962
413,46,0,2,1962
414,46,7,1,1962
415,46,4,2,1962
416,46,24,2,1962
417,46,13,1,1962
418,46,11,1,1962
419,46,52,1,1962
420,46,25,3,1962
421,46,5,1,1962
422,46,30,1,1962
423,46,22,1,1962
424,46,36,1,1962
425,46,16,1,1962
426,46,31,1,1962
427,58,23,2,1962
428,58,16,1,1962
429,58,4,5,1962
430,58,6,3,1962
431,58,9,2,1962
432,58,17,1,1962
433,58,3,1,1962
434,58,0,2,1962
435,58,18,1,1962
436,58,22,1,1962
437,58,49,1,1962
438,86,0,5,1962
439,86,2,1,1962
440,86,55,1,1962
441,35,10,1,1962
442,35,0,2,1962
443,35,21,1,1962
444,35,32,1,1962
445,35,5,1,1962
446,35,4,2,1962
447,35,12,1,1962
448,35,16,2,1962
449,35,19,1,1962
450,35,2,1,1962
451,35,14,1,1962
452,35,3,1,1962
453,56,19,2,1962
454,56,9,1,1962
455,56,18,1,1962
456,56,17,1,1962
457,56,22,1,1962
458,56,3,4,1962
459,56,4,2,1962
460,56,6,3,1962
461,56,24,1,1962
462,56,14,1,1962
463,56,5,1,1962
464,56,0,1,1962
465,56,8,2,1962
466,56,35,1,1962
467,59,7,2,1962
468,59,23,1,1962
469,59,8,1,1962
470,59,3,3,1962
471,59,19,1,1962
472,59,15,1,1962
473,59,13,1,1962
474,59,16,1,1962
475,59,24,1,1962
476,59,0,1,1962
477,59,27,1,1962
478,59,4,1,1962
479,59,29,1,1962
480,59,6,1,1962
481,59,36,1,1962
482,91,19,1,1962
483,91,0,4,1962
484,91,55,1,1962
485,91,58,1,1962
486,17,10,1,1962
487,17,9,1,1962
488,17,13,1,1962
489,17,17,1,1962
490,17,6,2,1962
491,17,5,1,1962
492,17,32,2,1962
493,17,22,1,1962
494,17,15,1,1962
495,43,17,2,1962
496,43,13,1,1962
497,43,9,2,1962
498,43,15,1,1962
499,43,12,3,1962
500,43,2,2,1962
501,43,4,1,1962
502,43,0,2,1962
503,43,7,2,1962
504,43,5,4,1962
505,43,23,1,1962
506,43,21,1,1962
507,43,25,1,1962
508,43,87,1,1962
509,43,72,2,1962
510,43,8,1,1962
511,43,43,2,1962
512,53,15,2,1962
513,53,0,6,1962
514,53,10,2,1962
515,53,5,2,1962
516,53,6,2,1962
517,53,2,1,1962
518,53,4,1,1962
519,53,7,2,1962
520,53,12,2,1962
521,53,9,1,1962
522,53,13,1,1962
523,53,16,2,1962
524,42,10,1,1962
525,42,0,3,1962
526,42,12,2,1962
527,42,15,2,1962
528,42,5,1,1962
529,42,9,2,1962
530,42,27,1,1962
531,42,6,1,1962
532,42,20,2,1962
533,42,23,1,1962
534,42,4,1,1962
535,42,3,1,1962
536,42,8,1,1962
537,42,97,1,1962
538,42,21,2,1962
539,42,70,1,1962
540,42,13,1,1962
541,55,12,2,1962
542,55,0,4,1962
543,55,14,1,1962
544,55,10,1,1962
545,55,17,1,1962
546,55,6,2,1962
547,55,3,1,1962
548,55,18,1,1962
549,55,7,2,1962
550,55,28,1,1962
551,55,5,1,1962
552,55,15,1,1962
553,55,56,1,1962
554,8,6,1,1962
555,8,9,2,1962
556,8,0,1,1962
557,8,50,1,1962
558,8,13,1,1962
559,8,48,1,1962
560,8,8,2,1962
561,8,28,1,1962
562,8,25,1,1962
563,8,12,1,1962
564,8,11,1,1962
565,8,57,1,1962
566,8,84,1,1962
567,8,45,1,1962
568,8,7,1,1962
569,8,29,1,1962
570,8,39,1,1962
571,49,0,1,1962
572,49,17,1,1962
573,41,20,2,1962
574,41,15,1,1962
575,41,3,1,1962
576,41,6,2,1962
577,41,4,3,1962
578,41,7,3,1962
579,41,14,1,1962
580,41,24,1,1962
581,41,5,1,1962
582,64,22,1,1962
583,64,5,2,1962
584,64,3,2,1962
585,64,19,1,1962
586,64,4,2,1962
587,64,16,1,1962
588,64,0,1,1962
589,64,9,1,1962
590,64,31,1,1962
591,64,1,1,1962
592,64,11,1,1962
593,64,85,1,1962
594,64,10,1,1962
595,64,39,1,1962
596,79,3,1,1962
597,79,28,1,1962
598,79,0,2,1962
599,79,92,1,1962
600,79,21,1,1962
601,66,32,1,1962
602,66,7,1,1962
603,66,0,2,1962
604,66,12,1,1962
605,66,3,1,1962
606,66,6,2,1962
607,66,30,1,1962
608,66,23,1,1962
609,66,11,1,1962
610,66,85,1,1962
611,66,100,1,1962
612,66,17,1,1962
613,66,4,1,1962
614,38,16,1,1962
615,38,15,2,1962
616,38,6,3,1962
617,38,10,1,1962
618,38,7,2,1962
619,38,2,1,1962
620,38,8,1,1962
621,38,35,1,1962
622,38,5,1,1962
623,38,9,1,1962
624,38,33,2,1962
625,38,11,1,1962
626,38,23,1,1962
627,38,0,2,1962
628,38,14,2,1962
629,38,34,1,1962
630,13,0,1,1962
631,13,24,1,1962
632,13,6,3,1962
633,13,5,1,1962
634,13,23,1,1962
635,13,32,2,1962
636,13,45,1,1962
637,13,7,2,1962
638,13,17,1,1962
639,13,13,1,1962
640,13,94,1,1962
641,13,97,1,1962
642,13,27,1,1962
643,13,31,1,1962
644,16,0,1,1962
645,16,33,1,1962
646,16,19,1,1962
647,16,28,1,1962
648,16,3,1,1962
649,16,6,1,1962
650,16,2,1,1962
651,16,8,1,1962
652,16,22,1,1962
653,16,12,1,1962
654,16,29,1,1962
655,21,15,1,1962
656,21,7,3,1962
657,21,30,2,1962
658,21,13,1,1962
659,21,20,1,1962
660,21,10,3,1962
661,21,9,1,1962
662,21,5,1,1962
663,21,14,1,1962
664,21,11,1,1962
665,21,71,1,1962
666,21,69,1,1962
667,21,3,1,1962
668,21,1,1,1962
669,21,93,1,1962
670,21,19,1,1962
671,28,7,2,1962
672,28,4,2,1962
673,28,9,2,1962
674,28,34,1,1962
675,28,3,1,1962
676,28,6,3,1962
677,28,24,1,1962
678,28,0,5,1962
679,28,11,2,1962
680,28,5,2,1962
681,28,15,1,1962
682,28,100,1,1962
683,28,29,1,1962
684,28,42,1,1962
685,3,27,2,1962
686,3,6,1,1962
687,3,46,1,1962
688,3,40,1,1962
689,3,43,3,1962
690,3,41,1,1962
691,3,4,1,1962
692,3,45,1,1962
693,3,3,1,1962
694,3,34,1,1962
695,7,38,1,1962
696,7,7,1,1962
697,7,42,2,1962
698,7,8,1,1962
699,7,51,1,1962
700,7,4,1,1962
701,7,39,2,1962
702,7,24,1,1962
703,7,44,1,1962
704,7,43,1,1962
705,7,13,1,1962
706,7,21,1,1962
707,72,21,1,1962
708,72,9,1,1962
709,72,15,1,1962
710,72,0,1,1962
711,72,8,2,1962
712,72,12,1,1962
713,72,3,1,1962
714,72,39,1,1962
715,72,93,1,1962
716,72,25,1,1962
717,72,28,1,1962
718,24,15,1,1962
719,24,0,1,1962
720,24,39,1,1962
721,24,4,1,1962
722,24,21,1,1962
723,24,13,1,1962
724,57,20,1,1962
725,57,7,2,1962
726,57,24,2,1962
727,57,11,1,1962
728,57,0,1,1962
729,57,2,1,1962
730,57,6,1,1962
731,57,5,1,1962
732,57,10,1,1962
733,57,26,1,1962
734,57,4,1,1962
735,57,21,1,1962
736,18,14,1,1962
737,18,8,2,1962
738,18,6,2,1962
739,18,10,1,1962
740,18,3,1,1962
741,18,26,1,1962
742,18,12,1,1962
743,18,0,1,1962
744,18,16,1,1962
745,18,2,1,1962
746,18,19,1,1962
747,18,52,1,1962
748,18,4,1,1962
749,18,54,1,1962
750,18,32,1,1962
751,18,20,1,1962
752,18,22,1,1962
753,60,11,1,1962
754,60,15,1,1962
755,60,9,1,1962
756,60,6,4,1962
757,60,7,2,1962
758,60,8,1,1962
759,60,10,1,1962
760,60,20,1,1962
761,60,87,1,1962
762,60,18,2,1962
763,60,5,1,1962
764,60,4,1,1962
765,60,0,1,1962
766,60,3,1,1962
767,94,0,1,1962
768,94,43,2,1962
769,94,41,1,1962
770,94,17,1,1962
771,94,26,1,1962
772,85,13,2,1962
773,85,15,1,1962
774,85,11,2,1962
775,85,0,2,1962
776,85,6,1,1962
777,9,23,1,1962
778,9,36,3,1962
779,9,12,3,1962
780,9,49,1,1962
781,9,6,4,1962
782,9,46,1,1962
783,9,32,2,1962
784,9,13,1,1962
785,9,7,1,1962
786,9,16,1,1962
787,9,17,1,1962
788,9,14,1,1962
789,9,31,1,1962
790,9,47,1,1962
791,9,4,1,1962
792,9,52,1,1962
793,9,15,1,1962
794,9,35,2,1962
795,9,29,1,1962
796,9,51,1,1962
797,9,34,1,1962
798,9,25,1,1962
799,9,19,1,1962
800,89,16,1,1962
801,89,0,4,1962
802,89,28,1,1962
803,89,26,1,1962
804,89,100,1,1962
805,89,54,1,1962
806,89,39,1,1962
807,89,46,1,1962
808,80,7,1,1962
809,80,15,1,1962
810,80,2,1,1962
811,80,22,1,1962
812,80,9,1,1962
813,87,0,1,1962
814,87,39,1,1962
815,87,7,1,1962
816,32,8,1,1962
817,32,13,2,1962
818,32,0,2,1962
819,32,15,3,1962
820,32,39,1,1962
821,32,6,3,1962
822,32,46,1,1962
823,32,38,1,1962
824,32,26,1,1962
825,32,11,1,1962
826,32,5,1,1962
827,32,20,1,1962
828,32,23,2,1962
829,52,13,1,1962
830,52,5,2,1962
831,52,6,2,1962
832,52,3,2,1962
833,52,20,1,1962
834,52,43,1,1962
835,52,7,1,1962
836,52,45,1,1962
837,52,0,1,1962
838,52,42,1,1962
839,52,10,1,1962
840,12,9,1,1962
841,12,6,3,1962
842,12,32,1,1962
843,12,45,1,1962
844,12,43,1,1962
845,12,23,1,1962
846,12,44,1,1962
847,12,4,1,1962
848,12,100,1,1962
849,12,18,1,1962
850,27,8,1,1962
851,27,9,1,1962
852,27,0,3,1962
853,27,38,1,1962
854,27,12,2,1962
855,27,5,1,1962
856,27,26,2,1962
857,27,14,2,1962
858,27,2,1,1962
