nokta_no,x,y,count,sezon_dakikasi
1,93,24,1,1102
2,93,45,1,1102
3,93,29,1,1102
4,93,21,2,1102
5,93,13,2,1102
6,94,31,1,1102
7,94,27,1,1102
8,94,23,1,1102
9,94,28,1,1102
10,94,26,1,1102
11,94,6,1,1102
12,52,27,1,1102
13,52,81,1,1102
14,52,23,1,1102
15,52,54,1,1102
16,52,53,1,1102
17,52,28,1,1102
18,52,24,1,1102
19,58,9,2,1102
20,58,21,1,1102
21,58,32,2,1102
22,58,19,1,1102
23,58,70,1,1102
24,58,7,1,1102
25,58,6,1,1102
26,58,24,1,1102
27,58,3,1,1102
28,58,1,1,1102
29,37,13,1,1102
30,37,6,2,1102
31,37,74,1,1102
32,37,5,1,1102
33,37,10,2,1102
34,37,32,2,1102
35,37,96,1,1102
36,37,25,1,1102
37,37,50,1,1102
38,37,44,1,1102
39,37,3,1,1102
40,37,11,1,1102
41,37,9,1,1102
42,37,31,1,1102
43,31,29,1,1102
44,31,57,1,1102
45,31,51,1,1102
46,31,69,3,1102
47,31,8,2,1102
48,31,31,1,1102
49,36,26,2,1102
50,36,4,4,1102
51,36,15,1,1102
52,36,14,1,1102
53,36,23,1,1102
54,36,6,1,1102
55,35,39,1,1102
56,35,52,1,1102
57,35,7,1,1102
58,35,8,2,1102
59,35,76,1,1102
60,35,20,1,1102
61,35,58,1,1102
62,35,4,2,1102
63,35,11,1,1102
64,35,25,1,1102
65,35,9,1,1102
66,75,25,1,1102
67,75,89,1,1102
68,75,5,1,1102
69,75,22,1,1102
70,75,47,1,1102
71,75,7,1,1102
72,75,8,1,1102
73,79,7,1,1102
74,79,76,1,1102
75,79,9,1,1102
76,79,69,1,1102
77,79,28,1,1102
78,74,10,1,1102
79,74,37,1,1102
80,74,30,2,1102
81,74,27,1,1102
82,74,38,1,1102
83,74,35,1,1102
84,74,31,2,1102
85,74,3,1,1102
86,74,22,1,1102
87,74,8,1,1102
88,74,58,1,1102
89,74,41,1,1102
90,44,11,2,1102
91,44,49,1,1102
92,44,70,1,1102
93,44,86,1,1102
94,44,65,1,1102
95,44,12,1,1102
96,44,5,1,1102
97,44,20,1,1102
98,44,10,1,1102
99,44,3,1,1102
100,40,74,1,1102
101,40,7,1,1102
102,40,44,1,1102
103,40,21,1,1102
104,40,8,1,1102
105,40,5,1,1102
106,40,19,1,1102
107,40,18,1,1102
108,77,21,1,1102
109,77,37,1,1102
110,77,27,1,1102
111,77,24,1,1102
112,77,38,1,1102
113,77,25,1,1102
114,77,9,2,1102
115,77,20,1,1102
116,77,33,1,1102
117,77,7,1,1102
118,27,51,1,1102
119,27,32,1,1102
120,27,7,1,1102
121,27,6,1,1102
122,27,42,1,1102
123,27,23,1,1102
124,27,25,1,1102
125,8,42,1,1102
126,8,24,1,1102
127,54,24,1,1102
128,54,43,1,1102
129,54,47,1,1102
130,54,53,1,1102
131,54,12,1,1102
132,54,52,1,1102
133,54,4,1,1102
134,54,16,1,1102
135,54,10,1,1102
136,54,35,1,1102
137,56,24,1,1102
138,56,9,1,1102
139,56,16,1,1102
140,56,3,1,1102
141,56,31,2,1102
142,56,5,2,1102
143,56,27,1,1102
144,56,44,1,1102
145,56,14,1,1102
146,56,19,1,1102
147,56,32,1,1102
148,56,2,1,1102
149,56,30,1,1102
150,56,25,1,1102
151,56,17,1,1102
152,47,18,2,1102
153,47,7,1,1102
154,47,33,1,1102
155,47,88,1,1102
156,47,56,1,1102
157,47,16,1,1102
