nokta_no,x,y,count,sezon_dakikasi
1,68,12,2,1356
2,68,14,1,1356
3,68,2,1,1356
4,68,8,1,1356
5,68,52,1,1356
6,68,78,1,1356
7,68,3,1,1356
8,68,49,1,1356
9,68,61,1,1356
10,68,56,1,1356
11,68,60,1,1356
12,68,64,1,1356
13,68,11,4,1356
14,68,70,1,1356
15,68,6,1,1356
16,68,5,1,1356
17,68,87,1,1356
18,68,89,1,1356
19,68,84,1,1356
20,68,18,1,1356
21,68,65,1,1356
22,68,59,1,1356
23,68,68,1,1356
24,79,19,1,1356
25,79,69,1,1356
26,79,22,1,1356
27,79,51,1,1356
28,79,8,1,1356
29,79,81,1,1356
30,79,78,1,1356
31,79,80,1,1356
32,79,13,1,1356
33,79,23,1,1356
34,79,92,1,1356
35,79,17,1,1356
36,79,90,1,1356
37,79,35,1,1356
38,79,0,1,1356
39,79,34,1,1356
40,79,5,1,1356
41,79,46,1,1356
42,79,72,1,1356
43,79,32,1,1356
44,79,6,1,1356
45,79,11,1,1356
46,79,84,1,1356
47,79,86,1,1356
48,79,70,1,1356
49,79,63,1,1356
50,80,8,1,1356
51,80,73,1,1356
52,80,83,1,1356
53,80,51,2,1356
54,80,81,1,1356
55,80,74,1,1356
56,80,16,1,1356
57,80,23,1,1356
58,80,14,1,1356
59,80,94,1,1356
60,80,9,1,1356
61,80,7,1,1356
62,80,35,1,1356
63,80,6,2,1356
64,80,13,1,1356
65,80,25,1,1356
66,80,90,1,1356
67,80,32,1,1356
68,80,69,1,1356
69,76,3,1,1356
70,76,25,1,1356
71,76,91,1,1356
72,76,6,1,1356
73,76,62,1,1356
74,76,74,2,1356
75,76,63,2,1356
76,76,76,1,1356
77,76,60,1,1356
78,76,95,1,1356
79,76,54,1,1356
80,76,97,1,1356
81,76,17,2,1356
82,76,16,2,1356
83,76,55,1,1356
84,76,87,1,1356
85,76,29,1,1356
86,76,72,2,1356
87,76,10,1,1356
88,76,26,2,1356
89,76,21,1,1356
90,76,27,1,1356
91,76,9,3,1356
92,76,89,1,1356
93,76,45,1,1356
94,76,82,1,1356
95,63,14,1,1356
96,63,8,3,1356
97,63,85,1,1356
98,63,9,1,1356
99,63,56,1,1356
100,63,97,1,1356
101,63,15,1,1356
102,63,68,1,1356
103,63,70,1,1356
104,63,65,1,1356
105,63,92,1,1356
106,63,19,1,1356
107,63,10,1,1356
108,63,54,1,1356
109,63,93,1,1356
110,63,84,1,1356
111,63,88,1,1356
112,63,80,1,1356
113,63,96,1,1356
114,63,13,1,1356
115,63,16,1,1356
116,63,94,1,1356
117,82,16,1,1356
118,82,10,1,1356
119,82,72,1,1356
120,82,55,1,1356
121,82,74,1,1356
122,82,21,1,1356
123,82,88,1,1356
124,82,14,1,1356
125,82,19,1,1356
126,82,25,1,1356
127,82,82,1,1356
128,82,33,1,1356
129,82,91,1,1356
130,82,8,1,1356
131,82,7,1,1356
132,82,95,1,1356
133,82,52,1,1356
134,71,7,1,1356
135,71,3,1,1356
136,71,0,2,1356
137,71,54,1,1356
138,71,95,3,1356
139,71,60,1,1356
140,71,38,1,1356
141,71,63,1,1356
142,71,30,1,1356
143,71,44,2,1356
144,71,89,2,1356
145,71,34,2,1356
146,71,32,1,1356
147,71,43,1,1356
148,71,87,2,1356
149,71,90,1,1356
150,71,33,1,1356
151,71,92,1,1356
152,71,77,1,1356
153,71,20,1,1356
154,71,46,1,1356
155,71,86,1,1356
156,71,25,1,1356
157,71,59,1,1356
158,71,73,1,1356
159,71,45,1,1356
160,71,81,1,1356
161,71,15,1,1356
162,71,97,1,1356
163,71,50,1,1356
164,70,67,1,1356
165,70,9,1,1356
166,70,36,1,1356
167,70,27,1,1356
168,70,89,1,1356
169,70,26,1,1356
170,70,34,1,1356
171,70,87,1,1356
172,70,78,1,1356
173,70,95,2,1356
174,70,54,1,1356
175,70,37,1,1356
176,70,6,1,1356
177,70,75,1,1356
178,70,15,2,1356
179,70,16,1,1356
180,70,13,2,1356
181,70,85,1,1356
182,70,57,1,1356
183,70,76,1,1356
184,70,80,1,1356
185,70,70,1,1356
186,70,12,2,1356
187,70,8,1,1356
188,70,32,1,1356
189,69,17,1,1356
190,69,75,3,1356
191,69,88,2,1356
192,69,78,2,1356
193,69,81,2,1356
194,69,52,1,1356
195,69,9,1,1356
196,69,6,2,1356
197,69,1,1,1356
198,69,8,1,1356
199,69,87,1,1356
200,69,66,2,1356
201,69,30,2,1356
202,69,10,1,1356
203,69,41,1,1356
204,69,65,2,1356
205,69,31,1,1356
206,69,11,1,1356
207,69,33,1,1356
208,69,22,1,1356
209,69,57,1,1356
210,69,55,1,1356
211,69,80,1,1356
212,69,68,2,1356
213,69,62,1,1356
214,69,5,1,1356
215,69,18,1,1356
216,69,23,1,1356
217,69,94,1,1356
218,69,64,1,1356
219,69,12,1,1356
220,69,67,1,1356
221,75,5,2,1356
222,75,39,1,1356
223,75,84,1,1356
224,75,23,1,1356
225,75,52,1,1356
226,75,81,1,1356
227,75,4,1,1356
228,75,66,2,1356
229,75,75,1,1356
230,75,71,1,1356
231,75,83,2,1356
232,75,32,1,1356
233,75,73,1,1356
234,75,58,1,1356
235,75,92,2,1356
236,75,94,1,1356
237,75,89,2,1356
238,75,87,1,1356
239,75,40,1,1356
240,75,85,1,1356
241,75,64,1,1356
242,75,62,1,1356
243,75,68,1,1356
244,75,45,2,1356
245,75,0,1,1356
246,75,16,1,1356
247,75,91,1,1356
248,75,13,1,1356
249,75,29,1,1356
250,75,76,1,1356
251,64,6,2,1356
252,64,70,2,1356
253,64,4,3,1356
254,64,67,1,1356
255,64,74,1,1356
256,64,9,1,1356
257,64,49,1,1356
258,64,5,1,1356
259,64,14,1,1356
260,64,30,3,1356
261,64,7,2,1356
262,64,82,1,1356
263,64,72,1,1356
264,64,92,1,1356
265,64,96,1,1356
266,64,73,1,1356
267,64,12,1,1356
268,64,11,1,1356
269,99,99,16,1356
270,99,0,8,1356
271,99,83,1,1356
272,99,8,1,1356
273,91,90,1,1356
274,91,88,1,1356
275,91,8,2,1356
276,91,74,1,1356
277,91,27,1,1356
278,91,23,1,1356
279,91,14,1,1356
280,91,65,1,1356
281,91,9,1,1356
