nokta_no,x,y,count,sezon_dakikasi
1,60,26,1,1522
2,60,20,1,1522
3,60,42,1,1522
4,60,67,1,1522
5,60,37,2,1522
6,60,9,3,1522
7,60,31,1,1522
8,60,69,2,1522
9,60,11,1,1522
10,60,7,1,1522
11,60,24,2,1522
12,60,16,1,1522
13,60,5,3,1522
14,60,13,1,1522
15,60,95,1,1522
16,60,3,3,1522
17,60,45,1,1522
18,60,50,1,1522
19,60,90,1,1522
20,60,25,3,1522
21,60,44,2,1522
22,60,33,1,1522
23,60,29,2,1522
24,60,59,2,1522
25,60,18,1,1522
26,79,93,2,1522
27,79,11,1,1522
28,79,37,1,1522
29,79,33,1,1522
30,79,82,1,1522
31,79,13,2,1522
32,79,2,1,1522
33,79,27,1,1522
34,79,12,1,1522
35,79,28,2,1522
36,79,18,1,1522
37,79,64,1,1522
38,79,14,2,1522
39,79,35,1,1522
40,79,9,2,1522
41,79,76,1,1522
42,69,13,1,1522
43,69,4,2,1522
44,69,69,2,1522
45,69,39,1,1522
46,69,38,1,1522
47,69,33,1,1522
48,69,89,1,1522
49,69,73,1,1522
50,69,32,1,1522
51,69,29,2,1522
52,69,34,1,1522
53,69,44,2,1522
54,69,7,1,1522
55,69,47,1,1522
56,69,11,1,1522
57,69,5,1,1522
58,69,31,1,1522
59,69,9,1,1522
60,69,10,1,1522
61,69,26,1,1522
62,69,62,1,1522
63,69,51,1,1522
64,69,8,1,1522
65,74,8,2,1522
66,74,3,2,1522
67,74,10,1,1522
68,74,24,2,1522
69,74,48,1,1522
70,74,32,2,1522
71,74,13,4,1522
72,74,4,1,1522
73,74,83,1,1522
74,74,19,1,1522
75,74,94,1,1522
76,74,27,1,1522
77,74,62,1,1522
78,74,90,1,1522
79,74,42,1,1522
80,74,16,2,1522
81,74,9,2,1522
82,74,26,1,1522
83,74,47,1,1522
84,74,73,1,1522
85,74,31,1,1522
86,74,18,1,1522
87,74,22,1,1522
88,74,6,1,1522
89,74,5,1,1522
90,74,40,1,1522
91,74,33,1,1522
92,74,87,1,1522
93,74,28,1,1522
94,39,59,1,1522
95,39,24,1,1522
96,39,62,1,1522
97,39,19,1,1522
98,39,30,1,1522
99,39,36,2,1522
100,39,33,1,1522
101,39,25,1,1522
102,39,7,1,1522
103,39,6,1,1522
104,39,60,1,1522
105,39,16,1,1522
106,39,44,1,1522
107,39,89,1,1522
108,39,18,1,1522
109,39,3,1,1522
110,73,24,2,1522
111,73,90,1,1522
112,73,4,3,1522
113,73,9,2,1522
114,73,91,1,1522
115,73,12,1,1522
116,73,49,1,1522
117,73,51,1,1522
118,73,5,2,1522
119,73,47,1,1522
120,73,29,1,1522
121,73,41,1,1522
122,73,23,1,1522
123,73,21,1,1522
124,73,6,2,1522
125,73,19,2,1522
126,73,35,1,1522
127,73,30,1,1522
128,73,18,1,1522
129,73,15,2,1522
130,73,11,1,1522
131,73,22,1,1522
132,73,32,1,1522
133,73,1,1,1522
134,73,34,1,1522
135,73,37,1,1522
136,73,10,2,1522
137,73,16,1,1522
138,73,27,1,1522
139,73,8,1,1522
140,73,17,1,1522
141,70,25,2,1522
142,70,94,1,1522
143,70,46,1,1522
144,70,26,2,1522
145,70,57,1,1522
146,70,81,1,1522
147,70,42,2,1522
148,70,56,1,1522
149,70,82,1,1522
150,70,12,1,1522
151,70,23,1,1522
152,70,41,1,1522
153,70,9,4,1522
154,70,33,2,1522
155,70,21,1,1522
156,70,31,1,1522
157,70,18,1,1522
158,70,15,1,1522
159,70,32,1,1522
160,70,24,1,1522
161,70,3,1,1522
162,70,54,2,1522
163,70,2,1,1522
164,70,39,1,1522
165,70,86,1,1522
166,70,14,1,1522
167,70,76,1,1522
168,70,43,1,1522
169,70,36,2,1522
170,70,65,1,1522
171,70,8,1,1522
172,65,9,1,1522
173,65,47,1,1522
174,65,25,1,1522
175,65,19,1,1522
176,65,69,1,1522
177,65,45,1,1522
178,65,2,1,1522
179,65,13,1,1522
180,65,23,1,1522
181,65,12,1,1522
182,65,84,1,1522
183,65,82,1,1522
184,65,94,1,1522
185,65,61,1,1522
186,65,51,1,1522
187,65,42,1,1522
188,65,41,1,1522
189,65,31,1,1522
190,65,15,1,1522
191,65,5,1,1522
192,65,10,1,1522
193,65,6,2,1522
194,65,66,1,1522
195,65,7,1,1522
196,65,96,1,1522
197,65,28,1,1522
198,65,3,1,1522
199,65,59,1,1522
200,78,23,1,1522
201,78,14,2,1522
202,78,93,2,1522
203,78,9,2,1522
204,78,31,1,1522
205,78,5,1,1522
206,78,41,1,1522
207,78,20,1,1522
208,78,2,1,1522
209,78,7,1,1522
210,78,4,1,1522
211,78,12,1,1522
212,78,13,1,1522
213,78,96,1,1522
214,78,19,1,1522
215,78,27,1,1522
216,78,25,1,1522
217,72,5,3,1522
218,72,85,1,1522
219,72,76,2,1522
220,72,40,2,1522
221,72,83,1,1522
222,72,68,1,1522
223,72,81,1,1522
224,72,39,1,1522
225,72,78,1,1522
226,72,38,1,1522
227,72,27,1,1522
228,72,4,1,1522
229,72,66,1,1522
230,72,6,2,1522
231,72,16,1,1522
232,72,23,1,1522
233,72,3,1,1522
234,72,43,1,1522
235,72,19,2,1522
236,72,34,1,1522
237,72,37,1,1522
238,72,10,1,1522
239,72,8,1,1522
240,72,32,1,1522
241,72,42,1,1522
242,72,59,1,1522
243,72,15,1,1522
244,72,29,1,1522
245,85,52,1,1522
246,85,6,1,1522
247,85,16,1,1522
248,85,15,1,1522
249,85,34,1,1522
250,85,88,1,1522
251,85,62,1,1522
252,85,33,1,1522
253,85,10,1,1522
254,85,55,1,1522
255,85,24,1,1522
256,85,12,1,1522
257,85,11,1,1522
258,85,45,1,1522
259,77,10,1,1522
