nokta_no,x,y,count,sezon_dakikasi
1,59,35,2,1049
2,59,27,2,1049
3,59,16,1,1049
4,59,21,1,1049
5,59,12,1,1049
6,59,57,1,1049
7,59,62,1,1049
8,59,25,1,1049
9,59,31,1,1049
10,59,24,1,1049
11,59,29,1,1049
12,60,35,1,1049
13,60,26,1,1049
14,60,29,1,1049
15,60,34,1,1049
16,60,22,1,1049
17,60,61,1,1049
18,60,36,1,1049
19,60,40,1,1049
20,60,62,1,1049
21,60,32,1,1049
22,60,15,1,1049
23,60,28,1,1049
24,60,21,1,1049
25,60,17,1,1049
26,60,24,1,1049
27,60,25,1,1049
28,60,13,1,1049
29,60,47,1,1049
30,54,19,1,1049
31,54,10,1,1049
32,54,44,1,1049
33,54,34,2,1049
34,54,27,1,1049
35,54,59,1,1049
36,54,48,2,1049
37,54,22,1,1049
38,54,41,1,1049
39,54,35,2,1049
40,54,37,1,1049
41,54,28,1,1049
42,54,32,1,1049
43,54,15,1,1049
44,54,16,1,1049
45,54,24,1,1049
46,54,26,1,1049
47,54,29,1,1049
48,63,33,2,1049
49,63,36,1,1049
50,63,31,1,1049
51,63,29,2,1049
52,63,53,1,1049
53,63,26,1,1049
54,63,35,1,1049
55,63,39,1,1049
56,63,38,1,1049
57,63,34,1,1049
58,63,17,1,1049
59,63,23,1,1049
60,63,25,1,1049
61,63,56,1,1049
62,63,19,1,1049
63,38,18,1,1049
64,38,13,2,1049
65,38,51,1,1049
66,38,100,1,1049
67,38,61,1,1049
68,38,62,1,1049
69,38,53,1,1049
70,38,9,1,1049
71,38,31,1,1049
72,38,16,2,1049
73,38,38,2,1049
74,38,30,1,1049
75,38,28,1,1049
76,38,34,1,1049
77,38,35,2,1049
78,38,29,1,1049
79,38,37,1,1049
80,38,25,1,1049
81,38,40,1,1049
82,38,33,1,1049
83,38,23,1,1049
84,38,72,1,1049
85,38,77,1,1049
86,64,27,1,1049
87,64,15,1,1049
88,64,51,1,1049
89,64,46,2,1049
90,64,43,1,1049
91,64,64,1,1049
92,64,26,2,1049
93,64,42,1,1049
94,64,24,1,1049
95,64,25,1,1049
96,64,48,1,1049
97,56,29,1,1049
98,56,26,1,1049
99,56,21,1,1049
100,56,18,1,1049
101,56,14,1,1049
102,56,35,1,1049
103,56,32,2,1049
104,56,25,2,1049
105,56,36,2,1049
106,56,12,1,1049
107,56,33,1,1049
108,56,38,2,1049
109,56,44,1,1049
110,56,19,1,1049
111,56,5,1,1049
112,56,24,1,1049
113,56,16,1,1049
114,56,13,1,1049
115,56,34,1,1049
116,56,27,1,1049
117,56,9,1,1049
118,57,32,2,1049
119,57,42,1,1049
120,57,5,1,1049
121,57,26,3,1049
122,57,43,1,1049
123,57,6,1,1049
124,57,36,1,1049
125,57,18,1,1049
126,57,27,2,1049
127,57,24,2,1049
128,57,54,1,1049
129,57,80,1,1049
130,57,28,1,1049
131,57,0,1,1049
132,57,17,1,1049
133,57,20,1,1049
134,57,25,1,1049
135,57,34,1,1049
136,57,39,1,1049
137,52,30,2,1049
138,52,32,2,1049
139,52,36,1,1049
140,52,45,1,1049
141,52,52,1,1049
142,52,49,1,1049
143,52,42,1,1049
144,52,47,1,1049
145,52,50,1,1049
146,52,23,1,1049
147,52,14,1,1049
148,52,28,2,1049
149,52,34,1,1049
150,52,26,1,1049
151,52,29,1,1049
152,52,39,2,1049
153,52,43,1,1049
154,52,22,1,1049
155,52,31,1,1049
156,67,37,2,1049
157,67,26,1,1049
158,67,43,1,1049
159,67,50,1,1049
160,67,53,1,1049
161,67,57,1,1049
162,67,34,2,1049
163,75,28,1,1049
164,75,34,1,1049
165,71,28,1,1049
166,71,33,1,1049
167,71,57,1,1049
168,71,45,1,1049
169,71,23,1,1049
170,62,28,1,1049
171,62,36,1,1049
172,62,12,1,1049
173,62,22,1,1049
174,62,11,2,1049
175,62,38,1,1049
176,62,29,1,1049
177,62,51,1,1049
178,62,31,1,1049
179,62,23,1,1049
180,55,29,3,1049
181,55,8,2,1049
182,55,19,1,1049
183,55,31,3,1049
184,55,9,1,1049
185,55,28,2,1049
186,55,33,1,1049
187,55,16,1,1049
188,55,59,1,1049
189,55,24,1,1049
190,55,32,2,1049
191,55,52,1,1049
192,55,46,2,1049
193,55,45,1,1049
194,55,27,1,1049
195,55,44,1,1049
196,55,18,1,1049
197,55,20,1,1049
198,55,40,1,1049
199,55,35,1,1049
200,55,26,1,1049
201,55,15,1,1049
202,55,23,1,1049
203,55,63,1,1049
204,58,36,1,1049
205,58,17,1,1049
206,58,30,2,1049
207,58,13,1,1049
208,58,39,1,1049
209,58,42,1,1049
210,58,54,1,1049
211,58,22,2,1049
212,58,28,1,1049
213,58,1,1,1049
214,58,29,1,1049
215,58,23,1,1049
216,58,25,1,1049
217,27,41,2,1049
218,27,8,1,1049
219,27,56,1,1049
220,27,15,1,1049
221,27,22,1,1049
222,27,38,1,1049
223,27,40,1,1049
224,27,58,1,1049
225,27,27,3,1049
226,27,52,1,1049
227,27,32,2,1049
228,27,33,1,1049
229,27,26,1,1049
230,27,30,1,1049
