nokta_no,x,y,count,sezon_dakikasi
1,36,0,1,1642
2,36,47,1,1642
3,36,37,2,1642
4,36,42,1,1642
5,36,59,1,1642
6,36,51,1,1642
7,36,43,1,1642
8,36,71,1,1642
9,36,70,2,1642
10,36,60,1,1642
11,36,69,1,1642
12,36,3,1,1642
13,36,27,1,1642
14,36,79,1,1642
15,36,65,1,1642
16,36,48,1,1642
17,36,68,1,1642
18,36,24,1,1642
19,36,72,1,1642
20,36,66,1,1642
21,36,93,2,1642
22,36,31,1,1642
23,33,20,1,1642
24,33,27,1,1642
25,33,15,1,1642
26,33,51,1,1642
27,33,16,1,1642
28,33,41,1,1642
29,33,37,1,1642
30,33,55,1,1642
31,33,76,3,1642
32,33,69,1,1642
33,33,61,2,1642
34,33,82,1,1642
35,33,67,1,1642
36,33,70,1,1642
37,33,66,1,1642
38,33,58,1,1642
39,33,28,1,1642
40,33,45,1,1642
41,33,57,1,1642
42,33,12,1,1642
43,33,50,1,1642
44,33,68,2,1642
45,33,92,1,1642
46,33,22,1,1642
47,33,88,1,1642
48,33,60,1,1642
49,33,32,1,1642
50,33,17,1,1642
51,33,52,1,1642
52,42,17,1,1642
53,42,23,2,1642
54,42,21,1,1642
55,42,18,1,1642
56,42,32,1,1642
57,42,73,1,1642
58,42,71,1,1642
59,42,66,1,1642
60,42,28,2,1642
61,42,41,1,1642
62,42,81,1,1642
63,42,69,1,1642
64,42,53,1,1642
65,42,50,1,1642
66,42,31,2,1642
67,42,29,1,1642
68,42,67,2,1642
69,42,37,1,1642
70,42,60,1,1642
71,42,24,1,1642
72,42,30,1,1642
73,42,14,1,1642
74,38,31,2,1642
75,38,16,1,1642
76,38,32,1,1642
77,38,6,1,1642
78,38,49,1,1642
79,38,69,1,1642
80,38,60,1,1642
81,38,78,1,1642
82,38,29,1,1642
83,38,86,1,1642
84,38,90,1,1642
85,38,71,1,1642
86,38,30,1,1642
87,38,58,1,1642
88,38,43,1,1642
89,38,39,1,1642
90,38,45,1,1642
91,38,72,1,1642
92,38,11,1,1642
93,38,55,1,1642
94,38,35,1,1642
95,38,22,1,1642
96,39,24,1,1642
97,39,10,1,1642
98,39,19,1,1642
99,39,8,1,1642
100,39,3,1,1642
101,39,32,3,1642
102,39,27,2,1642
103,39,9,3,1642
104,39,34,1,1642
105,39,52,1,1642
106,39,59,1,1642
107,39,49,1,1642
108,39,14,1,1642
109,39,36,1,1642
110,40,19,1,1642
111,40,94,1,1642
112,40,22,1,1642
113,40,41,1,1642
114,40,71,1,1642
115,40,67,2,1642
116,40,61,1,1642
117,40,14,1,1642
118,40,5,1,1642
119,40,31,1,1642
120,40,79,1,1642
121,40,27,2,1642
122,40,35,1,1642
123,40,58,1,1642
124,40,40,1,1642
125,40,0,1,1642
126,40,26,1,1642
127,55,13,1,1642
128,55,22,1,1642
129,55,23,1,1642
130,55,24,2,1642
131,55,65,1,1642
132,55,32,2,1642
133,55,0,1,1642
134,55,33,1,1642
135,55,70,1,1642
136,55,55,2,1642
137,55,77,1,1642
138,55,14,2,1642
139,55,54,2,1642
140,55,42,1,1642
141,55,52,1,1642
142,55,49,1,1642
143,55,82,1,1642
144,55,80,1,1642
145,55,47,1,1642
146,55,76,1,1642
147,55,75,1,1642
148,55,30,1,1642
149,55,29,1,1642
150,55,9,1,1642
151,41,23,1,1642
152,41,19,1,1642
153,41,0,1,1642
154,41,21,1,1642
155,41,44,1,1642
156,41,26,1,1642
157,41,6,2,1642
158,41,25,1,1642
159,41,43,1,1642
160,41,94,1,1642
161,41,37,1,1642
162,41,57,1,1642
163,41,68,1,1642
164,41,89,1,1642
165,41,67,1,1642
166,41,80,1,1642
167,41,31,1,1642
168,41,75,1,1642
169,41,64,1,1642
170,41,33,1,1642
171,41,20,1,1642
172,64,0,2,1642
173,64,6,1,1642
174,64,22,1,1642
175,64,36,1,1642
176,64,20,2,1642
177,64,35,1,1642
178,64,19,1,1642
179,64,83,1,1642
180,64,52,2,1642
181,64,32,1,1642
182,64,67,1,1642
183,64,89,1,1642
184,64,26,1,1642
185,28,25,1,1642
186,28,18,1,1642
187,28,41,1,1642
188,28,52,1,1642
189,28,87,1,1642
190,28,77,1,1642
191,28,73,1,1642
192,28,69,1,1642
