nokta_no,x,y,count,sezon_dakikasi
1,24,65,2,2521
2,24,86,1,2521
3,24,62,2,2521
4,24,9,1,2521
5,24,76,2,2521
6,24,26,1,2521
7,24,94,1,2521
8,24,63,3,2521
9,24,61,4,2521
10,24,69,1,2521
11,24,25,1,2521
12,24,67,1,2521
13,24,72,1,2521
14,24,5,1,2521
15,24,29,3,2521
16,24,23,1,2521
17,24,66,2,2521
18,24,28,2,2521
19,24,36,1,2521
20,24,54,1,2521
21,24,68,1,2521
22,68,28,1,2521
23,68,51,1,2521
24,68,44,2,2521
25,68,100,1,2521
26,68,40,1,2521
27,68,12,3,2521
28,68,81,1,2521
29,68,23,1,2521
30,68,84,1,2521
31,68,43,1,2521
32,68,68,1,2521
33,68,18,2,2521
34,68,60,1,2521
35,68,58,1,2521
36,68,72,1,2521
37,68,77,1,2521
38,68,11,1,2521
39,68,0,1,2521
40,68,63,1,2521
41,68,26,2,2521
42,68,38,1,2521
43,68,30,2,2521
44,68,62,2,2521
45,68,53,1,2521
46,73,18,1,2521
47,73,31,1,2521
48,73,37,1,2521
49,73,96,1,2521
50,73,69,1,2521
51,73,79,2,2521
52,73,68,2,2521
53,73,13,2,2521
54,73,84,1,2521
55,73,7,1,2521
56,73,76,1,2521
57,73,16,2,2521
58,73,35,1,2521
59,73,30,1,2521
60,73,20,1,2521
61,73,28,1,2521
62,73,63,1,2521
63,73,57,1,2521
64,74,30,2,2521
65,74,60,1,2521
66,74,15,1,2521
67,74,35,1,2521
68,74,9,1,2521
69,74,58,1,2521
70,74,79,1,2521
71,74,68,2,2521
72,74,17,1,2521
73,74,52,1,2521
74,74,29,1,2521
75,74,59,2,2521
76,74,22,1,2521
77,74,63,1,2521
78,74,53,1,2521
79,74,6,1,2521
80,74,48,1,2521
81,74,91,1,2521
82,74,26,1,2521
83,74,34,1,2521
84,69,34,3,2521
85,69,92,1,2521
86,69,62,2,2521
87,69,60,1,2521
88,69,15,2,2521
89,69,9,2,2521
90,69,41,3,2521
91,69,22,1,2521
92,69,88,1,2521
93,69,84,1,2521
94,69,39,1,2521
95,69,13,1,2521
96,69,23,1,2521
97,69,11,2,2521
98,69,69,2,2521
99,69,31,1,2521
100,69,59,1,2521
101,69,56,1,2521
102,69,71,1,2521
103,69,55,1,2521
104,69,50,1,2521
105,69,42,1,2521
106,69,94,1,2521
107,69,74,1,2521
108,72,28,2,2521
109,72,36,1,2521
110,72,57,1,2521
111,72,45,2,2521
112,72,33,1,2521
113,72,29,2,2521
114,72,25,2,2521
115,72,67,2,2521
116,72,23,1,2521
117,72,61,1,2521
118,72,75,1,2521
119,72,73,1,2521
120,72,41,1,2521
121,72,50,1,2521
122,72,14,1,2521
123,72,90,1,2521
124,72,55,1,2521
125,72,89,1,2521
126,67,73,2,2521
127,67,77,1,2521
128,67,83,1,2521
129,67,46,1,2521
130,67,26,2,2521
131,67,93,1,2521
132,67,28,3,2521
133,67,11,3,2521
134,67,15,2,2521
135,67,12,1,2521
136,67,17,1,2521
137,67,56,1,2521
138,67,13,1,2521
139,67,32,1,2521
140,67,25,2,2521
141,67,53,1,2521
142,67,33,1,2521
143,67,30,1,2521
144,67,22,1,2521
145,67,66,1,2521
146,67,67,2,2521
