nokta_no,x,y,count,sezon_dakikasi
1,44,69,1,3099
2,44,48,1,3099
3,44,59,1,3099
4,44,53,1,3099
5,44,66,1,3099
6,44,75,6,3099
7,44,60,2,3099
8,44,36,1,3099
9,44,32,1,3099
10,44,54,2,3099
11,44,64,1,3099
12,44,40,1,3099
13,44,44,4,3099
14,44,94,1,3099
15,44,57,4,3099
16,44,33,1,3099
17,44,52,1,3099
18,44,90,2,3099
19,44,50,1,3099
20,44,3,1,3099
21,44,42,1,3099
22,44,76,1,3099
23,44,88,1,3099
24,44,72,2,3099
25,44,65,2,3099
26,44,82,1,3099
27,44,78,1,3099
28,44,39,2,3099
29,44,30,1,3099
30,44,11,2,3099
31,44,34,1,3099
32,44,27,1,3099
33,44,4,1,3099
34,44,9,1,3099
35,45,37,1,3099
36,45,89,1,3099
37,45,50,1,3099
38,45,36,2,3099
39,45,38,1,3099
40,45,93,1,3099
41,45,85,1,3099
42,45,81,2,3099
43,45,63,1,3099
44,45,79,1,3099
45,45,77,2,3099
46,45,53,1,3099
47,45,82,1,3099
48,45,97,1,3099
49,45,54,3,3099
50,45,65,2,3099
51,45,20,1,3099
52,45,55,2,3099
53,45,94,1,3099
54,45,10,1,3099
55,45,45,1,3099
56,45,25,1,3099
57,45,84,1,3099
58,45,46,3,3099
59,45,56,1,3099
60,45,35,2,3099
61,45,57,1,3099
62,45,67,1,3099
63,45,73,1,3099
64,45,3,1,3099
65,45,83,1,3099
66,45,52,1,3099
67,45,76,1,3099
68,45,28,1,3099
69,45,87,1,3099
70,45,33,1,3099
71,45,24,1,3099
72,45,39,1,3099
73,45,49,2,3099
74,35,47,3,3099
75,35,66,1,3099
76,35,60,3,3099
77,35,65,1,3099
78,35,59,1,3099
79,35,57,2,3099
80,35,46,2,3099
81,35,41,1,3099
82,35,52,2,3099
83,35,80,2,3099
84,35,87,1,3099
85,35,94,1,3099
86,35,49,1,3099
87,35,54,1,3099
88,35,73,3,3099
89,35,76,1,3099
90,35,98,1,3099
91,35,62,1,3099
92,35,39,1,3099
93,35,69,1,3099
94,35,56,1,3099
95,35,75,1,3099
96,35,92,2,3099
97,35,10,1,3099
98,35,32,1,3099
99,35,34,1,3099
100,35,95,1,3099
101,35,37,2,3099
102,35,35,2,3099
103,35,36,1,3099
104,35,42,1,3099
105,35,61,1,3099
106,35,67,2,3099
107,35,63,1,3099
108,35,26,1,3099
109,35,96,1,3099
110,35,77,1,3099
111,35,51,1,3099
112,35,79,1,3099
113,35,0,1,3099
114,29,68,2,3099
115,29,90,1,3099
116,29,61,1,3099
117,29,14,1,3099
118,29,45,1,3099
119,29,31,2,3099
120,29,41,1,3099
121,29,35,3,3099
122,29,65,2,3099
123,29,83,2,3099
124,29,89,2,3099
125,29,48,1,3099
126,29,53,2,3099
127,29,70,1,3099
128,29,74,1,3099
129,29,7,1,3099
130,29,51,1,3099
131,29,43,1,3099
132,29,44,1,3099
133,29,55,2,3099
134,29,75,1,3099
135,29,64,1,3099
136,29,93,1,3099
137,29,34,1,3099
138,29,23,1,3099
139,29,88,1,3099
140,29,19,1,3099
141,29,30,1,3099
142,63,48,2,3099
143,63,86,1,3099
144,63,81,2,3099
145,63,89,3,3099
146,63,12,1,3099
147,63,41,1,3099
148,63,6,1,3099
149,63,88,2,3099
150,63,70,2,3099
151,63,72,1,3099
152,63,85,1,3099
153,63,78,1,3099
154,63,33,1,3099
155,63,62,1,3099
156,63,23,1,3099
157,63,40,2,3099
158,63,28,2,3099
159,63,29,1,3099
160,63,44,1,3099
161,63,49,1,3099
162,63,42,1,3099
163,63,69,1,3099
164,63,55,2,3099
165,63,83,3,3099
166,63,84,1,3099
167,63,76,1,3099
168,63,82,1,3099
169,63,50,1,3099
170,63,67,2,3099
171,63,61,2,3099
172,63,65,1,3099
173,63,91,2,3099
174,63,90,1,3099
175,63,94,1,3099
176,63,34,1,3099
177,63,35,2,3099
178,63,5,1,3099
179,63,32,1,3099
180,63,19,1,3099
181,63,36,1,3099
182,63,15,1,3099
183,63,21,1,3099
184,63,92,1,3099
185,63,27,1,3099
186,63,38,1,3099
187,63,87,1,3099
188,63,26,1,3099
189,56,61,2,3099
190,56,69,3,3099
191,56,47,2,3099
192,56,88,2,3099
193,56,37,2,3099
194,56,46,1,3099
195,56,7,3,3099
196,56,68,1,3099
197,56,18,1,3099
198,56,84,2,3099
199,56,63,1,3099
200,56,79,2,3099
201,56,31,1,3099
202,56,30,1,3099
203,56,49,2,3099
204,56,44,1,3099
205,56,83,1,3099
206,56,66,4,3099
207,56,51,1,3099
208,56,96,2,3099
209,56,72,1,3099
210,56,86,1,3099
211,56,14,1,3099
212,56,6,2,3099
213,56,9,1,3099
214,56,67,2,3099
215,56,53,1,3099
216,56,54,1,3099
217,56,33,2,3099
218,56,73,2,3099
219,56,82,1,3099
220,56,100,1,3099
221,56,77,1,3099
222,56,52,1,3099
223,56,27,1,3099
224,56,95,1,3099
225,56,13,1,3099
226,56,34,1,3099
227,57,67,2,3099
228,57,64,2,3099
229,57,68,1,3099
230,57,72,1,3099
231,57,32,1,3099
232,57,71,2,3099
233,57,24,1,3099
234,57,35,1,3099
235,57,94,3,3099
236,57,4,1,3099
237,57,51,1,3099
238,57,55,2,3099
239,57,70,2,3099
240,57,9,1,3099
241,57,52,1,3099
242,57,75,1,3099
243,57,0,1,3099
244,57,66,2,3099
245,57,85,1,3099
246,57,8,1,3099
247,57,81,1,3099
248,57,89,1,3099
249,57,61,1,3099
250,57,46,1,3099
251,57,40,1,3099
252,57,92,1,3099
253,57,62,1,3099
254,57,83,1,3099
255,57,39,1,3099
