nokta_no,x,y,count,sezon_dakikasi
1,68,92,1,2230
2,68,98,1,2230
3,68,87,1,2230
4,68,27,1,2230
5,68,51,1,2230
6,68,52,2,2230
7,68,49,1,2230
8,68,66,1,2230
9,68,46,2,2230
10,68,82,1,2230
11,68,40,1,2230
12,68,45,1,2230
13,68,39,1,2230
14,68,73,1,2230
15,68,68,1,2230
16,68,56,1,2230
17,68,32,1,2230
18,68,34,1,2230
19,68,18,1,2230
20,67,91,1,2230
21,67,63,1,2230
22,67,74,2,2230
23,67,48,2,2230
24,67,53,1,2230
25,67,47,1,2230
26,67,30,3,2230
27,67,89,1,2230
28,67,28,2,2230
29,67,96,1,2230
30,67,90,2,2230
31,65,4,1,2230
32,65,56,2,2230
33,65,20,1,2230
34,65,26,2,2230
35,65,53,1,2230
36,65,47,1,2230
37,65,46,1,2230
38,65,5,1,2230
39,65,74,1,2230
40,65,65,1,2230
41,65,80,1,2230
42,65,40,1,2230
43,65,30,1,2230
44,64,31,1,2230
45,64,70,1,2230
46,64,9,1,2230
47,64,53,2,2230
48,64,21,1,2230
49,64,34,2,2230
50,64,96,1,2230
51,64,37,1,2230
52,64,7,1,2230
53,64,12,1,2230
54,64,54,1,2230
55,64,15,1,2230
56,64,79,1,2230
57,64,77,1,2230
58,64,43,1,2230
59,64,69,1,2230
60,64,56,1,2230
61,64,73,1,2230
62,47,28,1,2230
63,47,66,1,2230
64,47,22,1,2230
65,47,89,1,2230
66,47,77,1,2230
67,47,82,1,2230
68,47,17,1,2230
69,47,51,1,2230
70,47,95,1,2230
71,47,70,1,2230
72,70,49,1,2230
73,70,41,1,2230
74,70,15,1,2230
75,70,28,1,2230
76,70,58,1,2230
77,70,34,1,2230
78,70,53,1,2230
79,70,59,1,2230
80,70,88,1,2230
81,70,14,1,2230
82,70,35,1,2230
83,70,18,1,2230
84,70,72,1,2230
85,70,26,1,2230
86,70,42,1,2230
87,70,92,1,2230
88,90,47,2,2230
89,90,48,2,2230
90,90,61,1,2230
91,90,38,2,2230
92,90,29,1,2230
93,90,76,1,2230
