nokta_no,x,y,count,sezon_dakikasi
1,30,11,1,2104
2,30,12,1,2104
3,30,13,3,2104
4,30,27,1,2104
5,30,5,1,2104
6,30,51,2,2104
7,30,37,2,2104
8,30,23,2,2104
9,30,43,2,2104
10,30,42,1,2104
11,30,39,3,2104
12,30,20,1,2104
13,30,36,1,2104
14,30,22,1,2104
15,30,66,1,2104
16,30,28,1,2104
17,30,8,1,2104
18,30,21,1,2104
19,30,31,4,2104
20,30,53,1,2104
21,30,60,1,2104
22,30,70,1,2104
23,31,4,2,2104
24,31,5,1,2104
25,31,15,1,2104
26,31,35,1,2104
27,31,24,5,2104
28,31,66,1,2104
29,31,82,1,2104
30,31,32,3,2104
31,31,39,2,2104
32,31,85,2,2104
33,31,19,2,2104
34,31,20,2,2104
35,31,21,1,2104
36,31,9,1,2104
37,31,31,1,2104
38,31,46,1,2104
39,31,45,1,2104
40,31,60,2,2104
41,31,47,3,2104
42,31,51,1,2104
43,31,74,1,2104
44,31,52,2,2104
45,31,71,2,2104
46,31,25,1,2104
47,18,0,1,2104
48,18,10,1,2104
49,18,44,1,2104
50,18,27,1,2104
51,18,54,1,2104
52,18,51,1,2104
53,18,53,1,2104
54,18,35,2,2104
55,18,30,1,2104
56,18,3,1,2104
57,18,13,2,2104
58,18,11,1,2104
59,18,46,1,2104
60,18,49,1,2104
61,18,28,1,2104
62,18,33,1,2104
63,9,15,1,2104
64,9,36,1,2104
65,9,37,3,2104
66,9,38,1,2104
67,9,6,1,2104
68,9,27,1,2104
69,9,44,1,2104
70,9,41,1,2104
71,9,43,1,2104
72,9,68,1,2104
73,9,18,1,2104
74,9,52,1,2104
75,9,4,1,2104
76,9,7,1,2104
77,9,8,1,2104
78,9,49,1,2104
79,9,12,1,2104
80,9,96,1,2104
81,9,23,1,2104
82,9,17,2,2104
83,9,25,1,2104
84,9,16,1,2104
85,9,55,1,2104
86,56,0,2,2104
87,56,15,1,2104
88,56,11,1,2104
89,56,38,1,2104
90,56,33,1,2104
91,56,66,1,2104
92,56,49,1,2104
93,56,30,1,2104
94,56,37,1,2104
95,56,32,1,2104
96,54,2,1,2104
97,54,62,1,2104
98,54,5,1,2104
99,54,4,1,2104
100,54,8,1,2104
101,54,0,1,2104
102,54,25,1,2104
103,54,42,1,2104
104,54,17,2,2104
105,54,33,1,2104
106,54,29,1,2104
107,54,32,2,2104
108,54,10,1,2104
109,54,50,3,2104
110,54,26,1,2104
111,54,31,1,2104
112,54,39,1,2104
113,54,18,1,2104
114,54,6,1,2104
115,54,28,1,2104
116,54,41,1,2104
117,61,71,2,2104
118,61,5,1,2104
119,61,7,1,2104
120,61,11,1,2104
121,61,4,1,2104
122,61,6,1,2104
123,61,42,2,2104
124,61,23,1,2104
125,61,2,1,2104
126,61,37,1,2104
127,64,67,1,2104
128,64,4,2,2104
129,64,5,2,2104
130,64,21,1,2104
131,64,90,2,2104
132,64,32,1,2104
133,64,16,1,2104
134,64,92,1,2104
135,64,57,1,2104
136,29,64,1,2104
137,29,26,4,2104
138,29,24,4,2104
139,29,13,2,2104
140,29,8,1,2104
141,29,22,1,2104
142,29,30,2,2104
143,29,15,2,2104
144,29,12,1,2104
145,29,34,1,2104
146,29,27,2,2104
147,29,4,2,2104
148,29,7,2,2104
