nokta_no,x,y,count,sezon_dakikasi
1,50,50,5,1096
2,50,33,1,1096
3,50,76,1,1096
4,50,26,1,1096
5,50,49,1,1096
6,52,50,2,1096
7,52,21,1,1096
8,52,8,1,1096
9,52,30,1,1096
10,52,41,1,1096
11,52,67,1,1096
12,52,33,1,1096
13,52,51,2,1096
14,52,88,1,1096
15,52,47,1,1096
16,52,82,1,1096
17,32,25,1,1096
18,32,5,1,1096
19,32,42,1,1096
20,32,52,2,1096
21,32,1,1,1096
22,32,8,1,1096
23,32,24,1,1096
24,32,29,2,1096
25,32,13,1,1096
26,32,73,1,1096
27,32,30,1,1096
28,32,62,1,1096
29,32,38,1,1096
30,58,47,1,1096
31,58,29,1,1096
32,58,94,1,1096
33,58,16,2,1096
34,58,81,2,1096
35,58,39,1,1096
36,58,2,1,1096
37,58,5,1,1096
38,58,70,2,1096
39,58,93,1,1096
40,58,73,1,1096
41,58,60,1,1096
42,58,8,2,1096
43,58,92,2,1096
44,58,25,1,1096
45,58,7,1,1096
46,58,34,1,1096
47,58,28,1,1096
48,58,72,1,1096
49,58,64,1,1096
50,58,63,1,1096
51,58,40,1,1096
52,58,13,1,1096
53,58,78,1,1096
54,99,0,29,1096
55,99,99,23,1096
56,99,37,1,1096
57,39,14,1,1096
58,39,23,1,1096
59,39,46,1,1096
60,39,72,1,1096
61,39,28,1,1096
62,39,20,1,1096
63,39,57,1,1096
64,39,36,1,1096
65,39,59,1,1096
66,54,28,2,1096
67,54,24,2,1096
68,54,21,1,1096
69,54,30,2,1096
70,54,34,1,1096
71,54,65,2,1096
72,54,51,1,1096
73,54,49,1,1096
74,54,31,1,1096
75,54,26,1,1096
76,54,70,1,1096
77,54,4,1,1096
78,54,25,1,1096
79,54,37,1,1096
80,54,20,1,1096
81,54,87,1,1096
82,54,64,1,1096
83,54,23,1,1096
84,47,23,2,1096
85,47,69,1,1096
86,47,5,1,1096
87,47,39,1,1096
88,47,18,1,1096
89,47,17,1,1096
90,47,27,1,1096
91,47,10,1,1096
92,47,79,1,1096
93,47,60,1,1096
94,47,13,1,1096
95,47,31,1,1096
96,47,33,1,1096
97,47,43,1,1096
98,47,46,1,1096
99,47,47,1,1096
100,56,20,1,1096
101,56,5,1,1096
102,56,32,1,1096
103,56,94,1,1096
104,56,88,2,1096
105,56,25,1,1096
106,56,10,1,1096
107,56,61,1,1096
108,56,76,1,1096
109,56,17,1,1096
110,56,74,1,1096
111,56,47,1,1096
112,56,13,1,1096
113,56,36,2,1096
114,56,71,1,1096
115,56,23,2,1096
116,56,83,1,1096
117,53,18,1,1096
118,53,17,1,1096
119,53,91,1,1096
120,53,49,1,1096
121,53,15,1,1096
122,53,23,1,1096
123,53,14,2,1096
124,53,56,1,1096
125,53,31,1,1096
126,53,69,1,1096
127,53,10,1,1096
128,53,68,1,1096
129,53,84,1,1096
130,53,13,1,1096
131,53,78,2,1096
132,53,54,1,1096
133,53,80,1,1096
134,53,24,2,1096
135,53,70,1,1096
136,53,6,1,1096
137,63,60,2,1096
138,63,43,1,1096
139,63,24,1,1096
140,63,53,2,1096
141,63,68,1,1096
142,63,23,1,1096
143,63,14,1,1096
144,63,3,1,1096
145,63,90,1,1096
146,63,67,1,1096
147,63,20,2,1096
148,63,61,1,1096
149,63,50,1,1096
150,63,22,1,1096
151,63,11,1,1096
152,63,8,1,1096
153,63,34,1,1096
154,63,46,1,1096
155,40,32,2,1096
156,40,65,1,1096
157,40,74,1,1096
158,40,47,1,1096
159,40,81,1,1096
160,40,30,1,1096
161,40,18,2,1096
162,40,78,1,1096
163,40,73,1,1096
164,40,40,1,1096
165,40,59,1,1096
166,21,18,1,1096
167,21,33,1,1096
168,21,39,1,1096
169,21,28,1,1096
170,21,22,1,1096
171,21,66,2,1096
172,21,15,1,1096
173,21,53,1,1096
174,21,9,1,1096
175,21,68,1,1096
176,21,75,1,1096
177,21,29,1,1096
178,21,26,1,1096
179,24,10,1,1096
180,24,89,1,1096
181,24,81,1,1096
182,24,73,1,1096
183,24,66,1,1096
184,24,72,1,1096
185,24,15,1,1096
186,24,69,1,1096
187,24,28,1,1096
188,24,13,1,1096
189,24,61,1,1096
190,30,18,1,1096
