nokta_no,x,y,count,sezon_dakikasi
1,41,81,1,2996
2,41,60,2,2996
3,41,36,1,2996
4,41,16,1,2996
5,41,65,1,2996
6,41,6,1,2996
7,41,7,1,2996
8,41,35,3,2996
9,41,24,4,2996
10,41,12,1,2996
11,41,32,2,2996
12,41,75,1,2996
13,41,78,1,2996
14,41,31,1,2996
15,41,43,1,2996
16,41,33,1,2996
17,41,37,1,2996
18,41,62,1,2996
19,41,8,1,2996
20,41,64,2,2996
21,41,58,1,2996
22,41,91,1,2996
23,41,84,1,2996
24,41,86,1,2996
25,41,30,2,2996
26,41,38,1,2996
27,41,72,1,2996
28,41,70,1,2996
29,41,11,2,2996
30,41,19,1,2996
31,41,40,1,2996
32,41,20,1,2996
33,41,14,1,2996
34,41,50,1,2996
35,41,46,1,2996
36,41,18,1,2996
37,41,49,1,2996
38,31,87,1,2996
39,31,72,1,2996
40,31,62,2,2996
41,31,18,1,2996
42,31,44,2,2996
43,31,73,2,2996
44,31,7,2,2996
45,31,59,1,2996
46,31,32,2,2996
47,31,38,1,2996
48,31,3,1,2996
49,31,55,2,2996
50,31,22,2,2996
51,31,34,3,2996
52,31,25,2,2996
53,31,27,2,2996
54,31,57,1,2996
55,31,42,1,2996
56,31,36,1,2996
57,31,51,1,2996
58,31,46,1,2996
59,31,28,2,2996
60,31,70,1,2996
61,31,4,2,2996
62,31,14,1,2996
63,31,93,1,2996
64,31,31,1,2996
65,31,12,1,2996
66,31,15,1,2996
67,30,41,1,2996
68,30,58,1,2996
69,30,45,1,2996
70,30,59,1,2996
71,30,35,1,2996
72,30,22,1,2996
73,30,55,1,2996
74,30,24,1,2996
75,30,30,3,2996
76,30,50,2,2996
77,30,26,1,2996
78,30,47,1,2996
79,30,48,1,2996
80,30,34,1,2996
81,30,53,1,2996
82,30,68,1,2996
83,30,93,1,2996
84,30,57,2,2996
85,30,14,1,2996
86,30,10,1,2996
87,30,71,2,2996
88,30,27,3,2996
89,30,6,1,2996
90,30,32,1,2996
91,30,40,2,2996
92,30,23,1,2996
93,30,3,1,2996
94,30,37,1,2996
95,30,78,1,2996
96,30,8,1,2996
97,30,42,2,2996
98,30,65,1,2996
99,30,13,1,2996
100,30,12,2,2996
101,30,17,1,2996
102,30,62,1,2996
103,25,52,1,2996
104,25,51,1,2996
105,25,41,1,2996
106,25,14,1,2996
107,25,46,2,2996
108,25,33,1,2996
109,25,87,1,2996
110,25,36,1,2996
111,25,11,2,2996
112,25,24,3,2996
113,25,28,1,2996
114,25,5,1,2996
115,25,59,1,2996
116,25,34,1,2996
117,25,30,1,2996
118,25,54,1,2996
119,25,68,1,2996
120,25,47,1,2996
121,25,42,1,2996
122,40,66,1,2996
123,40,67,3,2996
124,40,47,1,2996
125,40,60,2,2996
126,40,49,1,2996
127,40,39,1,2996
128,40,24,1,2996
129,40,9,1,2996
130,40,29,3,2996
131,40,61,1,2996
132,40,31,1,2996
133,40,35,1,2996
134,40,4,1,2996
135,40,18,1,2996
136,40,17,1,2996
137,40,62,1,2996
138,40,23,1,2996
139,40,70,1,2996
140,40,10,3,2996
141,40,22,2,2996
142,40,80,1,2996
143,40,6,1,2996
144,40,72,1,2996
145,40,28,1,2996
146,40,36,1,2996
147,40,82,1,2996
148,35,57,1,2996
