nokta_no,x,y,count,sezon_dakikasi
1,3,59,2,3150
2,3,26,1,3150
3,3,55,2,3150
4,3,47,1,3150
5,3,58,1,3150
6,3,60,4,3150
7,3,88,1,3150
8,3,93,1,3150
9,3,81,1,3150
10,3,90,1,3150
11,3,53,3,3150
12,3,7,1,3150
13,3,51,1,3150
14,3,72,1,3150
15,3,32,1,3150
16,3,92,1,3150
17,3,73,1,3150
18,3,89,1,3150
19,14,69,3,3150
20,14,75,1,3150
21,14,44,1,3150
22,14,48,1,3150
23,14,57,1,3150
24,14,83,3,3150
25,14,51,2,3150
26,14,94,1,3150
27,14,60,1,3150
28,14,54,1,3150
29,14,89,1,3150
30,14,61,1,3150
31,14,74,1,3150
32,14,88,1,3150
33,14,73,1,3150
34,14,95,1,3150
35,14,68,1,3150
36,14,63,1,3150
37,14,46,2,3150
38,14,13,1,3150
39,14,82,1,3150
40,20,69,4,3150
41,20,83,2,3150
42,20,78,3,3150
43,20,86,2,3150
44,20,84,1,3150
45,20,92,1,3150
46,20,80,1,3150
47,20,88,1,3150
48,20,64,2,3150
49,20,82,1,3150
50,20,67,1,3150
51,20,90,1,3150
52,20,89,1,3150
53,20,75,4,3150
54,20,91,1,3150
55,20,87,1,3150
56,20,73,1,3150
57,20,77,3,3150
58,20,59,1,3150
59,20,23,1,3150
60,20,71,1,3150
61,20,76,3,3150
62,20,35,1,3150
63,20,58,1,3150
64,20,38,1,3150
65,20,68,1,3150
66,20,66,1,3150
67,20,31,1,3150
68,20,24,1,3150
69,24,70,1,3150
70,24,81,2,3150
71,24,89,1,3150
72,24,86,2,3150
73,24,72,2,3150
74,24,62,2,3150
75,24,85,4,3150
76,24,69,3,3150
77,24,66,3,3150
78,24,80,2,3150
79,24,71,2,3150
80,24,93,1,3150
81,24,47,2,3150
82,24,64,1,3150
83,24,79,2,3150
84,24,88,1,3150
85,24,75,2,3150
86,24,74,2,3150
87,24,68,2,3150
88,24,43,1,3150
89,24,34,1,3150
90,24,30,3,3150
91,24,77,2,3150
92,24,65,1,3150
93,24,48,1,3150
94,24,82,1,3150
95,24,67,1,3150
96,24,23,1,3150
97,24,37,1,3150
98,24,42,1,3150
99,41,72,5,3150
100,41,74,4,3150
101,41,57,1,3150
102,41,83,1,3150
103,41,78,1,3150
104,41,81,2,3150
105,41,68,1,3150
106,41,75,2,3150
107,41,95,1,3150
108,41,70,1,3150
109,41,82,2,3150
110,41,86,2,3150
111,41,76,3,3150
112,41,91,1,3150
113,41,46,1,3150
114,41,62,1,3150
115,41,90,1,3150
116,41,71,2,3150
117,41,89,1,3150
118,41,66,3,3150
119,41,31,1,3150
120,41,67,2,3150
121,41,61,1,3150
122,41,73,1,3150
123,41,6,1,3150
124,41,64,2,3150
125,41,69,2,3150
126,41,79,1,3150
127,41,33,2,3150
128,41,10,1,3150
129,41,29,1,3150
130,41,30,1,3150
131,41,88,1,3150
132,34,59,1,3150
133,34,81,5,3150
134,34,75,2,3150
135,34,56,2,3150
136,34,93,2,3150
137,34,80,5,3150
138,34,73,2,3150
139,34,79,2,3150
140,34,61,1,3150
141,34,84,1,3150
142,34,90,3,3150
143,34,54,3,3150
144,34,96,2,3150
145,34,62,2,3150
146,34,83,3,3150
147,34,71,2,3150
148,34,28,1,3150
149,34,87,3,3150
150,34,85,3,3150
151,34,97,2,3150
152,34,92,1,3150
153,34,77,1,3150
154,34,76,3,3150
155,34,40,2,3150
156,34,51,1,3150
157,34,67,1,3150
158,34,72,2,3150
159,34,68,1,3150
160,34,42,1,3150
161,34,78,3,3150
162,34,47,1,3150
163,34,65,1,3150
164,34,35,2,3150
165,34,26,1,3150
166,34,16,1,3150
167,34,9,1,3150
168,34,5,1,3150
169,34,49,1,3150
170,17,9,1,3150
171,17,30,1,3150
172,17,92,2,3150
173,17,74,1,3150
174,17,81,2,3150
175,17,77,1,3150
176,17,87,1,3150
177,17,79,1,3150
