nokta_no,x,y,count,sezon_dakikasi
1,37,60,1,1655
2,37,76,1,1655
3,37,24,1,1655
4,37,51,2,1655
5,37,32,2,1655
6,37,70,2,1655
7,37,67,1,1655
8,37,65,1,1655
9,37,50,1,1655
10,37,19,1,1655
11,37,7,1,1655
12,37,84,1,1655
13,37,59,1,1655
14,37,64,1,1655
15,37,57,1,1655
16,37,31,1,1655
17,37,39,1,1655
18,37,45,2,1655
19,37,55,1,1655
20,37,38,1,1655
21,37,8,1,1655
22,37,26,1,1655
23,37,48,1,1655
24,37,47,1,1655
25,34,48,1,1655
26,34,78,1,1655
27,34,61,2,1655
28,34,75,1,1655
29,34,43,1,1655
30,34,26,2,1655
31,34,44,3,1655
32,34,25,1,1655
33,34,40,2,1655
34,34,17,1,1655
35,34,36,1,1655
36,34,57,2,1655
37,34,32,1,1655
38,34,54,1,1655
39,34,68,1,1655
40,34,88,1,1655
41,34,38,1,1655
42,34,53,1,1655
43,34,39,1,1655
44,34,49,1,1655
45,34,52,1,1655
46,34,80,1,1655
47,34,45,1,1655
48,34,41,1,1655
49,28,61,1,1655
50,28,82,1,1655
51,28,28,1,1655
52,28,24,2,1655
53,28,36,1,1655
54,28,25,1,1655
55,28,51,2,1655
56,28,49,1,1655
57,28,72,3,1655
58,28,62,1,1655
59,28,35,1,1655
60,28,31,1,1655
61,28,47,1,1655
62,28,26,1,1655
63,28,66,2,1655
64,28,55,1,1655
65,28,15,1,1655
66,31,50,3,1655
67,31,25,1,1655
68,31,65,1,1655
69,31,39,3,1655
70,31,52,1,1655
71,31,43,4,1655
72,31,11,1,1655
73,31,31,1,1655
74,31,30,2,1655
75,31,61,1,1655
76,31,35,1,1655
77,31,40,2,1655
78,31,46,1,1655
79,31,84,1,1655
80,31,27,1,1655
81,31,60,1,1655
82,31,57,2,1655
83,31,87,1,1655
84,31,78,1,1655
85,31,62,1,1655
86,31,36,1,1655
87,31,79,1,1655
88,31,63,2,1655
89,31,29,1,1655
90,31,38,1,1655
91,31,16,1,1655
92,31,15,2,1655
93,23,38,1,1655
94,23,43,1,1655
95,23,8,1,1655
96,23,5,1,1655
97,23,36,1,1655
98,23,30,2,1655
99,23,15,1,1655
100,23,78,1,1655
101,23,65,1,1655
102,23,74,1,1655
103,23,60,1,1655
104,23,76,1,1655
105,23,21,1,1655
106,23,24,1,1655
107,23,40,1,1655
108,23,32,1,1655
109,33,45,1,1655
110,33,67,2,1655
111,33,46,1,1655
112,33,60,2,1655
113,33,76,2,1655
114,33,72,1,1655
115,33,47,2,1655
116,33,12,2,1655
117,33,26,1,1655
118,33,21,1,1655
119,33,35,1,1655
120,33,52,2,1655
121,33,36,1,1655
122,33,73,2,1655
123,33,58,2,1655
124,33,30,2,1655
125,33,71,1,1655
126,33,59,1,1655
127,33,43,1,1655
128,33,41,1,1655
129,33,13,1,1655
130,56,64,1,1655
131,56,24,1,1655
132,56,15,1,1655
133,56,80,1,1655
134,56,6,1,1655
135,56,71,1,1655
136,56,70,1,1655
137,56,45,1,1655
138,56,40,1,1655
139,56,25,2,1655
140,56,18,1,1655
141,60,61,2,1655
142,60,63,1,1655
143,60,68,1,1655
144,60,66,1,1655
145,60,56,1,1655
146,60,47,1,1655
147,60,53,1,1655
148,47,57,1,1655
149,47,46,2,1655
150,47,32,1,1655
151,47,30,1,1655
152,47,23,1,1655
153,47,56,1,1655
154,47,50,3,1655
155,47,26,1,1655
156,47,48,1,1655
157,47,47,2,1655
158,47,58,1,1655
159,47,63,1,1655
160,47,55,1,1655
161,47,60,1,1655
162,47,33,1,1655
163,47,12,1,1655
164,52,54,2,1655
165,52,55,1,1655
166,52,51,1,1655
167,52,22,3,1655
168,52,39,1,1655
169,52,95,1,1655
170,52,58,1,1655
171,52,52,1,1655
172,52,73,1,1655
173,52,70,1,1655
174,52,71,1,1655
175,52,56,1,1655
176,52,63,1,1655
177,52,40,1,1655
178,52,19,1,1655
179,52,24,1,1655
180,52,46,1,1655
181,52,36,1,1655
182,49,53,2,1655
183,49,42,1,1655
184,49,40,1,1655
185,49,36,1,1655
186,49,41,1,1655
187,54,64,1,1655
188,54,61,1,1655
189,54,58,3,1655
190,54,22,1,1655
191,54,40,1,1655
192,54,31,1,1655
193,54,52,1,1655
194,54,20,1,1655
195,54,44,2,1655
196,54,60,1,1655
197,54,80,1,1655
198,54,43,1,1655
199,54,55,1,1655
200,54,41,1,1655
201,54,77,1,1655
202,54,68,1,1655
203,54,73,1,1655
204,54,21,1,1655
205,29,69,1,1655
206,29,56,1,1655
207,29,54,1,1655
208,29,46,1,1655
209,29,35,1,1655
210,29,64,2,1655
211,29,28,2,1655
212,29,53,1,1655
213,29,10,1,1655
214,29,50,1,1655
215,29,67,1,1655
216,29,73,1,1655
217,29,95,1,1655
218,29,74,1,1655
219,29,31,1,1655
220,29,27,1,1655
221,29,21,1,1655
222,29,30,1,1655
223,82,31,2,1655
224,39,30,1,1655
225,39,49,1,1655
226,39,23,1,1655
227,39,62,3,1655
228,39,65,1,1655
229,39,78,2,1655
230,39,64,1,1655
231,39,36,1,1655
232,39,35,2,1655
233,39,54,1,1655
234,39,47,1,1655
235,39,90,1,1655
236,39,59,1,1655
237,39,77,2,1655
238,39,37,1,1655
239,39,85,1,1655
240,39,15,1,1655
241,39,66,1,1655
242,39,57,2,1655
243,39,67,1,1655
244,25,39,1,1655
245,25,40,1,1655
246,25,65,2,1655
247,25,56,1,1655
248,25,25,1,1655
249,25,27,1,1655
250,25,41,1,1655
251,25,76,1,1655
252,25,75,1,1655
253,25,80,1,1655
254,25,14,1,1655
255,25,32,2,1655
256,25,44,1,1655
257,25,28,1,1655
258,25,72,1,1655
259,25,64,1,1655
260,25,37,1,1655
261,55,29,1,1655
262,55,49,1,1655
263,55,50,1,1655
264,55,51,2,1655
265,55,48,1,1655
266,55,18,2,1655
267,55,73,1,1655
268,55,43,1,1655
269,55,33,1,1655
270,55,8,2,1655
271,55,14,1,1655
272,21,13,2,1655
273,21,63,1,1655
274,21,66,2,1655
275,21,39,1,1655
276,21,60,1,1655
277,21,81,1,1655
278,21,58,1,1655
279,21,74,2,1655
280,21,30,1,1655
281,21,51,1,1655
282,21,10,1,1655
283,21,62,1,1655
284,21,31,1,1655
285,3,36,2,1655
286,3,85,1,1655
287,3,65,1,1655
288,3,58,1,1655
289,3,48,2,1655
290,3,42,2,1655
291,3,57,1,1655
292,3,56,1,1655
293,10,55,1,1655
294,10,56,2,1655
295,10,47,1,1655
296,10,41,1,1655
